symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AAP","2015-01-02T00:00:00-05:00","2015-01-02","160.1185","161.7609","156.7538","157.8389","512229",""
"AAP","2015-01-05T00:00:00-05:00","2015-01-05","157.4506","158.2669","155.191","155.7584","807271",""
"AAP","2015-01-06T00:00:00-05:00","2015-01-06","155.848","156.5746","153.2001","155.6489","876285",""
"AAP","2015-01-07T00:00:00-05:00","2015-01-07","157.2316","159.8795","156.3457","158.9936","1332761",""
"AAP","2015-01-08T00:00:00-05:00","2015-01-08","162.617","162.7166","160.2678","160.3872","1030386",""
"AAP","2015-01-09T00:00:00-05:00","2015-01-09","159.2225","160.8849","157.6696","159.571","916367",""
"AAP","2015-01-12T00:00:00-05:00","2015-01-12","159.4017","159.6805","157.5004","158.2072","760257",""
"AAP","2015-01-13T00:00:00-05:00","2015-01-13","158.894","159.989","151.6372","153.0607","828367",""
"AAP","2015-01-14T00:00:00-05:00","2015-01-14","151.2092","152.4634","148.7006","150.144","722686",""
"AAP","2015-01-15T00:00:00-05:00","2015-01-15","150.4825","151.1693","147.1577","147.3468","930632",""
"AAP","2015-01-16T00:00:00-05:00","2015-01-16","147.3468","149.5169","146.5305","149.3178","780349",""
"AAP","2015-01-20T00:00:00-05:00","2015-01-20","149.3576","152.0553","147.7748","151.9657","946102",""
"AAP","2015-01-21T00:00:00-05:00","2015-01-21","151.7965","153.3892","151.3784","152.6526","714348",""
"AAP","2015-01-22T00:00:00-05:00","2015-01-22","153.6978","156.9031","153.2001","155.828","742175",""
"AAP","2015-01-23T00:00:00-05:00","2015-01-23","156.276","157.3312","153.9367","155.0715","688732",""
"AAP","2015-01-26T00:00:00-05:00","2015-01-26","155.0416","158.5257","155.0416","158.5058","618111",""
"AAP","2015-01-27T00:00:00-05:00","2015-01-27","157.371","158.8045","156.1566","158.3067","543471",""
"AAP","2015-01-28T00:00:00-05:00","2015-01-28","158.7646","160.3972","157.7991","158.5755","1155053",""
"AAP","2015-01-29T00:00:00-05:00","2015-01-29","158.9637","160.2479","156.8633","159.5311","563864",""
"AAP","2015-01-30T00:00:00-05:00","2015-01-30","158.8343","160.2479","156.6841","158.2769","834193",""
"AAP","2015-02-02T00:00:00-05:00","2015-02-02","158.7447","158.7447","152.5928","155.2607","823746",""
"AAP","2015-02-03T00:00:00-05:00","2015-02-03","156.495","156.6344","153.7675","156.3557","575115",""
"AAP","2015-02-04T00:00:00-05:00","2015-02-04","156.047","156.5547","153.8172","155.7584","748303",""
"AAP","2015-02-05T00:00:00-05:00","2015-02-05","156.0769","159.9293","156.0769","159.4316","1300112",""
"AAP","2015-02-06T00:00:00-05:00","2015-02-06","159.6705","161.6913","159.4913","161.2632","867746",""
"AAP","2015-02-09T00:00:00-05:00","2015-02-09","160.8849","161.0243","158.3466","160.009","1068961",""
"AAP","2015-02-10T00:00:00-05:00","2015-02-10","160.0886","162.4876","160.0587","162.1591","687627",""
"AAP","2015-02-11T00:00:00-05:00","2015-02-11","162.7564","164.2496","160.8053","161.6514","1212414",""
"AAP","2015-02-12T00:00:00-05:00","2015-02-12","154.2951","156.3656","150.2635","150.7313","4064485",""
"AAP","2015-02-13T00:00:00-05:00","2015-02-13","150.3332","151.1395","148.5214","149.4771","2127174",""
"AAP","2015-02-17T00:00:00-05:00","2015-02-17","149.2282","150.6915","148.183","149.5468","1571447",""
"AAP","2015-02-18T00:00:00-05:00","2015-02-18","148.9694","152.9014","147.8246","152.5231","1797274",""
"AAP","2015-02-19T00:00:00-05:00","2015-02-19","152.4833","154.2453","151.7666","152.5729","1154952",""
"AAP","2015-02-20T00:00:00-05:00","2015-02-20","151.9458","154.4344","151.1295","154.3548","933143",""
"AAP","2015-02-23T00:00:00-05:00","2015-02-23","154.8824","156.495","154.0064","156.4651","857499",""
"AAP","2015-02-24T00:00:00-05:00","2015-02-24","156.6344","156.9828","154.5937","155.6887","646138",""
"AAP","2015-02-25T00:00:00-05:00","2015-02-25","155.7882","155.8579","154.7928","155.5394","399316",""
"AAP","2015-02-26T00:00:00-05:00","2015-02-26","155.5394","155.9973","154.524","154.6733","495453",""
"AAP","2015-02-27T00:00:00-05:00","2015-02-27","155.0317","155.5294","153.9267","154.2254","721682",""
"AAP","2015-03-02T00:00:00-05:00","2015-03-02","154.0064","154.7032","153.2299","154.0661","913153",""
"AAP","2015-03-03T00:00:00-05:00","2015-03-03","154.8923","155.8878","152.8019","153.7675","721280",""
"AAP","2015-03-04T00:00:00-05:00","2015-03-04","153.2697","153.2697","149.7558","150.144","873773",""
"AAP","2015-03-05T00:00:00-05:00","2015-03-05","151.1295","152.5331","150.2436","151.8263","756641",""
"AAP","2015-03-06T00:00:00-05:00","2015-03-06","151.02","152.2643","147.7948","148.392","1718817",""
"AAP","2015-03-09T00:00:00-04:00","2015-03-09","148.3223","148.83","147.078","147.6156","843134",""
"AAP","2015-03-10T00:00:00-04:00","2015-03-10","146.1324","146.9785","144.4401","145.8636","1297400",""
"AAP","2015-03-11T00:00:00-04:00","2015-03-11","146.3016","147.0482","144.9478","146.6599","707015",""
"AAP","2015-03-12T00:00:00-04:00","2015-03-12","146.212","149.5468","146.212","148.6409","781956",""
"AAP","2015-03-13T00:00:00-04:00","2015-03-13","148.5214","149.716","145.9134","148.9296","677581",""
"AAP","2015-03-16T00:00:00-04:00","2015-03-16","149.278","150.5422","148.8101","150.4327","682905",""
"AAP","2015-03-17T00:00:00-04:00","2015-03-17","150.3332","151.0001","149.1486","149.3178","534229",""
"AAP","2015-03-18T00:00:00-04:00","2015-03-18","148.9394","149.0888","146.3999","148.4116","718481",""
"AAP","2015-03-19T00:00:00-04:00","2015-03-19","148.4415","148.8","146.8083","148.5709","916201",""
"AAP","2015-03-20T00:00:00-04:00","2015-03-20","148.78","151.658","147.8638","151.2796","1569513",""
"AAP","2015-03-23T00:00:00-04:00","2015-03-23","150.4332","151.5883","148.8697","148.8896","1041522",""
"AAP","2015-03-24T00:00:00-04:00","2015-03-24","148.2821","151.2796","147.5352","150.3833","691368",""
"AAP","2015-03-25T00:00:00-04:00","2015-03-25","150.2439","151.5485","148.0033","148.1128","717979",""
"AAP","2015-03-26T00:00:00-04:00","2015-03-26","147.0174","149.7062","146.0912","148.79","831651",""
"AAP","2015-03-27T00:00:00-04:00","2015-03-27","149.0489","151.4987","148.7303","150.7618","862378",""
"AAP","2015-03-30T00:00:00-04:00","2015-03-30","152.0962","152.634","150.5726","151.4489","610633",""
"AAP","2015-03-31T00:00:00-04:00","2015-03-31","151.1701","151.9369","148.8597","149.0688","891399",""
"AAP","2015-04-01T00:00:00-04:00","2015-04-01","147.1668","148.2323","142.8547","143.1535","2433498",""
"AAP","2015-04-02T00:00:00-04:00","2015-04-02","143.3526","145.0456","142.4265","143.3825","1536275",""
"AAP","2015-04-06T00:00:00-04:00","2015-04-06","143.1734","146.6489","142.7452","145.1253","1155695",""
"AAP","2015-04-07T00:00:00-04:00","2015-04-07","145.4439","146.4896","145.185","146.1012","800220",""
"AAP","2015-04-08T00:00:00-04:00","2015-04-08","146.3502","148.2224","145.7527","148.1925","773811",""
"AAP","2015-04-09T00:00:00-04:00","2015-04-09","147.6946","148.6107","146.3801","147.4356","649495",""
"AAP","2015-04-10T00:00:00-04:00","2015-04-10","148.3419","149.9053","146.9576","149.5767","590349",""
"AAP","2015-04-13T00:00:00-04:00","2015-04-13","148.7203","150.1244","148.302","148.5609","378068",""
"AAP","2015-04-14T00:00:00-04:00","2015-04-14","148.1527","149.5668","147.0174","148.4315","734648",""
"AAP","2015-04-15T00:00:00-04:00","2015-04-15","148.8298","149.7759","147.9435","148.9593","580609",""
