symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AAPL","2015-01-02T00:00:00-05:00","2015-01-02","105.8235","105.871","101.9854","103.8665","56003236",""
"AAPL","2015-01-05T00:00:00-05:00","2015-01-05","102.8784","103.2205","100.1424","100.9404","67666904",""
"AAPL","2015-01-06T00:00:00-05:00","2015-01-06","101.3394","102.0614","99.40134","100.9499","69258120",""
"AAPL","2015-01-07T00:00:00-05:00","2015-01-07","101.8429","102.7929","101.3584","102.3654","42215528",""
"AAPL","2015-01-08T00:00:00-05:00","2015-01-08","103.7715","106.5456","103.268","106.2985","62487156",""
"AAPL","2015-01-09T00:00:00-05:00","2015-01-09","107.0396","107.5906","104.7025","106.4126","56524168",""
"AAPL","2015-01-12T00:00:00-05:00","2015-01-12","106.9731","107.0016","103.363","103.7905","52262396",""
"AAPL","2015-01-13T00:00:00-05:00","2015-01-13","105.8615","107.1631","103.4675","104.712","70621032",""
"AAPL","2015-01-14T00:00:00-05:00","2015-01-14","103.591","104.9685","103.078","104.313","51531680",""
"AAPL","2015-01-15T00:00:00-05:00","2015-01-15","104.503","104.56","101.3299","101.4819","63170716",""
"AAPL","2015-01-16T00:00:00-05:00","2015-01-16","101.6814","102.2039","99.94286","100.6934","82643208",""
"AAPL","2015-01-20T00:00:00-05:00","2015-01-20","102.4509","103.5245","101.1779","103.287","52524704",""
"AAPL","2015-01-21T00:00:00-05:00","2015-01-21","103.5055","105.51","102.8594","104.0755","51131060",""
"AAPL","2015-01-22T00:00:00-05:00","2015-01-22","104.75","106.8496","104.237","106.7831","56626168",""
"AAPL","2015-01-23T00:00:00-05:00","2015-01-23","106.7071","108.0656","105.9565","107.3341","48908916",""
"AAPL","2015-01-26T00:00:00-05:00","2015-01-26","108.0561","108.6451","107.1631","107.4481","58540324",""
"AAPL","2015-01-27T00:00:00-05:00","2015-01-27","106.8021","106.8591","103.5815","103.686","100595752",""
"AAPL","2015-01-28T00:00:00-05:00","2015-01-28","111.7517","112.2172","109.5476","109.5476","154181888",""
"AAPL","2015-01-29T00:00:00-05:00","2015-01-29","110.5072","113.2337","109.7851","112.9582","88877872",""
"AAPL","2015-01-30T00:00:00-05:00","2015-01-30","112.4832","114.0033","111.0107","111.3052","88150528",""
"AAPL","2015-02-02T00:00:00-05:00","2015-02-02","112.1507","113.2147","110.2792","112.7017","66039264",""
"AAPL","2015-02-03T00:00:00-05:00","2015-02-03","112.5782","113.1387","111.7327","112.7207","54646540",""
"AAPL","2015-02-04T00:00:00-05:00","2015-02-04","112.5782","114.4878","112.3977","113.5853","73839672",""
"AAPL","2015-02-05T00:00:00-05:00","2015-02-05","114.4723","114.6726","113.7379","114.396","44293600",""
"AAPL","2015-02-06T00:00:00-05:00","2015-02-06","114.4723","114.6916","112.9748","113.4326","45824672",""
"AAPL","2015-02-09T00:00:00-05:00","2015-02-09","113.0702","114.3006","112.9558","114.1861","40774432",""
