symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ABT","2015-01-02T00:00:00-05:00","2015-01-02","42.24211","42.42882","41.67266","41.91538","3446176",""
"ABT","2015-01-05T00:00:00-05:00","2015-01-05","41.82203","42.38214","41.66333","41.92471","6144223",""
"ABT","2015-01-06T00:00:00-05:00","2015-01-06","41.9994","42.11142","41.00986","41.44862","7058497",""
"ABT","2015-01-07T00:00:00-05:00","2015-01-07","41.81269","41.95272","41.42994","41.78468","4937723",""
"ABT","2015-01-08T00:00:00-05:00","2015-01-08","42.1861","42.74622","42.01806","42.64353","5239054",""
"ABT","2015-01-09T00:00:00-05:00","2015-01-09","42.70888","42.8209","42.11142","42.19544","5080087",""
"ABT","2015-01-12T00:00:00-05:00","2015-01-12","42.36347","42.71821","41.95272","42.55018","6618660",""
"ABT","2015-01-13T00:00:00-05:00","2015-01-13","42.55017","42.72849","41.52724","41.86509","7187239",""
"ABT","2015-01-14T00:00:00-05:00","2015-01-14","41.56479","41.91202","41.22694","41.5554","6250394",""
"ABT","2015-01-15T00:00:00-05:00","2015-01-15","41.76186","41.9214","41.19878","41.2457","4177230",""
"ABT","2015-01-16T00:00:00-05:00","2015-01-16","41.07678","41.80878","41.02986","41.75248","4863454",""
"ABT","2015-01-20T00:00:00-05:00","2015-01-20","41.9214","41.99648","41.1894","41.49909","5498531",""
"ABT","2015-01-21T00:00:00-05:00","2015-01-21","41.25509","41.52724","40.93601","41.34894","5677439",""
"ABT","2015-01-22T00:00:00-05:00","2015-01-22","41.61171","41.82756","41.10493","41.75248","5678398",""
"ABT","2015-01-23T00:00:00-05:00","2015-01-23","41.74309","41.74309","41.1237","41.16124","7104977",""
"ABT","2015-01-26T00:00:00-05:00","2015-01-26","41.04863","41.48032","40.74831","41.4334","4663128",""
"ABT","2015-01-27T00:00:00-05:00","2015-01-27","41.18001","41.30201","40.7577","40.99232","5165861",""
"ABT","2015-01-28T00:00:00-05:00","2015-01-28","41.23632","41.48032","40.69201","40.73893","8141879",""
"ABT","2015-01-29T00:00:00-05:00","2015-01-29","41.09555","42.61587","41.01109","42.4751","10713728",""
"ABT","2015-01-30T00:00:00-05:00","2015-01-30","42.60649","42.82233","41.94956","42.00586","10243601",""
"ABT","2015-02-02T00:00:00-05:00","2015-02-02","42.16541","42.45633","41.5554","42.44695","7792480",""
"ABT","2015-02-03T00:00:00-05:00","2015-02-03","42.61587","43.05695","42.55017","43.01003","8929865",""
"ABT","2015-02-04T00:00:00-05:00","2015-02-04","42.74725","43.16018","42.27802","42.39064","8770776",""
"ABT","2015-02-05T00:00:00-05:00","2015-02-05","42.65341","43.04756","42.4751","42.8411","6792341",""
"ABT","2015-02-06T00:00:00-05:00","2015-02-06","42.78479","43.36664","42.54079","42.70033","5968765",""
"ABT","2015-02-09T00:00:00-05:00","2015-02-09","42.42817","42.42817","41.57417","41.78063","7017601",""
"ABT","2015-02-10T00:00:00-05:00","2015-02-10","41.93079","42.24048","41.66802","42.15602","5552022",""
"ABT","2015-02-11T00:00:00-05:00","2015-02-11","42.11848","42.41879","41.81817","42.16541","4585341",""
"ABT","2015-02-12T00:00:00-05:00","2015-02-12","42.26863","42.46571","42.0434","42.43756","4990682",""
"ABT","2015-02-13T00:00:00-05:00","2015-02-13","42.27802","43.3291","42.24987","43.25403","6952708",""
"ABT","2015-02-17T00:00:00-05:00","2015-02-17","43.23526","43.66695","43.16957","43.55434","6783923",""
"ABT","2015-02-18T00:00:00-05:00","2015-02-18","43.41357","43.66695","43.31034","43.55434","4316925",""
"ABT","2015-02-19T00:00:00-05:00","2015-02-19","43.50742","43.79834","43.25403","43.74203","7022396",""
"ABT","2015-02-20T00:00:00-05:00","2015-02-20","43.66695","44.64296","43.54496","44.5585","6939389",""
"ABT","2015-02-23T00:00:00-05:00","2015-02-23","44.41773","44.57727","44.1268","44.40834","5975798",""
"ABT","2015-02-24T00:00:00-05:00","2015-02-24","44.36142","44.66173","44.23004","44.54911","5102993",""
"ABT","2015-02-25T00:00:00-05:00","2015-02-25","44.62419","44.8025","44.33327","44.48342","5090632",""
"ABT","2015-02-26T00:00:00-05:00","2015-02-26","44.40834","44.77435","44.20188","44.6805","5448236",""
"ABT","2015-02-27T00:00:00-05:00","2015-02-27","44.5585","44.93389","44.45527","44.45527","6186460",""
"ABT","2015-03-02T00:00:00-05:00","2015-03-02","44.42711","44.69927","44.23004","44.3145","7476220",""
"ABT","2015-03-03T00:00:00-05:00","2015-03-03","44.15496","44.23942","43.79834","44.1925","6413532",""
"ABT","2015-03-04T00:00:00-05:00","2015-03-04","43.98603","44.5585","43.93911","44.11742","5922839",""
"ABT","2015-03-05T00:00:00-05:00","2015-03-05","43.99542","44.57727","43.93911","44.52096","5160107",""
"ABT","2015-03-06T00:00:00-05:00","2015-03-06","44.27696","44.35204","43.49803","43.6388","7741120",""
"ABT","2015-03-09T00:00:00-04:00","2015-03-09","43.6388","44.08926","43.54496","43.9485","4757856",""
"ABT","2015-03-10T00:00:00-04:00","2015-03-10","43.56372","43.74203","43.31972","43.3291","5440884",""
"ABT","2015-03-11T00:00:00-04:00","2015-03-11","43.53557","43.77957","43.36664","43.45111","5360647",""
"ABT","2015-03-12T00:00:00-04:00","2015-03-12","43.61065","44.39896","43.49803","44.34265","5551170",""
"ABT","2015-03-13T00:00:00-04:00","2015-03-13","44.30511","44.32388","43.74203","43.99542","5055149",""
"ABT","2015-03-16T00:00:00-04:00","2015-03-16","44.22065","44.90573","44.22065","44.88697","5075928",""
"ABT","2015-03-17T00:00:00-04:00","2015-03-17","44.51158","44.85881","44.17373","44.1925","5976757",""
"ABT","2015-03-18T00:00:00-04:00","2015-03-18","43.98603","44.71804","43.53557","44.47404","7093043",""
"ABT","2015-03-19T00:00:00-04:00","2015-03-19","44.53973","44.61481","44.23004","44.52096","4276647",""
"ABT","2015-03-20T00:00:00-04:00","2015-03-20","44.72742","44.83065","44.41773","44.54911","8058872",""
"ABT","2015-03-23T00:00:00-04:00","2015-03-23","44.54911","44.79312","44.3145","44.54911","4188738",""
"ABT","2015-03-24T00:00:00-04:00","2015-03-24","44.39896","44.69927","44.09865","44.10804","4897019",""
"ABT","2015-03-25T00:00:00-04:00","2015-03-25","44.14557","44.57727","43.6388","43.66695","5392933",""
"ABT","2015-03-26T00:00:00-04:00","2015-03-26","43.55434","43.91096","43.26341","43.6388","4653644",""
"ABT","2015-03-27T00:00:00-04:00","2015-03-27","43.74203","44.13619","43.56372","43.90157","3670127",""
"ABT","2015-03-30T00:00:00-04:00","2015-03-30","44.10804","44.30511","44.0048","44.18311","3161746",""
"ABT","2015-03-31T00:00:00-04:00","2015-03-31","43.9485","44.08926","43.47926","43.47926","5709406",""
"ABT","2015-04-01T00:00:00-04:00","2015-04-01","43.47926","43.5168","42.74725","43.06633","6786480",""
"ABT","2015-04-02T00:00:00-04:00","2015-04-02","43.2728","43.53557","42.91618","43.29157","4234557",""
"ABT","2015-04-06T00:00:00-04:00","2015-04-06","42.98187","43.70449","42.8411","43.45111","4351237",""
"ABT","2015-04-07T00:00:00-04:00","2015-04-07","43.45111","43.73265","43.31972","43.34787","3368359",""
"ABT","2015-04-08T00:00:00-04:00","2015-04-08","43.36664","43.87342","43.07572","43.74203","6405966",""
"ABT","2015-04-09T00:00:00-04:00","2015-04-09","43.6388","44.22065","43.59188","44.10804","4621570",""
"ABT","2015-04-10T00:00:00-04:00","2015-04-10","44.08926","44.28634","43.8265","44.24881","4006419",""
"ABT","2015-04-13T00:00:00-04:00","2015-04-13","44.16391","44.43746","43.86206","43.89036","3248698",""
"ABT","2015-04-14T00:00:00-04:00","2015-04-14","43.87149","44.09788","43.71114","44.05072","3439099",""
"ABT","2015-04-15T00:00:00-04:00","2015-04-15","44.15448","44.28653","43.94696","44.17334","4289863",""
"ABT","2015-04-16T00:00:00-04:00","2015-04-16","43.96582","44.22994","43.74887","43.88093","3995568",""
"ABT","2015-04-17T00:00:00-04:00","2015-04-17","43.63567","43.8149","43.21121","43.62624","4571225",""
"ABT","2015-04-20T00:00:00-04:00","2015-04-20","43.80547","44.06015","43.73944","43.98469","3574691",""
"ABT","2015-04-21T00:00:00-04:00","2015-04-21","44.2771","44.59781","44.06958","44.44689","9134181",""
