symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ACN","2015-01-02T00:00:00-05:00","2015-01-02","84.33858","84.73361","83.17231","83.55793","2149288",""
"ACN","2015-01-05T00:00:00-05:00","2015-01-05","82.8055","83.06886","81.99664","82.14712","3188473",""
"ACN","2015-01-06T00:00:00-05:00","2015-01-06","82.29761","82.55155","80.89619","81.55457","3048767",""
"ACN","2015-01-07T00:00:00-05:00","2015-01-07","82.20355","83.47329","81.97782","83.26637","3046640",""
"ACN","2015-01-08T00:00:00-05:00","2015-01-08","83.70842","84.79005","83.55793","84.53609","2985293",""
"ACN","2015-01-09T00:00:00-05:00","2015-01-09","84.60194","84.79005","84.06583","84.44205","2551608",""
"ACN","2015-01-12T00:00:00-05:00","2015-01-12","83.81188","84.66777","83.62378","84.1881","2571384",""
"ACN","2015-01-13T00:00:00-05:00","2015-01-13","84.43264","85.90929","83.8495","84.48907","4262958",""
"ACN","2015-01-14T00:00:00-05:00","2015-01-14","84.21632","84.21632","82.76788","83.5015","2528217",""
"ACN","2015-01-15T00:00:00-05:00","2015-01-15","83.71783","83.80247","82.4575","82.92777","1939728",""
"ACN","2015-01-16T00:00:00-05:00","2015-01-16","82.64561","83.71783","82.34464","83.60497","2825279",""
"ACN","2015-01-20T00:00:00-05:00","2015-01-20","83.60497","84.10345","82.69263","83.35102","2482924",""
"ACN","2015-01-21T00:00:00-05:00","2015-01-21","83.09707","83.36042","82.51393","83.08766","2169701",""
"ACN","2015-01-22T00:00:00-05:00","2015-01-22","83.44507","84.23512","82.72085","84.1787","2824748",""
"ACN","2015-01-23T00:00:00-05:00","2015-01-23","84.1881","84.57372","83.8401","83.91534","2063380",""
"ACN","2015-01-26T00:00:00-05:00","2015-01-26","83.74605","83.89653","82.99361","83.78367","2123877",""
"ACN","2015-01-27T00:00:00-05:00","2015-01-27","82.72085","83.06886","80.88679","81.03728","3922198",""
"ACN","2015-01-28T00:00:00-05:00","2015-01-28","81.7615","81.9402","79.31609","79.3443","3688290",""
"ACN","2015-01-29T00:00:00-05:00","2015-01-29","79.89922","80.60462","78.94927","80.54819","3817471",""
"ACN","2015-01-30T00:00:00-05:00","2015-01-30","80.05911","80.36008","78.87402","79.03392","4080085",""
"ACN","2015-02-02T00:00:00-05:00","2015-02-02","79.26905","80.7457","78.50722","80.7269","3283737",""
"ACN","2015-02-03T00:00:00-05:00","2015-02-03","81.12193","82.73026","80.85857","82.69263","3722632",""
"ACN","2015-02-04T00:00:00-05:00","2015-02-04","83.87772","83.87772","81.97782","82.14712","2938724",""
"ACN","2015-02-05T00:00:00-05:00","2015-02-05","82.87134","83.27577","82.14712","83.20994","2235408",""
"ACN","2015-02-06T00:00:00-05:00","2015-02-06","83.33221","83.80247","82.61739","82.90896","2537361",""
"ACN","2015-02-09T00:00:00-05:00","2015-02-09","82.30701","82.98421","81.92139","82.16593","2839207",""
