symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ADBE","2015-01-02T00:00:00-05:00","2015-01-02","72.7","73.2","71.89","72.34","2356400",""
"ADBE","2015-01-05T00:00:00-05:00","2015-01-05","72.21","72.43","71.57","71.98","2405200",""
"ADBE","2015-01-06T00:00:00-05:00","2015-01-06","71.95","72.1","69.88","70.53","2895300",""
"ADBE","2015-01-07T00:00:00-05:00","2015-01-07","70.77","71.29","70.42","71.11","2378200",""
"ADBE","2015-01-08T00:00:00-05:00","2015-01-08","71.43","73.06","71.31","72.92","2624200",""
"ADBE","2015-01-09T00:00:00-05:00","2015-01-09","72.89","73.13","71.63","71.84","1730200",""
"ADBE","2015-01-12T00:00:00-05:00","2015-01-12","72.21","72.26","70.75","71.12","1337800",""
"ADBE","2015-01-13T00:00:00-05:00","2015-01-13","71.95","72.96","69.95","70.59","2103800",""
"ADBE","2015-01-14T00:00:00-05:00","2015-01-14","69.88","70.4","68.98","69.99","1927000",""
"ADBE","2015-01-15T00:00:00-05:00","2015-01-15","71.71","71.75","70.16","70.29","2839100",""
"ADBE","2015-01-16T00:00:00-05:00","2015-01-16","70.03","71.85","70.03","71.73","2375200",""
"ADBE","2015-01-20T00:00:00-05:00","2015-01-20","71.79","71.99","70.58","71.49","1612000",""
"ADBE","2015-01-21T00:00:00-05:00","2015-01-21","71.16","71.89","70.37","71.54","1787800",""
"ADBE","2015-01-22T00:00:00-05:00","2015-01-22","71.9","73.65","70.9","73.48","2178500",""
"ADBE","2015-01-23T00:00:00-05:00","2015-01-23","73.44","74.4","73.06","74.06","1851700",""
"ADBE","2015-01-26T00:00:00-05:00","2015-01-26","72.61","73.15","71.68","72.74","3593600",""
"ADBE","2015-01-27T00:00:00-05:00","2015-01-27","71.71","72.36","71.06","71.46","1798600",""
"ADBE","2015-01-28T00:00:00-05:00","2015-01-28","71.54","71.84","70.07","70.25","2281000",""
"ADBE","2015-01-29T00:00:00-05:00","2015-01-29","70","71.82","69.78","71.64","2538000",""
"ADBE","2015-01-30T00:00:00-05:00","2015-01-30","71.32","71.67","70.06","70.13","2331800",""
"ADBE","2015-02-02T00:00:00-05:00","2015-02-02","70.44","71.2","69.04","71.11","2381900",""
"ADBE","2015-02-03T00:00:00-05:00","2015-02-03","71.54","71.97","71","71.92","1555800",""
"ADBE","2015-02-04T00:00:00-05:00","2015-02-04","71.79","72.62","71.78","72.28","2165400",""
"ADBE","2015-02-05T00:00:00-05:00","2015-02-05","72.33","73.18","72.32","73.1","1438700",""
"ADBE","2015-02-06T00:00:00-05:00","2015-02-06","73.18","73.62","72.24","72.54","1367300",""
