symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ADI","2015-01-02T00:00:00-05:00","2015-01-02","51.84153","52.37223","51.18047","51.71118","1428046",""
"ADI","2015-01-05T00:00:00-05:00","2015-01-05","51.58083","51.62738","50.74287","50.7708","1552098",""
"ADI","2015-01-06T00:00:00-05:00","2015-01-06","50.95702","51.02219","49.5418","49.57904","1835323",""
"ADI","2015-01-07T00:00:00-05:00","2015-01-07","49.8025","50.39838","49.37421","50.10044","1850467",""
"ADI","2015-01-08T00:00:00-05:00","2015-01-08","50.64977","51.376","50.35183","50.98495","2022099",""
"ADI","2015-01-09T00:00:00-05:00","2015-01-09","51.17116","51.24565","50.38907","50.94771","1847567",""
"ADI","2015-01-12T00:00:00-05:00","2015-01-12","50.72425","50.97564","50.14699","50.43562","1343412",""
"ADI","2015-01-13T00:00:00-05:00","2015-01-13","50.91977","51.69255","49.59767","49.85836","2513366",""
"ADI","2015-01-14T00:00:00-05:00","2015-01-14","49.74664","50.70563","49.28111","49.82112","2711205",""
"ADI","2015-01-15T00:00:00-05:00","2015-01-15","49.99802","50.46355","49.03903","49.09489","2137666",""
"ADI","2015-01-16T00:00:00-05:00","2015-01-16","48.84351","50.05388","48.61074","49.98871","2145829",""
"ADI","2015-01-20T00:00:00-05:00","2015-01-20","50.45424","50.91977","49.97009","50.64045","1923073",""
"ADI","2015-01-21T00:00:00-05:00","2015-01-21","50.5008","51.08736","50.10975","50.81736","1702464",""
"ADI","2015-01-22T00:00:00-05:00","2015-01-22","50.93839","50.98495","49.55111","50.97564","2744930",""
"ADI","2015-01-23T00:00:00-05:00","2015-01-23","51.07805","51.17116","50.51942","50.75218","2083857",""
"ADI","2015-01-26T00:00:00-05:00","2015-01-26","50.88253","51.14323","50.29596","50.89184","1440398",""
"ADI","2015-01-27T00:00:00-05:00","2015-01-27","50.20285","50.37976","49.43938","49.69077","2108667",""
"ADI","2015-01-28T00:00:00-05:00","2015-01-28","50.09113","50.57528","49.188","49.27179","1812661",""
"ADI","2015-01-29T00:00:00-05:00","2015-01-29","48.81557","49.91423","48.81557","49.56042","1684635",""
"ADI","2015-01-30T00:00:00-05:00","2015-01-30","49.17869","49.68146","48.46177","48.50832","2071505",""
"ADI","2015-02-02T00:00:00-05:00","2015-02-02","48.50832","48.85282","47.75417","48.68523","2723771",""
"ADI","2015-02-03T00:00:00-05:00","2015-02-03","48.96454","50.31458","48.94592","50.24941","2378359",""
"ADI","2015-02-04T00:00:00-05:00","2015-02-04","49.94216","50.417","49.76526","50.07251","1575083",""
"ADI","2015-02-05T00:00:00-05:00","2015-02-05","50.09113","51.21771","49.81181","51.16185","2371056",""
"ADI","2015-02-06T00:00:00-05:00","2015-02-06","51.08736","52.03705","51.0315","51.21771","2059691",""
"ADI","2015-02-09T00:00:00-05:00","2015-02-09","50.93839","51.31082","50.64977","50.79874","1542862",""
"ADI","2015-02-10T00:00:00-05:00","2015-02-10","50.97564","51.76704","50.64045","51.71118","1346312",""
"ADI","2015-02-11T00:00:00-05:00","2015-02-11","51.70186","52.13947","51.43186","51.78566","976412",""
"ADI","2015-02-12T00:00:00-05:00","2015-02-12","52.47465","52.81914","52.09291","52.80983","1812231",""
"ADI","2015-02-13T00:00:00-05:00","2015-02-13","52.93087","53.29398","52.605","53.11708","1508814",""
"ADI","2015-02-17T00:00:00-05:00","2015-02-17","52.83776","54.8023","52.5212","54.75575","6105931",""
"ADI","2015-02-18T00:00:00-05:00","2015-02-18","54.37402","54.68126","53.16363","54.35539","4398419",""
"ADI","2015-02-19T00:00:00-05:00","2015-02-19","54.38332","54.6254","54.15987","54.60678","1973982",""
"ADI","2015-02-20T00:00:00-05:00","2015-02-20","54.57885","55.063","54.16918","55.05369","1525247",""
"ADI","2015-02-23T00:00:00-05:00","2015-02-23","54.8861","54.92334","54.3647","54.91403","1105619",""
"ADI","2015-02-24T00:00:00-05:00","2015-02-24","54.83955","55.53784","53.834","55.5006","2000619",""
"ADI","2015-02-25T00:00:00-05:00","2015-02-25","55.59433","55.66932","55.11628","55.29438","1435000",""
"ADI","2015-02-26T00:00:00-05:00","2015-02-26","55.36","55.50997","54.91944","55.19127","1783322",""
"ADI","2015-02-27T00:00:00-05:00","2015-02-27","55.27563","55.34125","54.84445","54.87257","1278175",""
"ADI","2015-03-02T00:00:00-05:00","2015-03-02","55.12566","56.03489","54.87257","56.03489","1977806",""
"ADI","2015-03-03T00:00:00-05:00","2015-03-03","55.54746","55.86617","54.77884","55.06004","1599933",""
"ADI","2015-03-04T00:00:00-05:00","2015-03-04","54.67573","55.0413","54.31016","54.74134","1106948",""
"ADI","2015-03-05T00:00:00-05:00","2015-03-05","54.89132","55.1819","54.53513","54.78821","1050832",""
"ADI","2015-03-06T00:00:00-05:00","2015-03-06","54.63824","54.90069","53.85086","54.30079","1689867",""
"ADI","2015-03-09T00:00:00-04:00","2015-03-09","54.33828","54.91944","54.33828","54.79758","1401074",""
"ADI","2015-03-10T00:00:00-04:00","2015-03-10","54.19768","54.46951","53.61652","53.61652","1473939",""
"ADI","2015-03-11T00:00:00-04:00","2015-03-11","53.82273","54.26329","53.52279","53.70088","1507331",""
"ADI","2015-03-12T00:00:00-04:00","2015-03-12","53.51341","53.93522","53.1291","53.9071","1078250",""
"ADI","2015-03-13T00:00:00-04:00","2015-03-13","53.81337","54.0852","53.24158","53.92585","1361602",""
"ADI","2015-03-16T00:00:00-04:00","2015-03-16","54.1883","55.14441","54.03833","55.10691","1458897",""
"ADI","2015-03-17T00:00:00-04:00","2015-03-17","54.76009","55.11628","54.44139","55.07879","1968951",""
"ADI","2015-03-18T00:00:00-04:00","2015-03-18","54.88195","56.138","54.6851","55.93178","3225256",""
"ADI","2015-03-19T00:00:00-04:00","2015-03-19","55.70681","56.35359","55.40686","56.2411","2906699",""
"ADI","2015-03-20T00:00:00-04:00","2015-03-20","56.5973","57.47841","56.19424","57.24407","4780489",""
"ADI","2015-03-23T00:00:00-04:00","2015-03-23","56.87851","57.26282","56.52231","56.61605","2323034",""
"ADI","2015-03-24T00:00:00-04:00","2015-03-24","56.49419","56.71915","56.2411","56.57855","2920781",""
"ADI","2015-03-25T00:00:00-04:00","2015-03-25","56.55981","56.55981","53.93522","53.95397","4019088",""
"ADI","2015-03-26T00:00:00-04:00","2015-03-26","53.35406","54.26329","52.74479","53.82273","3037600",""
