symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ADM","2015-01-02T00:00:00-05:00","2015-01-02","48.26881","48.63868","47.70475","48.10236","2205929",""
"ADM","2015-01-05T00:00:00-05:00","2015-01-05","47.57529","47.78797","46.216","46.43792","4139658",""
"ADM","2015-01-06T00:00:00-05:00","2015-01-06","46.65985","46.68759","45.25432","45.52248","5251058",""
"ADM","2015-01-07T00:00:00-05:00","2015-01-07","46.02181","46.47491","45.88311","46.20675","3081465",""
"ADM","2015-01-08T00:00:00-05:00","2015-01-08","45.57796","45.86461","44.88445","45.53173","8077952",""
"ADM","2015-01-09T00:00:00-05:00","2015-01-09","45.74441","45.94784","45.12486","45.14336","3993555",""
"ADM","2015-01-12T00:00:00-05:00","2015-01-12","45.3098","45.3098","44.36662","44.5793","4186809",""
"ADM","2015-01-13T00:00:00-05:00","2015-01-13","44.69026","45.38378","44.2649","44.64402","4795770",""
"ADM","2015-01-14T00:00:00-05:00","2015-01-14","44.07996","44.46833","43.32172","43.87653","4590404",""
"ADM","2015-01-15T00:00:00-05:00","2015-01-15","43.77482","44.17243","43.32172","43.65461","4605436",""
"ADM","2015-01-16T00:00:00-05:00","2015-01-16","43.54364","44.16319","43.36795","44.08921","3407845",""
"ADM","2015-01-20T00:00:00-05:00","2015-01-20","43.63611","43.89503","43.06281","43.64536","5796430",""
"ADM","2015-01-21T00:00:00-05:00","2015-01-21","43.55289","44.4221","43.3772","44.1077","4312365",""
"ADM","2015-01-22T00:00:00-05:00","2015-01-22","44.37587","44.81972","43.95051","44.45909","4918298",""
"ADM","2015-01-23T00:00:00-05:00","2015-01-23","44.30189","44.66252","43.97825","44.2649","3223567",""
"ADM","2015-01-26T00:00:00-05:00","2015-01-26","44.08921","44.86595","43.92277","44.65327","3404168",""
"ADM","2015-01-27T00:00:00-05:00","2015-01-27","44.34812","44.98616","44.15394","44.64402","3479437",""
"ADM","2015-01-28T00:00:00-05:00","2015-01-28","44.66252","44.93993","43.84879","43.91352","3544756",""
"ADM","2015-01-29T00:00:00-05:00","2015-01-29","43.9875","44.4221","43.35871","44.31113","3978523",""
"ADM","2015-01-30T00:00:00-05:00","2015-01-30","44.04298","44.25566","43.05356","43.11829","5847041",""
"ADM","2015-02-02T00:00:00-05:00","2015-02-02","43.33097","44.5608","43.20151","44.54231","7007106",""
"ADM","2015-02-03T00:00:00-05:00","2015-02-03","43.79331","45.21733","42.72992","45.08788","7686361",""
"ADM","2015-02-04T00:00:00-05:00","2015-02-04","44.75499","44.75499","42.41552","42.67444","9982915",""
"ADM","2015-02-05T00:00:00-05:00","2015-02-05","43.06281","45.05089","43.04431","45.0139","8631759",""
"ADM","2015-02-06T00:00:00-05:00","2015-02-06","45.03239","45.13411","43.88578","43.97825","3940889",""
"ADM","2015-02-09T00:00:00-05:00","2015-02-09","43.84879","44.16319","43.6731","43.81181","5002866",""
"ADM","2015-02-10T00:00:00-05:00","2015-02-10","44.30189","44.30189","43.65461","43.99674","3765262",""
"ADM","2015-02-11T00:00:00-05:00","2015-02-11","43.69159","43.88578","42.87786","43.38644","3992906",""
"ADM","2015-02-12T00:00:00-05:00","2015-02-12","43.53529","44.29808","43.48877","44.13064","5106202",""
"ADM","2015-02-13T00:00:00-05:00","2015-02-13","44.03762","44.87484","44.03762","44.7446","4380154",""
"ADM","2015-02-17T00:00:00-05:00","2015-02-17","44.78181","44.80972","44.11203","44.43762","3882434",""
"ADM","2015-02-18T00:00:00-05:00","2015-02-18","44.34459","44.7446","44.22367","44.38181","2916985",""
"ADM","2015-02-19T00:00:00-05:00","2015-02-19","44.18645","44.7446","44.10273","44.44692","2527301",""
"ADM","2015-02-20T00:00:00-05:00","2015-02-20","44.39111","44.83762","43.73994","44.79111","2907095",""
"ADM","2015-02-23T00:00:00-05:00","2015-02-23","44.88414","44.97716","44.60506","44.89344","2122030",""
"ADM","2015-02-24T00:00:00-05:00","2015-02-24","44.84693","45.39577","44.65158","45.25623","2600078",""
"ADM","2015-02-25T00:00:00-05:00","2015-02-25","45.20042","45.38647","44.57716","44.7446","3187775",""
"ADM","2015-02-26T00:00:00-05:00","2015-02-26","44.91204","44.92135","44.09343","44.23297","3161438",""
"ADM","2015-02-27T00:00:00-05:00","2015-02-27","44.17715","44.77251","44.17715","44.53995","3078126",""
"ADM","2015-03-02T00:00:00-05:00","2015-03-02","44.48413","44.54925","43.73994","44.51204","3982838",""
"ADM","2015-03-03T00:00:00-05:00","2015-03-03","44.31669","44.37251","43.73994","44.20506","3621964",""
"ADM","2015-03-04T00:00:00-05:00","2015-03-04","44.06552","44.12134","43.47017","43.79576","3675391",""
"ADM","2015-03-05T00:00:00-05:00","2015-03-05","44.00041","44.22367","43.37715","44.16785","5089755",""
"ADM","2015-03-06T00:00:00-05:00","2015-03-06","43.72134","43.93529","42.87482","43.02365","4168704",""
"ADM","2015-03-09T00:00:00-04:00","2015-03-09","42.98644","43.34924","42.56783","43.15389","2589651",""
"ADM","2015-03-10T00:00:00-04:00","2015-03-10","42.71667","42.98644","42.27946","42.34458","3546607",""
"ADM","2015-03-11T00:00:00-04:00","2015-03-11","42.49342","42.58644","42.00039","42.32597","3571009",""
"ADM","2015-03-12T00:00:00-04:00","2015-03-12","42.60505","43.45156","42.60505","43.38645","3813419",""
"ADM","2015-03-13T00:00:00-04:00","2015-03-13","43.18179","43.26551","42.45621","43.07016","3044049",""
"ADM","2015-03-16T00:00:00-04:00","2015-03-16","43.12598","43.31203","42.70737","43.24691","3130156",""
"ADM","2015-03-17T00:00:00-04:00","2015-03-17","43.07016","43.2097","42.64225","43.02365","3162943",""
"ADM","2015-03-18T00:00:00-04:00","2015-03-18","42.99575","44.09343","42.54923","43.87947","4611492",""
"ADM","2015-03-19T00:00:00-04:00","2015-03-19","43.76785","43.82366","42.84691","43.24691","3141766",""
"ADM","2015-03-20T00:00:00-04:00","2015-03-20","43.43296","44.19576","43.28412","43.67482","7217053",""
"ADM","2015-03-23T00:00:00-04:00","2015-03-23","43.78645","44.39111","43.78645","43.84227","5053205",""
"ADM","2015-03-24T00:00:00-04:00","2015-03-24","43.90738","44.29808","43.68412","43.68412","3404816",""
"ADM","2015-03-25T00:00:00-04:00","2015-03-25","43.87017","44.27018","43.42366","43.45156","3813634",""
"ADM","2015-03-26T00:00:00-04:00","2015-03-26","43.32133","43.76785","43.05156","43.07016","4088294",""
"ADM","2015-03-27T00:00:00-04:00","2015-03-27","43.23761","43.38645","42.94923","43.21901","4122264",""
"ADM","2015-03-30T00:00:00-04:00","2015-03-30","43.49807","44.29808","43.31203","44.11203","2983097",""
"ADM","2015-03-31T00:00:00-04:00","2015-03-31","43.77715","44.28878","43.71203","44.09343","5340443",""
"ADM","2015-04-01T00:00:00-04:00","2015-04-01","44.13995","44.37251","43.93529","44.12134","5960497",""
"ADM","2015-04-02T00:00:00-04:00","2015-04-02","44.15855","44.96786","44.03762","44.04692","6273642",""
