symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ADP","2015-01-02T00:00:00-05:00","2015-01-02","77.77699","78.90175","77.34583","78.06755","1997443",""
"ADP","2015-01-05T00:00:00-05:00","2015-01-05","78.03006","79.14545","77.74886","78.01131","3492165",""
"ADP","2015-01-06T00:00:00-05:00","2015-01-06","78.07693","78.48933","76.82095","77.36458","2741604",""
"ADP","2015-01-07T00:00:00-05:00","2015-01-07","77.06464","78.09567","76.67098","78.03944","2217971",""
"ADP","2015-01-08T00:00:00-05:00","2015-01-08","78.69554","79.83904","78.39561","79.82967","3583385",""
"ADP","2015-01-09T00:00:00-05:00","2015-01-09","79.7172","79.84842","78.83614","79.25792","1868776",""
"ADP","2015-01-12T00:00:00-05:00","2015-01-12","79.42663","79.70782","78.55494","78.86425","1414811",""
"ADP","2015-01-13T00:00:00-05:00","2015-01-13","79.48287","80.13898","78.06755","78.71429","2052709",""
"ADP","2015-01-14T00:00:00-05:00","2015-01-14","77.87072","78.72366","77.76762","78.48933","1912092",""
"ADP","2015-01-15T00:00:00-05:00","2015-01-15","78.72366","79.05171","78.10504","78.45184","1530783",""
"ADP","2015-01-16T00:00:00-05:00","2015-01-16","78.32062","79.3329","77.9457","79.26729","2412679",""
"ADP","2015-01-20T00:00:00-05:00","2015-01-20","79.51099","79.87653","78.5362","79.64221","1677268",""
"ADP","2015-01-21T00:00:00-05:00","2015-01-21","79.25792","79.81093","78.82676","79.25792","1845517",""
"ADP","2015-01-22T00:00:00-05:00","2015-01-22","79.67033","81.34809","78.73303","81.17938","2112455",""
"ADP","2015-01-23T00:00:00-05:00","2015-01-23","81.21687","81.71364","80.97318","81.40433","2227680",""
"ADP","2015-01-26T00:00:00-05:00","2015-01-26","80.91694","81.44183","80.1296","81.14188","1629684",""
"ADP","2015-01-27T00:00:00-05:00","2015-01-27","80.33581","81.02004","79.46413","80.26083","1810736",""
"ADP","2015-01-28T00:00:00-05:00","2015-01-28","80.47641","80.88882","79.16418","79.2298","2279851",""
"ADP","2015-01-29T00:00:00-05:00","2015-01-29","79.15482","79.50162","78.26438","79.06109","3167509",""
"ADP","2015-01-30T00:00:00-05:00","2015-01-30","78.69554","78.95798","77.29897","77.3552","4349310",""
"ADP","2015-02-02T00:00:00-05:00","2015-02-02","76.68972","78.26438","76.58662","78.20815","2998086",""
"ADP","2015-02-03T00:00:00-05:00","2015-02-03","78.87363","80.00776","78.27376","79.80155","3679619",""
"ADP","2015-02-04T00:00:00-05:00","2015-02-04","81.67615","81.71364","80.29832","81.15126","3903987",""
"ADP","2015-02-05T00:00:00-05:00","2015-02-05","81.01067","81.72301","80.50452","81.70426","2295214",""
"ADP","2015-02-06T00:00:00-05:00","2015-02-06","81.68552","81.87298","80.82321","81.02004","2551163",""
"ADP","2015-02-09T00:00:00-05:00","2015-02-09","80.617","81.0669","80.36393","80.617","1814577",""
"ADP","2015-02-10T00:00:00-05:00","2015-02-10","80.78571","81.3106","80.27957","81.09502","2722826",""
