symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ADS","2015-01-02T00:00:00-05:00","2015-01-02","286.0077","286.3148","279.8539","282.7871","360563",""
"ADS","2015-01-05T00:00:00-05:00","2015-01-05","283.9861","285.5717","277.4558","278.853","296079",""
"ADS","2015-01-06T00:00:00-05:00","2015-01-06","279.4476","280.4782","270.638","275.3054","487512",""
"ADS","2015-01-07T00:00:00-05:00","2015-01-07","278.2882","279.2197","275.8802","277.4162","304758",""
"ADS","2015-01-08T00:00:00-05:00","2015-01-08","284.0952","285.5221","280.4187","285.3239","365104",""
"ADS","2015-01-09T00:00:00-05:00","2015-01-09","285.3239","288.6139","283.9069","288.1184","387911",""
"ADS","2015-01-12T00:00:00-05:00","2015-01-12","288.0292","289.1193","286.9986","288.7229","604269",""
"ADS","2015-01-13T00:00:00-05:00","2015-01-13","290.5363","294.2326","282.252","284.9474","490842",""
"ADS","2015-01-14T00:00:00-05:00","2015-01-14","283.3321","285.2149","276.7324","278.8233","621020",""
"ADS","2015-01-15T00:00:00-05:00","2015-01-15","279.3981","284.3825","276.7225","277.1189","348151",""
"ADS","2015-01-16T00:00:00-05:00","2015-01-16","277.5251","287.3752","276.5144","286.9293","444119",""
"ADS","2015-01-20T00:00:00-05:00","2015-01-20","286.9887","291.1804","283.6195","290.6255","378425",""
"ADS","2015-01-21T00:00:00-05:00","2015-01-21","290.6156","294.401","289.5652","292.2507","547656",""
"ADS","2015-01-22T00:00:00-05:00","2015-01-22","292.3299","292.8155","287.286","291.7651","491549",""
"ADS","2015-01-23T00:00:00-05:00","2015-01-23","291.6858","297.2847","289.585","295.8379","434533",""
"ADS","2015-01-26T00:00:00-05:00","2015-01-26","294.6685","298.454","292.7858","297.9288","436753",""
"ADS","2015-01-27T00:00:00-05:00","2015-01-27","295.2631","296.7397","291.1507","292.0822","354306",""
"ADS","2015-01-28T00:00:00-05:00","2015-01-28","294.9559","294.9857","287.2563","287.4743","306776",""
"ADS","2015-01-29T00:00:00-05:00","2015-01-29","287.0878","290.2787","283.56","290.2787","331096",""
"ADS","2015-01-30T00:00:00-05:00","2015-01-30","287.9796","290.14","285.423","286.2158","401130",""
"ADS","2015-02-02T00:00:00-05:00","2015-02-02","286.7212","289.1093","278.9422","288.8814","511731",""
"ADS","2015-02-03T00:00:00-05:00","2015-02-03","290.1994","292.8749","287.9896","292.6074","368333",""
"ADS","2015-02-04T00:00:00-05:00","2015-02-04","291.1309","292.9146","285.2942","289.6742","862506",""
"ADS","2015-02-05T00:00:00-05:00","2015-02-05","286.2356","287.1076","266.4959","277.1982","1870126",""
"ADS","2015-02-06T00:00:00-05:00","2015-02-06","276.6531","277.3369","270.8164","271.9263","740704",""
"ADS","2015-02-09T00:00:00-05:00","2015-02-09","271.4506","273.4722","269.2111","270.6479","691256",""
"ADS","2015-02-10T00:00:00-05:00","2015-02-10","273.9478","277.6837","272.8281","276.9108","611938",""
"ADS","2015-02-11T00:00:00-05:00","2015-02-11","276.8216","278.8729","275.2757","277.1189","475302",""
