symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AEE","2015-01-02T00:00:00-05:00","2015-01-02","41.53674","41.60852","40.81888","41.26754","2849610",""
"AEE","2015-01-05T00:00:00-05:00","2015-01-05","41.25857","41.41111","40.65737","40.85477","2826430",""
"AEE","2015-01-06T00:00:00-05:00","2015-01-06","40.95348","41.56365","40.31639","40.3792","3280897",""
"AEE","2015-01-07T00:00:00-05:00","2015-01-07","40.3792","40.88169","40.21768","40.69326","3224506",""
"AEE","2015-01-08T00:00:00-05:00","2015-01-08","41.04321","41.16883","40.80094","40.83683","1855423",""
"AEE","2015-01-09T00:00:00-05:00","2015-01-09","40.85477","40.85477","40.19973","40.3792","1286949",""
"AEE","2015-01-12T00:00:00-05:00","2015-01-12","40.40612","40.52277","40.05616","40.21768","1095935",""
"AEE","2015-01-13T00:00:00-05:00","2015-01-13","40.49585","41.18678","40.25357","40.56763","2086780",""
"AEE","2015-01-14T00:00:00-05:00","2015-01-14","40.45098","41.01629","40.35228","40.94451","1477406",""
"AEE","2015-01-15T00:00:00-05:00","2015-01-15","41.04321","41.40214","40.82785","41.32138","1502481",""
"AEE","2015-01-16T00:00:00-05:00","2015-01-16","41.33932","41.78798","41.09705","41.76106","1106077",""
"AEE","2015-01-20T00:00:00-05:00","2015-01-20","41.95847","42.00334","40.98937","41.50982","2270439",""
"AEE","2015-01-21T00:00:00-05:00","2015-01-21","41.39317","41.75209","41.03424","41.68928","1529562",""
"AEE","2015-01-22T00:00:00-05:00","2015-01-22","41.85977","41.99437","41.24062","41.54571","1393155",""
"AEE","2015-01-23T00:00:00-05:00","2015-01-23","41.67133","41.97642","41.53674","41.57263","1114658",""
"AEE","2015-01-26T00:00:00-05:00","2015-01-26","41.37522","41.53674","41.02526","41.46495","1502481",""
"AEE","2015-01-27T00:00:00-05:00","2015-01-27","41.3483","41.87771","41.29446","41.46495","1360948",""
"AEE","2015-01-28T00:00:00-05:00","2015-01-28","41.43803","41.93155","40.81888","40.91759","1560320",""
"AEE","2015-01-29T00:00:00-05:00","2015-01-29","40.97142","41.82388","40.8458","41.73414","1256860",""
"AEE","2015-01-30T00:00:00-05:00","2015-01-30","41.52776","41.63544","40.57661","40.63044","2110740",""
"AEE","2015-02-02T00:00:00-05:00","2015-02-02","40.8458","40.97142","40.16384","40.7471","1773735",""
"AEE","2015-02-03T00:00:00-05:00","2015-02-03","40.68428","40.97142","40.55866","40.76505","2490205",""
"AEE","2015-02-04T00:00:00-05:00","2015-02-04","40.55866","40.80991","39.89465","40.00233","2171811",""
"AEE","2015-02-05T00:00:00-05:00","2015-02-05","40.18179","40.6125","40.00233","40.49585","1639780",""
"AEE","2015-02-06T00:00:00-05:00","2015-02-06","40.28049","40.28049","38.28845","38.48586","2204018",""
"AEE","2015-02-09T00:00:00-05:00","2015-02-09","38.56662","38.71019","37.47189","37.86671","3536103",""
"AEE","2015-02-10T00:00:00-05:00","2015-02-10","37.92953","38.93452","37.85774","38.88965","2308775",""
"AEE","2015-02-11T00:00:00-05:00","2015-02-11","38.62046","38.71917","38.08207","38.11796","2084216",""
"AEE","2015-02-12T00:00:00-05:00","2015-02-12","38.11796","38.38716","37.75904","38.27948","2336636",""
"AEE","2015-02-13T00:00:00-05:00","2015-02-13","38.10899","38.18975","36.9694","37.27449","2418881",""
"AEE","2015-02-17T00:00:00-05:00","2015-02-17","37.2027","37.9385","36.91556","37.39114","3023017",""
"AEE","2015-02-18T00:00:00-05:00","2015-02-18","37.44498","38.45894","37.29243","38.37819","1901560",""
"AEE","2015-02-19T00:00:00-05:00","2015-02-19","38.441","38.62046","37.92953","38.14488","1466373",""
"AEE","2015-02-20T00:00:00-05:00","2015-02-20","38.14488","38.58457","38.09105","38.55765","2993707",""
"AEE","2015-02-23T00:00:00-05:00","2015-02-23","38.52176","38.75505","38.28845","38.69224","2548156",""
"AEE","2015-02-24T00:00:00-05:00","2015-02-24","38.56662","39.04219","38.52176","38.5756","2846824",""
"AEE","2015-02-25T00:00:00-05:00","2015-02-25","38.79095","39.68826","38.55765","38.70122","3602746",""
"AEE","2015-02-26T00:00:00-05:00","2015-02-26","38.91657","39.03323","38.14488","38.16283","1813409",""
"AEE","2015-02-27T00:00:00-05:00","2015-02-27","38.22564","38.23462","37.89363","38.05515","2021808",""
"AEE","2015-03-02T00:00:00-05:00","2015-03-02","37.95644","38.05515","37.34627","37.85774","3298282",""
"AEE","2015-03-03T00:00:00-05:00","2015-03-03","37.94747","37.94747","37.35524","37.85774","1765154",""
