symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AGN","2015-01-02T00:00:00-05:00","2015-01-02","257.9529","259.9351","255.8121","256.823","2199784",""
"AGN","2015-01-05T00:00:00-05:00","2015-01-05","255.6436","256.9618","253.2352","254.4047","2432556",""
"AGN","2015-01-06T00:00:00-05:00","2015-01-06","254.8706","257.7249","250.7476","252.8983","2798010",""
"AGN","2015-01-07T00:00:00-05:00","2015-01-07","256.3275","265.5843","253.8299","262.8687","4431452",""
"AGN","2015-01-08T00:00:00-05:00","2015-01-08","265.614","267.6458","264.0977","266.5655","3004851",""
"AGN","2015-01-09T00:00:00-05:00","2015-01-09","268.2206","269.0829","264.623","266.288","2238630",""
"AGN","2015-01-12T00:00:00-05:00","2015-01-12","272.8392","273.295","267.398","269.856","3146714",""
"AGN","2015-01-13T00:00:00-05:00","2015-01-13","271.5606","273.7212","265.4059","267.4971","2937249",""
"AGN","2015-01-14T00:00:00-05:00","2015-01-14","263.7409","266.9818","262.1254","264.0481","1956518",""
"AGN","2015-01-15T00:00:00-05:00","2015-01-15","264.623","266.4664","260.7081","261.4019","2593388",""
"AGN","2015-01-16T00:00:00-05:00","2015-01-16","260.2621","266.8629","260.2027","266.2682","2117451",""
"AGN","2015-01-20T00:00:00-05:00","2015-01-20","266.6052","267.7548","263.4931","266.6151","2445168",""
"AGN","2015-01-21T00:00:00-05:00","2015-01-21","266.0601","274.4348","265.8123","273.3149","3657058",""
"AGN","2015-01-22T00:00:00-05:00","2015-01-22","273.4437","276.7342","271.1939","275.5349","2602469",""
"AGN","2015-01-23T00:00:00-05:00","2015-01-23","275.1781","277.7451","274.3456","276.635","2740901",""
"AGN","2015-01-26T00:00:00-05:00","2015-01-26","276.5161","282.5519","274.415","282.4825","2543544",""
"AGN","2015-01-27T00:00:00-05:00","2015-01-27","279.2317","281.0454","277.6063","277.7054","2673098",""
"AGN","2015-01-28T00:00:00-05:00","2015-01-28","279.8066","279.985","270.3218","271.4417","2226825",""
"AGN","2015-01-29T00:00:00-05:00","2015-01-29","272.6707","272.6707","266.8034","270.8173","2381098",""
"AGN","2015-01-30T00:00:00-05:00","2015-01-30","268.8054","270.5993","263.8102","264.1671","2772482",""
"AGN","2015-02-02T00:00:00-05:00","2015-02-02","266.0006","266.8529","259.6675","265.4059","2213102",""
"AGN","2015-02-03T00:00:00-05:00","2015-02-03","265.842","266.4168","261.0352","265.9609","2063874",""
"AGN","2015-02-04T00:00:00-05:00","2015-02-04","265.069","266.0105","262.1254","263.8598","1900519",""
"AGN","2015-02-05T00:00:00-05:00","2015-02-05","264.613","274.187","264.2959","272.2247","4323693",""
"AGN","2015-02-06T00:00:00-05:00","2015-02-06","271.739","276.1692","268.5081","274.0879","2780050",""
"AGN","2015-02-09T00:00:00-05:00","2015-02-09","272.9977","274.2664","269.0432","269.8857","1951372",""
"AGN","2015-02-10T00:00:00-05:00","2015-02-10","272.3436","277.2694","270.3515","276.6549","2429025",""
"AGN","2015-02-11T00:00:00-05:00","2015-02-11","276.6648","279.4993","272.5517","275.0394","2109278",""
"AGN","2015-02-12T00:00:00-05:00","2015-02-12","277.6856","279.2416","274.2862","279.1524","1540615",""
"AGN","2015-02-13T00:00:00-05:00","2015-02-13","278.3398","284.5638","276.7936","282.8294","2255883",""
"AGN","2015-02-17T00:00:00-05:00","2015-02-17","284.9702","286.2289","281.4815","284.3458","2876408",""
"AGN","2015-02-18T00:00:00-05:00","2015-02-18","286.5559","287.101","275.198","281.4716","5015350",""
"AGN","2015-02-19T00:00:00-05:00","2015-02-19","279.1624","288.6372","279.0038","286.8632","5210488",""
"AGN","2015-02-20T00:00:00-05:00","2015-02-20","287.4182","294.1279","286.6352","293.1368","3444969",""
"AGN","2015-02-23T00:00:00-05:00","2015-02-23","293.6918","294.1081","288.4093","289.8464","2804770",""
