symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AIG","2015-01-02T00:00:00-05:00","2015-01-02","53.70833","53.77483","52.96726","53.30929","6960532",""
"AIG","2015-01-05T00:00:00-05:00","2015-01-05","52.90076","53.08127","51.99817","52.2547","10634202",""
"AIG","2015-01-06T00:00:00-05:00","2015-01-06","52.00768","52.13118","51.05759","51.51363","16215700",""
"AIG","2015-01-07T00:00:00-05:00","2015-01-07","51.79866","51.99817","51.46613","51.76065","9222224",""
"AIG","2015-01-08T00:00:00-05:00","2015-01-08","51.70365","51.94117","51.1716","51.53263","13752764",""
"AIG","2015-01-09T00:00:00-05:00","2015-01-09","51.49463","51.58014","50.31652","50.65855","7239033",""
"AIG","2015-01-12T00:00:00-05:00","2015-01-12","50.48754","50.56355","49.53745","49.74647","8541022",""
"AIG","2015-01-13T00:00:00-05:00","2015-01-13","49.97449","50.38303","48.34035","49.28093","14779934",""
"AIG","2015-01-14T00:00:00-05:00","2015-01-14","48.48286","48.87239","47.95081","48.81539","12885789",""
"AIG","2015-01-15T00:00:00-05:00","2015-01-15","48.81539","48.9674","47.8558","47.8843","8479238",""
"AIG","2015-01-16T00:00:00-05:00","2015-01-16","47.73229","48.58737","47.55177","48.55886","8508814",""
"AIG","2015-01-20T00:00:00-05:00","2015-01-20","48.75838","48.9294","47.7798","48.12183","8728373",""
"AIG","2015-01-21T00:00:00-05:00","2015-01-21","47.93181","48.53986","47.55177","48.29284","7608053",""
"AIG","2015-01-22T00:00:00-05:00","2015-01-22","48.72038","49.71797","48.32134","49.67046","12472668",""
"AIG","2015-01-23T00:00:00-05:00","2015-01-23","49.63246","49.74647","48.9199","48.9389","5512873",""
"AIG","2015-01-26T00:00:00-05:00","2015-01-26","48.69188","48.9959","48.45436","48.65387","12797902",""
"AIG","2015-01-27T00:00:00-05:00","2015-01-27","48.20734","48.38785","47.73229","47.95081","8669115",""
"AIG","2015-01-28T00:00:00-05:00","2015-01-28","48.30234","48.30234","46.7252","46.7537","12102807",""
"AIG","2015-01-29T00:00:00-05:00","2015-01-29","46.90572","47.21925","46.25016","46.8012","13051564",""
"AIG","2015-01-30T00:00:00-05:00","2015-01-30","46.44017","47.14324","46.31666","46.43067","11828831",""
"AIG","2015-02-02T00:00:00-05:00","2015-02-02","46.57318","48.07432","46.56368","47.94131","12636443",""
"AIG","2015-02-03T00:00:00-05:00","2015-02-03","48.26434","48.82489","48.07432","48.76789","9967630",""
"AIG","2015-02-04T00:00:00-05:00","2015-02-04","48.52086","49.31893","48.50186","48.9389","10832710",""
"AIG","2015-02-05T00:00:00-05:00","2015-02-05","48.59687","49.28093","48.59687","49.04341","6699819",""
"AIG","2015-02-06T00:00:00-05:00","2015-02-06","49.35694","49.92699","49.35694","49.49945","10537684",""
"AIG","2015-02-09T00:00:00-05:00","2015-02-09","49.09091","49.85098","48.9484","49.53745","7466486",""
"AIG","2015-02-10T00:00:00-05:00","2015-02-10","49.90799","50.13601","49.36644","49.79398","5873998",""
"AIG","2015-02-11T00:00:00-05:00","2015-02-11","49.70847","49.74647","49.10991","49.64196","7873187",""
"AIG","2015-02-12T00:00:00-05:00","2015-02-12","49.69897","50.06","49.48045","49.83198","9812171",""
"AIG","2015-02-13T00:00:00-05:00","2015-02-13","48.60637","51.43762","48.59687","51.26661","20933382",""
"AIG","2015-02-17T00:00:00-05:00","2015-02-17","51.39012","52.50172","51.31411","52.2452","16501569",""
"AIG","2015-02-18T00:00:00-05:00","2015-02-18","51.98867","52.3497","51.86516","51.97917","9498199",""
"AIG","2015-02-19T00:00:00-05:00","2015-02-19","51.93167","52.49222","51.81766","52.23569","8497868",""
"AIG","2015-02-20T00:00:00-05:00","2015-02-20","52.12169","52.60623","51.67514","52.46372","13096191",""
"AIG","2015-02-23T00:00:00-05:00","2015-02-23","52.44471","52.44471","51.67514","51.84616","12216270",""
"AIG","2015-02-24T00:00:00-05:00","2015-02-24","51.79866","52.58723","51.79866","52.2927","8256626",""
"AIG","2015-02-25T00:00:00-05:00","2015-02-25","52.02668","52.35921","51.97917","52.06468","6131554",""
"AIG","2015-02-26T00:00:00-05:00","2015-02-26","52.04568","52.35921","51.95067","52.18819","6940534",""
"AIG","2015-02-27T00:00:00-05:00","2015-02-27","52.2072","52.83425","52.10268","52.56823","15820894",""
"AIG","2015-03-02T00:00:00-05:00","2015-03-02","52.43521","52.87225","52.2927","52.87225","7666574",""
"AIG","2015-03-03T00:00:00-05:00","2015-03-03","52.56823","52.94826","52.49222","52.80575","6263542",""
"AIG","2015-03-04T00:00:00-05:00","2015-03-04","52.53022","52.73924","52.2262","52.61573","6375742",""
"AIG","2015-03-05T00:00:00-05:00","2015-03-05","52.78675","52.89125","52.44471","52.83425","5909890",""
"AIG","2015-03-06T00:00:00-05:00","2015-03-06","52.96726","53.62282","52.81525","53.20478","12083124",""
"AIG","2015-03-09T00:00:00-04:00","2015-03-09","53.07177","53.4138","52.84375","53.30929","12778430",""
"AIG","2015-03-10T00:00:00-04:00","2015-03-10","52.78082","52.78082","51.81909","51.81909","15242173",""
"AIG","2015-03-11T00:00:00-04:00","2015-03-11","51.80005","52.40946","51.73339","52.10475","6980417",""
"AIG","2015-03-12T00:00:00-04:00","2015-03-12","52.33328","52.99983","52.27615","52.94269","6182691",""
"AIG","2015-03-13T00:00:00-04:00","2015-03-13","52.74273","52.94269","52.19045","52.65703","6833810",""
"AIG","2015-03-16T00:00:00-04:00","2015-03-16","52.97126","53.4188","52.84747","53.25692","6220183",""
"AIG","2015-03-17T00:00:00-04:00","2015-03-17","52.81891","53.40928","52.52372","53.13314","5961625",""
"AIG","2015-03-18T00:00:00-04:00","2015-03-18","53.03791","53.9806","52.65703","53.7235","8913085",""
"AIG","2015-03-19T00:00:00-04:00","2015-03-19","53.71398","53.71398","52.71416","52.99031","6480525",""
"AIG","2015-03-20T00:00:00-04:00","2015-03-20","53.14266","53.51402","53.00935","53.26644","12245555",""
"AIG","2015-03-23T00:00:00-04:00","2015-03-23","53.31406","53.79968","53.16171","53.16171","6079037",""
"AIG","2015-03-24T00:00:00-04:00","2015-03-24","52.90461","53.2474","52.72369","52.72369","5612016",""
"AIG","2015-03-25T00:00:00-04:00","2015-03-25","52.69512","52.72369","51.91431","51.91431","7312067",""
"AIG","2015-03-26T00:00:00-04:00","2015-03-26","51.781","51.94287","51.54295","51.58104","9330327",""
"AIG","2015-03-27T00:00:00-04:00","2015-03-27","51.89527","51.89527","51.34299","51.44773","6778360",""
"AIG","2015-03-30T00:00:00-04:00","2015-03-30","51.65722","52.18093","51.65722","52.06667","6060028",""
"AIG","2015-03-31T00:00:00-04:00","2015-03-31","51.80957","52.47611","51.61913","52.17141","7796731",""
"AIG","2015-04-01T00:00:00-04:00","2015-04-01","52.00001","52.39042","51.63817","52.19045","7541534",""
"AIG","2015-04-02T00:00:00-04:00","2015-04-02","52.0381","52.59038","51.80957","52.50468","5623358",""
"AIG","2015-04-06T00:00:00-04:00","2015-04-06","51.88575","52.90461","51.76196","52.77129","4872261",""
"AIG","2015-04-07T00:00:00-04:00","2015-04-07","52.62847","52.95222","52.32376","52.35233","5101098",""
"AIG","2015-04-08T00:00:00-04:00","2015-04-08","52.31424","53.06648","52.28567","52.79987","6130601",""
"AIG","2015-04-09T00:00:00-04:00","2015-04-09","52.75225","53.77111","52.70464","53.59972","6978841",""
"AIG","2015-04-10T00:00:00-04:00","2015-04-10","53.49498","53.99012","53.44736","53.88538","5243714",""
"AIG","2015-04-13T00:00:00-04:00","2015-04-13","53.8092","55.02803","53.67589","54.7138","9245786",""
"AIG","2015-04-14T00:00:00-04:00","2015-04-14","54.58049","54.99946","54.18056","54.75189","6832130",""
"AIG","2015-04-15T00:00:00-04:00","2015-04-15","54.98994","55.78979","54.80902","55.48509","7655690",""
"AIG","2015-04-16T00:00:00-04:00","2015-04-16","55.57079","55.9231","55.35178","55.38034","7688981",""
"AIG","2015-04-17T00:00:00-04:00","2015-04-17","54.98994","55.33273","54.33292","54.68523","7964447",""
"AIG","2015-04-20T00:00:00-04:00","2015-04-20","55.04707","55.14229","54.64714","54.76141","4957117",""
"AIG","2015-04-21T00:00:00-04:00","2015-04-21","54.83759","54.92328","53.79016","53.93299","8578074",""
"AIG","2015-04-22T00:00:00-04:00","2015-04-22","54.13295","54.18056","53.51402","53.87586","10843129",""
"AIG","2015-04-23T00:00:00-04:00","2015-04-23","53.81873","54.07582","53.55211","54.03773","10174576",""
"AIG","2015-04-24T00:00:00-04:00","2015-04-24","54.371","54.43766","54.13295","54.26626","6189937",""
"AIG","2015-04-27T00:00:00-04:00","2015-04-27","54.19009","54.60905","54.08534","54.27578","8165243",""
"AIG","2015-04-28T00:00:00-04:00","2015-04-28","53.91394","54.44718","53.8949","54.08534","9257023",""
"AIG","2015-04-29T00:00:00-04:00","2015-04-29","53.91394","54.18056","53.66637","53.94251","10717106",""
"AIG","2015-04-30T00:00:00-04:00","2015-04-30","53.59019","54.00917","53.25692","53.59972","7657371",""
"AIG","2015-05-01T00:00:00-04:00","2015-05-01","54.22817","55.25655","54.08534","54.98042","14074570",""
"AIG","2015-05-04T00:00:00-04:00","2015-05-04","55.22799","55.666","55.20895","55.41843","5563918",""
"AIG","2015-05-05T00:00:00-04:00","2015-05-05","55.24704","55.75171","55.12325","55.22799","7863523",""
"AIG","2015-05-06T00:00:00-04:00","2015-05-06","55.58983","55.86597","54.96137","55.37082","7111586",""
"AIG","2015-05-07T00:00:00-04:00","2015-05-07","55.38034","56.6563","55.05659","56.15163","8904894",""
"AIG","2015-05-08T00:00:00-04:00","2015-05-08","56.59917","56.93244","56.2659","56.81817","7166616",""
"AIG","2015-05-11T00:00:00-04:00","2015-05-11","56.81817","57.01814","56.32303","56.37064","8879584",""
"AIG","2015-05-12T00:00:00-04:00","2015-05-12","55.93262","56.16115","55.59935","55.95167","7636682",""
"AIG","2015-05-13T00:00:00-04:00","2015-05-13","55.76123","56.10402","55.64696","55.93262","5448711",""
"AIG","2015-05-14T00:00:00-04:00","2015-05-14","56.1802","56.38016","55.91358","56.15163","4154455",""
"AIG","2015-05-15T00:00:00-04:00","2015-05-15","56.20876","56.23733","55.37082","55.57079","7810594",""
"AIG","2015-05-18T00:00:00-04:00","2015-05-18","55.666","56.20876","55.58031","56.07545","5139850",""
"AIG","2015-05-19T00:00:00-04:00","2015-05-19","56.19924","56.71343","55.96119","56.5706","5719451",""
"AIG","2015-05-20T00:00:00-04:00","2015-05-20","56.58965","57.2181","56.11354","57.09431","6886214",""
"AIG","2015-05-21T00:00:00-04:00","2015-05-21","57.06575","57.79895","56.98957","57.34189","7081445",""
"AIG","2015-05-22T00:00:00-04:00","2015-05-22","57.25619","57.57994","56.95148","57.01814","4806939",""
"AIG","2015-05-26T00:00:00-04:00","2015-05-26","56.90387","56.94196","56.24685","56.3992","5307776",""
"AIG","2015-05-27T00:00:00-04:00","2015-05-27","56.44682","56.73248","56.35159","56.55156","6770483",""
"AIG","2015-05-28T00:00:00-04:00","2015-05-28","56.46586","56.66582","55.93262","56.60869","4326266",""
"AIG","2015-05-29T00:00:00-04:00","2015-05-29","56.52299","56.56108","55.75171","55.80884","7159895",""
"AIG","2015-06-01T00:00:00-04:00","2015-06-01","56.0945","56.1802","55.54222","55.87549","6918560",""
"AIG","2015-06-02T00:00:00-04:00","2015-06-02","56.08498","57.18001","55.8374","56.8277","9479664",""
"AIG","2015-06-03T00:00:00-04:00","2015-06-03","56.98005","58.35123","56.78961","58.18935","13062079",""
"AIG","2015-06-04T00:00:00-04:00","2015-06-04","57.77038","58.11317","57.57994","57.71325","8754086",""
"AIG","2015-06-05T00:00:00-04:00","2015-06-05","58.22744","58.38932","57.53233","57.60851","6696655",""
"AIG","2015-06-08T00:00:00-04:00","2015-06-08","57.60851","57.68468","56.78009","56.80865","8907835",""
"AIG","2015-06-09T00:00:00-04:00","2015-06-09","56.7848","57.57679","56.6035","57.24282","7574150",""
"AIG","2015-06-10T00:00:00-04:00","2015-06-10","57.50045","58.95084","57.36686","58.85543","11438096",""
"AIG","2015-06-11T00:00:00-04:00","2015-06-11","58.86497","59.3707","58.75046","59.15123","8732182",""
"AIG","2015-06-12T00:00:00-04:00","2015-06-12","58.98901","59.16077","58.66459","59.05581","7363714",""
"AIG","2015-06-15T00:00:00-04:00","2015-06-15","58.49282","60.78292","58.3497","59.70467","20814268",""
"AIG","2015-06-16T00:00:00-04:00","2015-06-16","59.36115","59.68559","58.96993","59.14169","11385382",""
"AIG","2015-06-17T00:00:00-04:00","2015-06-17","59.38978","59.50429","58.75046","59.02718","7552981",""
"AIG","2015-06-18T00:00:00-04:00","2015-06-18","59.43749","59.52337","58.9413","59.43749","9336244",""
"AIG","2015-06-19T00:00:00-04:00","2015-06-19","59.23711","59.38024","58.67413","58.99856","16868160",""
"AIG","2015-06-22T00:00:00-04:00","2015-06-22","59.47566","59.87643","59.30391","59.71421","7534641",""
"AIG","2015-06-23T00:00:00-04:00","2015-06-23","60.23903","60.52529","59.89551","60.42032","9585456",""
"AIG","2015-06-24T00:00:00-04:00","2015-06-24","60.24857","60.44895","59.93368","60.03864","6354498",""
"AIG","2015-06-25T00:00:00-04:00","2015-06-25","59.99093","60.32491","59.57108","59.57108","7217624",""
"AIG","2015-06-26T00:00:00-04:00","2015-06-26","59.89551","60.08635","59.63787","59.85734","7143426",""
"AIG","2015-06-29T00:00:00-04:00","2015-06-29","58.90314","59.69513","58.70275","58.76955","9184076",""
"AIG","2015-06-30T00:00:00-04:00","2015-06-30","59.38978","59.59016","58.70275","58.98901","7932459",""
"AIG","2015-07-01T00:00:00-04:00","2015-07-01","59.88597","60.05772","59.19894","59.49474","6239323",""
"AIG","2015-07-02T00:00:00-04:00","2015-07-02","59.60925","59.72375","59.07489","59.23711","6784594",""
"AIG","2015-07-06T00:00:00-04:00","2015-07-06","58.66459","59.26574","58.41649","59.01764","7404690",""
"AIG","2015-07-07T00:00:00-04:00","2015-07-07","59.01764","59.42795","58.06343","59.36115","7917682",""
"AIG","2015-07-08T00:00:00-04:00","2015-07-08","59.04627","59.17986","58.13977","58.35924","6338883",""
"AIG","2015-07-09T00:00:00-04:00","2015-07-09","59.02718","59.31345","58.80772","58.93176","6325049",""
"AIG","2015-07-10T00:00:00-04:00","2015-07-10","59.88597","60.2104","59.41841","59.75238","4404709",""
"AIG","2015-07-13T00:00:00-04:00","2015-07-13","60.19131","60.54437","60.00047","60.47758","4755681",""
"AIG","2015-07-14T00:00:00-04:00","2015-07-14","60.51574","60.94514","60.26765","60.65887","6977738",""
"AIG","2015-07-15T00:00:00-04:00","2015-07-15","60.94514","61.43178","60.47758","61.09781","5804512",""
"AIG","2015-07-16T00:00:00-04:00","2015-07-16","61.54629","61.54629","60.8688","61.22186","5428911",""
"AIG","2015-07-17T00:00:00-04:00","2015-07-17","61.1169","61.26002","60.71613","61.1169","5579508",""
"AIG","2015-07-20T00:00:00-04:00","2015-07-20","61.26957","61.29819","60.97376","61.10735","5162407",""
"AIG","2015-07-21T00:00:00-04:00","2015-07-21","61.12643","61.33636","60.77338","61.06918","5805140",""
"AIG","2015-07-22T00:00:00-04:00","2015-07-22","60.97376","61.72759","60.82109","61.58445","5408685",""
"AIG","2015-07-23T00:00:00-04:00","2015-07-23","61.6417","61.9566","61.10735","61.20277","5146897",""
"AIG","2015-07-24T00:00:00-04:00","2015-07-24","61.25048","61.40315","60.65887","60.72567","4682951",""
"AIG","2015-07-27T00:00:00-04:00","2015-07-27","60.30582","60.49666","59.78101","60.34399","7405948",""
"AIG","2015-07-28T00:00:00-04:00","2015-07-28","60.76384","61.05964","60.34399","60.74475","7074049",""
"AIG","2015-07-29T00:00:00-04:00","2015-07-29","60.83063","61.7753","60.7543","61.58445","6486230",""
"AIG","2015-07-30T00:00:00-04:00","2015-07-30","61.46995","61.6417","61.21231","61.57491","5549954",""
"AIG","2015-07-31T00:00:00-04:00","2015-07-31","61.6417","61.75621","61.14552","61.18369","7615756",""
"AIG","2015-08-03T00:00:00-04:00","2015-08-03","61.28865","61.61308","60.88789","61.21231","8027512",""
"AIG","2015-08-04T00:00:00-04:00","2015-08-04","60.78292","60.78292","57.5577","59.4852","27957694",""
"AIG","2015-08-05T00:00:00-04:00","2015-08-05","59.89551","60.31536","59.73329","60.07681","13500963",""
"AIG","2015-08-06T00:00:00-04:00","2015-08-06","60.09589","60.70658","59.99093","60.13406","10983373",""
"AIG","2015-08-07T00:00:00-04:00","2015-08-07","60.18177","60.56345","60.08635","60.48712","6071645",""
"AIG","2015-08-10T00:00:00-04:00","2015-08-10","61.01193","61.74667","61.01193","61.05964","8862028",""
"AIG","2015-08-11T00:00:00-04:00","2015-08-11","60.12452","60.6207","60.10544","60.41078","7383311",""
"AIG","2015-08-12T00:00:00-04:00","2015-08-12","59.73329","60.6207","58.70275","60.36307","10191825",""
"AIG","2015-08-13T00:00:00-04:00","2015-08-13","60.28674","60.89743","60.25811","60.34399","4512338",""
"AIG","2015-08-14T00:00:00-04:00","2015-08-14","60.13406","61.32682","60.04818","61.30774","6020084",""
"AIG","2015-08-17T00:00:00-04:00","2015-08-17","60.89743","61.54629","60.64933","61.35545","5204012",""
"AIG","2015-08-18T00:00:00-04:00","2015-08-18","61.2314","61.40315","60.6207","60.79246","7069333",""
"AIG","2015-08-19T00:00:00-04:00","2015-08-19","60.40124","60.5062","59.93368","60.03864","9356470",""
"AIG","2015-08-20T00:00:00-04:00","2015-08-20","59.47566","59.81917","58.86497","58.88405","8801768",""
"AIG","2015-08-21T00:00:00-04:00","2015-08-21","58.22565","58.56916","56.9661","56.99472","13681532",""
"AIG","2015-08-24T00:00:00-04:00","2015-08-24","51.73705","56.19319","51.52712","54.33249","21005004",""
"AIG","2015-08-25T00:00:00-04:00","2015-08-25","56.07869","56.38403","53.96989","54.04623","12946156",""
"AIG","2015-08-26T00:00:00-04:00","2015-08-26","56.44128","56.88022","54.68555","56.45082","14255203",""
"AIG","2015-08-27T00:00:00-04:00","2015-08-27","57.09015","58.35924","56.66075","58.31153","10275769",""
"AIG","2015-08-28T00:00:00-04:00","2015-08-28","57.70084","58.26382","57.53862","58.20657","6627185",""
"AIG","2015-08-31T00:00:00-04:00","2015-08-31","57.95847","58.07298","57.47182","57.57679","9841586",""
"AIG","2015-09-01T00:00:00-04:00","2015-09-01","56.26953","56.68938","55.63975","56.04052","10152315",""
"AIG","2015-09-02T00:00:00-04:00","2015-09-02","56.7848","56.7848","55.66838","56.39357","10074240",""
"AIG","2015-09-03T00:00:00-04:00","2015-09-03","56.66075","57.33824","56.55579","56.72755","9031593",""
"AIG","2015-09-04T00:00:00-04:00","2015-09-04","55.86876","56.13594","55.24853","55.42028","8377227",""
"AIG","2015-09-08T00:00:00-04:00","2015-09-08","56.25998","56.59396","55.71609","56.52716","7432776",""
"AIG","2015-09-09T00:00:00-04:00","2015-09-09","57.06152","57.13786","55.73517","55.84967","6553407",""
"AIG","2015-09-10T00:00:00-04:00","2015-09-10","55.62915","56.12773","55.49493","55.82092","7241294",""
"AIG","2015-09-11T00:00:00-04:00","2015-09-11","55.31275","55.93597","55.2744","55.92638","7600495",""
"AIG","2015-09-14T00:00:00-04:00","2015-09-14","55.85926","55.86885","55.22646","55.60998","7463552",""
"AIG","2015-09-15T00:00:00-04:00","2015-09-15","55.8305","56.43454","55.5908","56.2332","5858930",""
"AIG","2015-09-16T00:00:00-04:00","2015-09-16","56.24278","56.67424","56.10855","56.47289","6362793",""
"AIG","2015-09-17T00:00:00-04:00","2015-09-17","56.60712","57.02899","55.92638","56.02226","6691853",""
"AIG","2015-09-18T00:00:00-04:00","2015-09-18","55.13058","55.67709","54.75665","55.39904","18927030",""
"AIG","2015-09-21T00:00:00-04:00","2015-09-21","55.74421","56.12773","55.45657","55.63874","5452690",""
"AIG","2015-09-22T00:00:00-04:00","2015-09-22","54.89088","55.14976","54.55531","54.91965","8196870",""
"AIG","2015-09-23T00:00:00-04:00","2015-09-23","54.81418","55.16893","54.49778","54.74706","5285918",""
"AIG","2015-09-24T00:00:00-04:00","2015-09-24","54.12385","54.72789","53.98003","54.55531","6086717",""
"AIG","2015-09-25T00:00:00-04:00","2015-09-25","55.48534","55.60039","54.83335","55.16893","5523717",""
"AIG","2015-09-28T00:00:00-04:00","2015-09-28","54.86212","54.91965","53.16506","53.36641","10225776",""
"AIG","2015-09-29T00:00:00-04:00","2015-09-29","53.51022","53.78827","53.02124","53.42393","5957179",""
"AIG","2015-09-30T00:00:00-04:00","2015-09-30","54.21014","54.48819","53.74033","54.4786","7730868",""
"AIG","2015-10-01T00:00:00-04:00","2015-10-01","54.83335","54.86212","53.74992","54.57448","7185807",""
"AIG","2015-10-02T00:00:00-04:00","2015-10-02","53.05959","54.84295","52.96371","54.83335","8225761",""
"AIG","2015-10-05T00:00:00-04:00","2015-10-05","55.15934","55.93597","55.15934","55.87844","6900657",""
"AIG","2015-10-06T00:00:00-04:00","2015-10-06","55.60998","55.96473","55.21687","55.30317","6823685",""
"AIG","2015-10-07T00:00:00-04:00","2015-10-07","55.68668","56.15649","54.91965","55.4374","8187483",""
"AIG","2015-10-08T00:00:00-04:00","2015-10-08","55.26481","55.84968","54.94841","55.84009","6167547",""
"AIG","2015-10-09T00:00:00-04:00","2015-10-09","55.85926","56.03185","55.41822","55.79215","8098100",""
"AIG","2015-10-12T00:00:00-04:00","2015-10-12","55.7538","56.26196","55.64833","56.26196","5176614",""
"AIG","2015-10-13T00:00:00-04:00","2015-10-13","55.77297","56.69342","55.7538","56.27155","6965426",""
"AIG","2015-10-14T00:00:00-04:00","2015-10-14","56.44413","56.44413","55.58121","55.63874","7303768",""
"AIG","2015-10-15T00:00:00-04:00","2015-10-15","55.9935","56.7893","55.58121","56.75094","4916078",""
"AIG","2015-10-16T00:00:00-04:00","2015-10-16","57.07693","57.54674","56.95229","57.52757","5703214",""
"AIG","2015-10-19T00:00:00-04:00","2015-10-19","57.43169","57.59468","57.14405","57.52757","8101751",""
"AIG","2015-10-20T00:00:00-04:00","2015-10-20","57.70974","57.99738","57.44127","57.78644","5417229",""
"AIG","2015-10-21T00:00:00-04:00","2015-10-21","57.98779","58.44801","57.67139","57.74809","5447267",""
"AIG","2015-10-22T00:00:00-04:00","2015-10-22","58.03572","58.64935","58.01655","58.24666","7852479",""
"AIG","2015-10-23T00:00:00-04:00","2015-10-23","58.67812","58.86988","58.33295","58.75482","6953014",""
"AIG","2015-10-26T00:00:00-04:00","2015-10-26","58.75482","58.84111","58.42883","58.63976","3341389",""
"AIG","2015-10-27T00:00:00-04:00","2015-10-27","58.17954","58.47677","57.92067","58.40965","5991493",""
"AIG","2015-10-28T00:00:00-04:00","2015-10-28","60.36559","61.29562","59.71361","61.25727","22640556",""
"AIG","2015-10-29T00:00:00-04:00","2015-10-29","61.2285","61.36274","60.4327","60.87375","7265073",""
"AIG","2015-10-30T00:00:00-04:00","2015-10-30","60.87375","61.0751","60.46147","60.46147","9467635",""
"AIG","2015-11-02T00:00:00-05:00","2015-11-02","60.82581","61.55449","60.57653","61.11345","11431355",""
"AIG","2015-11-03T00:00:00-05:00","2015-11-03","58.63976","58.95617","58.00696","58.44801","33348188",""
"AIG","2015-11-04T00:00:00-05:00","2015-11-04","58.16037","58.48636","57.19199","58.2946","23466282",""
"AIG","2015-11-05T00:00:00-05:00","2015-11-05","58.17954","59.5602","58.12202","59.44515","11414041",""
"AIG","2015-11-06T00:00:00-05:00","2015-11-06","60.71076","60.77787","59.26298","59.37804","11024593",""
"AIG","2015-11-09T00:00:00-05:00","2015-11-09","59.30133","59.34927","58.44801","58.6877","8416417",""
"AIG","2015-11-10T00:00:00-05:00","2015-11-10","58.52471","58.89864","58.39048","58.82193","5099433",""
"AIG","2015-11-11T00:00:00-05:00","2015-11-11","59.01369","59.06163","58.15078","58.16995","7363635",""
"AIG","2015-11-12T00:00:00-05:00","2015-11-12","57.99738","58.06449","56.92352","56.93311","8411620",""
"AIG","2015-11-13T00:00:00-05:00","2015-11-13","56.83723","57.54674","56.60712","56.866","8290113",""
"AIG","2015-11-16T00:00:00-05:00","2015-11-16","56.71259","58.16995","56.61671","58.16037","8639406",""
"AIG","2015-11-17T00:00:00-05:00","2015-11-17","58.43842","58.87946","58.34254","58.48636","10185413",""
