symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AIV","2015-01-02T00:00:00-05:00","2015-01-02","34.19174","34.75962","34.10931","34.70466","659000",""
"AIV","2015-01-05T00:00:00-05:00","2015-01-05","34.59475","35.13515","34.4482","35.00692","807811",""
"AIV","2015-01-06T00:00:00-05:00","2015-01-06","35.06187","35.58395","35.0344","35.29086","2298096",""
"AIV","2015-01-07T00:00:00-05:00","2015-01-07","35.25422","35.79462","35.08019","35.64807","1293764",""
"AIV","2015-01-08T00:00:00-05:00","2015-01-08","35.70303","36.03276","35.4374","36.03276","1490394",""
"AIV","2015-01-09T00:00:00-05:00","2015-01-09","36.09688","36.44493","35.88622","36.22511","1283938",""
"AIV","2015-01-12T00:00:00-05:00","2015-01-12","36.63728","36.98533","36.5182","36.92122","977037",""
"AIV","2015-01-13T00:00:00-05:00","2015-01-13","35.4832","35.95949","35.40077","35.59312","8605552",""
"AIV","2015-01-14T00:00:00-05:00","2015-01-14","35.41909","36.17015","35.1901","36.09688","2545604",""
"AIV","2015-01-15T00:00:00-05:00","2015-01-15","36.21595","36.39914","36.05108","36.13351","1809413",""
"AIV","2015-01-16T00:00:00-05:00","2015-01-16","36.39914","36.88458","36.13351","36.84794","1412004",""
"AIV","2015-01-20T00:00:00-05:00","2015-01-20","37.1044","37.1044","36.25259","36.32586","1407309",""
"AIV","2015-01-21T00:00:00-05:00","2015-01-21","36.2709","36.67392","36.06024","36.53653","1226073",""
"AIV","2015-01-22T00:00:00-05:00","2015-01-22","36.73803","37.09525","36.49073","37.09525","1362983",""
"AIV","2015-01-23T00:00:00-05:00","2015-01-23","37.14104","37.36087","36.84794","37.14104","1693466",""
"AIV","2015-01-26T00:00:00-05:00","2015-01-26","37.12272","37.55321","37.00365","37.46162","2270037",""
"AIV","2015-01-27T00:00:00-05:00","2015-01-27","37.23264","37.76387","37.23264","37.62648","1702746",""
"AIV","2015-01-28T00:00:00-05:00","2015-01-28","37.82799","38.05697","37.46162","37.46162","1525004",""
"AIV","2015-01-29T00:00:00-05:00","2015-01-29","37.38834","37.67228","37.14104","37.36087","1012739",""
"AIV","2015-01-30T00:00:00-05:00","2015-01-30","37.196","37.23264","36.47241","36.50905","1826773",""
"AIV","2015-02-02T00:00:00-05:00","2015-02-02","36.52737","36.59148","35.51068","36.5182","1657655",""
"AIV","2015-02-03T00:00:00-05:00","2015-02-03","36.38998","36.71971","35.92285","36.69223","1381216",""
