symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AIZ","2015-01-02T00:00:00-05:00","2015-01-02","64.54532","64.82792","63.56565","63.83882","480258",""
"AIZ","2015-01-05T00:00:00-05:00","2015-01-05","63.72579","63.82941","62.16208","62.407","695334",""
"AIZ","2015-01-06T00:00:00-05:00","2015-01-06","62.38816","62.96277","61.38023","61.54037","728243",""
"AIZ","2015-01-07T00:00:00-05:00","2015-01-07","61.8889","62.3128","61.4179","61.78528","612106",""
"AIZ","2015-01-08T00:00:00-05:00","2015-01-08","62.35989","62.97219","62.25628","62.70844","806482",""
"AIZ","2015-01-09T00:00:00-05:00","2015-01-09","62.93451","62.98161","62.10556","62.49177","639283",""
"AIZ","2015-01-12T00:00:00-05:00","2015-01-12","62.62366","62.82148","61.83238","62.19033","518581",""
"AIZ","2015-01-13T00:00:00-05:00","2015-01-13","62.57656","63.61275","61.70992","62.19033","590556",""
"AIZ","2015-01-14T00:00:00-05:00","2015-01-14","61.30487","61.73818","60.85271","61.71934","536310",""
"AIZ","2015-01-15T00:00:00-05:00","2015-01-15","61.6063","61.80412","60.53243","60.90923","771449",""
"AIZ","2015-01-16T00:00:00-05:00","2015-01-16","61.10705","61.50269","60.75851","61.39907","646820",""
"AIZ","2015-01-20T00:00:00-05:00","2015-01-20","61.40849","61.7005","60.43824","60.71141","437901",""
"AIZ","2015-01-21T00:00:00-05:00","2015-01-21","60.47591","61.25776","60.08027","61.19183","738753",""
"AIZ","2015-01-22T00:00:00-05:00","2015-01-22","61.61573","62.25628","60.99401","62.13382","467519",""
"AIZ","2015-01-23T00:00:00-05:00","2015-01-23","61.9831","62.28454","61.47443","61.49326","444801",""
"AIZ","2015-01-26T00:00:00-05:00","2015-01-26","61.34255","61.7947","61.06937","61.57804","438113",""
"AIZ","2015-01-27T00:00:00-05:00","2015-01-27","60.92807","61.58746","60.91865","61.34255","482700",""
"AIZ","2015-01-28T00:00:00-05:00","2015-01-28","61.77586","61.87006","60.08969","60.12738","577499",""
"AIZ","2015-01-29T00:00:00-05:00","2015-01-29","60.36287","60.85271","59.88246","60.70199","396818",""
"AIZ","2015-01-30T00:00:00-05:00","2015-01-30","60.05202","60.79619","59.69406","59.82594","740982",""
"AIZ","2015-02-02T00:00:00-05:00","2015-02-02","60.1368","60.89981","59.60928","60.83387","390555",""
"AIZ","2015-02-03T00:00:00-05:00","2015-02-03","60.98458","61.90774","60.85271","61.85122","423782",""
"AIZ","2015-02-04T00:00:00-05:00","2015-02-04","61.72876","62.29396","61.59688","61.75702","395650",""
"AIZ","2015-02-05T00:00:00-05:00","2015-02-05","61.7476","62.47293","61.7005","62.43526","280469",""
"AIZ","2015-02-06T00:00:00-05:00","2015-02-06","62.6896","63.29247","62.3128","62.50119","378028",""
"AIZ","2015-02-09T00:00:00-05:00","2015-02-09","62.1244","62.5483","61.87006","62.02077","367518",""
"AIZ","2015-02-10T00:00:00-05:00","2015-02-10","62.48236","62.5483","61.90774","62.2186","369111",""
"AIZ","2015-02-11T00:00:00-05:00","2015-02-11","62.11498","62.67075","62.11498","62.4541","304036",""
"AIZ","2015-02-12T00:00:00-05:00","2015-02-12","62.63307","63.08523","62.06788","62.56713","795441",""
"AIZ","2015-02-13T00:00:00-05:00","2015-02-13","58.86511","59.49624","57.60284","57.87601","2607664",""
"AIZ","2015-02-17T00:00:00-05:00","2015-02-17","57.92311","58.29049","57.16952","57.33908","1432495",""
"AIZ","2015-02-18T00:00:00-05:00","2015-02-18","56.95286","57.55573","56.63258","57.05648","1306061",""
"AIZ","2015-02-19T00:00:00-05:00","2015-02-19","57.02809","57.75668","56.801","57.55797","1384258",""
"AIZ","2015-02-20T00:00:00-05:00","2015-02-20","57.33088","57.52958","56.6023","57.40657","1311759",""
"AIZ","2015-02-23T00:00:00-05:00","2015-02-23","57.36873","57.47281","56.78208","56.98078","489426",""
"AIZ","2015-02-24T00:00:00-05:00","2015-02-24","56.65907","57.56743","56.61176","57.48227","835438",""
"AIZ","2015-02-25T00:00:00-05:00","2015-02-25","57.40657","58.21086","57.40657","57.9743","759027",""
"AIZ","2015-02-26T00:00:00-05:00","2015-02-26","57.7756","58.26763","57.61474","57.7756","717176",""
"AIZ","2015-02-27T00:00:00-05:00","2015-02-27","57.80399","58.35279","57.63367","57.9743","613394",""
"AIZ","2015-03-02T00:00:00-05:00","2015-03-02","57.87022","58.40956","57.36873","58.37171","518383",""
"AIZ","2015-03-03T00:00:00-05:00","2015-03-03","58.20139","58.66504","57.53905","58.06892","695722",""
"AIZ","2015-03-04T00:00:00-05:00","2015-03-04","57.69044","57.8513","57.17949","57.29303","680292",""
"AIZ","2015-03-05T00:00:00-05:00","2015-03-05","57.31195","58.42848","56.99971","58.3244","759450",""
"AIZ","2015-03-06T00:00:00-05:00","2015-03-06","58.25817","59.03406","57.99323","58.27709","659050",""
"AIZ","2015-03-09T00:00:00-04:00","2015-03-09","58.27709","59.16653","58.01215","58.85428","729858",""
"AIZ","2015-03-10T00:00:00-04:00","2015-03-10","58.55149","58.58934","57.55797","57.59582","440599",""
"AIZ","2015-03-11T00:00:00-04:00","2015-03-11","57.60528","57.78506","56.76316","57.05648","808382",""
"AIZ","2015-03-12T00:00:00-04:00","2015-03-12","57.55797","58.63665","57.40657","58.54203","454550",""
"AIZ","2015-03-13T00:00:00-04:00","2015-03-13","58.42848","58.61773","57.61474","57.92699","417454",""
"AIZ","2015-03-16T00:00:00-04:00","2015-03-16","58.05","58.54203","57.99323","58.44741","412698",""
"AIZ","2015-03-17T00:00:00-04:00","2015-03-17","58.13516","58.70288","57.89861","58.5231","355523",""
