symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ALL","2015-01-02T00:00:00-05:00","2015-01-02","67.06799","67.37203","66.25091","66.62145","1859581",""
"ALL","2015-01-05T00:00:00-05:00","2015-01-05","66.2034","66.29841","65.21529","65.3008","3057553",""
"ALL","2015-01-06T00:00:00-05:00","2015-01-06","65.58583","66.13689","65.03477","65.2533","2764743",""
"ALL","2015-01-07T00:00:00-05:00","2015-01-07","65.93737","66.36491","65.38631","66.32691","2199859",""
"ALL","2015-01-08T00:00:00-05:00","2015-01-08","66.74496","67.60006","66.70695","67.60006","3123650",""
"ALL","2015-01-09T00:00:00-05:00","2015-01-09","67.53355","67.57156","66.85898","66.90648","2211016",""
"ALL","2015-01-12T00:00:00-05:00","2015-01-12","66.84947","67.0965","66.08939","66.2224","1592453",""
"ALL","2015-01-13T00:00:00-05:00","2015-01-13","66.79247","67.63806","66.08939","66.62145","2358683",""
"ALL","2015-01-14T00:00:00-05:00","2015-01-14","65.51933","66.31741","65.4053","65.96587","2833999",""
"ALL","2015-01-15T00:00:00-05:00","2015-01-15","65.97538","66.39342","65.67134","65.77586","2166284",""
"ALL","2015-01-16T00:00:00-05:00","2015-01-16","66.04189","67.34353","66.03238","67.30552","2297427",""
"ALL","2015-01-20T00:00:00-05:00","2015-01-20","67.60956","67.68556","66.40292","66.84947","2224593",""
"ALL","2015-01-21T00:00:00-05:00","2015-01-21","66.59294","67.17251","66.13689","66.79247","2112185",""
"ALL","2015-01-22T00:00:00-05:00","2015-01-22","67.144","68.51216","66.87798","68.36014","2655492",""
"ALL","2015-01-23T00:00:00-05:00","2015-01-23","68.48366","68.51216","67.84708","67.86609","1838320",""
"ALL","2015-01-26T00:00:00-05:00","2015-01-26","67.71407","68.18912","67.51454","68.15112","1750751",""
"ALL","2015-01-27T00:00:00-05:00","2015-01-27","67.49554","68.20812","67.38153","67.87559","1606241",""
"ALL","2015-01-28T00:00:00-05:00","2015-01-28","68.07511","68.92071","66.79247","66.81147","2672438",""
"ALL","2015-01-29T00:00:00-05:00","2015-01-29","67.00149","67.69507","66.76396","67.50505","3004822",""
"ALL","2015-01-30T00:00:00-05:00","2015-01-30","66.97298","67.30552","66.2224","66.30791","2617181",""
"ALL","2015-02-02T00:00:00-05:00","2015-02-02","66.32691","67.44804","65.71884","67.37203","3163435",""
"ALL","2015-02-03T00:00:00-05:00","2015-02-03","67.60956","68.46465","66.99199","68.43615","3144911",""
"ALL","2015-02-04T00:00:00-05:00","2015-02-04","68.21763","69.23425","68.14162","68.95871","3870514",""
"ALL","2015-02-05T00:00:00-05:00","2015-02-05","66.08939","68.9017","65.59534","68.69268","5078379",""
"ALL","2015-02-06T00:00:00-05:00","2015-02-06","68.40765","68.60717","67.19151","67.39104","4418558",""
"ALL","2015-02-09T00:00:00-05:00","2015-02-09","66.81147","67.16301","66.36491","66.53593","3741897",""
"ALL","2015-02-10T00:00:00-05:00","2015-02-10","67.03","67.06799","66.1749","66.55494","3224587",""
"ALL","2015-02-11T00:00:00-05:00","2015-02-11","66.64045","67.85658","66.49793","67.62856","4041758",""
"ALL","2015-02-12T00:00:00-05:00","2015-02-12","67.68556","68.11311","67.60956","67.9991","2171652",""
"ALL","2015-02-13T00:00:00-05:00","2015-02-13","67.80908","68.16061","67.59055","67.89458","2122710",""
"ALL","2015-02-17T00:00:00-05:00","2015-02-17","67.9136","68.27464","67.59055","67.71407","2133445",""
"ALL","2015-02-18T00:00:00-05:00","2015-02-18","67.52405","67.67607","66.99199","67.18201","2574659",""
"ALL","2015-02-19T00:00:00-05:00","2015-02-19","67.12501","67.71407","67.06799","67.61906","2106922",""
"ALL","2015-02-20T00:00:00-05:00","2015-02-20","67.54305","68.14162","66.95399","68.0276","2232382",""
"ALL","2015-02-23T00:00:00-05:00","2015-02-23","67.80908","67.83759","67.50505","67.70457","1909997",""
"ALL","2015-02-24T00:00:00-05:00","2015-02-24","67.52405","68.28413","67.52405","68.09411","1944940",""
"ALL","2015-02-25T00:00:00-05:00","2015-02-25","67.9706","68.18912","67.54305","67.57156","2193228",""
"ALL","2015-02-26T00:00:00-05:00","2015-02-26","67.61926","68.14403","67.61926","68.03908","1994799",""
"ALL","2015-02-27T00:00:00-05:00","2015-02-27","67.81009","68.00091","67.3521","67.36164","2305239",""
"ALL","2015-03-02T00:00:00-05:00","2015-03-02","67.42843","67.91504","67.33302","67.72422","1768834",""
"ALL","2015-03-03T00:00:00-05:00","2015-03-03","67.48569","67.64789","67.04678","67.25669","2002136",""
"ALL","2015-03-04T00:00:00-05:00","2015-03-04","66.9132","67.00862","66.30256","66.3121","2456581",""
"ALL","2015-03-05T00:00:00-05:00","2015-03-05","66.5888","66.7033","66.12128","66.36935","3288856",""
"ALL","2015-03-06T00:00:00-05:00","2015-03-06","66.17852","66.76054","65.70145","65.96861","2764400",""
"ALL","2015-03-09T00:00:00-04:00","2015-03-09","65.5965","66.55064","65.5965","66.39797","1945120",""
"ALL","2015-03-10T00:00:00-04:00","2015-03-10","65.76825","65.96861","65.24347","65.25301","2268975",""
"ALL","2015-03-11T00:00:00-04:00","2015-03-11","65.54879","66.25485","65.29118","65.92091","2496932",""
"ALL","2015-03-12T00:00:00-04:00","2015-03-12","66.21669","67.1899","66.1499","67.17082","1714020",""
"ALL","2015-03-13T00:00:00-04:00","2015-03-13","66.80824","66.99908","66.07357","66.36935","2048880",""
"ALL","2015-03-16T00:00:00-04:00","2015-03-16","66.80824","67.40936","66.69376","67.25669","2160814",""
"ALL","2015-03-17T00:00:00-04:00","2015-03-17","66.88457","66.98953","66.44568","66.77009","3308455",""
"ALL","2015-03-18T00:00:00-04:00","2015-03-18","66.96091","67.64789","66.30256","67.38073","2812087",""
"ALL","2015-03-19T00:00:00-04:00","2015-03-19","67.45705","68.00091","67.09449","67.36164","2749203",""
"ALL","2015-03-20T00:00:00-04:00","2015-03-20","67.56201","68.35394","67.44752","68.1822","4391221",""
"ALL","2015-03-23T00:00:00-04:00","2015-03-23","68.54476","69.01229","68.50661","68.59248","2597966",""
"ALL","2015-03-24T00:00:00-04:00","2015-03-24","68.43982","68.59248","67.81009","68.0677","2643452",""
"ALL","2015-03-25T00:00:00-04:00","2015-03-25","68.26807","68.26807","67.25669","67.31394","2153792",""
"ALL","2015-03-26T00:00:00-04:00","2015-03-26","67.07541","67.3044","66.77009","66.97999","2026765",""
"ALL","2015-03-27T00:00:00-04:00","2015-03-27","66.96091","67.1422","66.68421","66.83688","1817465",""
"ALL","2015-03-30T00:00:00-04:00","2015-03-30","67.13265","68.09633","66.87504","67.69559","2443689",""
"ALL","2015-03-31T00:00:00-04:00","2015-03-31","67.24715","68.02954","66.8655","67.90549","3731877",""
"ALL","2015-04-01T00:00:00-04:00","2015-04-01","67.91504","68.60202","67.70513","68.02","3531590",""
