symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ALLE","2015-01-02T00:00:00-05:00","2015-01-02","54.39406","54.50188","52.90408","53.96275","683805",""
"ALLE","2015-01-05T00:00:00-05:00","2015-01-05","53.64907","54.149","53.48243","53.85492","545269",""
"ALLE","2015-01-06T00:00:00-05:00","2015-01-06","53.91374","54.07058","53.01191","53.7667","1368018",""
"ALLE","2015-01-07T00:00:00-05:00","2015-01-07","53.85492","54.89399","53.72749","54.50188","735322",""
"ALLE","2015-01-08T00:00:00-05:00","2015-01-08","54.60971","55.26648","54.09018","55.23707","911808",""
"ALLE","2015-01-09T00:00:00-05:00","2015-01-09","55.00182","55.21747","54.68814","54.77636","551900",""
"ALLE","2015-01-12T00:00:00-05:00","2015-01-12","54.83517","54.88419","53.7667","53.90393","343483",""
"ALLE","2015-01-13T00:00:00-05:00","2015-01-13","54.20781","55.3449","53.3746","54.01176","530579",""
"ALLE","2015-01-14T00:00:00-05:00","2015-01-14","53.49223","54.29603","53.10993","54.23722","555164",""
"ALLE","2015-01-15T00:00:00-05:00","2015-01-15","54.45287","54.5607","52.29632","52.73744","1138791",""
"ALLE","2015-01-16T00:00:00-05:00","2015-01-16","53.08052","53.27657","52.11988","52.31593","2732058",""
"ALLE","2015-01-20T00:00:00-05:00","2015-01-20","52.38454","52.85506","51.55133","51.74739","1160214",""
"ALLE","2015-01-21T00:00:00-05:00","2015-01-21","51.54153","52.39435","51.29647","51.87482","1646723",""
"ALLE","2015-01-22T00:00:00-05:00","2015-01-22","52.07087","53.355","51.85521","53.28638","914154",""
"ALLE","2015-01-23T00:00:00-05:00","2015-01-23","53.23737","53.91374","53.23737","53.40401","412241",""
"ALLE","2015-01-26T00:00:00-05:00","2015-01-26","53.355","53.7471","52.70803","52.84526","716756",""
"ALLE","2015-01-27T00:00:00-05:00","2015-01-27","52.14929","52.9727","52.02185","52.73744","486304",""
"ALLE","2015-01-28T00:00:00-05:00","2015-01-28","53.22756","54.07058","52.84526","53.27657","709003",""
"ALLE","2015-01-29T00:00:00-05:00","2015-01-29","53.08052","53.81571","52.64922","53.70789","465799",""
"ALLE","2015-01-30T00:00:00-05:00","2015-01-30","53.44322","53.83532","52.81586","52.94329","603723",""
"ALLE","2015-02-02T00:00:00-05:00","2015-02-02","53.23737","53.45302","52.37474","53.41381","1238051",""
"ALLE","2015-02-03T00:00:00-05:00","2015-02-03","53.85492","54.33524","53.61966","53.96275","438051",""
"ALLE","2015-02-04T00:00:00-05:00","2015-02-04","53.94314","54.86458","53.88433","54.5313","589849",""
"ALLE","2015-02-05T00:00:00-05:00","2015-02-05","54.83517","55.93305","54.64893","55.87424","640449",""
"ALLE","2015-02-06T00:00:00-05:00","2015-02-06","56.08989","56.65844","55.88404","56.41337","997092",""
"ALLE","2015-02-09T00:00:00-05:00","2015-02-09","56.40357","56.95251","55.75661","55.78601","744912",""
"ALLE","2015-02-10T00:00:00-05:00","2015-02-10","56.08989","56.21732","55.14885","55.75661","538026",""
"ALLE","2015-02-11T00:00:00-05:00","2015-02-11","55.81542","56.08009","55.27628","55.59977","877225",""
"ALLE","2015-02-12T00:00:00-05:00","2015-02-12","56.01147","56.74666","55.7272","56.61922","738893",""
"ALLE","2015-02-13T00:00:00-05:00","2015-02-13","56.58002","57.65829","56.06048","57.50145","761234",""
"ALLE","2015-02-17T00:00:00-05:00","2015-02-17","57.62888","58.32486","57.23678","57.40343","1363632",""
"ALLE","2015-02-18T00:00:00-05:00","2015-02-18","55.75661","56.29575","54.04117","54.89399","1756593",""
"ALLE","2015-02-19T00:00:00-05:00","2015-02-19","54.83517","56.71725","54.68814","56.48199","1703749",""
"ALLE","2015-02-20T00:00:00-05:00","2015-02-20","56.30555","57.56027","55.85463","57.44263","999949",""
"ALLE","2015-02-23T00:00:00-05:00","2015-02-23","57.20738","57.56027","56.78587","57.18777","785208",""
"ALLE","2015-02-24T00:00:00-05:00","2015-02-24","56.96231","57.62888","56.75646","57.24659","537108",""
"ALLE","2015-02-25T00:00:00-05:00","2015-02-25","57.325","57.90335","57.01133","57.39362","638510",""
"ALLE","2015-02-26T00:00:00-05:00","2015-02-26","57.57987","57.60928","56.88389","57.13876","517419",""
"ALLE","2015-02-27T00:00:00-05:00","2015-02-27","57.06034","57.38382","56.55061","56.58982","349706",""
"ALLE","2015-03-02T00:00:00-05:00","2015-03-02","56.62903","57.74651","56.50159","57.65829","708798",""
"ALLE","2015-03-03T00:00:00-05:00","2015-03-03","57.39362","57.65829","56.9035","57.34461","624228",""
"ALLE","2015-03-04T00:00:00-05:00","2015-03-04","57.49165","57.67789","56.83488","57.2956","958837",""
"ALLE","2015-03-05T00:00:00-05:00","2015-03-05","57.325","57.325","56.65844","56.96231","489569",""
"ALLE","2015-03-06T00:00:00-05:00","2015-03-06","56.55061","56.83488","56.22713","56.31535","422239",""
"ALLE","2015-03-09T00:00:00-04:00","2015-03-09","56.27614","56.99172","56.26634","56.84468","349604",""
