symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ALXN","2015-01-02T00:00:00-05:00","2015-01-02","186.64","189.41","184.88","186.6","690800",""
"ALXN","2015-01-05T00:00:00-05:00","2015-01-05","181.3","185.32","180.01","182.17","1511800",""
"ALXN","2015-01-06T00:00:00-05:00","2015-01-06","183.66","186.46","177.21","177.95","1411600",""
"ALXN","2015-01-07T00:00:00-05:00","2015-01-07","181.26","188.61","180.01","187.93","1643900",""
"ALXN","2015-01-08T00:00:00-05:00","2015-01-08","183.34","188.5","183.02","183.8","1980400",""
"ALXN","2015-01-09T00:00:00-05:00","2015-01-09","181.67","184.59","179.54","184.27","1345000",""
"ALXN","2015-01-12T00:00:00-05:00","2015-01-12","185.32","186.96","182.78","183.36","752900",""
"ALXN","2015-01-13T00:00:00-05:00","2015-01-13","185.96","186.14","177.06","179.21","1598600",""
"ALXN","2015-01-14T00:00:00-05:00","2015-01-14","177.85","179","174.63","175.4","1462800",""
"ALXN","2015-01-15T00:00:00-05:00","2015-01-15","176.22","177.83","171.68","172.87","1680500",""
"ALXN","2015-01-16T00:00:00-05:00","2015-01-16","172.49","180.88","172.27","180.44","1791700",""
"ALXN","2015-01-20T00:00:00-05:00","2015-01-20","181.77","183.25","177.95","183.06","1561000",""
"ALXN","2015-01-21T00:00:00-05:00","2015-01-21","181.96","183.18","178.47","179.26","1076000",""
"ALXN","2015-01-22T00:00:00-05:00","2015-01-22","180.58","181.92","174.57","180.32","1205900",""
"ALXN","2015-01-23T00:00:00-05:00","2015-01-23","180.53","183.37","180.26","183.32","1139100",""
"ALXN","2015-01-26T00:00:00-05:00","2015-01-26","182.96","183.86","182.01","182.76","799900",""
"ALXN","2015-01-27T00:00:00-05:00","2015-01-27","179.7","182.78","178.79","180.36","783100",""
"ALXN","2015-01-28T00:00:00-05:00","2015-01-28","181.42","183.02","177.38","177.78","1570000",""
"ALXN","2015-01-29T00:00:00-05:00","2015-01-29","172.58","189.03","172.35","188.05","3015200",""
"ALXN","2015-01-30T00:00:00-05:00","2015-01-30","186.81","189.72","181.67","183.24","2144000",""
"ALXN","2015-02-02T00:00:00-05:00","2015-02-02","184.01","184.99","175.66","178.17","1935600",""
"ALXN","2015-02-03T00:00:00-05:00","2015-02-03","178.67","179.28","173.3","177.51","1428200",""
"ALXN","2015-02-04T00:00:00-05:00","2015-02-04","174.38","180.24","171.08","178.29","1616500",""
"ALXN","2015-02-05T00:00:00-05:00","2015-02-05","178.96","181.38","176.35","178.17","1339400",""
"ALXN","2015-02-06T00:00:00-05:00","2015-02-06","178.78","180.44","174.8","175.63","1199500",""
"ALXN","2015-02-09T00:00:00-05:00","2015-02-09","178.09","178.09","171.24","171.42","1188000",""
"ALXN","2015-02-10T00:00:00-05:00","2015-02-10","171.2","177.37","171.11","176.39","1334900",""
"ALXN","2015-02-11T00:00:00-05:00","2015-02-11","176.48","178.33","171.92","173.5","1220200",""
"ALXN","2015-02-12T00:00:00-05:00","2015-02-12","175.35","176.36","172.55","176.27","1173900",""
"ALXN","2015-02-13T00:00:00-05:00","2015-02-13","176.87","182.42","175.94","182.29","1286200",""
"ALXN","2015-02-17T00:00:00-05:00","2015-02-17","181.93","181.93","178.32","178.97","1055700",""
"ALXN","2015-02-18T00:00:00-05:00","2015-02-18","178.46","180.72","178.02","180.29","713900",""
"ALXN","2015-02-19T00:00:00-05:00","2015-02-19","180.04","182.98","179.92","182.28","723000",""
"ALXN","2015-02-20T00:00:00-05:00","2015-02-20","182.63","186.3","180.1","186.02","1054400",""
"ALXN","2015-02-23T00:00:00-05:00","2015-02-23","186","188.35","182.59","184.14","767700",""
"ALXN","2015-02-24T00:00:00-05:00","2015-02-24","184.3","184.3","180.01","182.29","847400",""
"ALXN","2015-02-25T00:00:00-05:00","2015-02-25","182.33","186.7","180.16","184.9","922400",""
"ALXN","2015-02-26T00:00:00-05:00","2015-02-26","185.7","186","181","183.11","757500",""
"ALXN","2015-02-27T00:00:00-05:00","2015-02-27","183.88","183.99","179.44","180.37","944700",""
"ALXN","2015-03-02T00:00:00-05:00","2015-03-02","180.34","184.73","180.09","184.62","970900",""
"ALXN","2015-03-03T00:00:00-05:00","2015-03-03","184.01","184.6","178.65","182.51","957400",""
"ALXN","2015-03-04T00:00:00-05:00","2015-03-04","180.26","183.76","179.25","182.53","716500",""
"ALXN","2015-03-05T00:00:00-05:00","2015-03-05","182.81","186.89","182.78","185.79","1085200",""
"ALXN","2015-03-06T00:00:00-05:00","2015-03-06","184.61","184.61","180.51","181.65","1001600",""
"ALXN","2015-03-09T00:00:00-04:00","2015-03-09","182.28","184.99","180.81","184.91","897600",""
"ALXN","2015-03-10T00:00:00-04:00","2015-03-10","183.48","184.18","180.37","181.28","1498100",""
"ALXN","2015-03-11T00:00:00-04:00","2015-03-11","181.29","181.75","177.38","178.81","1171900",""
"ALXN","2015-03-12T00:00:00-04:00","2015-03-12","180","180.2","176.27","178","1021300",""
"ALXN","2015-03-13T00:00:00-04:00","2015-03-13","176.98","181.97","174.93","176.89","1377300",""
"ALXN","2015-03-16T00:00:00-04:00","2015-03-16","178.4","180.58","177.12","178.5","1539300",""
