symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AMG","2015-01-02T00:00:00-05:00","2015-01-02","212.9756","212.9756","206.9777","209.6578","334427",""
"AMG","2015-01-05T00:00:00-05:00","2015-01-05","207.3363","207.3363","201.0096","202.0558","513384",""
"AMG","2015-01-06T00:00:00-05:00","2015-01-06","201.986","203.4008","196.0379","197.7018","811277",""
"AMG","2015-01-07T00:00:00-05:00","2015-01-07","200.6709","204.6562","200.1727","202.5539","437706",""
"AMG","2015-01-08T00:00:00-05:00","2015-01-08","204.696","206.1208","203.5503","204.6163","455973",""
"AMG","2015-01-09T00:00:00-05:00","2015-01-09","204.4868","205.4832","201.2089","204.5865","474039",""
"AMG","2015-01-12T00:00:00-05:00","2015-01-12","204.5466","204.5466","199.6347","200.8502","285447",""
"AMG","2015-01-13T00:00:00-05:00","2015-01-13","203.2016","206.1806","198.5089","200.4318","365340",""
"AMG","2015-01-14T00:00:00-05:00","2015-01-14","198.3893","199.3657","193.4774","197.3132","442022",""
"AMG","2015-01-15T00:00:00-05:00","2015-01-15","197.4228","197.662","193.3279","193.6567","360824",""
"AMG","2015-01-16T00:00:00-05:00","2015-01-16","192.7202","194.7726","190.6578","194.673","426866",""
"AMG","2015-01-20T00:00:00-05:00","2015-01-20","196.5959","198.1701","194.4239","197.0642","465106",""
"AMG","2015-01-21T00:00:00-05:00","2015-01-21","195.9184","202.0657","195.739","201.6871","572400",""
"AMG","2015-01-22T00:00:00-05:00","2015-01-22","203.082","210.3054","201.3085","209.8172","640550",""
"AMG","2015-01-23T00:00:00-05:00","2015-01-23","209.7176","210.415","205.5728","205.782","338241",""
"AMG","2015-01-26T00:00:00-05:00","2015-01-26","204.8455","209.9268","204.6263","209.4784","325494",""
"AMG","2015-01-27T00:00:00-05:00","2015-01-27","204.2477","207.157","200.2325","204.0983","829544",""
"AMG","2015-01-28T00:00:00-05:00","2015-01-28","206.6788","210.6641","204.6263","204.8555","662230",""
"AMG","2015-01-29T00:00:00-05:00","2015-01-29","205.4632","207.0075","203.6997","204.3573","476448",""
"AMG","2015-01-30T00:00:00-05:00","2015-01-30","201.6672","208.1832","201.6672","204.7658","553832",""
"AMG","2015-02-02T00:00:00-05:00","2015-02-02","203.899","206.5193","202.7532","206.4596","335531",""
"AMG","2015-02-03T00:00:00-05:00","2015-02-03","209.0998","210.7338","205.9913","210.1858","637037",""
"AMG","2015-02-04T00:00:00-05:00","2015-02-04","209.2294","210.8135","207.9839","208.7511","388927",""
"AMG","2015-02-05T00:00:00-05:00","2015-02-05","209.9567","213.394","208.9803","212.1586","330512",""
"AMG","2015-02-06T00:00:00-05:00","2015-02-06","213.5634","215.028","211.8597","213.663","427769",""
"AMG","2015-02-09T00:00:00-05:00","2015-02-09","212.7663","214.2509","210.694","213.9619","349081",""
"AMG","2015-02-10T00:00:00-05:00","2015-02-10","216.2037","217.0804","212.1486","212.4674","694147",""
"AMG","2015-02-11T00:00:00-05:00","2015-02-11","212.7165","213.4638","210.9729","212.1984","476749",""
"AMG","2015-02-12T00:00:00-05:00","2015-02-12","213.384","214.0516","212.6866","213.7726","351188",""
"AMG","2015-02-13T00:00:00-05:00","2015-02-13","213.5435","215.586","213.0353","214.9782","380395",""
"AMG","2015-02-17T00:00:00-05:00","2015-02-17","214.49","216.931","214.49","216.5325","320375",""
"AMG","2015-02-18T00:00:00-05:00","2015-02-18","215.7055","218.4155","215.3668","215.835","452761",""
"AMG","2015-02-19T00:00:00-05:00","2015-02-19","215.1177","217.4292","214.749","216.7716","313851",""
"AMG","2015-02-20T00:00:00-05:00","2015-02-20","215.9048","218.2262","214.8287","217.5089","415825",""
"AMG","2015-02-23T00:00:00-05:00","2015-02-23","217.6683","217.6683","214.1014","215.0579","403982",""
"AMG","2015-02-24T00:00:00-05:00","2015-02-24","215.7453","219.0332","215.7453","217.3195","418435",""
"AMG","2015-02-25T00:00:00-05:00","2015-02-25","216.4826","218.5351","216.4826","217.6284","283640",""
"AMG","2015-02-26T00:00:00-05:00","2015-02-26","217.1302","218.7642","217.1302","218.2461","277719",""
"AMG","2015-02-27T00:00:00-05:00","2015-02-27","218.4952","219.382","215.5162","215.6258","222416",""
"AMG","2015-03-02T00:00:00-05:00","2015-03-02","216.0144","218.1465","215.586","217.19","497224",""
"AMG","2015-03-03T00:00:00-05:00","2015-03-03","217.3793","217.9871","214.8088","216.2435","228839",""
"AMG","2015-03-04T00:00:00-05:00","2015-03-04","214.7391","214.7391","211.8796","211.9693","420744",""
"AMG","2015-03-05T00:00:00-05:00","2015-03-05","213.2645","215.2771","212.1087","215.018","313550",""
"AMG","2015-03-06T00:00:00-05:00","2015-03-06","214.1213","219.2524","213.0851","213.6032","645870",""
"AMG","2015-03-09T00:00:00-04:00","2015-03-09","213.7228","214.6892","212.4276","213.7726","242188",""
"AMG","2015-03-10T00:00:00-04:00","2015-03-10","211.5707","212.8759","207.9541","208.1434","409502",""
"AMG","2015-03-11T00:00:00-04:00","2015-03-11","207.964","209.7773","207.3762","208.4921","297792",""
"AMG","2015-03-12T00:00:00-04:00","2015-03-12","209.867","213.1947","209.867","213.0353","291369",""
"AMG","2015-03-13T00:00:00-04:00","2015-03-13","211.9792","213.2047","208.4323","210.0862","433490",""
"AMG","2015-03-16T00:00:00-04:00","2015-03-16","211.1324","213.3342","210.4748","213.0752","481667",""
"AMG","2015-03-17T00:00:00-04:00","2015-03-17","211.6006","212.8859","210.9032","212.029","518201",""
"AMG","2015-03-18T00:00:00-04:00","2015-03-18","211.6106","216.6819","210.7637","215.6258","437907",""
"AMG","2015-03-19T00:00:00-04:00","2015-03-19","215.2671","216.3531","212.0888","212.6567","331416",""
"AMG","2015-03-20T00:00:00-04:00","2015-03-20","213.7427","218.9336","212.577","218.4853","547107",""
"AMG","2015-03-23T00:00:00-04:00","2015-03-23","218.9436","220.6473","218.4255","218.4255","351088",""
"AMG","2015-03-24T00:00:00-04:00","2015-03-24","217.1701","219.093","216.3133","216.3133","248210",""
"AMG","2015-03-25T00:00:00-04:00","2015-03-25","216.3232","216.4627","212.8361","213.1051","327501",""
"AMG","2015-03-26T00:00:00-04:00","2015-03-26","212.308","216.1837","211.0327","214.3505","370459",""
"AMG","2015-03-27T00:00:00-04:00","2015-03-27","213.683","215.2273","211.7202","213.135","287053",""
"AMG","2015-03-30T00:00:00-04:00","2015-03-30","214.5199","217.2199","213.6531","215.8151","271395",""
"AMG","2015-03-31T00:00:00-04:00","2015-03-31","213.9819","216.114","213.9121","213.9918","391837",""
"AMG","2015-04-01T00:00:00-04:00","2015-04-01","214.3903","215.6557","212.8759","213.7029","408197",""
"AMG","2015-04-02T00:00:00-04:00","2015-04-02","212.7663","214.9383","212.2383","213.4538","274005",""
"AMG","2015-04-06T00:00:00-04:00","2015-04-06","211.5309","215.1575","211.2021","214.3505","377987",""
"AMG","2015-04-07T00:00:00-04:00","2015-04-07","214.1213","215.2671","213.384","213.384","273704",""
"AMG","2015-04-08T00:00:00-04:00","2015-04-08","214.4302","215.4265","213.5235","214.9483","209468",""
"AMG","2015-04-09T00:00:00-04:00","2015-04-09","214.7092","218.0568","213.4638","217.8974","290064",""
"AMG","2015-04-10T00:00:00-04:00","2015-04-10","217.8177","218.4554","214.8586","216.9011","374976",""
"AMG","2015-04-13T00:00:00-04:00","2015-04-13","217.748","219.5015","215.8151","218.296","407294",""
"AMG","2015-04-14T00:00:00-04:00","2015-04-14","218.1067","220.3484","216.8513","219.0532","425963",""
"AMG","2015-04-15T00:00:00-04:00","2015-04-15","219.3222","220.5875","218.4653","218.7045","293276",""
"AMG","2015-04-16T00:00:00-04:00","2015-04-16","218.276","219.6908","216.7616","219.1229","224022",""
"AMG","2015-04-17T00:00:00-04:00","2015-04-17","216.9609","218.1166","215.566","217.2199","360422",""
"AMG","2015-04-20T00:00:00-04:00","2015-04-20","219.1129","219.7705","217.3395","219.1927","219405",""
"AMG","2015-04-21T00:00:00-04:00","2015-04-21","219.6609","221.6038","218.3557","219.4318","247709",""
"AMG","2015-04-22T00:00:00-04:00","2015-04-22","219.4417","220.5776","217.3395","220.2288","183473",""
"AMG","2015-04-23T00:00:00-04:00","2015-04-23","220.4082","221.9126","219.0233","221.3647","198829",""
"AMG","2015-04-24T00:00:00-04:00","2015-04-24","220.7569","222.3311","219.91","221.534","266779",""
"AMG","2015-04-27T00:00:00-04:00","2015-04-27","222.2016","225.1906","221.5938","221.8728","434193",""
"AMG","2015-04-28T00:00:00-04:00","2015-04-28","222.7794","228.07","218.4355","227.1832","532353",""
"AMG","2015-04-29T00:00:00-04:00","2015-04-29","226.1969","229.7836","224.4533","224.5728","838075",""
"AMG","2015-04-30T00:00:00-04:00","2015-04-30","224.802","227.0537","223.7459","225.3002","688827",""
"AMG","2015-05-01T00:00:00-04:00","2015-05-01","227.1832","227.8408","224.6924","225.619","416127",""
"AMG","2015-05-04T00:00:00-04:00","2015-05-04","226.9242","227.1733","224.6625","225.9577","285447",""
"AMG","2015-05-05T00:00:00-04:00","2015-05-05","225.071","226.6452","221.4742","222.8891","547408",""
"AMG","2015-05-06T00:00:00-04:00","2015-05-06","223.1082","223.2079","218.2461","220.1093","392038",""
"AMG","2015-05-07T00:00:00-04:00","2015-05-07","220.8266","221.813","219.1727","220.727","335029",""
"AMG","2015-05-08T00:00:00-04:00","2015-05-08","223.7857","226.9242","221.2949","222.6499","426665",""
"AMG","2015-05-11T00:00:00-04:00","2015-05-11","223.0385","224.1145","222.0023","222.2215","284845",""
"AMG","2015-05-12T00:00:00-04:00","2015-05-12","221.1455","221.2949","218.6845","220.189","259652",""
"AMG","2015-05-13T00:00:00-04:00","2015-05-13","220.0196","220.7071","218.824","220.1491","439111",""
"AMG","2015-05-14T00:00:00-04:00","2015-05-14","221.7731","223.437","220.468","222.5503","242489",""
"AMG","2015-05-15T00:00:00-04:00","2015-05-15","222.9488","223.9053","220.2886","221.5838","251021",""
"AMG","2015-05-18T00:00:00-04:00","2015-05-18","221.3846","224.8219","221.3846","223.9751","226430",""
"AMG","2015-05-19T00:00:00-04:00","2015-05-19","224.1743","224.5928","222.6001","223.5167","229040",""
