symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AMP","2015-01-02T00:00:00-05:00","2015-01-02","123.7171","124.1916","121.6053","122.8891","668677",""
"AMP","2015-01-05T00:00:00-05:00","2015-01-05","121.6704","122.1542","118.349","118.9445","1148607",""
"AMP","2015-01-06T00:00:00-05:00","2015-01-06","118.9259","119.2887","114.8789","115.7441","1405501",""
"AMP","2015-01-07T00:00:00-05:00","2015-01-07","116.9907","118.1909","116.1162","117.8001","1366269",""
"AMP","2015-01-08T00:00:00-05:00","2015-01-08","119.5771","120.3586","118.8514","119.8934","1807181",""
"AMP","2015-01-09T00:00:00-05:00","2015-01-09","120.3214","120.5912","118.3956","118.7863","906761",""
"AMP","2015-01-12T00:00:00-05:00","2015-01-12","118.6374","118.7956","116.6837","117.5769","976735",""
"AMP","2015-01-13T00:00:00-05:00","2015-01-13","119.205","120.8796","117.521","118.4328","1265768",""
"AMP","2015-01-14T00:00:00-05:00","2015-01-14","116.2","116.907","114.5439","116.2651","1289738",""
"AMP","2015-01-15T00:00:00-05:00","2015-01-15","116.4139","116.8977","114.1811","114.302","955775",""
"AMP","2015-01-16T00:00:00-05:00","2015-01-16","114.4602","116.0511","113.0275","115.9767","1005112",""
"AMP","2015-01-20T00:00:00-05:00","2015-01-20","116.293","117.1024","115.2045","116.4418","1097013",""
"AMP","2015-01-21T00:00:00-05:00","2015-01-21","116.4418","117.9955","115.2138","117.5396","1261469",""
"AMP","2015-01-22T00:00:00-05:00","2015-01-22","118.3304","121.4378","117.1582","121.1587","1274475",""
"AMP","2015-01-23T00:00:00-05:00","2015-01-23","121.1587","121.4099","119.9771","120.4609","1334560",""
"AMP","2015-01-26T00:00:00-05:00","2015-01-26","120.3586","121.9402","119.7353","121.6704","1158281",""
"AMP","2015-01-27T00:00:00-05:00","2015-01-27","120.0609","121.0563","119.0654","120.0237","771220",""
"AMP","2015-01-28T00:00:00-05:00","2015-01-28","120.9354","120.9354","117.4931","117.5862","1552221",""
"AMP","2015-01-29T00:00:00-05:00","2015-01-29","120.0702","121.075","117.5489","119.3259","1760209",""
"AMP","2015-01-30T00:00:00-05:00","2015-01-30","118.2746","118.9072","116.079","116.2372","1470209",""
"AMP","2015-02-02T00:00:00-05:00","2015-02-02","117.1117","119.9492","115.9488","119.7911","1261469",""
"AMP","2015-02-03T00:00:00-05:00","2015-02-03","120.7679","123.4194","120.3865","123.2892","1438285",""
