symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AMZN","2015-01-02T00:00:00-05:00","2015-01-02","312.58","314.75","306.96","308.52","2788100",""
"AMZN","2015-01-05T00:00:00-05:00","2015-01-05","307.02","308.38","300.85","302.19","2774200",""
"AMZN","2015-01-06T00:00:00-05:00","2015-01-06","302.24","303","292.38","295.29","3519000",""
"AMZN","2015-01-07T00:00:00-05:00","2015-01-07","297.5","301.28","295.33","298.42","2640300",""
"AMZN","2015-01-08T00:00:00-05:00","2015-01-08","300.59","303.14","296.11","300.46","3088300",""
"AMZN","2015-01-09T00:00:00-05:00","2015-01-09","301.48","302.87","296.68","296.93","2592300",""
"AMZN","2015-01-12T00:00:00-05:00","2015-01-12","297.96","298.51","289.28","291.41","3421300",""
"AMZN","2015-01-13T00:00:00-05:00","2015-01-13","297.48","301.5","293.23","294.74","4136400",""
"AMZN","2015-01-14T00:00:00-05:00","2015-01-14","291.93","295.91","286.5","293.27","5538600",""
"AMZN","2015-01-15T00:00:00-05:00","2015-01-15","294","296","286.82","286.95","4419100",""
"AMZN","2015-01-16T00:00:00-05:00","2015-01-16","286.28","290.79","285.25","290.74","3478100",""
"AMZN","2015-01-20T00:00:00-05:00","2015-01-20","292.59","293.36","286.39","289.44","3075000",""
"AMZN","2015-01-21T00:00:00-05:00","2015-01-21","289.64","306","287.26","297.25","10065000",""
"AMZN","2015-01-22T00:00:00-05:00","2015-01-22","300","312.25","300","310.32","5362600",""
"AMZN","2015-01-23T00:00:00-05:00","2015-01-23","308.08","316.93","307.72","312.39","4496400",""
"AMZN","2015-01-26T00:00:00-05:00","2015-01-26","312","313","307.52","309.66","3169600",""
"AMZN","2015-01-27T00:00:00-05:00","2015-01-27","306.3","310.24","302.63","306.75","2920300",""
"AMZN","2015-01-28T00:00:00-05:00","2015-01-28","309.81","311.51","303.8","303.91","3063700",""
"AMZN","2015-01-29T00:00:00-05:00","2015-01-29","304.73","312.8","299.33","311.78","8656500",""
"AMZN","2015-01-30T00:00:00-05:00","2015-01-30","346.32","359.5","340.74","354.53","23856000",""
"AMZN","2015-02-02T00:00:00-05:00","2015-02-02","350.05","365","350.01","364.47","10231900",""
"AMZN","2015-02-03T00:00:00-05:00","2015-02-03","360.25","367.82","360.21","363.55","6212500",""
"AMZN","2015-02-04T00:00:00-05:00","2015-02-04","358.38","367.5","358.23","364.75","4169900",""
"AMZN","2015-02-05T00:00:00-05:00","2015-02-05","366","378.8","365.9","373.89","7247600",""
"AMZN","2015-02-06T00:00:00-05:00","2015-02-06","374.87","375.99","371.01","374.28","3892300",""
"AMZN","2015-02-09T00:00:00-05:00","2015-02-09","371","374.41","367.2","370.56","2724600",""
"AMZN","2015-02-10T00:00:00-05:00","2015-02-10","370.89","374.3","368.51","372.99","2287200",""
"AMZN","2015-02-11T00:00:00-05:00","2015-02-11","371.23","377.1","371.1","375.14","2786500",""
"AMZN","2015-02-12T00:00:00-05:00","2015-02-12","375.1","378.51","373.15","377.17","2791000",""
"AMZN","2015-02-13T00:00:00-05:00","2015-02-13","378.31","383","377.01","381.83","3475000",""
"AMZN","2015-02-17T00:00:00-05:00","2015-02-17","377.72","379.98","372.67","375.43","3673200",""
"AMZN","2015-02-18T00:00:00-05:00","2015-02-18","373.78","376.74","372.85","373.37","2650600",""
"AMZN","2015-02-19T00:00:00-05:00","2015-02-19","373.43","381.88","373.43","378.99","2953700",""
"AMZN","2015-02-20T00:00:00-05:00","2015-02-20","378.62","383.7","375.84","383.66","3258000",""
"AMZN","2015-02-23T00:00:00-05:00","2015-02-23","383.4","384.54","378","380.14","2176900",""
"AMZN","2015-02-24T00:00:00-05:00","2015-02-24","378.65","380.48","376.16","378.59","1921800",""
"AMZN","2015-02-25T00:00:00-05:00","2015-02-25","377.27","387.85","376.54","385.37","3174400",""
"AMZN","2015-02-26T00:00:00-05:00","2015-02-26","384.07","389.37","383.28","384.8","2687100",""
"AMZN","2015-02-27T00:00:00-05:00","2015-02-27","384","385.99","379.79","380.16","2532300",""
"AMZN","2015-03-02T00:00:00-05:00","2015-03-02","380.85","385.9","379.48","385.65","2139200",""
"AMZN","2015-03-03T00:00:00-05:00","2015-03-03","384","386.1","381.6","384.61","1946400",""
"AMZN","2015-03-04T00:00:00-05:00","2015-03-04","385.9","387.9","382.19","382.72","2259100",""
"AMZN","2015-03-05T00:00:00-05:00","2015-03-05","385.61","388.42","383.89","387.83","2693500",""
"AMZN","2015-03-06T00:00:00-05:00","2015-03-06","385.52","387","378.88","380.09","2627000",""
"AMZN","2015-03-09T00:00:00-04:00","2015-03-09","378.4","379.33","375.28","378.56","2311300",""
"AMZN","2015-03-10T00:00:00-04:00","2015-03-10","377.45","377.77","369.18","369.51","3120900",""
"AMZN","2015-03-11T00:00:00-04:00","2015-03-11","370.61","373.35","366.26","366.37","2495000",""
"AMZN","2015-03-12T00:00:00-04:00","2015-03-12","368.72","375.5","367.52","374.24","2810000",""
"AMZN","2015-03-13T00:00:00-04:00","2015-03-13","371.85","373.99","366.68","370.58","2611600",""
"AMZN","2015-03-16T00:00:00-04:00","2015-03-16","370.38","373.94","366.72","373.35","2354000",""
"AMZN","2015-03-17T00:00:00-04:00","2015-03-17","371.11","374.5","369.64","371.92","2036900",""
"AMZN","2015-03-18T00:00:00-04:00","2015-03-18","369.97","375.99","366.7","375.14","2654100",""
"AMZN","2015-03-19T00:00:00-04:00","2015-03-19","373.87","377.11","372.19","373.24","1915600",""
"AMZN","2015-03-20T00:00:00-04:00","2015-03-20","376.29","379.37","375.92","378.49","3763500",""
"AMZN","2015-03-23T00:00:00-04:00","2015-03-23","378.07","381.77","374.94","375.11","2239300",""
"AMZN","2015-03-24T00:00:00-04:00","2015-03-24","373.99","375.24","372.27","374.09","2228200",""
"AMZN","2015-03-25T00:00:00-04:00","2015-03-25","375.17","380.5","370.29","370.96","3429400",""
"AMZN","2015-03-26T00:00:00-04:00","2015-03-26","369.59","371.4","365.65","367.35","2929900",""
"AMZN","2015-03-27T00:00:00-04:00","2015-03-27","367.11","373.17","366.57","370.56","2609700",""
"AMZN","2015-03-30T00:00:00-04:00","2015-03-30","371.87","376.12","371.55","374.59","1820900",""
"AMZN","2015-03-31T00:00:00-04:00","2015-03-31","373.24","377.7","371.51","372.1","2506100",""
"AMZN","2015-04-01T00:00:00-04:00","2015-04-01","372.23","373.16","368.34","370.26","2458000",""
"AMZN","2015-04-02T00:00:00-04:00","2015-04-02","370.5","373.28","369","372.25","1875200",""
"AMZN","2015-04-06T00:00:00-04:00","2015-04-06","370.1","380.2","369.36","377.04","3050700",""
"AMZN","2015-04-07T00:00:00-04:00","2015-04-07","376.07","379.31","374.03","374.41","1954900",""
"AMZN","2015-04-08T00:00:00-04:00","2015-04-08","374.66","381.58","374.65","381.2","2636400",""
