symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AN","2015-01-02T00:00:00-05:00","2015-01-02","60.89","61.06","59.47","60.04","901600",""
"AN","2015-01-05T00:00:00-05:00","2015-01-05","59.84","60.16","58.82","59.21","612100",""
"AN","2015-01-06T00:00:00-05:00","2015-01-06","59.55","59.99","58.55","59.12","1470000",""
"AN","2015-01-07T00:00:00-05:00","2015-01-07","59.68","60.11","58.83","59.51","1040100",""
"AN","2015-01-08T00:00:00-05:00","2015-01-08","59.99","60.04","59.1","59.86","1325800",""
"AN","2015-01-09T00:00:00-05:00","2015-01-09","59.81","60.05","58.94","58.95","642100",""
"AN","2015-01-12T00:00:00-05:00","2015-01-12","58.92","59.01","58","58.12","586000",""
"AN","2015-01-13T00:00:00-05:00","2015-01-13","58.55","59.35","57.37","57.52","1341700",""
"AN","2015-01-14T00:00:00-05:00","2015-01-14","56.69","57.69","56.54","57.19","1137300",""
"AN","2015-01-15T00:00:00-05:00","2015-01-15","57.3","57.3","56.07","56.12","887700",""
"AN","2015-01-16T00:00:00-05:00","2015-01-16","56.01","58.15","55.91","58.07","909300",""
"AN","2015-01-20T00:00:00-05:00","2015-01-20","58.27","58.5","57.11","57.8","712500",""
"AN","2015-01-21T00:00:00-05:00","2015-01-21","56.74","57.57","56.19","57.34","485000",""
"AN","2015-01-22T00:00:00-05:00","2015-01-22","57.61","58.73","57.1","58.58","517800",""
"AN","2015-01-23T00:00:00-05:00","2015-01-23","58.62","59.49","58.44","59.41","612700",""
"AN","2015-01-26T00:00:00-05:00","2015-01-26","59.65","59.97","59.17","59.91","874400",""
"AN","2015-01-27T00:00:00-05:00","2015-01-27","59.05","59.92","58.77","59.81","645200",""
"AN","2015-01-28T00:00:00-05:00","2015-01-28","60.31","60.5","59.54","59.73","858900",""
"AN","2015-01-29T00:00:00-05:00","2015-01-29","59.83","60.62","59.58","60.57","595100",""
"AN","2015-01-30T00:00:00-05:00","2015-01-30","60.21","60.44","59.22","59.62","1128500",""
"AN","2015-02-02T00:00:00-05:00","2015-02-02","59.87","60.29","59.01","59.34","2069400",""
"AN","2015-02-03T00:00:00-05:00","2015-02-03","62.62","64.95","61.8","63.17","3240000",""
"AN","2015-02-04T00:00:00-05:00","2015-02-04","62.85","63.32","62","62.81","1683600",""
"AN","2015-02-05T00:00:00-05:00","2015-02-05","63.1","63.74","63.1","63.41","948100",""
"AN","2015-02-06T00:00:00-05:00","2015-02-06","63.44","63.71","63.01","63.32","875600",""
"AN","2015-02-09T00:00:00-05:00","2015-02-09","62.96","63.73","62.83","63.5","981000",""
"AN","2015-02-10T00:00:00-05:00","2015-02-10","64.15","64.61","63.71","64.52","977200",""
"AN","2015-02-11T00:00:00-05:00","2015-02-11","64.36","64.41","63.24","63.89","713800",""
