symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"APA","2015-01-02T00:00:00-05:00","2015-01-02","58.64302","60.60471","58.01113","60.19917","3567319",""
"APA","2015-01-05T00:00:00-05:00","2015-01-05","58.63359","58.95425","56.20978","56.50214","5103502",""
"APA","2015-01-06T00:00:00-05:00","2015-01-06","56.34182","57.74706","55.38927","55.88912","4830259",""
"APA","2015-01-07T00:00:00-05:00","2015-01-07","56.87939","56.98313","54.61591","55.26666","4890273",""
"APA","2015-01-08T00:00:00-05:00","2015-01-08","56.01172","57.90739","55.3704","57.40754","3877673",""
"APA","2015-01-09T00:00:00-05:00","2015-01-09","57.84137","57.89796","56.40783","57.23777","3801330",""
"APA","2015-01-12T00:00:00-05:00","2015-01-12","55.80424","56.20978","54.48388","55.13462","5132554",""
"APA","2015-01-13T00:00:00-05:00","2015-01-13","55.29496","55.94571","54.60648","55.13462","4289923",""
"APA","2015-01-14T00:00:00-05:00","2015-01-14","54.66307","56.28523","54.17265","56.14376","4774699",""
"APA","2015-01-15T00:00:00-05:00","2015-01-15","57.549","57.71877","56.17205","56.58702","5762063",""
"APA","2015-01-16T00:00:00-05:00","2015-01-16","57.15289","59.03913","56.87939","58.70904","5057060",""
"APA","2015-01-20T00:00:00-05:00","2015-01-20","57.76212","57.9515","56.02925","56.96671","4610104",""
"APA","2015-01-21T00:00:00-05:00","2015-01-21","57.64849","59.3056","57.07087","59.01205","2868352",""
"APA","2015-01-22T00:00:00-05:00","2015-01-22","59.36241","60.38509","58.15036","60.37562","4786360",""
"APA","2015-01-23T00:00:00-05:00","2015-01-23","60.0726","61.69184","59.47604","59.54233","5788134",""
"APA","2015-01-26T00:00:00-05:00","2015-01-26","60.0726","61.41723","59.09727","61.04793","3697355",""
"APA","2015-01-27T00:00:00-05:00","2015-01-27","60.60288","61.85281","60.0442","61.16156","3516770",""
"APA","2015-01-28T00:00:00-05:00","2015-01-28","60.64075","60.64075","57.69584","57.87575","6012757",""
"APA","2015-01-29T00:00:00-05:00","2015-01-29","58.4439","58.69957","56.55953","57.97991","4317154",""
