symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"APD","2015-01-02T00:00:00-05:00","2015-01-02","133.2094","135.4855","132.7356","135.1046","1450267",""
"APD","2015-01-05T00:00:00-05:00","2015-01-05","134.1105","134.1105","129.8","130.7847","1899029",""
"APD","2015-01-06T00:00:00-05:00","2015-01-06","131.4443","132.6149","129.7907","130.7383","1279008",""
"APD","2015-01-07T00:00:00-05:00","2015-01-07","131.7602","132.522","130.7383","132.1504","728847",""
"APD","2015-01-08T00:00:00-05:00","2015-01-08","132.7542","135.5412","132.7542","135.2068","1074810",""
"APD","2015-01-09T00:00:00-05:00","2015-01-09","135.5226","135.5226","133.0329","133.1815","799999",""
"APD","2015-01-12T00:00:00-05:00","2015-01-12","133.0794","133.163","131.4815","132.2618","570936",""
"APD","2015-01-13T00:00:00-05:00","2015-01-13","133.0979","134.0455","130.153","131.5651","744132",""
"APD","2015-01-14T00:00:00-05:00","2015-01-14","129.5863","130.2645","127.8491","129.9951","1102151",""
"APD","2015-01-15T00:00:00-05:00","2015-01-15","131.305","131.9646","129.224","129.5585","991603",""
"APD","2015-01-16T00:00:00-05:00","2015-01-16","129.5956","130.4317","127.3381","129.7907","1575886",""
"APD","2015-01-20T00:00:00-05:00","2015-01-20","130.9612","131.658","129.1125","131.3421","1042948",""
"APD","2015-01-21T00:00:00-05:00","2015-01-21","131.2957","133.4603","130.6454","132.94","804197",""
"APD","2015-01-22T00:00:00-05:00","2015-01-22","133.581","134.2035","131.5744","134.0734","950914",""
"APD","2015-01-23T00:00:00-05:00","2015-01-23","133.7761","133.8504","132.1132","133.2745","913454",""
"APD","2015-01-26T00:00:00-05:00","2015-01-26","132.9028","133.3581","131.6208","132.9214","1311409",""
"APD","2015-01-27T00:00:00-05:00","2015-01-27","131.5094","133.005","130.5153","131.7788","1335198",""
"APD","2015-01-28T00:00:00-05:00","2015-01-28","132.1504","132.7542","128.5644","128.9732","1995800",""
"APD","2015-01-29T00:00:00-05:00","2015-01-29","132.8471","137.5386","132.8471","136.5538","3714959",""
"APD","2015-01-30T00:00:00-05:00","2015-01-30","135.309","138.4211","134.7051","135.2718","2852742",""
"APD","2015-02-02T00:00:00-05:00","2015-02-02","134.1198","137.6408","131.8066","137.1948","1464046",""
"APD","2015-02-03T00:00:00-05:00","2015-02-03","137.9473","138.5605","136.1544","137.873","1414315",""
"APD","2015-02-04T00:00:00-05:00","2015-02-04","137.5479","138.8856","136.7768","137.8823","1063615",""
"APD","2015-02-05T00:00:00-05:00","2015-02-05","138.6812","140.8087","138.3747","140.7622","1299998",""
"APD","2015-02-06T00:00:00-05:00","2015-02-06","140.53","141.0037","139.1365","139.6474","805812",""
"APD","2015-02-09T00:00:00-05:00","2015-02-09","139.5359","140.372","138.737","139.1365","930462",""
"APD","2015-02-10T00:00:00-05:00","2015-02-10","139.3687","140.1491","138.096","139.6195","985575",""
"APD","2015-02-11T00:00:00-05:00","2015-02-11","139.2479","139.8518","138.1796","139.3594","813777",""
"APD","2015-02-12T00:00:00-05:00","2015-02-12","140.2605","141.7377","139.4616","141.4125","1550267",""
"APD","2015-02-13T00:00:00-05:00","2015-02-13","141.2639","142.6759","141.013","141.9606","783530",""
"APD","2015-02-17T00:00:00-05:00","2015-02-17","141.6912","143.2426","141.3939","142.5645","890526",""
"APD","2015-02-18T00:00:00-05:00","2015-02-18","142.5645","143.094","141.7655","142.9453","770290",""
"APD","2015-02-19T00:00:00-05:00","2015-02-19","143.5306","145.9553","143.1126","144.9984","1033906",""
"APD","2015-02-20T00:00:00-05:00","2015-02-20","144.7476","146.5313","143.6328","146.4663","967060",""
"APD","2015-02-23T00:00:00-05:00","2015-02-23","145.6859","146.1876","144.7755","145.017","893540",""
"APD","2015-02-24T00:00:00-05:00","2015-02-24","145.3329","146.3548","144.8777","145.8345","797631",""
"APD","2015-02-25T00:00:00-05:00","2015-02-25","145.8345","146.4477","145.6766","145.8996","485144",""
"APD","2015-02-26T00:00:00-05:00","2015-02-26","145.6116","146.1133","144.7848","145.5094","553497",""
"APD","2015-02-27T00:00:00-05:00","2015-02-27","145.6487","145.7323","144.8777","145.0542","698169",""
"APD","2015-03-02T00:00:00-05:00","2015-03-02","145.1564","146.9679","144.9241","146.9029","950375",""
"APD","2015-03-03T00:00:00-05:00","2015-03-03","146.6335","146.9679","144.7941","144.9799","738858",""
"APD","2015-03-04T00:00:00-05:00","2015-03-04","144.8312","145.5744","143.4656","143.7536","1208179",""
"APD","2015-03-05T00:00:00-05:00","2015-03-05","143.8093","144.0509","143.2519","143.8651","657911",""
"APD","2015-03-06T00:00:00-05:00","2015-03-06","142.8339","143.2612","141.4961","141.7748","1069751",""
"APD","2015-03-09T00:00:00-04:00","2015-03-09","142.388","143.2984","142.1093","142.9639","636597",""
"APD","2015-03-10T00:00:00-04:00","2015-03-10","141.6355","141.9049","140.5392","141.301","1040580",""
"APD","2015-03-11T00:00:00-04:00","2015-03-11","141.812","141.942","140.5485","140.5578","859956",""
"APD","2015-03-12T00:00:00-04:00","2015-03-12","141.3196","142.5737","141.2081","142.4065","787297",""
"APD","2015-03-13T00:00:00-04:00","2015-03-13","141.8491","142.2672","140.3906","141.2081","730246",""
"APD","2015-03-16T00:00:00-04:00","2015-03-16","142.0442","142.5459","141.1617","141.7934","703443",""
"APD","2015-03-17T00:00:00-04:00","2015-03-17","141.4961","142.3601","140.6321","141.8027","851237",""
"APD","2015-03-18T00:00:00-04:00","2015-03-18","140.9852","144.729","139.6753","143.6978","1280085",""
"APD","2015-03-19T00:00:00-04:00","2015-03-19","142.8339","143.094","140.8179","141.4311","838535",""
"APD","2015-03-20T00:00:00-04:00","2015-03-20","141.1617","142.741","140.2327","141.8677","2009040",""
"APD","2015-03-23T00:00:00-04:00","2015-03-23","141.8677","142.3229","141.1059","141.1059","876640",""
"APD","2015-03-24T00:00:00-04:00","2015-03-24","141.2081","141.9513","140.8737","141.3753","680516",""
"APD","2015-03-25T00:00:00-04:00","2015-03-25","141.4961","142.7131","139.9354","139.9633","895370",""
"APD","2015-03-26T00:00:00-04:00","2015-03-26","139.2758","141.171","138.3375","140.4278","907534",""
"APD","2015-03-27T00:00:00-04:00","2015-03-27","140.5485","142.295","139.6846","141.9049","1142948",""
"APD","2015-03-30T00:00:00-04:00","2015-03-30","143.8382","144.3425","142.9042","143.642","1711969",""
"APD","2015-03-31T00:00:00-04:00","2015-03-31","143.1097","143.9315","141.1764","141.2885","1735097",""
"APD","2015-04-01T00:00:00-04:00","2015-04-01","140.9242","141.7928","139.4766","140.177","1510032",""
"APD","2015-04-02T00:00:00-04:00","2015-04-02","139.9342","141.6994","139.7288","141.0643","630545",""
"APD","2015-04-06T00:00:00-04:00","2015-04-06","141.0923","142.4559","140.672","142.045","936984",""
"APD","2015-04-07T00:00:00-04:00","2015-04-07","141.6901","143.3058","141.139","141.1951","709564",""
"APD","2015-04-08T00:00:00-04:00","2015-04-08","141.4285","142.1757","140.2985","140.9989","686436",""
"APD","2015-04-09T00:00:00-04:00","2015-04-09","140.9989","142.1477","140.5787","142.0076","579686",""
"APD","2015-04-10T00:00:00-04:00","2015-04-10","142.1851","142.4372","141.0176","141.8862","545958",""
"APD","2015-04-13T00:00:00-04:00","2015-04-13","141.55","142.4279","140.5973","140.6347","873277",""
"APD","2015-04-14T00:00:00-04:00","2015-04-14","141.0456","142.3345","140.5693","141.8115","1023712",""
"APD","2015-04-15T00:00:00-04:00","2015-04-15","142.2971","143.7634","141.9236","142.2878","867173",""
"APD","2015-04-16T00:00:00-04:00","2015-04-16","141.9609","141.9609","140.7935","141.578","665343",""
"APD","2015-04-17T00:00:00-04:00","2015-04-17","140.7935","141.3912","138.8135","139.9529","1052193",""
"APD","2015-04-20T00:00:00-04:00","2015-04-20","140.56","141.578","139.9622","141.3725","708814",""
"APD","2015-04-21T00:00:00-04:00","2015-04-21","141.9609","142.3251","141.0923","141.8955","724447",""
"APD","2015-04-22T00:00:00-04:00","2015-04-22","141.7835","142.073","140.4292","141.4659","577973",""
"APD","2015-04-23T00:00:00-04:00","2015-04-23","141.2324","141.4846","140.121","140.6534","662452",""
"APD","2015-04-24T00:00:00-04:00","2015-04-24","140.7094","141.1017","139.5046","140.149","1148451",""
"APD","2015-04-27T00:00:00-04:00","2015-04-27","140.0463","142.129","138.8695","141.083","2157388",""
"APD","2015-04-28T00:00:00-04:00","2015-04-28","140.8869","143.4366","139.9155","142.8575","2655271",""
"APD","2015-04-29T00:00:00-04:00","2015-04-29","141.7928","142.8855","141.3725","141.8395","1489367",""
"APD","2015-04-30T00:00:00-04:00","2015-04-30","143.2218","143.2218","132.8736","133.9569","5135588",""
"APD","2015-05-01T00:00:00-04:00","2015-05-01","134.2558","138.1317","134.0316","136.9176","2086828",""
"APD","2015-05-04T00:00:00-04:00","2015-05-04","138.1597","139.2338","137.3939","137.8328","1201773",""
"APD","2015-05-05T00:00:00-04:00","2015-05-05","138.4025","139.1497","135.3859","135.8062","1090846",""
"APD","2015-05-06T00:00:00-04:00","2015-05-06","136.7214","137.4126","135.1524","135.9369","782908",""
"APD","2015-05-07T00:00:00-04:00","2015-05-07","135.6847","136.8895","134.8535","136.5346","846402",""
"APD","2015-05-08T00:00:00-04:00","2015-05-08","137.8422","139.1777","137.8422","138.1971","986023",""
"APD","2015-05-11T00:00:00-04:00","2015-05-11","137.6554","138.4866","136.3198","136.3665","973389",""
"APD","2015-05-12T00:00:00-04:00","2015-05-12","135.3765","136.105","134.6294","134.9376","817278",""
"APD","2015-05-13T00:00:00-04:00","2015-05-13","135.1057","136.4039","134.1437","135.3765","2048175",""
