symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"APH","2015-01-02T00:00:00-05:00","2015-01-02","52.65678","52.84195","51.82838","52.27669","808652",""
"APH","2015-01-05T00:00:00-05:00","2015-01-05","51.90635","52.05254","51.1949","51.3216","1228421",""
"APH","2015-01-06T00:00:00-05:00","2015-01-06","51.36058","51.74067","50.18134","50.66863","2136296",""
"APH","2015-01-07T00:00:00-05:00","2015-01-07","51.16566","51.56525","50.82456","51.53601","832355",""
"APH","2015-01-08T00:00:00-05:00","2015-01-08","52.10126","52.64703","52.06228","52.53983","1008840",""
"APH","2015-01-09T00:00:00-05:00","2015-01-09","52.60805","52.70551","52.21822","52.23771","631961",""
"APH","2015-01-12T00:00:00-05:00","2015-01-12","52.19873","52.26694","51.35083","51.60423","668285",""
"APH","2015-01-13T00:00:00-05:00","2015-01-13","52.15974","52.57881","51.0877","51.48728","770585",""
"APH","2015-01-14T00:00:00-05:00","2015-01-14","50.76609","51.34109","50.48346","51.11694","911055",""
"APH","2015-01-15T00:00:00-05:00","2015-01-15","51.38982","51.48728","50.59066","50.61015","695065",""
"APH","2015-01-16T00:00:00-05:00","2015-01-16","50.42498","51.13643","50.34702","51.0877","1111448",""
"APH","2015-01-20T00:00:00-05:00","2015-01-20","51.16566","51.29236","50.39574","51.01948","1591858",""
"APH","2015-01-21T00:00:00-05:00","2015-01-21","50.66863","53.4267","49.88896","52.55932","2779031",""
"APH","2015-01-22T00:00:00-05:00","2015-01-22","52.77373","53.47543","51.9161","53.36823","1424197",""
"APH","2015-01-23T00:00:00-05:00","2015-01-23","53.48518","53.90425","53.29026","53.51441","1435792",""
"APH","2015-01-26T00:00:00-05:00","2015-01-26","53.32924","53.70933","53.21229","53.39746","765044",""
"APH","2015-01-27T00:00:00-05:00","2015-01-27","52.71526","53.3195","52.48135","52.93941","1041572",""
"APH","2015-01-28T00:00:00-05:00","2015-01-28","53.49492","53.87501","52.57881","52.5983","1529678",""
"APH","2015-01-29T00:00:00-05:00","2015-01-29","52.725","53.67035","52.31567","53.56314","1351961",""
"APH","2015-01-30T00:00:00-05:00","2015-01-30","53.29026","53.40721","52.2572","52.34491","1178964",""
"APH","2015-02-02T00:00:00-05:00","2015-02-02","52.58856","52.93941","51.70169","52.86144","971183",""
"APH","2015-02-03T00:00:00-05:00","2015-02-03","52.94916","53.27077","52.54957","53.1928","1433637",""
"APH","2015-02-04T00:00:00-05:00","2015-02-04","53.07585","53.5534","52.73475","53.18306","832355",""
"APH","2015-02-05T00:00:00-05:00","2015-02-05","53.27077","53.99196","53.1928","53.83603","816758",""
"APH","2015-02-06T00:00:00-05:00","2015-02-06","53.75806","54.20637","53.46568","53.65085","751500",""
"APH","2015-02-09T00:00:00-05:00","2015-02-09","53.43645","53.80679","53.16356","53.40721","693834",""
"APH","2015-02-10T00:00:00-05:00","2015-02-10","53.82628","54.47925","53.59238","54.32332","888892",""
"APH","2015-02-11T00:00:00-05:00","2015-02-11","54.29408","54.49874","53.84577","54.13815","811217",""
"APH","2015-02-12T00:00:00-05:00","2015-02-12","54.26484","54.57671","54.16739","54.57671","573783",""
"APH","2015-02-13T00:00:00-05:00","2015-02-13","54.45001","55.02502","54.39154","54.9568","709020",""
"APH","2015-02-17T00:00:00-05:00","2015-02-17","54.93731","54.9568","54.35255","54.57671","712919",""
"APH","2015-02-18T00:00:00-05:00","2015-02-18","54.56697","54.91781","54.27459","54.82035","449730",""
"APH","2015-02-19T00:00:00-05:00","2015-02-19","54.71315","55.064","54.57671","54.79112","416793",""
"APH","2015-02-20T00:00:00-05:00","2015-02-20","54.76188","55.54155","54.2551","55.47332","875039",""
"APH","2015-02-23T00:00:00-05:00","2015-02-23","55.30765","55.48307","54.78137","55.27841","673415",""
"APH","2015-02-24T00:00:00-05:00","2015-02-24","55.31739","55.54155","54.97629","55.37587","1280648",""
"APH","2015-02-25T00:00:00-05:00","2015-02-25","55.32714","55.58053","55.15171","55.40511","857596",""
"APH","2015-02-26T00:00:00-05:00","2015-02-26","55.5318","55.93138","55.28815","55.35638","871038",""
"APH","2015-02-27T00:00:00-05:00","2015-02-27","55.21019","55.52206","54.99578","55.02502","948917",""
"APH","2015-03-02T00:00:00-05:00","2015-03-02","55.05426","55.78519","54.88858","55.76571","1362427",""
"APH","2015-03-03T00:00:00-05:00","2015-03-03","55.59028","55.90215","55.2979","55.86316","985959",""
"APH","2015-03-04T00:00:00-05:00","2015-03-04","55.68774","56.89622","55.4246","56.75978","1920101",""
"APH","2015-03-05T00:00:00-05:00","2015-03-05","57.00343","57.41275","56.62333","57.22758","1102419",""
"APH","2015-03-06T00:00:00-05:00","2015-03-06","56.89622","57.20809","56.17503","56.30172","1300041",""
"APH","2015-03-09T00:00:00-04:00","2015-03-09","56.26754","56.48241","56.0722","56.36521","1130442",""
"APH","2015-03-10T00:00:00-04:00","2015-03-10","55.91593","56.40428","55.81826","55.92569","1233749",""
"APH","2015-03-11T00:00:00-04:00","2015-03-11","56.03313","56.1601","55.77919","55.955","820622",""
"APH","2015-03-12T00:00:00-04:00","2015-03-12","56.02337","56.97076","55.96476","56.93169","710865",""
"APH","2015-03-13T00:00:00-04:00","2015-03-13","56.94146","57.1368","56.30661","56.59962","758986",""
"APH","2015-03-16T00:00:00-04:00","2015-03-16","56.86333","57.94746","56.75589","57.92793","1166379",""
"APH","2015-03-17T00:00:00-04:00","2015-03-17","57.63491","57.72282","57.12704","57.62515","958638",""
"APH","2015-03-18T00:00:00-04:00","2015-03-18","57.46888","59.09019","57.26377","58.79719","1087952",""
"APH","2015-03-19T00:00:00-04:00","2015-03-19","58.68975","58.85579","58.45534","58.57255","1175389",""
"APH","2015-03-20T00:00:00-04:00","2015-03-20","58.81672","59.12926","58.54324","58.65068","2096452",""
"APH","2015-03-23T00:00:00-04:00","2015-03-23","58.74835","58.82649","58.32837","58.34791","1400024",""
"APH","2015-03-24T00:00:00-04:00","2015-03-24","58.34791","58.53348","57.57632","57.71305","1074130",""
"APH","2015-03-25T00:00:00-04:00","2015-03-25","57.68375","57.88886","56.26754","56.26754","1079658",""
"APH","2015-03-26T00:00:00-04:00","2015-03-26","56.12103","56.36521","55.41782","56.1601","2106077",""
"APH","2015-03-27T00:00:00-04:00","2015-03-27","56.1894","56.42381","55.94523","56.29684","1309719",""
"APH","2015-03-30T00:00:00-04:00","2015-03-30","56.82426","57.49818","56.71682","57.40051","861884",""
"APH","2015-03-31T00:00:00-04:00","2015-03-31","56.97076","57.81072","56.80472","57.55678","1348933",""
"APH","2015-04-01T00:00:00-04:00","2015-04-01","57.29307","57.41027","56.48241","56.92192","1367158",""
"APH","2015-04-02T00:00:00-04:00","2015-04-02","56.68752","57.52748","56.68752","57.42981","860245",""
"APH","2015-04-06T00:00:00-04:00","2015-04-06","57.09773","57.81072","56.90239","57.59585","1041366",""
"APH","2015-04-07T00:00:00-04:00","2015-04-07","57.43958","57.64468","57.31261","57.46888","858914",""
"APH","2015-04-08T00:00:00-04:00","2015-04-08","57.41027","57.84002","57.1661","57.83025","743321",""
"APH","2015-04-09T00:00:00-04:00","2015-04-09","57.75212","58.07443","57.50795","57.91816","592097",""
"APH","2015-04-10T00:00:00-04:00","2015-04-10","57.91816","58.16233","57.76189","58.15257","552064",""
"APH","2015-04-13T00:00:00-04:00","2015-04-13","57.9963","58.22094","57.51771","57.63491","752433",""
"APH","2015-04-14T00:00:00-04:00","2015-04-14","57.43958","57.66422","57.08797","57.55678","855638",""
