symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ARNC","2015-01-02T00:00:00-05:00","2015-01-02","15.67371","15.78235","15.47618","15.68359","4695780",""
"ARNC","2015-01-05T00:00:00-05:00","2015-01-05","15.44656","15.45643","14.70583","14.77497","9765789",""
"ARNC","2015-01-06T00:00:00-05:00","2015-01-06","14.83422","15.17989","14.66633","14.88361","8724206",""
"ARNC","2015-01-07T00:00:00-05:00","2015-01-07","15.09101","15.37742","15.02187","15.26878","7181424",""
"ARNC","2015-01-08T00:00:00-05:00","2015-01-08","15.46631","15.85148","15.35767","15.70334","8856239",""
"ARNC","2015-01-09T00:00:00-05:00","2015-01-09","15.83173","15.95025","15.55519","15.91074","7533377",""
"ARNC","2015-01-12T00:00:00-05:00","2015-01-12","16.19715","16.22678","15.73297","15.97","13695697",""
"ARNC","2015-01-13T00:00:00-05:00","2015-01-13","16.26629","16.32555","15.50581","15.60458","17014142",""
"ARNC","2015-01-14T00:00:00-05:00","2015-01-14","15.26878","15.28853","14.36016","14.76509","24701928",""
"ARNC","2015-01-15T00:00:00-05:00","2015-01-15","14.97249","15.04163","14.71571","14.78484","11910922",""
"ARNC","2015-01-16T00:00:00-05:00","2015-01-16","14.77497","15.09101","14.77497","15.09101","9798291",""
"ARNC","2015-01-20T00:00:00-05:00","2015-01-20","15.17002","15.3873","14.87373","15.35767","11683610",""
"ARNC","2015-01-21T00:00:00-05:00","2015-01-21","15.35767","15.83173","15.23915","15.72309","9275120",""
"ARNC","2015-01-22T00:00:00-05:00","2015-01-22","15.83173","15.87124","15.51569","15.84161","6921611",""
"ARNC","2015-01-23T00:00:00-05:00","2015-01-23","15.60458","15.75272","15.34779","15.56507","8401110",""
"ARNC","2015-01-26T00:00:00-05:00","2015-01-26","15.51569","15.91074","15.36755","15.88111","5579409",""
"ARNC","2015-01-27T00:00:00-05:00","2015-01-27","15.52557","15.85148","15.52557","15.72309","7029546",""
