symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AVB","2015-01-02T00:00:00-05:00","2015-01-02","151.0948","153.3143","150.8645","152.7065","614350",""
"AVB","2015-01-05T00:00:00-05:00","2015-01-05","152.5683","153.784","152.0802","153.7379","1227398",""
"AVB","2015-01-06T00:00:00-05:00","2015-01-06","154.3274","156.4088","153.7564","155.8286","1067892",""
"AVB","2015-01-07T00:00:00-05:00","2015-01-07","156.9153","157.956","155.6444","157.6337","885802",""
"AVB","2015-01-08T00:00:00-05:00","2015-01-08","157.6337","159.4388","156.9429","159.098","852794",""
"AVB","2015-01-09T00:00:00-05:00","2015-01-09","159.448","160.6545","157.8087","159.5861","654959",""
"AVB","2015-01-12T00:00:00-05:00","2015-01-12","161.161","161.7688","160.2124","160.9676","800783",""
"AVB","2015-01-13T00:00:00-05:00","2015-01-13","161.3452","162.128","159.9729","160.8018","682213",""
"AVB","2015-01-14T00:00:00-05:00","2015-01-14","160.7097","162.9016","159.8532","162.874","735201",""
"AVB","2015-01-15T00:00:00-05:00","2015-01-15","163.0674","163.8318","162.5424","163.4726","655937",""
"AVB","2015-01-16T00:00:00-05:00","2015-01-16","163.8042","165.287","162.5424","164.9278","688728",""
"AVB","2015-01-20T00:00:00-05:00","2015-01-20","165.9685","166.3921","161.382","161.6952","1019031",""
"AVB","2015-01-21T00:00:00-05:00","2015-01-21","161.8701","163.2148","160.6545","162.9569","668640",""
"AVB","2015-01-22T00:00:00-05:00","2015-01-22","163.1963","165.3698","162.5977","164.8173","729772",""
"AVB","2015-01-23T00:00:00-05:00","2015-01-23","165.2133","165.6185","164.2462","164.762","611744",""
"AVB","2015-01-26T00:00:00-05:00","2015-01-26","164.5225","166.079","164.0252","166.0237","575370",""
"AVB","2015-01-27T00:00:00-05:00","2015-01-27","165.8119","166.9908","164.7896","165.2777","679607",""
"AVB","2015-01-28T00:00:00-05:00","2015-01-28","165.683","166.5947","163.1503","163.5187","1797013",""
"AVB","2015-01-29T00:00:00-05:00","2015-01-29","162.874","164.6607","160.5624","161.0781","1202315",""
"AVB","2015-01-30T00:00:00-05:00","2015-01-30","160.2492","161.9899","159.0428","159.319","1273436",""
"AVB","2015-02-02T00:00:00-05:00","2015-02-02","159.2085","159.2362","156.2522","159.0059","1123703",""
"AVB","2015-02-03T00:00:00-05:00","2015-02-03","159.3283","160.0742","157.1548","159.9545","853554",""
"AVB","2015-02-04T00:00:00-05:00","2015-02-04","159.8808","160.59","158.3428","159.6414","746602",""
"AVB","2015-02-05T00:00:00-05:00","2015-02-05","160.065","161.5846","159.4848","161.1702","832923",""
"AVB","2015-02-06T00:00:00-05:00","2015-02-06","161.1702","161.1702","155.101","155.7917","1181468",""
"AVB","2015-02-09T00:00:00-05:00","2015-02-09","155.8654","156.9153","154.8708","155.1286","1167461",""
"AVB","2015-02-10T00:00:00-05:00","2015-02-10","155.8101","156.8601","154.18","156.639","2074980",""
"AVB","2015-02-11T00:00:00-05:00","2015-02-11","157.0535","158.5915","155.7917","156.9706","964089",""
"AVB","2015-02-12T00:00:00-05:00","2015-02-12","157.4311","159.7243","156.5469","159.6874","927932",""
"AVB","2015-02-13T00:00:00-05:00","2015-02-13","159.2454","159.4388","156.5285","157.3205","637369",""
"AVB","2015-02-17T00:00:00-05:00","2015-02-17","156.8877","158.6007","156.5469","157.2469","691877",""
"AVB","2015-02-18T00:00:00-05:00","2015-02-18","157.2561","159.669","155.9943","159.5125","957357",""
"AVB","2015-02-19T00:00:00-05:00","2015-02-19","159.5125","159.5125","155.4325","155.672","1209916",""
"AVB","2015-02-20T00:00:00-05:00","2015-02-20","155.4602","157.5784","154.8431","157.4863","942156",""
"AVB","2015-02-23T00:00:00-05:00","2015-02-23","158.131","159.7519","157.5508","159.7519","859091",""
"AVB","2015-02-24T00:00:00-05:00","2015-02-24","159.0059","159.0704","154.7879","155.5523","1196778",""
"AVB","2015-02-25T00:00:00-05:00","2015-02-25","155.4694","157.2837","154.6129","154.705","755179",""
"AVB","2015-02-26T00:00:00-05:00","2015-02-26","154.7418","154.88","152.8354","153.0933","839112",""
"AVB","2015-02-27T00:00:00-05:00","2015-02-27","153.4432","155.0365","152.5775","155.0365","1159317",""
"AVB","2015-03-02T00:00:00-05:00","2015-03-02","155.1102","157.8455","155.0641","156.2522","728794",""
"AVB","2015-03-03T00:00:00-05:00","2015-03-03","155.322","156.0956","154.0787","155.4786","511524",""
"AVB","2015-03-04T00:00:00-05:00","2015-03-04","155.2299","156.1325","154.2261","154.8523","1073539",""
"AVB","2015-03-05T00:00:00-05:00","2015-03-05","155.3773","157.7902","155.2391","156.5009","756157",""
"AVB","2015-03-06T00:00:00-05:00","2015-03-06","154.5945","154.5945","150.8922","151.6289","1424146",""
"AVB","2015-03-09T00:00:00-04:00","2015-03-09","152.5591","153.7011","152.4486","153.3143","1073647",""
"AVB","2015-03-10T00:00:00-04:00","2015-03-10","153.2959","154.8615","153.1669","153.6551","939007",""
"AVB","2015-03-11T00:00:00-04:00","2015-03-11","153.4617","155.2299","153.3235","154.0695","884391",""
