symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AVGO","2015-01-02T00:00:00-05:00","2015-01-02","96.97282","98.20264","95.2434","96.16576","1405089",""
"AVGO","2015-01-05T00:00:00-05:00","2015-01-05","96.14655","96.86714","94.54202","94.62849","1623242",""
"AVGO","2015-01-06T00:00:00-05:00","2015-01-06","95.07046","95.19537","91.44827","92.47632","2309967",""
"AVGO","2015-01-07T00:00:00-05:00","2015-01-07","93.24496","95.4932","92.74534","94.97437","3216718",""
"AVGO","2015-01-08T00:00:00-05:00","2015-01-08","96.58851","100.2107","96.42518","99.7207","3470987",""
"AVGO","2015-01-09T00:00:00-05:00","2015-01-09","100.374","101.6519","98.55814","100.7776","2438819",""
"AVGO","2015-01-12T00:00:00-05:00","2015-01-12","100.9505","101.4982","98.69265","99.1154","1946101",""
"AVGO","2015-01-13T00:00:00-05:00","2015-01-13","100.4125","103.1699","97.74146","98.55814","2533012",""
"AVGO","2015-01-14T00:00:00-05:00","2015-01-14","97.23224","99.43246","96.0889","99.33638","2184549",""
"AVGO","2015-01-15T00:00:00-05:00","2015-01-15","99.49971","101.4021","97.08813","97.34753","1912274",""
"AVGO","2015-01-16T00:00:00-05:00","2015-01-16","96.74224","99.83599","96.37714","99.74952","1600136",""
"AVGO","2015-01-20T00:00:00-05:00","2015-01-20","99.62462","101.1138","98.55814","100.7584","1336708",""
"AVGO","2015-01-21T00:00:00-05:00","2015-01-21","100.2395","102.6895","100.0282","101.2484","1713480",""
"AVGO","2015-01-22T00:00:00-05:00","2015-01-22","101.8248","102.3148","97.53969","101.0754","2148017",""
"AVGO","2015-01-23T00:00:00-05:00","2015-01-23","100.9121","103.2852","100.1627","102.7856","1570369",""
"AVGO","2015-01-26T00:00:00-05:00","2015-01-26","102.555","102.8625","100.5182","102.5454","1000215",""
"AVGO","2015-01-27T00:00:00-05:00","2015-01-27","100.9505","101.8248","98.78873","100.6815","1586398",""
"AVGO","2015-01-28T00:00:00-05:00","2015-01-28","102.9201","104.0923","100.7487","100.8833","2425184",""
"AVGO","2015-01-29T00:00:00-05:00","2015-01-29","100.5278","102.4205","98.26028","102.3533","1648742",""
"AVGO","2015-01-30T00:00:00-05:00","2015-01-30","101.1619","102.5454","98.59657","98.84637","1762919",""
"AVGO","2015-02-02T00:00:00-05:00","2015-02-02","99.20187","99.43246","95.27222","98.4044","2246061",""
"AVGO","2015-02-03T00:00:00-05:00","2015-02-03","98.48127","99.65344","97.38597","99.15382","1601697",""
"AVGO","2015-02-04T00:00:00-05:00","2015-02-04","98.50049","101.1523","98.43323","100.6911","1733776",""
"AVGO","2015-02-05T00:00:00-05:00","2015-02-05","100.6334","102.0554","99.68227","102.0362","1726178",""
"AVGO","2015-02-06T00:00:00-05:00","2015-02-06","102.1035","102.9105","100.1723","100.6334","1111686",""
"AVGO","2015-02-09T00:00:00-05:00","2015-02-09","99.87442","100.2587","97.82793","98.23146","2117626",""
"AVGO","2015-02-10T00:00:00-05:00","2015-02-10","99.0001","103.2468","98.85598","102.8433","2122934",""
"AVGO","2015-02-11T00:00:00-05:00","2015-02-11","102.6031","104.0539","102.1611","103.708","1786857",""
"AVGO","2015-02-12T00:00:00-05:00","2015-02-12","104.5343","105.7257","104.2076","105.399","2193084",""
"AVGO","2015-02-13T00:00:00-05:00","2015-02-13","105.6872","105.8794","103.8521","105.8313","1521243",""
"AVGO","2015-02-17T00:00:00-05:00","2015-02-17","105.8794","106.9843","104.8129","106.5231","1593579",""
"AVGO","2015-02-18T00:00:00-05:00","2015-02-18","105.9947","106.2541","105.0051","105.6872","1736066",""
