symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AWK","2015-01-02T00:00:00-05:00","2015-01-02","50.18444","50.88119","50.08087","50.78703","977646",""
"AWK","2015-01-05T00:00:00-05:00","2015-01-05","50.81528","50.93768","49.80783","50.00555","751635",""
"AWK","2015-01-06T00:00:00-05:00","2015-01-06","50.14678","50.73996","49.82666","50.13737","1212685",""
"AWK","2015-01-07T00:00:00-05:00","2015-01-07","50.49516","51.03184","50.33509","50.77762","560991",""
"AWK","2015-01-08T00:00:00-05:00","2015-01-08","51.07891","51.5591","50.79645","50.97534","1443794",""
"AWK","2015-01-09T00:00:00-05:00","2015-01-09","51.08833","51.56852","50.68346","51.12599","684724",""
"AWK","2015-01-12T00:00:00-05:00","2015-01-12","51.3708","51.46495","50.53281","50.96593","957254",""
"AWK","2015-01-13T00:00:00-05:00","2015-01-13","51.50261","52.02046","50.69288","51.07891","1403647",""
"AWK","2015-01-14T00:00:00-05:00","2015-01-14","50.88119","52.01105","50.65522","51.9828","846904",""
"AWK","2015-01-15T00:00:00-05:00","2015-01-15","52.02987","52.21819","51.80391","52.02046","522756",""
"AWK","2015-01-16T00:00:00-05:00","2015-01-16","52.06754","52.50065","51.71917","52.45357","532952",""
"AWK","2015-01-20T00:00:00-05:00","2015-01-20","52.70779","52.91493","52.14286","52.85844","898415",""
"AWK","2015-01-21T00:00:00-05:00","2015-01-21","52.7737","53.28214","52.26526","53.25389","687167",""
"AWK","2015-01-22T00:00:00-05:00","2015-01-22","53.45161","53.5646","53.02792","53.22564","609847",""
"AWK","2015-01-23T00:00:00-05:00","2015-01-23","53.3198","53.67758","52.95259","53.25389","755352",""
"AWK","2015-01-26T00:00:00-05:00","2015-01-26","53.1974","53.5646","52.61364","53.53635","766823",""
"AWK","2015-01-27T00:00:00-05:00","2015-01-27","52.67954","53.59284","52.64188","53.47986","603687",""
"AWK","2015-01-28T00:00:00-05:00","2015-01-28","53.54576","53.96005","53.13148","53.35746","1001755",""
"AWK","2015-01-29T00:00:00-05:00","2015-01-29","53.58343","54.12011","53.27272","54.00713","625353",""
"AWK","2015-01-30T00:00:00-05:00","2015-01-30","53.98829","54.03537","52.81136","52.85844","882377",""
"AWK","2015-02-02T00:00:00-05:00","2015-02-02","52.88668","53.4422","52.44416","53.39512","545060",""
"AWK","2015-02-03T00:00:00-05:00","2015-02-03","53.11266","53.43278","52.88668","53.22564","723808",""
"AWK","2015-02-04T00:00:00-05:00","2015-02-04","52.97142","53.3198","52.34059","52.38766","825662",""
"AWK","2015-02-05T00:00:00-05:00","2015-02-05","52.78533","53.58066","52.52022","53.36289","824019",""
"AWK","2015-02-06T00:00:00-05:00","2015-02-06","53.36289","53.36289","51.6302","51.91425","1035041",""
"AWK","2015-02-09T00:00:00-05:00","2015-02-09","51.89532","52.02787","50.77807","51.07158","1249548",""
