symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AYI","2015-01-02T00:00:00-05:00","2015-01-02","140.3501","141.4711","137.1853","138.7727","269332",""
"AYI","2015-01-05T00:00:00-05:00","2015-01-05","137.6516","138.3957","135.0027","135.4393","188895",""
"AYI","2015-01-06T00:00:00-05:00","2015-01-06","135.4393","135.8063","132.1555","133.7428","306627",""
"AYI","2015-01-07T00:00:00-05:00","2015-01-07","135.3896","136.3916","134.2289","136.1139","420226",""
"AYI","2015-01-08T00:00:00-05:00","2015-01-08","137.85","141.1537","136.9174","140.8759","530902",""
"AYI","2015-01-09T00:00:00-05:00","2015-01-09","150.1221","153.5051","147.8006","150.3007","1152019",""
"AYI","2015-01-12T00:00:00-05:00","2015-01-12","153.4753","154.3682","148.9415","151.8781","781587",""
"AYI","2015-01-13T00:00:00-05:00","2015-01-13","153.2868","154.7353","149.2987","151.7491","471432",""
"AYI","2015-01-14T00:00:00-05:00","2015-01-14","149.8741","151.5904","148.4355","149.6756","432423",""
"AYI","2015-01-15T00:00:00-05:00","2015-01-15","149.8939","150.8463","147.1062","147.6915","492902",""
"AYI","2015-01-16T00:00:00-05:00","2015-01-16","147.5525","149.727","145.9141","149.5781","373130",""
"AYI","2015-01-20T00:00:00-05:00","2015-01-20","150.4519","150.9583","146.2815","148.9426","403443",""
"AYI","2015-01-21T00:00:00-05:00","2015-01-21","149.0816","149.9852","147.334","148.9227","266075",""
"AYI","2015-01-22T00:00:00-05:00","2015-01-22","150.0547","150.4122","147.2347","149.588","400221",""
"AYI","2015-01-23T00:00:00-05:00","2015-01-23","149.4391","154.5031","148.8632","150.7994","750087",""
"AYI","2015-01-26T00:00:00-05:00","2015-01-26","151.3356","153.9074","150.9384","153.0038","320761",""
"AYI","2015-01-27T00:00:00-05:00","2015-01-27","150.5016","153.1825","150.442","152.2094","334356",""
"AYI","2015-01-28T00:00:00-05:00","2015-01-28","153.1329","153.1627","150.154","150.6108","210584",""
"AYI","2015-01-29T00:00:00-05:00","2015-01-29","150.9285","151.5243","148.7837","150.8491","296993",""
"AYI","2015-01-30T00:00:00-05:00","2015-01-30","151.6037","152.1598","148.4064","148.8334","471020",""
"AYI","2015-02-02T00:00:00-05:00","2015-02-02","149.9951","150.5313","147.2745","150.4717","291353",""
"AYI","2015-02-03T00:00:00-05:00","2015-02-03","150.7796","153.2619","150.1342","153.1924","554005",""
"AYI","2015-02-04T00:00:00-05:00","2015-02-04","152.7555","153.7286","151.4746","151.8917","233042",""
"AYI","2015-02-05T00:00:00-05:00","2015-02-05","151.8222","153.9074","151.5044","152.974","155798",""
"AYI","2015-02-06T00:00:00-05:00","2015-02-06","152.9442","153.8478","151.8917","153.1527","225690",""
"AYI","2015-02-09T00:00:00-05:00","2015-02-09","152.8052","156.6777","152.5867","156.5585","617452",""
"AYI","2015-02-10T00:00:00-05:00","2015-02-10","158.048","160.4509","156.7075","159.3885","357822",""
"AYI","2015-02-11T00:00:00-05:00","2015-02-11","159.7757","160.6098","158.4749","159.7558","296288",""
"AYI","2015-02-12T00:00:00-05:00","2015-02-12","160.997","161.5531","160.1927","161.4736","205347",""
"AYI","2015-02-13T00:00:00-05:00","2015-02-13","161.3048","162.4666","160.153","162.2481","383100",""
"AYI","2015-02-17T00:00:00-05:00","2015-02-17","161.99","162.6056","159.2594","162.3375","301122",""
"AYI","2015-02-18T00:00:00-05:00","2015-02-18","161.851","162.973","160.292","160.6694","422578",""
