symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BA","2015-01-02T00:00:00-05:00","2015-01-02","120.938","121.6485","119.1111","119.9046","4653961",""
"BA","2015-01-05T00:00:00-05:00","2015-01-05","119.637","119.8769","118.6682","119.0742","5445661",""
"BA","2015-01-06T00:00:00-05:00","2015-01-06","118.4467","119.6001","116.426","117.6717","5411089",""
"BA","2015-01-07T00:00:00-05:00","2015-01-07","118.7881","119.923","118.7697","119.4986","3872448",""
"BA","2015-01-08T00:00:00-05:00","2015-01-08","120.5043","121.7869","120.3198","121.6116","4880579",""
"BA","2015-01-09T00:00:00-05:00","2015-01-09","121.4178","122.036","120.8088","121.3717","3312352",""
"BA","2015-01-12T00:00:00-05:00","2015-01-12","122.0176","122.036","119.9046","120.7535","3850231",""
"BA","2015-01-13T00:00:00-05:00","2015-01-13","121.7961","123.5585","120.1076","121.0303","3729931",""
"BA","2015-01-14T00:00:00-05:00","2015-01-14","118.9819","121.141","118.9819","120.3013","3857709",""
"BA","2015-01-15T00:00:00-05:00","2015-01-15","120.1814","121.6393","119.6739","120.0799","4228795",""
"BA","2015-01-16T00:00:00-05:00","2015-01-16","119.72","120.8919","119.1295","120.6704","4796369",""
"BA","2015-01-20T00:00:00-05:00","2015-01-20","121.2886","121.7961","119.4432","121.0764","3407074",""
"BA","2015-01-21T00:00:00-05:00","2015-01-21","120.7535","122.5989","120.4767","122.1744","3141440",""
"BA","2015-01-22T00:00:00-05:00","2015-01-22","123.0694","125.6807","122.765","125.1547","5387679",""
"BA","2015-01-23T00:00:00-05:00","2015-01-23","125.0902","125.2839","124.1951","124.2136","4149029",""
"BA","2015-01-26T00:00:00-05:00","2015-01-26","124.5642","124.7949","123.2078","123.7061","4227277",""
"BA","2015-01-27T00:00:00-05:00","2015-01-27","122.1652","122.7096","120.6335","122.239","5683117",""
"BA","2015-01-28T00:00:00-05:00","2015-01-28","125.7637","130.9216","125.4131","128.8455","15557747",""
"BA","2015-01-29T00:00:00-05:00","2015-01-29","128.8917","136.7899","128.8363","136.3563","16431923",""
"BA","2015-01-30T00:00:00-05:00","2015-01-30","134.9169","135.4982","133.2099","134.1326","12215375",""
"BA","2015-02-02T00:00:00-05:00","2015-02-02","132.6101","135.2583","131.9919","134.9538","7359722",""
"BA","2015-02-03T00:00:00-05:00","2015-02-03","135.0553","136.5593","134.88","135.9503","6478935",""
"BA","2015-02-04T00:00:00-05:00","2015-02-04","134.6862","136.9191","134.6493","135.8396","5165504",""
"BA","2015-02-05T00:00:00-05:00","2015-02-05","135.8765","137.362","135.1383","137.1129","4608876",""
"BA","2015-02-06T00:00:00-05:00","2015-02-06","136.6792","137.3805","136.2825","136.5593","4767216",""
"BA","2015-02-09T00:00:00-05:00","2015-02-09","134.8615","136.7069","134.3725","136.1718","4555446",""
"BA","2015-02-10T00:00:00-05:00","2015-02-10","136.7438","137.2144","136.0979","136.5962","4372829",""
"BA","2015-02-11T00:00:00-05:00","2015-02-11","136.884","137.7567","136.559","137.3296","3524971",""
"BA","2015-02-12T00:00:00-05:00","2015-02-12","137.6453","137.9331","137.1068","137.4874","3230164",""
