symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BBBY","2015-01-02T00:00:00-05:00","2015-01-02","76.81072","76.81072","74.63656","75.14582","2802664",""
"BBBY","2015-01-05T00:00:00-05:00","2015-01-05","75.00871","75.03809","73.94122","74.28399","3411535",""
"BBBY","2015-01-06T00:00:00-05:00","2015-01-06","74.96954","75.15561","73.84328","73.87266","3445333",""
"BBBY","2015-01-07T00:00:00-05:00","2015-01-07","74.43089","76.62464","74.43089","76.59526","4539421",""
"BBBY","2015-01-08T00:00:00-05:00","2015-01-08","76.76175","77.99574","76.76175","77.80966","7158087",""
"BBBY","2015-01-09T00:00:00-05:00","2015-01-09","73.5103","74.54842","70.88563","72.56033","11972486",""
"BBBY","2015-01-12T00:00:00-05:00","2015-01-12","72.7562","73.07938","71.64953","71.90416","4323156",""
"BBBY","2015-01-13T00:00:00-05:00","2015-01-13","72.24693","73.2067","71.82581","72.61909","3215896",""
"BBBY","2015-01-14T00:00:00-05:00","2015-01-14","71.62015","72.92268","71.49283","72.61909","2721896",""
"BBBY","2015-01-15T00:00:00-05:00","2015-01-15","72.70723","72.95206","70.28822","70.67017","4486427",""
"BBBY","2015-01-16T00:00:00-05:00","2015-01-16","70.40575","72.12941","69.87689","72.02168","2187156",""
"BBBY","2015-01-20T00:00:00-05:00","2015-01-20","71.96292","72.14899","70.81708","71.79642","3263274",""
"BBBY","2015-01-21T00:00:00-05:00","2015-01-21","71.44386","73.26546","71.21861","73.19691","2480308",""
"BBBY","2015-01-22T00:00:00-05:00","2015-01-22","73.5201","74.92057","73.2067","74.53862","3122467",""
"BBBY","2015-01-23T00:00:00-05:00","2015-01-23","74.46027","75.38087","74.30358","75.03809","1945670",""
"BBBY","2015-01-26T00:00:00-05:00","2015-01-26","75.6257","76.95763","75.43963","76.3994","3023830",""
"BBBY","2015-01-27T00:00:00-05:00","2015-01-27","75.81178","76.37002","75.49838","75.82157","1999175",""
"BBBY","2015-01-28T00:00:00-05:00","2015-01-28","75.83137","76.52671","74.88139","74.95975","2083108",""
"BBBY","2015-01-29T00:00:00-05:00","2015-01-29","74.97932","75.70406","74.73449","75.26334","1850608",""
"BBBY","2015-01-30T00:00:00-05:00","2015-01-30","74.90099","75.08706","73.14794","73.22628","3202315",""
