symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BBT","2015-01-02T00:00:00-05:00","2015-01-02","36.03235","36.18933","35.33054","35.69069","2354258",""
"BBT","2015-01-05T00:00:00-05:00","2015-01-05","35.51523","35.5337","34.49022","34.56409","5291667",""
"BBT","2015-01-06T00:00:00-05:00","2015-01-06","34.6195","34.78572","33.71453","33.88999","5752664",""
"BBT","2015-01-07T00:00:00-05:00","2015-01-07","34.42558","34.46252","33.90846","34.34247","5363898",""
"BBT","2015-01-08T00:00:00-05:00","2015-01-08","34.64721","35.00734","34.58257","34.915","5861497",""
"BBT","2015-01-09T00:00:00-05:00","2015-01-09","34.92423","35.01657","33.94539","34.01004","3812296",""
"BBT","2015-01-12T00:00:00-05:00","2015-01-12","34.06544","34.10238","33.52061","33.69607","3187887",""
"BBT","2015-01-13T00:00:00-05:00","2015-01-13","33.99157","34.36094","33.41904","33.64066","4105225",""
"BBT","2015-01-14T00:00:00-05:00","2015-01-14","33.10507","33.28976","32.27398","32.92962","7469519",""
"BBT","2015-01-15T00:00:00-05:00","2015-01-15","32.94809","33.14201","32.59718","32.78187","6298779",""
"BBT","2015-01-16T00:00:00-05:00","2015-01-16","32.60642","33.3544","32.60642","33.26205","5108221",""
"BBT","2015-01-20T00:00:00-05:00","2015-01-20","33.29899","33.43751","32.83728","33.02196","4294410",""
"BBT","2015-01-21T00:00:00-05:00","2015-01-21","32.93885","33.28053","32.75417","32.91115","5268493",""
"BBT","2015-01-22T00:00:00-05:00","2015-01-22","33.42827","34.25013","33.20665","34.08391","5558606",""
"BBT","2015-01-23T00:00:00-05:00","2015-01-23","34.11161","34.25936","33.77918","34.0008","4237449",""
"BBT","2015-01-26T00:00:00-05:00","2015-01-26","34.01004","34.22243","33.68683","34.15779","4454898",""
"BBT","2015-01-27T00:00:00-05:00","2015-01-27","33.74224","33.88075","33.45597","33.51138","4289104",""
"BBT","2015-01-28T00:00:00-05:00","2015-01-28","33.69607","33.76994","32.62489","32.65259","5941525",""
"BBT","2015-01-29T00:00:00-05:00","2015-01-29","32.78187","33.00349","32.52331","32.93885","5377001",""
"BBT","2015-01-30T00:00:00-05:00","2015-01-30","32.56948","33.19741","32.39403","32.58795","5922249",""
"BBT","2015-02-02T00:00:00-05:00","2015-02-02","32.77264","33.27129","32.54178","33.20665","4110964",""
"BBT","2015-02-03T00:00:00-05:00","2015-02-03","33.40057","33.80688","33.34517","33.68683","5732089",""
"BBT","2015-02-04T00:00:00-05:00","2015-02-04","33.63143","33.86229","33.52061","33.58525","4062774",""
"BBT","2015-02-05T00:00:00-05:00","2015-02-05","33.7053","34.2686","33.63143","34.25013","4251527",""
"BBT","2015-02-06T00:00:00-05:00","2015-02-06","34.67491","35.39519","34.5918","35.11815","5894959",""
"BBT","2015-02-09T00:00:00-05:00","2015-02-09","34.84113","34.92423","34.64721","34.76725","3699131",""
"BBT","2015-02-10T00:00:00-05:00","2015-02-10","35.03505","35.09969","34.67491","34.915","2126954",""
"BBT","2015-02-11T00:00:00-05:00","2015-02-11","34.86853","34.95218","34.58044","34.76631","2679021",""
"BBT","2015-02-12T00:00:00-05:00","2015-02-12","34.94288","35.63058","34.84066","35.612","5707648",""
"BBT","2015-02-13T00:00:00-05:00","2015-02-13","35.68635","35.83504","35.37967","35.57483","3098462",""
"BBT","2015-02-17T00:00:00-05:00","2015-02-17","35.53765","35.80716","35.31461","35.72352","3822100",""
"BBT","2015-02-18T00:00:00-05:00","2015-02-18","35.60271","35.60271","35.11016","35.14733","4259942",""
"BBT","2015-02-19T00:00:00-05:00","2015-02-19","34.98935","35.29602","34.73843","35.12875","3987380",""
"BBT","2015-02-20T00:00:00-05:00","2015-02-20","34.99864","35.50048","34.6269","35.49118","6050260",""
"BBT","2015-02-23T00:00:00-05:00","2015-02-23","35.28673","35.31461","35.09157","35.28673","3502516",""
"BBT","2015-02-24T00:00:00-05:00","2015-02-24","35.28673","35.55624","35.08228","35.51907","4834010",""
"BBT","2015-02-25T00:00:00-05:00","2015-02-25","35.46331","35.76069","35.3332","35.63058","3706749",""
"BBT","2015-02-26T00:00:00-05:00","2015-02-26","35.55624","35.76999","35.46331","35.69564","3124072",""
"BBT","2015-02-27T00:00:00-05:00","2015-02-27","35.59341","35.7421","35.3332","35.36108","3676404",""
"BBT","2015-03-02T00:00:00-05:00","2015-03-02","35.36108","35.7421","35.22168","35.68635","3479488",""
"BBT","2015-03-03T00:00:00-05:00","2015-03-03","35.50977","35.67705","35.30532","35.4726","3029273",""
"BBT","2015-03-04T00:00:00-05:00","2015-03-04","35.28673","35.31461","35.06369","35.13804","3109653",""
"BBT","2015-03-05T00:00:00-05:00","2015-03-05","35.08228","35.3239","34.88712","35.28673","2367507",""
"BBT","2015-03-06T00:00:00-05:00","2015-03-06","35.51907","36.24394","35.44472","35.7421","5270991",""
"BBT","2015-03-09T00:00:00-04:00","2015-03-09","35.7421","35.94656","35.59341","35.84433","2724645",""
"BBT","2015-03-10T00:00:00-04:00","2015-03-10","35.31461","35.42613","34.915","34.915","3329273",""
"BBT","2015-03-11T00:00:00-04:00","2015-03-11","35.01723","35.50048","34.96146","35.28673","3746132",""
"BBT","2015-03-12T00:00:00-04:00","2015-03-12","35.64917","36.29971","35.29602","36.23465","5536127",""
"BBT","2015-03-13T00:00:00-04:00","2015-03-13","36.24394","36.36476","35.72352","36.16031","4704347",""
"BBT","2015-03-16T00:00:00-04:00","2015-03-16","36.27182","36.49487","36.04879","36.45769","3228233",""
"BBT","2015-03-17T00:00:00-04:00","2015-03-17","36.19748","36.67144","36.11384","36.66214","4707683",""
"BBT","2015-03-18T00:00:00-04:00","2015-03-18","36.60638","36.98741","36.54133","36.90377","7267048",""
"BBT","2015-03-19T00:00:00-04:00","2015-03-19","36.7179","36.83871","36.39264","36.76437","8069668",""
"BBT","2015-03-20T00:00:00-04:00","2015-03-20","37.006","37.25692","36.77366","36.9967","7219918",""
"BBT","2015-03-23T00:00:00-04:00","2015-03-23","36.9967","37.33126","36.7179","36.7179","3728807",""
"BBT","2015-03-24T00:00:00-04:00","2015-03-24","36.64356","36.70861","36.32758","36.35546","4092187",""
"BBT","2015-03-25T00:00:00-04:00","2015-03-25","36.34617","36.34617","35.63058","35.76069","4199038",""
"BBT","2015-03-26T00:00:00-04:00","2015-03-26","35.77928","36.05808","35.42613","35.92797","3909367",""
"BBT","2015-03-27T00:00:00-04:00","2015-03-27","36.11384","36.16031","35.612","35.76999","4967009",""
