symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BDX","2015-01-02T00:00:00-05:00","2015-01-02","134.1009","134.6841","133.25","133.7089","1477166",""
"BDX","2015-01-05T00:00:00-05:00","2015-01-05","133.4891","136.1755","133.4891","134.5311","1454363",""
"BDX","2015-01-06T00:00:00-05:00","2015-01-06","135.2768","135.5923","133.1258","134.273","2421602",""
"BDX","2015-01-07T00:00:00-05:00","2015-01-07","134.7223","137.6382","134.7223","137.4183","1440242",""
"BDX","2015-01-08T00:00:00-05:00","2015-01-08","138.6037","140.2863","138.3265","139.9231","1403632",""
"BDX","2015-01-09T00:00:00-05:00","2015-01-09","138.728","139.4355","138.0015","138.2691","945377",""
"BDX","2015-01-12T00:00:00-05:00","2015-01-12","138.4317","138.642","136.6822","137.2462","926759",""
"BDX","2015-01-13T00:00:00-05:00","2015-01-13","138.6516","139.2443","134.5407","135.4871","1769001",""
"BDX","2015-01-14T00:00:00-05:00","2015-01-14","134.1965","135.4106","132.8676","134.6171","1769314",""
"BDX","2015-01-15T00:00:00-05:00","2015-01-15","135.3246","135.8504","134.2921","134.4833","1249241",""
"BDX","2015-01-16T00:00:00-05:00","2015-01-16","134.2156","134.7032","132.9728","134.2061","1399971",""
"BDX","2015-01-20T00:00:00-05:00","2015-01-20","135.0952","135.793","132.9728","134.1105","1278111",""
"BDX","2015-01-21T00:00:00-05:00","2015-01-21","135.382","136.8255","134.1105","136.5674","1330934",""
"BDX","2015-01-22T00:00:00-05:00","2015-01-22","136.5674","139.1391","136.1181","138.7854","1074350",""
"BDX","2015-01-23T00:00:00-05:00","2015-01-23","137.8963","138.1353","136.8447","137.0932","859082",""
"BDX","2015-01-26T00:00:00-05:00","2015-01-26","136.4814","137.2558","135.4393","137.1793","760549",""
"BDX","2015-01-27T00:00:00-05:00","2015-01-27","136.0321","136.7108","134.837","135.9651","815987",""
"BDX","2015-01-28T00:00:00-05:00","2015-01-28","136.5961","137.2749","134.359","134.6267","1162946",""
"BDX","2015-01-29T00:00:00-05:00","2015-01-29","134.4164","134.4642","132.6478","134.1391","1260434",""
"BDX","2015-01-30T00:00:00-05:00","2015-01-30","132.9346","133.8332","131.9403","132.0072","1674860",""
"BDX","2015-02-02T00:00:00-05:00","2015-02-02","131.3093","133.6516","130.0378","133.3839","1531872",""
"BDX","2015-02-03T00:00:00-05:00","2015-02-03","134.512","135.6019","133.7758","135.0187","1018075",""
"BDX","2015-02-04T00:00:00-05:00","2015-02-04","134.4546","134.9135","132.9824","133.7663","1578419",""
"BDX","2015-02-05T00:00:00-05:00","2015-02-05","137.4374","139.7988","136.7778","138.9001","1867639",""
"BDX","2015-02-06T00:00:00-05:00","2015-02-06","139.0053","140.076","136.338","137.0168","1743164",""
"BDX","2015-02-09T00:00:00-05:00","2015-02-09","136.9212","136.9212","134.1583","134.751","1188887",""
"BDX","2015-02-10T00:00:00-05:00","2015-02-10","135.1716","136.1659","134.8657","135.5732","1017970",""
"BDX","2015-02-11T00:00:00-05:00","2015-02-11","135.8313","136.3762","134.3877","135.5923","1018179",""
"BDX","2015-02-12T00:00:00-05:00","2015-02-12","137.925","138.3456","135.9269","136.7013","1406351",""
