symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BHI","2015-01-02T00:00:00-05:00","2015-01-02","55.87","56.79","55.69","56.17","2788000",""
"BHI","2015-01-05T00:00:00-05:00","2015-01-05","55.33","55.66","54.96","55.16","5565200",""
"BHI","2015-01-06T00:00:00-05:00","2015-01-06","55.04","55.8","54.73","54.99","5938200",""
"BHI","2015-01-07T00:00:00-05:00","2015-01-07","55.66","56.48","55.48","56.47","3921000",""
"BHI","2015-01-08T00:00:00-05:00","2015-01-08","57.05","57.2","56.32","57.03","4405100",""
"BHI","2015-01-09T00:00:00-05:00","2015-01-09","57.26","57.31","56.36","56.47","2790400",""
"BHI","2015-01-12T00:00:00-05:00","2015-01-12","55.29","55.61","54.86","55.09","5785800",""
"BHI","2015-01-13T00:00:00-05:00","2015-01-13","55.53","56.22","55.13","55.24","5768300",""
"BHI","2015-01-14T00:00:00-05:00","2015-01-14","54.68","55.41","53.72","54.81","7385300",""
"BHI","2015-01-15T00:00:00-05:00","2015-01-15","55.5","55.91","53.48","53.53","5277900",""
"BHI","2015-01-16T00:00:00-05:00","2015-01-16","54.02","56.69","54.02","56.56","5642100",""
"BHI","2015-01-20T00:00:00-05:00","2015-01-20","56.52","57.5","55.09","57.26","6731600",""
"BHI","2015-01-21T00:00:00-05:00","2015-01-21","57.46","58.41","57","58.33","4906700",""
"BHI","2015-01-22T00:00:00-05:00","2015-01-22","58.49","58.77","57.69","58.21","4268900",""
"BHI","2015-01-23T00:00:00-05:00","2015-01-23","58.42","59.5","57.95","58.4","3905500",""
"BHI","2015-01-26T00:00:00-05:00","2015-01-26","58.79","58.95","57.91","58.93","4892900",""
"BHI","2015-01-27T00:00:00-05:00","2015-01-27","58.58","59.56","58.4","59.29","4767400",""
"BHI","2015-01-28T00:00:00-05:00","2015-01-28","59.12","59.13","56.94","56.95","5322900",""
"BHI","2015-01-29T00:00:00-05:00","2015-01-29","57.39","57.47","55.62","57.08","4099100",""
"BHI","2015-01-30T00:00:00-05:00","2015-01-30","56.45","58.53","56.29","57.99","5863700",""
"BHI","2015-02-02T00:00:00-05:00","2015-02-02","58.93","59.76","58.25","59.73","4684300",""
"BHI","2015-02-03T00:00:00-05:00","2015-02-03","60.78","62.13","60.77","61.77","7904900",""
"BHI","2015-02-04T00:00:00-05:00","2015-02-04","60.61","61.49","60.21","60.98","5058200",""
"BHI","2015-02-05T00:00:00-05:00","2015-02-05","61.76","62.75","61.63","62.28","6270500",""
"BHI","2015-02-06T00:00:00-05:00","2015-02-06","62.85","63.43","62.18","62.67","5640400",""
"BHI","2015-02-09T00:00:00-05:00","2015-02-09","62.98","63.63","62.8","62.86","5319600",""
"BHI","2015-02-10T00:00:00-05:00","2015-02-10","62.64","62.77","61.14","62.06","4535000",""
"BHI","2015-02-11T00:00:00-05:00","2015-02-11","61.27","61.62","60.7","61.59","3714100",""
"BHI","2015-02-12T00:00:00-05:00","2015-02-12","62.37","62.95","62.03","62.38","4091600",""
"BHI","2015-02-13T00:00:00-05:00","2015-02-13","63.24","64.41","63","64.31","4721800",""
"BHI","2015-02-17T00:00:00-05:00","2015-02-17","64.5","65.04","63.5","65.04","4772800",""
"BHI","2015-02-18T00:00:00-05:00","2015-02-18","64.42","64.99","64.01","64.45","3330700",""
"BHI","2015-02-19T00:00:00-05:00","2015-02-19","62.75","64.89","62.75","64.27","5243900",""
"BHI","2015-02-20T00:00:00-05:00","2015-02-20","64.17","64.34","63.32","63.49","4292800",""
"BHI","2015-02-23T00:00:00-05:00","2015-02-23","62.78","63.32","62.41","62.92","3906100",""
"BHI","2015-02-24T00:00:00-05:00","2015-02-24","63.38","63.61","61.31","63.03","6580300",""
"BHI","2015-02-25T00:00:00-05:00","2015-02-25","63.08","63.74","62.61","63.68","3093900",""
"BHI","2015-02-26T00:00:00-05:00","2015-02-26","63.13","63.31","62.3","62.5","2946100",""
"BHI","2015-02-27T00:00:00-05:00","2015-02-27","62.7","63.09","62.45","62.51","2654600",""
"BHI","2015-03-02T00:00:00-05:00","2015-03-02","61.93","62.64","61.49","62.55","2657500",""
"BHI","2015-03-03T00:00:00-05:00","2015-03-03","62.47","63.13","62.12","62.65","3229100",""
"BHI","2015-03-04T00:00:00-05:00","2015-03-04","62.55","62.64","61.95","62.46","3171500",""
"BHI","2015-03-05T00:00:00-05:00","2015-03-05","62.09","62.29","61.82","62.1","3199200",""
"BHI","2015-03-06T00:00:00-05:00","2015-03-06","61.58","62.01","60.79","60.92","5552100",""
"BHI","2015-03-09T00:00:00-04:00","2015-03-09","60.75","61.52","60.52","60.61","4072300",""
"BHI","2015-03-10T00:00:00-04:00","2015-03-10","59.87","60.86","59.69","60.07","4137000",""
"BHI","2015-03-11T00:00:00-04:00","2015-03-11","59.85","60.6","59.6","60.17","3875400",""
"BHI","2015-03-12T00:00:00-04:00","2015-03-12","60.25","60.44","59.69","59.73","3326700",""
"BHI","2015-03-13T00:00:00-04:00","2015-03-13","59.16","59.2","58.41","58.87","3842400",""
"BHI","2015-03-16T00:00:00-04:00","2015-03-16","58.15","59.99","57.79","59.94","5063500",""
"BHI","2015-03-17T00:00:00-04:00","2015-03-17","59.8","59.92","59.09","59.25","3752900",""
"BHI","2015-03-18T00:00:00-04:00","2015-03-18","58.89","60.79","58.82","60.76","4364200",""
"BHI","2015-03-19T00:00:00-04:00","2015-03-19","59.89","61.05","59.69","60.93","2699400",""
"BHI","2015-03-20T00:00:00-04:00","2015-03-20","61.62","62.74","61.46","62.47","6437800",""
"BHI","2015-03-23T00:00:00-04:00","2015-03-23","62.51","63.2","62.04","62.05","2587600",""
"BHI","2015-03-24T00:00:00-04:00","2015-03-24","62.11","62.64","61.88","62.3","2849100",""
"BHI","2015-03-25T00:00:00-04:00","2015-03-25","62.66","64.09","62.46","63.3","5132400",""
"BHI","2015-03-26T00:00:00-04:00","2015-03-26","64.03","64.5","62.77","62.84","5053700",""
"BHI","2015-03-27T00:00:00-04:00","2015-03-27","62.78","63.21","62.17","62.79","2559600",""
"BHI","2015-03-30T00:00:00-04:00","2015-03-30","63.05","63.75","62.93","63.48","2259500",""
"BHI","2015-03-31T00:00:00-04:00","2015-03-31","63.15","63.97","62.85","63.58","2975200",""
"BHI","2015-04-01T00:00:00-04:00","2015-04-01","63.85","64.31","63.31","63.83","3796500",""
"BHI","2015-04-02T00:00:00-04:00","2015-04-02","63.5","64.45","63.39","63.76","4331600",""
"BHI","2015-04-06T00:00:00-04:00","2015-04-06","64.18","66.33","63.94","65.66","3425600",""
"BHI","2015-04-07T00:00:00-04:00","2015-04-07","65.73","66.1","64.17","64.33","2986100",""
"BHI","2015-04-08T00:00:00-04:00","2015-04-08","64.51","65","63.8","64.22","2724900",""
"BHI","2015-04-09T00:00:00-04:00","2015-04-09","64.43","66.45","64.43","65.88","4132400",""
"BHI","2015-04-10T00:00:00-04:00","2015-04-10","65.87","66.62","65.7","66.54","2663500",""
"BHI","2015-04-13T00:00:00-04:00","2015-04-13","66.59","66.8","65.37","65.6","1617800",""
