symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BIIB","2015-01-02T00:00:00-05:00","2015-01-02","342.01","346.99","340.33","342.01","976700",""
"BIIB","2015-01-05T00:00:00-05:00","2015-01-05","339.27","342","335.13","336.74","1253100",""
"BIIB","2015-01-06T00:00:00-05:00","2015-01-06","339.98","346.64","334.4","334.65","1898100",""
"BIIB","2015-01-07T00:00:00-05:00","2015-01-07","338.09","354","338.05","353.24","2484200",""
"BIIB","2015-01-08T00:00:00-05:00","2015-01-08","359.42","360","341.71","350.25","4286900",""
"BIIB","2015-01-09T00:00:00-05:00","2015-01-09","349.78","352.08","338.24","342.34","2562100",""
"BIIB","2015-01-12T00:00:00-05:00","2015-01-12","345.5","350","343.71","347.84","1899100",""
"BIIB","2015-01-13T00:00:00-05:00","2015-01-13","352.81","361.91","348.35","352.74","2489400",""
"BIIB","2015-01-14T00:00:00-05:00","2015-01-14","348","355.61","347.52","348.75","1429900",""
"BIIB","2015-01-15T00:00:00-05:00","2015-01-15","350.04","354.55","339.66","339.88","1667700",""
"BIIB","2015-01-16T00:00:00-05:00","2015-01-16","339.37","353.44","339.35","352.75","1672900",""
"BIIB","2015-01-20T00:00:00-05:00","2015-01-20","354.5","365.19","350.64","363.28","2076300",""
"BIIB","2015-01-21T00:00:00-05:00","2015-01-21","361.41","366.17","358.22","361.83","1336900",""
"BIIB","2015-01-22T00:00:00-05:00","2015-01-22","364","364","349.49","353.65","2322800",""
"BIIB","2015-01-23T00:00:00-05:00","2015-01-23","353.09","359.87","352.03","357.53","1077600",""
"BIIB","2015-01-26T00:00:00-05:00","2015-01-26","357.85","362.84","355.45","362.44","1330500",""
"BIIB","2015-01-27T00:00:00-05:00","2015-01-27","358.28","364.76","357.13","357.89","1446300",""
"BIIB","2015-01-28T00:00:00-05:00","2015-01-28","360.29","361.38","350.5","351.18","1485900",""
"BIIB","2015-01-29T00:00:00-05:00","2015-01-29","351.53","354.61","345.76","353.25","1707700",""
"BIIB","2015-01-30T00:00:00-05:00","2015-01-30","372.75","397","372.75","389.16","4029800",""
"BIIB","2015-02-02T00:00:00-05:00","2015-02-02","389.03","394.98","382","390","1832600",""
"BIIB","2015-02-03T00:00:00-05:00","2015-02-03","390.73","395.5","386.34","393.89","1781400",""
"BIIB","2015-02-04T00:00:00-05:00","2015-02-04","388.6","394.48","381.36","391.12","2166000",""
"BIIB","2015-02-05T00:00:00-05:00","2015-02-05","393.7","402.4","390.11","401.79","1576200",""
"BIIB","2015-02-06T00:00:00-05:00","2015-02-06","400.3","407.94","399","402","1640400",""
"BIIB","2015-02-09T00:00:00-05:00","2015-02-09","398.03","402.84","396.46","396.88","1440700",""
"BIIB","2015-02-10T00:00:00-05:00","2015-02-10","398","400.86","394.06","395.13","1811600",""
"BIIB","2015-02-11T00:00:00-05:00","2015-02-11","394.86","396.86","388.53","390","1766300",""
"BIIB","2015-02-12T00:00:00-05:00","2015-02-12","394.64","395","386.14","392.11","1755100",""
"BIIB","2015-02-13T00:00:00-05:00","2015-02-13","391.68","394.39","387.24","391.66","1180100",""
"BIIB","2015-02-17T00:00:00-05:00","2015-02-17","389.11","402.29","388.67","397.91","1321100",""
"BIIB","2015-02-18T00:00:00-05:00","2015-02-18","396.83","401.87","396.52","401.12","782800",""
"BIIB","2015-02-19T00:00:00-05:00","2015-02-19","401.04","408.24","400.56","406.73","1144300",""
"BIIB","2015-02-20T00:00:00-05:00","2015-02-20","406.8","409.03","403.36","408.05","945900",""
"BIIB","2015-02-23T00:00:00-05:00","2015-02-23","408.25","411.32","406.23","408.58","955200",""
"BIIB","2015-02-24T00:00:00-05:00","2015-02-24","410.25","410.74","402.83","404.89","854200",""
"BIIB","2015-02-25T00:00:00-05:00","2015-02-25","405.32","412.02","400.57","408.94","1114800",""
"BIIB","2015-02-26T00:00:00-05:00","2015-02-26","408.82","411.77","406.07","410.1","863700",""
"BIIB","2015-02-27T00:00:00-05:00","2015-02-27","410.15","411.31","405.8","409.59","1371000",""
"BIIB","2015-03-02T00:00:00-05:00","2015-03-02","410.67","416.82","406.4","415.79","1347200",""
"BIIB","2015-03-03T00:00:00-05:00","2015-03-03","414.1","415.17","407.12","412.79","1236000",""
"BIIB","2015-03-04T00:00:00-05:00","2015-03-04","410.95","417.18","406.1","414.13","1524000",""
"BIIB","2015-03-05T00:00:00-05:00","2015-03-05","417.42","425.7","417.09","425.61","1847200",""
"BIIB","2015-03-06T00:00:00-05:00","2015-03-06","424.23","424.23","416.24","417.63","1643700",""
"BIIB","2015-03-09T00:00:00-04:00","2015-03-09","417.23","417.65","411.6","415.51","1516200",""
"BIIB","2015-03-10T00:00:00-04:00","2015-03-10","409.67","420.44","409.61","414.2","1400600",""
"BIIB","2015-03-11T00:00:00-04:00","2015-03-11","415.31","416.24","407.51","408.11","1426800",""
"BIIB","2015-03-12T00:00:00-04:00","2015-03-12","411.17","411.49","406.02","407.64","1553400",""
"BIIB","2015-03-13T00:00:00-04:00","2015-03-13","407.69","416.7","407.09","413.35","1745200",""
"BIIB","2015-03-16T00:00:00-04:00","2015-03-16","415.46","422.37","414.22","421.32","1564500",""
"BIIB","2015-03-17T00:00:00-04:00","2015-03-17","420.1","426.48","417.5","426.12","1968900",""
"BIIB","2015-03-18T00:00:00-04:00","2015-03-18","425","431","417.05","427.93","2030200",""
"BIIB","2015-03-19T00:00:00-04:00","2015-03-19","434.8","439.9","431.33","433.65","2471800",""
"BIIB","2015-03-20T00:00:00-04:00","2015-03-20","475.92","480.18","456.06","475.98","10643200",""
"BIIB","2015-03-23T00:00:00-04:00","2015-03-23","466.07","474","460.5","463.73","3712500",""
"BIIB","2015-03-24T00:00:00-04:00","2015-03-24","462.99","467.64","452.01","452.71","2481300",""
"BIIB","2015-03-25T00:00:00-04:00","2015-03-25","448.9","450.25","431.39","431.63","3743600",""
"BIIB","2015-03-26T00:00:00-04:00","2015-03-26","428.34","432.88","420.41","428.93","3354300",""
"BIIB","2015-03-27T00:00:00-04:00","2015-03-27","429.43","436.67","429.36","429.87","1859100",""
"BIIB","2015-03-30T00:00:00-04:00","2015-03-30","433.72","437","428.6","431.62","1600000",""
"BIIB","2015-03-31T00:00:00-04:00","2015-03-31","430.16","433.98","422.1","422.24","1808600",""
"BIIB","2015-04-01T00:00:00-04:00","2015-04-01","423.2","423.47","407.55","413.81","2711700",""
"BIIB","2015-04-02T00:00:00-04:00","2015-04-02","415.4","416.48","410.64","412.44","1701700",""
