symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BK","2015-01-02T00:00:00-05:00","2015-01-02","38.78485","38.88975","38.2222","38.58458","4080543",""
"BK","2015-01-05T00:00:00-05:00","2015-01-05","38.35571","38.49875","37.45928","37.59279","4449337",""
"BK","2015-01-06T00:00:00-05:00","2015-01-06","37.6214","37.64047","36.11464","36.50563","8011135",""
"BK","2015-01-07T00:00:00-05:00","2015-01-07","36.88709","37.28762","36.65821","37.25901","7459569",""
"BK","2015-01-08T00:00:00-05:00","2015-01-08","37.6214","37.80259","37.57372","37.77398","5028377",""
"BK","2015-01-09T00:00:00-05:00","2015-01-09","37.65001","37.85981","37.13504","37.22086","3455783",""
"BK","2015-01-12T00:00:00-05:00","2015-01-12","37.22086","37.28762","36.59146","36.68682","2709910",""
"BK","2015-01-13T00:00:00-05:00","2015-01-13","36.90616","37.21133","36.34351","36.62007","5108805",""
"BK","2015-01-14T00:00:00-05:00","2015-01-14","35.98112","36.16232","35.1896","35.69503","6701637",""
"BK","2015-01-15T00:00:00-05:00","2015-01-15","35.82854","35.88576","35.37079","35.52337","5325866",""
"BK","2015-01-16T00:00:00-05:00","2015-01-16","35.41847","35.76179","35.1896","35.72364","6794753",""
"BK","2015-01-20T00:00:00-05:00","2015-01-20","35.93344","36.14325","35.40894","35.51384","5145192",""
"BK","2015-01-21T00:00:00-05:00","2015-01-21","35.65688","35.93344","35.42801","35.80947","5855727",""
"BK","2015-01-22T00:00:00-05:00","2015-01-22","36.03835","36.94431","35.77132","36.92524","6962949",""
"BK","2015-01-23T00:00:00-05:00","2015-01-23","36.16232","36.17186","35.14191","35.1896","7374736",""
"BK","2015-01-26T00:00:00-05:00","2015-01-26","34.94165","35.75225","34.74138","35.68549","8590490",""
"BK","2015-01-27T00:00:00-05:00","2015-01-27","35.13238","35.48523","34.92257","35.03701","5754327",""
"BK","2015-01-28T00:00:00-05:00","2015-01-28","35.1896","35.30404","33.97847","34.00707","11013292",""
"BK","2015-01-29T00:00:00-05:00","2015-01-29","34.10244","34.84628","34.0929","34.75092","8026130",""
"BK","2015-01-30T00:00:00-05:00","2015-01-30","34.53055","34.93296","34.34851","34.49223","10995625",""
"BK","2015-02-02T00:00:00-05:00","2015-02-02","34.6072","35.22039","34.52097","35.13416","8616585",""
"BK","2015-02-03T00:00:00-05:00","2015-02-03","35.38328","35.8815","35.35453","35.83359","9335599",""
"BK","2015-02-04T00:00:00-05:00","2015-02-04","35.60364","36.17851","35.527","35.61322","6082761",""
"BK","2015-02-05T00:00:00-05:00","2015-02-05","35.69946","36.47553","35.69946","36.14977","4961187",""
"BK","2015-02-06T00:00:00-05:00","2015-02-06","36.62883","37.357","36.62883","36.85878","7100278",""
"BK","2015-02-09T00:00:00-05:00","2015-02-09","36.56176","37.13663","36.53302","36.86836","6646054",""
"BK","2015-02-10T00:00:00-05:00","2015-02-10","37.17496","37.50072","37.00249","37.44323","7020747",""
"BK","2015-02-11T00:00:00-05:00","2015-02-11","37.4049","37.6636","37.18454","37.49113","4021949",""
"BK","2015-02-12T00:00:00-05:00","2015-02-12","37.58694","37.90313","37.5582","37.75941","8028556",""
"BK","2015-02-13T00:00:00-05:00","2015-02-13","37.74983","37.93187","37.49113","37.5582","5692413",""
"BK","2015-02-17T00:00:00-05:00","2015-02-17","37.357","37.81689","37.31868","37.80731","4889171",""
"BK","2015-02-18T00:00:00-05:00","2015-02-18","37.74025","37.83606","37.22286","37.357","5112421",""
"BK","2015-02-19T00:00:00-05:00","2015-02-19","37.25161","37.59653","37.11747","37.48155","3637132",""
"BK","2015-02-20T00:00:00-05:00","2015-02-20","37.36658","37.81689","37.04082","37.78815","4431085",""
"BK","2015-02-23T00:00:00-05:00","2015-02-23","37.56778","37.64444","37.29951","37.52946","3741295",""
"BK","2015-02-24T00:00:00-05:00","2015-02-24","37.45281","38.30553","37.41449","38.11391","6925038",""
"BK","2015-02-25T00:00:00-05:00","2015-02-25","38.11391","38.35344","37.79773","38.19056","9818838",""
"BK","2015-02-26T00:00:00-05:00","2015-02-26","38.12349","38.23847","37.59653","37.78815","5802003",""
