symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BSX","2015-01-02T00:00:00-05:00","2015-01-02","13.29","13.33","13.14","13.22","10521100",""
"BSX","2015-01-05T00:00:00-05:00","2015-01-05","13.45","13.95","13.42","13.81","17359400",""
"BSX","2015-01-06T00:00:00-05:00","2015-01-06","13.8","13.89","13.49","13.7","18291700",""
"BSX","2015-01-07T00:00:00-05:00","2015-01-07","13.76","14.07","13.75","14.03","17244200",""
"BSX","2015-01-08T00:00:00-05:00","2015-01-08","14.26","14.76","14.19","14.59","27109600",""
"BSX","2015-01-09T00:00:00-05:00","2015-01-09","14.6","14.75","14.38","14.65","17955600",""
"BSX","2015-01-12T00:00:00-05:00","2015-01-12","14.62","14.77","14.49","14.58","11255700",""
"BSX","2015-01-13T00:00:00-05:00","2015-01-13","14.7","14.82","14.27","14.5","13517400",""
"BSX","2015-01-14T00:00:00-05:00","2015-01-14","14.34","14.65","14.25","14.5","12896400",""
"BSX","2015-01-15T00:00:00-05:00","2015-01-15","14.52","14.55","14.23","14.31","13151600",""
"BSX","2015-01-16T00:00:00-05:00","2015-01-16","14.25","14.48","14.17","14.46","8766300",""
"BSX","2015-01-20T00:00:00-05:00","2015-01-20","14.49","14.62","14.23","14.33","8455400",""
"BSX","2015-01-21T00:00:00-05:00","2015-01-21","14.27","14.48","14.24","14.39","7515900",""
"BSX","2015-01-22T00:00:00-05:00","2015-01-22","14.51","14.97","14.37","14.93","13704700",""
"BSX","2015-01-23T00:00:00-05:00","2015-01-23","14.87","15.02","14.74","14.84","13029900",""
"BSX","2015-01-26T00:00:00-05:00","2015-01-26","14.65","14.98","14.58","14.96","8538800",""
"BSX","2015-01-27T00:00:00-05:00","2015-01-27","14.87","14.93","14.68","14.74","7902600",""
"BSX","2015-01-28T00:00:00-05:00","2015-01-28","14.76","14.88","14.56","14.59","6854300",""
"BSX","2015-01-29T00:00:00-05:00","2015-01-29","14.57","14.91","14.53","14.85","10214100",""
"BSX","2015-01-30T00:00:00-05:00","2015-01-30","14.8","15.05","14.7","14.81","14003000",""
"BSX","2015-02-02T00:00:00-05:00","2015-02-02","14.81","14.84","14.43","14.61","9675200",""
"BSX","2015-02-03T00:00:00-05:00","2015-02-03","14.67","14.8","14.55","14.65","18812600",""
"BSX","2015-02-04T00:00:00-05:00","2015-02-04","15","15.28","14.87","14.96","27499000",""
"BSX","2015-02-05T00:00:00-05:00","2015-02-05","15.09","15.24","15.06","15.13","20838300",""
"BSX","2015-02-06T00:00:00-05:00","2015-02-06","15.15","15.22","14.66","14.72","13945200",""
"BSX","2015-02-09T00:00:00-05:00","2015-02-09","14.66","14.78","14.39","14.45","11297100",""
"BSX","2015-02-10T00:00:00-05:00","2015-02-10","14.5","14.75","14.45","14.72","7891700",""
"BSX","2015-02-11T00:00:00-05:00","2015-02-11","14.69","14.81","14.55","14.58","6227200",""
"BSX","2015-02-12T00:00:00-05:00","2015-02-12","14.65","14.81","14.57","14.74","6392200",""
"BSX","2015-02-13T00:00:00-05:00","2015-02-13","14.7","15","14.67","14.98","6731300",""
"BSX","2015-02-17T00:00:00-05:00","2015-02-17","14.81","14.89","14.69","14.84","9950600",""
"BSX","2015-02-18T00:00:00-05:00","2015-02-18","16.32","16.71","16.09","16.68","55380500",""
"BSX","2015-02-19T00:00:00-05:00","2015-02-19","16.56","16.56","16.27","16.45","20098600",""
"BSX","2015-02-20T00:00:00-05:00","2015-02-20","16.44","16.56","16.24","16.47","13707200",""
"BSX","2015-02-23T00:00:00-05:00","2015-02-23","16.4","16.56","16.26","16.31","11848900",""
"BSX","2015-02-24T00:00:00-05:00","2015-02-24","16.29","16.71","16.13","16.62","25563800",""
"BSX","2015-02-25T00:00:00-05:00","2015-02-25","16.63","16.97","16.53","16.92","18525700",""
"BSX","2015-02-26T00:00:00-05:00","2015-02-26","16.84","16.88","16.64","16.82","11324100",""
"BSX","2015-02-27T00:00:00-05:00","2015-02-27","16.83","17.01","16.75","16.9","11291000",""
"BSX","2015-03-02T00:00:00-05:00","2015-03-02","17.01","17.26","16.63","17.06","16094900",""
"BSX","2015-03-03T00:00:00-05:00","2015-03-03","17.05","17.08","16.66","16.76","10133500",""
"BSX","2015-03-04T00:00:00-05:00","2015-03-04","16.76","16.93","16.68","16.79","8162200",""
"BSX","2015-03-05T00:00:00-05:00","2015-03-05","16.82","17.07","16.8","16.97","9624100",""
"BSX","2015-03-06T00:00:00-05:00","2015-03-06","16.9","16.91","16.48","16.56","10105100",""
"BSX","2015-03-09T00:00:00-04:00","2015-03-09","16.54","16.69","16.42","16.6","6748100",""
"BSX","2015-03-10T00:00:00-04:00","2015-03-10","16.48","16.6","16.4","16.42","10594200",""
"BSX","2015-03-11T00:00:00-04:00","2015-03-11","16.56","16.67","16.38","16.58","7045100",""
"BSX","2015-03-12T00:00:00-04:00","2015-03-12","16.68","16.94","16.63","16.89","9202700",""
"BSX","2015-03-13T00:00:00-04:00","2015-03-13","16.84","16.91","16.44","16.61","7262400",""
"BSX","2015-03-16T00:00:00-04:00","2015-03-16","17.11","17.42","17.03","17.24","20810300",""
"BSX","2015-03-17T00:00:00-04:00","2015-03-17","17.42","17.81","17.27","17.4","22619900",""
"BSX","2015-03-18T00:00:00-04:00","2015-03-18","17.32","17.84","17.3","17.76","15151200",""
"BSX","2015-03-19T00:00:00-04:00","2015-03-19","17.8","17.84","17.59","17.81","9669500",""
"BSX","2015-03-20T00:00:00-04:00","2015-03-20","17.95","18.17","17.8","17.84","18358600",""
"BSX","2015-03-23T00:00:00-04:00","2015-03-23","17.87","18.06","17.76","17.98","7467600",""
"BSX","2015-03-24T00:00:00-04:00","2015-03-24","18.05","18.13","17.81","17.83","7673700",""
"BSX","2015-03-25T00:00:00-04:00","2015-03-25","17.82","17.99","17.5","17.52","9581700",""
"BSX","2015-03-26T00:00:00-04:00","2015-03-26","17.44","17.63","17.34","17.44","7598200",""
"BSX","2015-03-27T00:00:00-04:00","2015-03-27","17.57","17.87","17.52","17.83","6516400",""
"BSX","2015-03-30T00:00:00-04:00","2015-03-30","17.94","18.16","17.85","18.07","8079600",""
"BSX","2015-03-31T00:00:00-04:00","2015-03-31","17.95","17.95","17.7","17.75","8294600",""
"BSX","2015-04-01T00:00:00-04:00","2015-04-01","17.75","17.82","17.31","17.65","9809900",""
"BSX","2015-04-02T00:00:00-04:00","2015-04-02","17.66","17.83","17.54","17.72","5569900",""
"BSX","2015-04-06T00:00:00-04:00","2015-04-06","17.62","17.83","17.58","17.68","11406100",""
"BSX","2015-04-07T00:00:00-04:00","2015-04-07","17.73","17.91","17.67","17.69","6549100",""
"BSX","2015-04-08T00:00:00-04:00","2015-04-08","17.7","17.92","17.68","17.89","10918200",""
"BSX","2015-04-09T00:00:00-04:00","2015-04-09","17.76","18.13","17.76","18.1","7349200",""
"BSX","2015-04-10T00:00:00-04:00","2015-04-10","18.1","18.24","18.02","18.1","7935300",""
"BSX","2015-04-13T00:00:00-04:00","2015-04-13","18.1","18.23","17.77","17.8","6675100",""
"BSX","2015-04-14T00:00:00-04:00","2015-04-14","17.77","17.91","17.62","17.9","8542400",""
