symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"BXP","2015-01-02T00:00:00-05:00","2015-01-02","120.6728","122.6508","120.6262","122.4641","656063",""
"BXP","2015-01-05T00:00:00-05:00","2015-01-05","123.0146","123.789","122.2775","123.5744","955638",""
"BXP","2015-01-06T00:00:00-05:00","2015-01-06","124.0036","126.1775","123.8356","125.9722","1754146",""
"BXP","2015-01-07T00:00:00-05:00","2015-01-07","126.3641","127.8568","125.3284","127.381","1070966",""
"BXP","2015-01-08T00:00:00-05:00","2015-01-08","127.8288","128.6405","127.0171","127.8941","1004727",""
"BXP","2015-01-09T00:00:00-05:00","2015-01-09","128.1741","129.2377","127.2224","128.5379","712655",""
"BXP","2015-01-12T00:00:00-05:00","2015-01-12","128.8178","129.3963","128.4353","129.0697","793149",""
"BXP","2015-01-13T00:00:00-05:00","2015-01-13","129.4802","130.4132","127.9874","128.7898","657456",""
"BXP","2015-01-14T00:00:00-05:00","2015-01-14","128.3233","130.4039","127.2504","130.3013","1118769",""
"BXP","2015-01-15T00:00:00-05:00","2015-01-15","130.3479","130.9264","129.7788","130.5905","663030",""
"BXP","2015-01-16T00:00:00-05:00","2015-01-16","130.5065","131.8594","129.7508","131.6354","783932",""
"BXP","2015-01-20T00:00:00-05:00","2015-01-20","132.0926","132.3538","130.6838","131.1036","947921",""
"BXP","2015-01-21T00:00:00-05:00","2015-01-21","130.6465","131.5142","130.208","131.1036","607616",""
"BXP","2015-01-22T00:00:00-05:00","2015-01-22","131.4582","133.8","131.2063","133.5667","926055",""
"BXP","2015-01-23T00:00:00-05:00","2015-01-23","133.4174","133.604","132.5218","133.1096","560885",""
"BXP","2015-01-26T00:00:00-05:00","2015-01-26","132.7644","134.6023","132.4845","134.565","575247",""
"BXP","2015-01-27T00:00:00-05:00","2015-01-27","134.0705","135.3767","133.9399","134.5557","748133",""
"BXP","2015-01-28T00:00:00-05:00","2015-01-28","135.0129","136.2817","133.3988","133.3988","902046",""
"BXP","2015-01-29T00:00:00-05:00","2015-01-29","133.716","134.3224","132.4938","133.828","795186",""
"BXP","2015-01-30T00:00:00-05:00","2015-01-30","133.1282","134.4158","129.4989","129.4989","1750181",""
"BXP","2015-02-02T00:00:00-05:00","2015-02-02","130.1053","130.9823","127.7915","130.8144","1645892",""
"BXP","2015-02-03T00:00:00-05:00","2015-02-03","130.18","132.4005","129.6948","132.3072","800759",""
"BXP","2015-02-04T00:00:00-05:00","2015-02-04","132.0926","132.6617","130.7118","131.6728","956174",""
"BXP","2015-02-05T00:00:00-05:00","2015-02-05","132.4845","134.2851","132.0926","134.1545","762495",""
"BXP","2015-02-06T00:00:00-05:00","2015-02-06","133.8373","133.8839","130.8704","131.5048","1079969",""
"BXP","2015-02-09T00:00:00-05:00","2015-02-09","131.0383","131.962","130.6931","130.7957","638378",""
"BXP","2015-02-10T00:00:00-05:00","2015-02-10","131.5235","132.7084","130.3666","132.6897","1314484",""
"BXP","2015-02-11T00:00:00-05:00","2015-02-11","132.9043","133.2868","130.5345","131.4768","891221",""
"BXP","2015-02-12T00:00:00-05:00","2015-02-12","131.878","133.1469","130.7024","133.1002","927770",""
"BXP","2015-02-13T00:00:00-05:00","2015-02-13","132.7644","132.8203","130.8517","131.6261","567959",""
"BXP","2015-02-17T00:00:00-05:00","2015-02-17","131.4768","132.2139","130.4132","130.8517","756064",""
"BXP","2015-02-18T00:00:00-05:00","2015-02-18","130.7771","132.3538","129.9467","132.2792","885540",""
"BXP","2015-02-19T00:00:00-05:00","2015-02-19","131.7287","131.7287","128.8365","129.191","986721",""
"BXP","2015-02-20T00:00:00-05:00","2015-02-20","128.9298","130.7304","128.6032","130.0307","894008",""
"BXP","2015-02-23T00:00:00-05:00","2015-02-23","130.7398","131.4861","129.7135","131.4861","919839",""
"BXP","2015-02-24T00:00:00-05:00","2015-02-24","130.8051","131.2156","128.2953","128.9951","650382",""
"BXP","2015-02-25T00:00:00-05:00","2015-02-25","129.303","130.3013","128.258","128.4353","842239",""
"BXP","2015-02-26T00:00:00-05:00","2015-02-26","128.2393","128.5379","127.0078","127.1011","949957",""
"BXP","2015-02-27T00:00:00-05:00","2015-02-27","127.2317","128.6032","126.4853","128.202","829806",""
"BXP","2015-03-02T00:00:00-05:00","2015-03-02","128.5099","130.5159","128.4726","129.4616","849741",""
"BXP","2015-03-03T00:00:00-05:00","2015-03-03","129.3963","129.9934","128.37","129.4522","629053",""
"BXP","2015-03-04T00:00:00-05:00","2015-03-04","129.3123","129.3683","127.7822","128.0994","849313",""
"BXP","2015-03-05T00:00:00-05:00","2015-03-05","128.6592","130.5718","128.6592","129.7135","868284",""
"BXP","2015-03-06T00:00:00-05:00","2015-03-06","126.644","128.0061","124.6847","124.8526","1266038",""
"BXP","2015-03-09T00:00:00-04:00","2015-03-09","125.2631","126.1868","124.8899","125.8976","783181",""
"BXP","2015-03-10T00:00:00-04:00","2015-03-10","125.7856","126.6346","125.515","125.7203","833771",""
"BXP","2015-03-11T00:00:00-04:00","2015-03-11","126.0375","126.42","125.2818","125.5617","720587",""
"BXP","2015-03-12T00:00:00-04:00","2015-03-12","126.4014","128.4166","126.3361","128.1367","899581",""
"BXP","2015-03-13T00:00:00-04:00","2015-03-13","127.549","128.5939","126.504","126.8679","1121556",""
"BXP","2015-03-16T00:00:00-04:00","2015-03-16","127.6889","129.4149","127.4556","128.0527","1118984",""
