symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CA","2015-01-02T00:00:00-05:00","2015-01-02","28.01655","28.18994","27.63326","28.00743","3808276",""
"CA","2015-01-05T00:00:00-05:00","2015-01-05","27.84316","28.14431","27.77928","28.08956","3876653",""
"CA","2015-01-06T00:00:00-05:00","2015-01-06","28.11694","28.21732","27.49637","27.61501","4796671",""
"CA","2015-01-07T00:00:00-05:00","2015-01-07","27.68802","28.08956","27.59676","27.94354","4369645",""
"CA","2015-01-08T00:00:00-05:00","2015-01-08","28.18082","28.5276","28.08956","28.39071","4159474",""
"CA","2015-01-09T00:00:00-05:00","2015-01-09","28.34508","28.60974","28.19907","28.39071","3784169",""
"CA","2015-01-12T00:00:00-05:00","2015-01-12","28.50022","28.65536","28.13519","28.5276","3836109",""
"CA","2015-01-13T00:00:00-05:00","2015-01-13","28.80138","29.13904","28.18082","28.50022","3293588",""
"CA","2015-01-14T00:00:00-05:00","2015-01-14","28.17169","28.46372","28.10781","28.34508","3038600",""
"CA","2015-01-15T00:00:00-05:00","2015-01-15","28.39984","28.50022","28.02567","28.08956","3682481",""
"CA","2015-01-16T00:00:00-05:00","2015-01-16","28.06218","28.64624","28.01655","28.61886","4621017",""
"CA","2015-01-20T00:00:00-05:00","2015-01-20","29.03865","29.12991","28.61886","28.90176","5456769",""
"CA","2015-01-21T00:00:00-05:00","2015-01-21","28.39984","28.68274","27.2226","27.32298","10400604",""
"CA","2015-01-22T00:00:00-05:00","2015-01-22","27.45987","27.90704","27.24085","27.87054","5333932",""
"CA","2015-01-23T00:00:00-05:00","2015-01-23","27.88879","28.38159","27.87966","28.29945","3148178",""
"CA","2015-01-26T00:00:00-05:00","2015-01-26","28.33596","28.38159","27.86141","28.15344","3065118",""
"CA","2015-01-27T00:00:00-05:00","2015-01-27","27.72452","28.01655","27.30473","27.32298","4349483",""
"CA","2015-01-28T00:00:00-05:00","2015-01-28","27.24085","27.57851","27.14046","27.27735","4444597",""
"CA","2015-01-29T00:00:00-05:00","2015-01-29","27.2591","27.73365","27.21347","27.65151","3486884",""
"CA","2015-01-30T00:00:00-05:00","2015-01-30","27.40512","27.84316","27.38686","27.65151","6354871",""
"CA","2015-02-02T00:00:00-05:00","2015-02-02","27.80665","27.81578","27.27735","27.7519","4283517",""
"CA","2015-02-03T00:00:00-05:00","2015-02-03","27.90704","28.47285","27.82491","28.45459","3240114",""
"CA","2015-02-04T00:00:00-05:00","2015-02-04","28.22645","28.76488","28.22645","28.75575","4838530",""
"CA","2015-02-05T00:00:00-05:00","2015-02-05","28.774","29.01128","28.66449","29.00215","3032135",""
"CA","2015-02-06T00:00:00-05:00","2015-02-06","29.11166","29.31243","28.99302","29.2303","3665935",""
"CA","2015-02-09T00:00:00-05:00","2015-02-09","29.16641","29.45844","29.04778","29.14816","4933096",""
"CA","2015-02-10T00:00:00-05:00","2015-02-10","29.24855","29.49495","28.90176","29.46757","3764445",""
"CA","2015-02-11T00:00:00-05:00","2015-02-11","29.36719","29.62271","29.27593","29.33981","2446550",""
"CA","2015-02-12T00:00:00-05:00","2015-02-12","28.29033","29.58621","28.29033","29.56796","2144991",""
"CA","2015-02-13T00:00:00-05:00","2015-02-13","29.64096","29.7961","29.54058","29.77785","2146634",""
"CA","2015-02-17T00:00:00-05:00","2015-02-17","29.96178","29.99856","29.62151","29.96178","2391704",""
"CA","2015-02-18T00:00:00-05:00","2015-02-18","29.96178","30.08133","29.83303","29.97097","2066141",""
"CA","2015-02-19T00:00:00-05:00","2015-02-19","29.95258","30.00776","29.83303","29.9066","2536109",""
"CA","2015-02-20T00:00:00-05:00","2015-02-20","29.93419","30.21008","29.75946","30.19169","2032323",""
"CA","2015-02-23T00:00:00-05:00","2015-02-23","30.19169","30.21008","29.92499","29.97097","2702044",""
"CA","2015-02-24T00:00:00-05:00","2015-02-24","29.67669","30.10892","29.67669","30.07214","1433608",""
"CA","2015-02-25T00:00:00-05:00","2015-02-25","30.09053","30.44919","29.98017","30.44919","2662137",""
"CA","2015-02-26T00:00:00-05:00","2015-02-26","30.56874","30.63311","30.12731","30.18249","3126776",""
"CA","2015-02-27T00:00:00-05:00","2015-02-27","29.71348","30.05374","29.25366","29.9066","3182777",""
"CA","2015-03-02T00:00:00-05:00","2015-03-02","29.9066","30.20088","29.86062","30.20088","4078891",""
"CA","2015-03-03T00:00:00-05:00","2015-03-03","30.05374","30.07214","29.58472","29.61232","3168097",""
"CA","2015-03-04T00:00:00-05:00","2015-03-04","29.52955","29.6583","29.18928","29.34562","3464409",""
"CA","2015-03-05T00:00:00-05:00","2015-03-05","29.3916","29.54794","29.13411","29.3916","3147654",""
"CA","2015-03-06T00:00:00-05:00","2015-03-06","29.3916","29.41","29.08812","29.16169","3127972",""
"CA","2015-03-09T00:00:00-04:00","2015-03-09","29.11571","29.35482","29.05134","29.29964","2345599",""
"CA","2015-03-10T00:00:00-04:00","2015-03-10","29.00536","29.12491","28.79384","28.79384","3056096",""
"CA","2015-03-11T00:00:00-04:00","2015-03-11","27.74545","28.95018","27.74545","28.71107","2454120",""
"CA","2015-03-12T00:00:00-04:00","2015-03-12","28.74786","29.08812","28.71107","29.05134","2955839",""
"CA","2015-03-13T00:00:00-04:00","2015-03-13","28.98696","29.13411","28.72946","28.86741","2519907",""
"CA","2015-03-16T00:00:00-04:00","2015-03-16","29.16169","29.16169","28.83982","28.87661","5287194",""
