symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CAG","2015-01-02T00:00:00-05:00","2015-01-02","33.95436","34.01998","33.57","33.57938","4260078",""
"CAG","2015-01-05T00:00:00-05:00","2015-01-05","33.47625","33.75749","33.2044","33.21377","4483130",""
"CAG","2015-01-06T00:00:00-05:00","2015-01-06","33.34501","33.42001","32.7263","32.88567","4343069",""
"CAG","2015-01-07T00:00:00-05:00","2015-01-07","33.0544","33.70124","33.04503","33.66375","2593424",""
"CAG","2015-01-08T00:00:00-05:00","2015-01-08","33.84186","34.40433","33.79499","34.39495","3454592",""
"CAG","2015-01-09T00:00:00-05:00","2015-01-09","34.39495","34.44183","33.86061","33.97311","2367065",""
"CAG","2015-01-12T00:00:00-05:00","2015-01-12","33.66375","33.93561","33.38251","33.44813","2188175",""
"CAG","2015-01-13T00:00:00-05:00","2015-01-13","33.62625","33.91686","33.31689","33.57938","2547448",""
"CAG","2015-01-14T00:00:00-05:00","2015-01-14","33.35439","33.43876","33.03566","33.28876","2656681",""
"CAG","2015-01-15T00:00:00-05:00","2015-01-15","33.37313","34.35746","33.33564","34.06685","6442066",""
"CAG","2015-01-16T00:00:00-05:00","2015-01-16","34.0106","34.27309","33.77624","33.96373","3222686",""
"CAG","2015-01-20T00:00:00-05:00","2015-01-20","34.0106","34.13247","33.65437","34.00123","2588197",""
"CAG","2015-01-21T00:00:00-05:00","2015-01-21","33.94498","34.16059","33.71999","33.97311","2767727",""
"CAG","2015-01-22T00:00:00-05:00","2015-01-22","34.09497","34.85431","33.95436","34.84493","3070784",""
"CAG","2015-01-23T00:00:00-05:00","2015-01-23","34.62931","34.72306","34.42308","34.46058","2070728",""
"CAG","2015-01-26T00:00:00-05:00","2015-01-26","34.42308","34.64806","34.25434","34.62931","2662762",""
"CAG","2015-01-27T00:00:00-05:00","2015-01-27","34.28246","34.46995","34.15122","34.36683","2089930",""
"CAG","2015-01-28T00:00:00-05:00","2015-01-28","34.50842","34.79158","34.34795","34.4801","4342586",""
"CAG","2015-01-29T00:00:00-05:00","2015-01-29","34.37627","34.50842","34.06479","34.42347","3213846",""
"CAG","2015-01-30T00:00:00-05:00","2015-01-30","34.15918","34.27245","33.38519","33.44183","3321487",""
"CAG","2015-02-02T00:00:00-05:00","2015-02-02","33.43238","33.77218","33.00764","33.74387","2773432",""
"CAG","2015-02-03T00:00:00-05:00","2015-02-03","33.83826","34.11198","33.65892","33.96096","2137126",""
"CAG","2015-02-04T00:00:00-05:00","2015-02-04","33.96096","34.46122","33.91377","34.22525","2522766",""
"CAG","2015-02-05T00:00:00-05:00","2015-02-05","34.22525","34.42347","34.00816","34.40459","1879891",""
"CAG","2015-02-06T00:00:00-05:00","2015-02-06","34.3574","34.65","34.09311","34.39515","1638760",""
"CAG","2015-02-09T00:00:00-05:00","2015-02-09","34.20638","34.45178","34.06479","34.13086","1536099",""
"CAG","2015-02-10T00:00:00-05:00","2015-02-10","34.21581","34.4329","33.98928","34.38571","2163824",""
"CAG","2015-02-11T00:00:00-05:00","2015-02-11","34.4329","34.62168","33.85713","34.1403","2098668",""
"CAG","2015-02-12T00:00:00-05:00","2015-02-12","33.98928","34.37627","33.94208","34.37627","1845035",""
"CAG","2015-02-13T00:00:00-05:00","2015-02-13","33.37576","33.41351","32.62065","32.8755","7313077",""
"CAG","2015-02-17T00:00:00-05:00","2015-02-17","32.63953","32.67728","31.75227","31.86554","7796187",""
"CAG","2015-02-18T00:00:00-05:00","2015-02-18","31.75227","31.98824","31.57294","31.6862","7357362",""
"CAG","2015-02-19T00:00:00-05:00","2015-02-19","31.78059","32.66784","31.73339","32.5357","5289313",""
"CAG","2015-02-20T00:00:00-05:00","2015-02-20","32.50738","32.64896","32.16758","32.58289","2933833",""
"CAG","2015-02-23T00:00:00-05:00","2015-02-23","32.62065","32.72447","32.45075","32.59233","1970156",""
"CAG","2015-02-24T00:00:00-05:00","2015-02-24","32.46963","32.83774","32.3658","32.76223","2999202",""
"CAG","2015-02-25T00:00:00-05:00","2015-02-25","32.79055","32.90381","32.60177","32.79055","2212665",""
"CAG","2015-02-26T00:00:00-05:00","2015-02-26","32.83774","32.93213","32.69616","32.72447","1706670",""
"CAG","2015-02-27T00:00:00-05:00","2015-02-27","32.74335","33.10203","32.71503","33.01708","3010326",""
"CAG","2015-03-02T00:00:00-05:00","2015-03-02","32.86605","33.15866","32.79055","33.13034","1730720",""
"CAG","2015-03-03T00:00:00-05:00","2015-03-03","33.05483","33.1209","32.72447","32.9982","2195078",""
"CAG","2015-03-04T00:00:00-05:00","2015-03-04","32.8755","33.58341","32.38468","32.58289","4482752",""
"CAG","2015-03-05T00:00:00-05:00","2015-03-05","32.7056","32.96044","32.43187","32.90381","2042305",""
"CAG","2015-03-06T00:00:00-05:00","2015-03-06","32.67728","32.67728","32.15814","32.33748","2731372",""
"CAG","2015-03-09T00:00:00-04:00","2015-03-09","32.29972","32.51682","32.24309","32.41299","1236592",""
"CAG","2015-03-10T00:00:00-04:00","2015-03-10","32.34692","32.41299","32.00712","32.00712","1859125",""
"CAG","2015-03-11T00:00:00-04:00","2015-03-11","31.95993","31.99768","31.57294","31.69564","1891863",""
"CAG","2015-03-12T00:00:00-04:00","2015-03-12","31.79003","32.29029","31.76171","32.25253","1747565",""
"CAG","2015-03-13T00:00:00-04:00","2015-03-13","32.1487","32.1959","31.76171","32.03543","1873640",""
"CAG","2015-03-16T00:00:00-04:00","2015-03-16","32.15814","32.50738","32.10151","32.49794","1845141",""
"CAG","2015-03-17T00:00:00-04:00","2015-03-17","32.37524","32.6584","32.25253","32.55458","1806683",""
"CAG","2015-03-18T00:00:00-04:00","2015-03-18","32.46963","32.74335","31.95993","32.61121","3095824",""
"CAG","2015-03-19T00:00:00-04:00","2015-03-19","32.57345","32.64896","32.37524","32.43187","1586105",""
"CAG","2015-03-20T00:00:00-04:00","2015-03-20","32.58289","33.24361","32.5357","32.9982","3321063",""
"CAG","2015-03-23T00:00:00-04:00","2015-03-23","32.96044","33.34744","32.92269","33.08315","1575404",""
"CAG","2015-03-24T00:00:00-04:00","2015-03-24","32.97932","33.20586","32.66784","32.68672","1594051",""
"CAG","2015-03-25T00:00:00-04:00","2015-03-25","32.96044","33.29081","32.81886","32.97932","4701317",""
"CAG","2015-03-26T00:00:00-04:00","2015-03-26","33.53621","33.55509","32.01656","32.79998","5621874",""
"CAG","2015-03-27T00:00:00-04:00","2015-03-27","32.89437","34.80102","32.80942","34.69719","7054995",""
"CAG","2015-03-30T00:00:00-04:00","2015-03-30","34.55561","34.90485","34.27245","34.82934","4287495",""
