symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CBS","2015-01-02T00:00:00-05:00","2015-01-02","53.98669","54.00606","52.73749","53.05705","4470290",""
"CBS","2015-01-05T00:00:00-05:00","2015-01-05","52.78591","52.95053","52.29204","52.54382","4923422",""
"CBS","2015-01-06T00:00:00-05:00","2015-01-06","52.53413","52.60192","51.26556","51.50766","5401855",""
"CBS","2015-01-07T00:00:00-05:00","2015-01-07","51.90469","52.1371","51.31399","51.43019","5570798",""
"CBS","2015-01-08T00:00:00-05:00","2015-01-08","52.03058","52.35983","51.74975","52.04026","6103342",""
"CBS","2015-01-09T00:00:00-05:00","2015-01-09","52.29204","53.3863","52.11773","52.83433","8685203",""
"CBS","2015-01-12T00:00:00-05:00","2015-01-12","53.17326","53.55092","52.65033","53.11515","5665390",""
"CBS","2015-01-13T00:00:00-05:00","2015-01-13","53.66713","54.50961","53.33788","53.84143","8067155",""
"CBS","2015-01-14T00:00:00-05:00","2015-01-14","53.11515","53.2023","51.82722","52.74717","7880140",""
"CBS","2015-01-15T00:00:00-05:00","2015-01-15","52.95053","53.19262","51.79817","51.85627","4730005",""
"CBS","2015-01-16T00:00:00-05:00","2015-01-16","52.10805","53.9189","51.8369","53.8027","11060016",""
"CBS","2015-01-20T00:00:00-05:00","2015-01-20","53.72523","53.84143","53.01832","53.71555","8271829",""
"CBS","2015-01-21T00:00:00-05:00","2015-01-21","53.39598","54.44183","53.27009","54.41277","6327533",""
"CBS","2015-01-22T00:00:00-05:00","2015-01-22","54.56771","55.06158","53.97701","54.93569","7859900",""
"CBS","2015-01-23T00:00:00-05:00","2015-01-23","54.70329","55.00348","53.9189","54.11258","4961941",""
"CBS","2015-01-26T00:00:00-05:00","2015-01-26","53.93827","55.29399","53.48314","55.25526","6021245",""
"CBS","2015-01-27T00:00:00-05:00","2015-01-27","54.43214","55.50703","54.20941","55.27462","5777847",""
"CBS","2015-01-28T00:00:00-05:00","2015-01-28","55.47798","55.63292","54.36435","54.50961","5935121",""
"CBS","2015-01-29T00:00:00-05:00","2015-01-29","54.50961","55.17778","53.42503","53.95764","8523282",""
"CBS","2015-01-30T00:00:00-05:00","2015-01-30","53.45409","53.90922","52.92148","53.07642","5613240",""
"CBS","2015-02-02T00:00:00-05:00","2015-02-02","53.11515","53.69618","52.6697","53.61871","5131194",""
"CBS","2015-02-03T00:00:00-05:00","2015-02-03","54.08352","55.13905","54.03511","55.11968","4243001",""
"CBS","2015-02-04T00:00:00-05:00","2015-02-04","55.19715","55.66197","54.25783","54.94538","5593723",""
"CBS","2015-02-05T00:00:00-05:00","2015-02-05","55.25526","55.4683","53.69618","54.22878","7231835",""
"CBS","2015-02-06T00:00:00-05:00","2015-02-06","54.49992","55.68134","54.32562","54.94538","8451925",""
"CBS","2015-02-09T00:00:00-05:00","2015-02-09","54.91632","55.66197","54.77107","54.96474","5608490",""
"CBS","2015-02-10T00:00:00-05:00","2015-02-10","55.23589","55.49735","54.61613","55.19715","6505873",""
"CBS","2015-02-11T00:00:00-05:00","2015-02-11","55.39083","55.47798","54.78075","54.95506","5684391",""
"CBS","2015-02-12T00:00:00-05:00","2015-02-12","55.10032","55.97185","54.66455","55.9428","7134765",""
"CBS","2015-02-13T00:00:00-05:00","2015-02-13","58.1991","58.86728","57.17263","57.93764","17241634",""
"CBS","2015-02-17T00:00:00-05:00","2015-02-17","57.47282","58.29594","57.2501","58.29594","7112253",""
"CBS","2015-02-18T00:00:00-05:00","2015-02-18","58.07322","58.34436","57.75365","57.91828","4929721",""
"CBS","2015-02-19T00:00:00-05:00","2015-02-19","57.89891","58.10226","57.52124","57.65681","5610349",""
"CBS","2015-02-20T00:00:00-05:00","2015-02-20","57.55997","57.82144","57.22105","57.61808","5525567",""
"CBS","2015-02-23T00:00:00-05:00","2015-02-23","57.69555","57.86017","57.22105","57.7827","4424027",""
"CBS","2015-02-24T00:00:00-05:00","2015-02-24","57.84081","58.0829","57.46314","57.52124","3717583",""
"CBS","2015-02-25T00:00:00-05:00","2015-02-25","57.58903","58.0248","57.49219","57.88922","6033740",""
"CBS","2015-02-26T00:00:00-05:00","2015-02-26","57.7246","58.10226","56.96927","57.26947","4270573",""
"CBS","2015-02-27T00:00:00-05:00","2015-02-27","57.38567","57.59871","57.00801","57.23073","6562257",""
"CBS","2015-03-02T00:00:00-05:00","2015-03-02","57.37599","59.90343","57.2501","59.79691","11084284",""
"CBS","2015-03-03T00:00:00-05:00","2015-03-03","59.55482","61.26884","59.3902","60.81371","10343039",""
"CBS","2015-03-04T00:00:00-05:00","2015-03-04","60.53288","60.79433","59.65166","60.48446","5575548",""
"CBS","2015-03-05T00:00:00-05:00","2015-03-05","60.49414","60.51351","59.35146","59.60324","6956527",""
"CBS","2015-03-06T00:00:00-05:00","2015-03-06","59.43862","59.99059","58.66392","58.6736","5766074",""
"CBS","2015-03-09T00:00:00-04:00","2015-03-09","58.80952","59.23666","57.7902","58.74156","6565274",""
