symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CCL","2015-01-02T00:00:00-05:00","2015-01-02","42.84482","43.03147","42.28489","42.56485","2967848",""
"CCL","2015-01-05T00:00:00-05:00","2015-01-05","43.0968","43.11546","42.27555","42.35954","4609128",""
"CCL","2015-01-06T00:00:00-05:00","2015-01-06","42.56485","43.08746","42.01424","42.77017","6667666",""
"CCL","2015-01-07T00:00:00-05:00","2015-01-07","42.82616","43.19946","42.68618","42.92881","7610729",""
"CCL","2015-01-08T00:00:00-05:00","2015-01-08","42.99414","43.83405","42.95681","43.56342","5267483",""
"CCL","2015-01-09T00:00:00-05:00","2015-01-09","43.60075","43.60075","42.95681","43.20879","3960524",""
"CCL","2015-01-12T00:00:00-05:00","2015-01-12","44.14202","44.27267","43.12479","43.19946","4187047",""
"CCL","2015-01-13T00:00:00-05:00","2015-01-13","43.62874","43.72206","42.51819","42.89148","4676956",""
"CCL","2015-01-14T00:00:00-05:00","2015-01-14","42.66751","42.81683","42.09824","42.44353","4734391",""
"CCL","2015-01-15T00:00:00-05:00","2015-01-15","42.8075","42.91015","41.93025","42.15423","4861154",""
"CCL","2015-01-16T00:00:00-05:00","2015-01-16","42.45287","42.56485","41.78094","42.42487","4917624",""
"CCL","2015-01-20T00:00:00-05:00","2015-01-20","42.7795","42.86349","42.21956","42.35021","4408642",""
"CCL","2015-01-21T00:00:00-05:00","2015-01-21","42.61152","42.88215","42.4062","42.58352","3995134",""
"CCL","2015-01-22T00:00:00-05:00","2015-01-22","42.88215","43.54475","42.4622","43.16212","4288308",""
"CCL","2015-01-23T00:00:00-05:00","2015-01-23","43.47942","43.59141","43.23679","43.28344","2794579",""
"CCL","2015-01-26T00:00:00-05:00","2015-01-26","43.28344","43.63807","43.13413","43.63807","2929915",""
"CCL","2015-01-27T00:00:00-05:00","2015-01-27","43.47942","43.63807","42.8075","43.0408","4189298",""
"CCL","2015-01-28T00:00:00-05:00","2015-01-28","43.42343","43.50742","42.07024","42.1449","4177832",""
"CCL","2015-01-29T00:00:00-05:00","2015-01-29","41.34232","42.21022","40.9037","41.88359","7430603",""
"CCL","2015-01-30T00:00:00-05:00","2015-01-30","41.63162","42.01424","40.96902","41.02501","4677278",""
"CCL","2015-02-02T00:00:00-05:00","2015-02-02","40.89436","40.95036","39.90513","40.60506","5477505",""
"CCL","2015-02-03T00:00:00-05:00","2015-02-03","40.51174","40.96902","40.39975","40.77304","5690206",""
"CCL","2015-02-04T00:00:00-05:00","2015-02-04","40.5584","40.96902","40.36242","40.5584","4358280",""
"CCL","2015-02-05T00:00:00-05:00","2015-02-05","40.8477","40.91303","40.51174","40.78238","3592771",""
"CCL","2015-02-06T00:00:00-05:00","2015-02-06","40.63306","40.8757","40.33442","40.43708","3379427",""
"CCL","2015-02-09T00:00:00-05:00","2015-02-09","40.12911","40.27843","39.67182","39.80248","4054926",""
"CCL","2015-02-10T00:00:00-05:00","2015-02-10","40.57706","40.81971","40.29709","40.64239","5018564",""
