symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CERN","2015-01-02T00:00:00-05:00","2015-01-02","64.92","65.38","64.43","65.03","1188300",""
"CERN","2015-01-05T00:00:00-05:00","2015-01-05","64.61","65.41","64.04","64.17","1235900",""
"CERN","2015-01-06T00:00:00-05:00","2015-01-06","64.12","64.72","63.19","63.52","1166800",""
"CERN","2015-01-07T00:00:00-05:00","2015-01-07","63.28","64.36","63.19","64.19","976700",""
"CERN","2015-01-08T00:00:00-05:00","2015-01-08","64.86","65.72","64.51","65.6","957900",""
"CERN","2015-01-09T00:00:00-05:00","2015-01-09","65.48","65.78","64.9","64.95","1161400",""
"CERN","2015-01-12T00:00:00-05:00","2015-01-12","64.97","65.5","64.43","64.79","849200",""
"CERN","2015-01-13T00:00:00-05:00","2015-01-13","65.52","66.36","64.61","65.27","1306700",""
"CERN","2015-01-14T00:00:00-05:00","2015-01-14","64.58","65.49","64.28","64.68","1025500",""
"CERN","2015-01-15T00:00:00-05:00","2015-01-15","64.8","65.03","63.97","64.07","905800",""
"CERN","2015-01-16T00:00:00-05:00","2015-01-16","64.14","65.71","63.84","65.59","1250700",""
"CERN","2015-01-20T00:00:00-05:00","2015-01-20","65.2","65.74","64.03","64.97","1634000",""
"CERN","2015-01-21T00:00:00-05:00","2015-01-21","64.99","65.69","64.51","65.56","1371600",""
"CERN","2015-01-22T00:00:00-05:00","2015-01-22","65.89","67.2","64.87","67.17","1446400",""
"CERN","2015-01-23T00:00:00-05:00","2015-01-23","67.16","67.91","66.69","67.22","1042500",""
"CERN","2015-01-26T00:00:00-05:00","2015-01-26","67.27","68.32","66.81","68.12","1247200",""
"CERN","2015-01-27T00:00:00-05:00","2015-01-27","68.37","68.37","66.5","67.53","1467100",""
"CERN","2015-01-28T00:00:00-05:00","2015-01-28","67.81","68.13","66.75","66.87","1507700",""
"CERN","2015-01-29T00:00:00-05:00","2015-01-29","66.78","67.42","66.02","67.28","1122000",""
"CERN","2015-01-30T00:00:00-05:00","2015-01-30","66.75","67.17","65.94","66.35","1796500",""
"CERN","2015-02-02T00:00:00-05:00","2015-02-02","66.91","67.01","65.05","66.73","1273300",""
"CERN","2015-02-03T00:00:00-05:00","2015-02-03","66.81","67.46","66.6","67.27","1660600",""
"CERN","2015-02-04T00:00:00-05:00","2015-02-04","67.31","67.6","66.54","66.78","1402500",""
"CERN","2015-02-05T00:00:00-05:00","2015-02-05","67.16","67.26","66.48","67.01","1850900",""
"CERN","2015-02-06T00:00:00-05:00","2015-02-06","67.13","68.4","66.94","67.72","1612600",""
"CERN","2015-02-09T00:00:00-05:00","2015-02-09","67.49","67.7","66.46","66.87","1614500",""
"CERN","2015-02-10T00:00:00-05:00","2015-02-10","66.96","67.53","66.39","67.41","3415700",""
"CERN","2015-02-11T00:00:00-05:00","2015-02-11","66.71","67.83","66.56","67.71","2723100",""
"CERN","2015-02-12T00:00:00-05:00","2015-02-12","68.28","69.88","67.85","69.83","2102500",""
"CERN","2015-02-13T00:00:00-05:00","2015-02-13","69.88","71.24","69.69","70.98","2450300",""
"CERN","2015-02-17T00:00:00-05:00","2015-02-17","71.01","71.22","69.36","69.75","2564300",""
"CERN","2015-02-18T00:00:00-05:00","2015-02-18","69.73","70.62","69.5","70.6","1260000",""
"CERN","2015-02-19T00:00:00-05:00","2015-02-19","70.32","71.35","70.26","71.26","1248200",""
"CERN","2015-02-20T00:00:00-05:00","2015-02-20","70.95","72.1","70.93","72.07","1655500",""
"CERN","2015-02-23T00:00:00-05:00","2015-02-23","72.19","73.12","72.1","73.08","2233700",""
"CERN","2015-02-24T00:00:00-05:00","2015-02-24","73.12","73.2","72.11","72.78","1818200",""
