symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CHTR","2015-01-02T00:00:00-05:00","2015-01-02","167.23","167.29","164.53","166.43","713100",""
"CHTR","2015-01-05T00:00:00-05:00","2015-01-05","166.08","166.42","159.72","160.5","1232600",""
"CHTR","2015-01-06T00:00:00-05:00","2015-01-06","160.9","161.83","155.85","156.31","1419600",""
"CHTR","2015-01-07T00:00:00-05:00","2015-01-07","157.22","160.11","155.5","156.79","1122600",""
"CHTR","2015-01-08T00:00:00-05:00","2015-01-08","157.61","165.66","157.61","162.94","1172800",""
"CHTR","2015-01-09T00:00:00-05:00","2015-01-09","163.19","164.2","161.83","161.98","477000",""
"CHTR","2015-01-12T00:00:00-05:00","2015-01-12","161.79","164.37","160.77","163.85","572100",""
"CHTR","2015-01-13T00:00:00-05:00","2015-01-13","165.47","167.06","163.29","164.4","840800",""
"CHTR","2015-01-14T00:00:00-05:00","2015-01-14","160.22","161.79","155.8","158.13","1667300",""
"CHTR","2015-01-15T00:00:00-05:00","2015-01-15","158.13","161.34","156.5","160.49","873700",""
"CHTR","2015-01-16T00:00:00-05:00","2015-01-16","160.25","161.32","158.77","161.11","822500",""
"CHTR","2015-01-20T00:00:00-05:00","2015-01-20","161.43","162.42","155.5","156.13","966800",""
"CHTR","2015-01-21T00:00:00-05:00","2015-01-21","155.41","157.57","154.1","155.75","533500",""
"CHTR","2015-01-22T00:00:00-05:00","2015-01-22","156.28","159.25","155.46","158.99","449100",""
"CHTR","2015-01-23T00:00:00-05:00","2015-01-23","159.26","159.76","156.74","158.93","447600",""
"CHTR","2015-01-26T00:00:00-05:00","2015-01-26","158.82","159.9","157.06","158.18","514700",""
"CHTR","2015-01-27T00:00:00-05:00","2015-01-27","159.12","159.37","156.02","156.43","715700",""
"CHTR","2015-01-28T00:00:00-05:00","2015-01-28","157.65","157.97","150.45","150.6","1469900",""
"CHTR","2015-01-29T00:00:00-05:00","2015-01-29","151.22","152.82","150","152.09","1329200",""
"CHTR","2015-01-30T00:00:00-05:00","2015-01-30","151.2","152.44","149.47","151.12","1662600",""
