symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CINF","2015-01-02T00:00:00-05:00","2015-01-02","47.93896","48.22475","47.23831","47.57941","419349",""
"CINF","2015-01-05T00:00:00-05:00","2015-01-05","47.29362","47.45035","46.75892","46.89721","655708",""
"CINF","2015-01-06T00:00:00-05:00","2015-01-06","46.89721","47.10924","46.20578","46.53766","624794",""
"CINF","2015-01-07T00:00:00-05:00","2015-01-07","46.82346","47.19221","46.52845","47.17377","532377",""
"CINF","2015-01-08T00:00:00-05:00","2015-01-08","47.5241","48.2985","47.26597","48.17865","597025",""
"CINF","2015-01-09T00:00:00-05:00","2015-01-09","48.31694","48.37225","47.46879","47.65316","525001",""
"CINF","2015-01-12T00:00:00-05:00","2015-01-12","47.7638","47.99427","47.16456","47.37659","463714",""
"CINF","2015-01-13T00:00:00-05:00","2015-01-13","47.48722","48.19709","47.06315","47.34894","586178",""
"CINF","2015-01-14T00:00:00-05:00","2015-01-14","46.86033","47.84677","46.39938","46.9433","501028",""
"CINF","2015-01-15T00:00:00-05:00","2015-01-15","46.84189","47.29362","46.64829","46.93408","687924",""
"CINF","2015-01-16T00:00:00-05:00","2015-01-16","46.90643","47.7177","46.75892","47.70848","576850",""
"CINF","2015-01-20T00:00:00-05:00","2015-01-20","47.9113","47.98505","46.9433","47.34894","539970",""
"CINF","2015-01-21T00:00:00-05:00","2015-01-21","47.35816","47.478","46.86955","47.24753","556023",""
"CINF","2015-01-22T00:00:00-05:00","2015-01-22","47.50566","48.48288","47.16456","48.43679","520119",""
"CINF","2015-01-23T00:00:00-05:00","2015-01-23","48.446","48.47366","47.93896","47.98505","472067",""
"CINF","2015-01-26T00:00:00-05:00","2015-01-26","48.0588","48.39069","47.57019","48.39069","546478",""
"CINF","2015-01-27T00:00:00-05:00","2015-01-27","47.96661","48.39069","47.88364","48.12334","444623",""
"CINF","2015-01-28T00:00:00-05:00","2015-01-28","48.34459","48.39991","47.30285","47.31206","732723",""
"CINF","2015-01-29T00:00:00-05:00","2015-01-29","47.44113","47.97583","47.1369","47.84677","679572",""
"CINF","2015-01-30T00:00:00-05:00","2015-01-30","47.61629","47.72692","46.45469","46.56532","1954544",""
"CINF","2015-02-02T00:00:00-05:00","2015-02-02","46.9894","47.478","46.32563","47.42269","707558",""
"CINF","2015-02-03T00:00:00-05:00","2015-02-03","47.56098","48.06802","47.46879","48.03115","733157",""
"CINF","2015-02-04T00:00:00-05:00","2015-02-04","47.80067","48.58429","47.69926","48.37225","777088",""
"CINF","2015-02-05T00:00:00-05:00","2015-02-05","48.45522","48.52897","47.30285","47.83755","1020823",""
"CINF","2015-02-06T00:00:00-05:00","2015-02-06","48.04958","48.39991","47.69926","47.88364","768085",""
"CINF","2015-02-09T00:00:00-05:00","2015-02-09","47.59785","47.72692","47.27518","47.58863","539970",""
"CINF","2015-02-10T00:00:00-05:00","2015-02-10","47.80067","47.88364","47.34894","47.48722","721984",""
"CINF","2015-02-11T00:00:00-05:00","2015-02-11","47.48722","47.88364","47.45957","47.73614","519143",""
"CINF","2015-02-12T00:00:00-05:00","2015-02-12","47.93896","48.18787","47.81911","48.11412","419349",""
"CINF","2015-02-13T00:00:00-05:00","2015-02-13","48.04958","48.36303","47.96661","48.36303","616008",""
"CINF","2015-02-17T00:00:00-05:00","2015-02-17","48.24319","48.6396","48.20631","48.37225","391147",""
"CINF","2015-02-18T00:00:00-05:00","2015-02-18","48.15099","48.28928","47.79145","48.19709","314675",""
"CINF","2015-02-19T00:00:00-05:00","2015-02-19","48.01271","48.39069","48.01271","48.26162","314241",""
"CINF","2015-02-20T00:00:00-05:00","2015-02-20","48.04958","48.51054","47.69926","48.47366","501679",""
"CINF","2015-02-23T00:00:00-05:00","2015-02-23","48.60273","48.60273","48.18787","48.45522","434969",""
"CINF","2015-02-24T00:00:00-05:00","2015-02-24","48.50132","48.97149","48.45522","48.87008","381276",""
"CINF","2015-02-25T00:00:00-05:00","2015-02-25","48.94383","48.98071","48.60273","48.79633","592687",""
"CINF","2015-02-26T00:00:00-05:00","2015-02-26","48.6857","48.96227","48.57507","48.87008","372924",""
"CINF","2015-02-27T00:00:00-05:00","2015-02-27","48.94383","49.01758","48.63038","48.6396","361643",""
"CINF","2015-03-02T00:00:00-05:00","2015-03-02","48.63038","48.91618","48.30772","48.88852","511767",""
"CINF","2015-03-03T00:00:00-05:00","2015-03-03","48.66726","48.75023","48.39069","48.67648","424448",""
"CINF","2015-03-04T00:00:00-05:00","2015-03-04","48.52897","48.67648","48.15099","48.28006","495605",""
"CINF","2015-03-05T00:00:00-05:00","2015-03-05","48.39069","48.70414","48.13256","48.63038","442671",""
"CINF","2015-03-06T00:00:00-05:00","2015-03-06","48.51054","49.01758","48.32615","48.37225","662000",""
"CINF","2015-03-09T00:00:00-04:00","2015-03-09","48.28928","48.8332","48.19709","48.62117","404814",""
"CINF","2015-03-10T00:00:00-04:00","2015-03-10","48.13256","48.32615","47.75457","47.75457","536607",""
"CINF","2015-03-11T00:00:00-04:00","2015-03-11","47.74536","48.28006","47.59785","48.08646","424339",""
"CINF","2015-03-12T00:00:00-04:00","2015-03-12","48.38147","49.2204","48.26162","49.18353","476948",""
"CINF","2015-03-13T00:00:00-04:00","2015-03-13","49.11899","49.16509","48.55663","48.97149","591710",""
"CINF","2015-03-16T00:00:00-04:00","2015-03-16","49.27838","50.04094","48.95289","49.91074","575726",""
"CINF","2015-03-17T00:00:00-04:00","2015-03-17","48.53441","49.79915","48.53441","49.73405","496475",""
"CINF","2015-03-18T00:00:00-04:00","2015-03-18","49.67826","50.49662","49.27838","50.27343","648525",""
"CINF","2015-03-19T00:00:00-04:00","2015-03-19","50.16183","50.30133","49.67826","50.02234","377974",""
"CINF","2015-03-20T00:00:00-04:00","2015-03-20","50.11534","50.85","50.05024","50.7756","1576203",""
"CINF","2015-03-23T00:00:00-04:00","2015-03-23","50.7849","51.07319","50.66401","50.67331","612394",""
"CINF","2015-03-24T00:00:00-04:00","2015-03-24","50.47802","50.58961","50.11534","50.24553","390771",""
"CINF","2015-03-25T00:00:00-04:00","2015-03-25","50.18043","50.18043","49.36207","49.37137","797241",""
"CINF","2015-03-26T00:00:00-04:00","2015-03-26","49.12028","49.46437","48.98079","49.25978","525186",""
"CINF","2015-03-27T00:00:00-04:00","2015-03-27","49.14818","49.31557","48.99009","49.21328","353565",""
"CINF","2015-03-30T00:00:00-04:00","2015-03-30","49.30627","50.05954","49.13888","49.87355","359371",""
"CINF","2015-03-31T00:00:00-04:00","2015-03-31","49.55736","49.67826","49.26908","49.54806","781112",""
"CINF","2015-04-01T00:00:00-04:00","2015-04-01","49.24118","49.78055","49.08308","49.53876","391416",""
"CINF","2015-04-02T00:00:00-04:00","2015-04-02","49.53876","49.80845","49.36207","49.72475","295067",""
"CINF","2015-04-06T00:00:00-04:00","2015-04-06","49.25048","50.35713","48.99009","50.18043","457333",""
"CINF","2015-04-07T00:00:00-04:00","2015-04-07","50.18043","50.45012","49.60386","49.62246","462387",""
"CINF","2015-04-08T00:00:00-04:00","2015-04-08","49.29697","49.98514","49.29697","49.95724","591855",""
"CINF","2015-04-09T00:00:00-04:00","2015-04-09","49.87355","50.04094","49.36207","49.74335","371092",""
"CINF","2015-04-10T00:00:00-04:00","2015-04-10","49.71545","49.92004","49.64106","49.77125","354855",""
"CINF","2015-04-13T00:00:00-04:00","2015-04-13","49.75266","50.11534","49.57596","49.79915","311305",""
"CINF","2015-04-14T00:00:00-04:00","2015-04-14","49.68756","50.16183","49.58526","50.05024","492711",""
"CINF","2015-04-15T00:00:00-04:00","2015-04-15","50.21763","50.38503","49.92934","49.93864","307326",""
"CINF","2015-04-16T00:00:00-04:00","2015-04-16","49.86425","49.92004","49.51087","49.80845","355930",""
"CINF","2015-04-17T00:00:00-04:00","2015-04-17","49.38067","49.52016","48.7576","48.87849","552499",""
"CINF","2015-04-20T00:00:00-04:00","2015-04-20","48.89709","49.26908","48.89709","49.07379","488732",""
"CINF","2015-04-21T00:00:00-04:00","2015-04-21","49.02729","49.23188","48.48791","48.53441","429912",""
"CINF","2015-04-22T00:00:00-04:00","2015-04-22","48.64601","48.64601","48.06013","48.50651","399803",""
"CINF","2015-04-23T00:00:00-04:00","2015-04-23","48.30192","48.8041","48.28332","48.6367","373888",""
"CINF","2015-04-24T00:00:00-04:00","2015-04-24","48.7018","48.92499","48.47861","48.87849","442063",""
"CINF","2015-04-27T00:00:00-04:00","2015-04-27","49.08308","49.08308","48.49722","48.59951","496690",""
"CINF","2015-04-28T00:00:00-04:00","2015-04-28","48.46001","49.04589","48.32052","49.00869","497657",""
"CINF","2015-04-29T00:00:00-04:00","2015-04-29","47.64165","48.23682","46.91629","47.43706","873912",""
"CINF","2015-04-30T00:00:00-04:00","2015-04-30","47.01859","47.47426","46.86049","47.09298","823049",""
"CINF","2015-05-01T00:00:00-04:00","2015-05-01","47.43706","47.68815","46.77679","47.30687","685193",""
"CINF","2015-05-04T00:00:00-04:00","2015-05-04","47.27897","47.74395","47.19527","47.69745","674655",""
"CINF","2015-05-05T00:00:00-04:00","2015-05-05","47.51146","47.91134","47.28827","47.35336","569059",""
"CINF","2015-05-06T00:00:00-04:00","2015-05-06","47.27897","47.52076","46.92559","47.23247","428192",""
"CINF","2015-05-07T00:00:00-04:00","2015-05-07","47.14878","47.67885","47.05578","47.39056","436902",""
"CINF","2015-05-08T00:00:00-04:00","2015-05-08","47.75325","48.04153","47.60445","47.86485","471635",""
"CINF","2015-05-11T00:00:00-04:00","2015-05-11","47.60445","47.88344","47.46496","47.54866","599705",""
"CINF","2015-05-12T00:00:00-04:00","2015-05-12","47.48356","47.56726","47.08368","47.23247","549273",""
"CINF","2015-05-13T00:00:00-04:00","2015-05-13","47.32547","47.59515","47.02788","47.06508","565725",""
"CINF","2015-05-14T00:00:00-04:00","2015-05-14","47.24177","47.56726","47.04648","47.54866","350661",""
"CINF","2015-05-15T00:00:00-04:00","2015-05-15","47.55796","47.68815","47.16738","47.30687","529272",""
"CINF","2015-05-18T00:00:00-04:00","2015-05-18","47.30687","47.69745","47.14878","47.64165","224526",""
"CINF","2015-05-19T00:00:00-04:00","2015-05-19","47.79975","47.85554","47.54866","47.80904","413352",""
"CINF","2015-05-20T00:00:00-04:00","2015-05-20","47.64165","47.88344","47.61375","47.76255","331305",""
"CINF","2015-05-21T00:00:00-04:00","2015-05-21","47.66025","47.83694","47.58585","47.65096","328617",""
"CINF","2015-05-22T00:00:00-04:00","2015-05-22","47.77185","47.82764","47.35336","47.37196","276679",""
"CINF","2015-05-26T00:00:00-04:00","2015-05-26","47.24177","47.37196","46.91629","46.95349","416901",""
"CINF","2015-05-27T00:00:00-04:00","2015-05-27","47.07438","47.46496","46.97208","47.39986","428944",""
"CINF","2015-05-28T00:00:00-04:00","2015-05-28","47.40916","47.59515","47.20457","47.53006","344102",""
"CINF","2015-05-29T00:00:00-04:00","2015-05-29","47.48356","47.53006","47.03718","47.03718","410987",""
"CINF","2015-06-01T00:00:00-04:00","2015-06-01","47.16738","47.81834","46.79539","46.95349","417223",""
"CINF","2015-06-02T00:00:00-04:00","2015-06-02","46.78609","47.22317","46.7303","47.12088","728851",""
