symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CLX","2015-01-02T00:00:00-05:00","2015-01-02","96.23212","96.47279","95.2972","96.14882","928413",""
"CLX","2015-01-05T00:00:00-05:00","2015-01-05","96.09327","97.10225","95.52862","96.16733","1415307",""
"CLX","2015-01-06T00:00:00-05:00","2015-01-06","96.59313","97.65765","96.11179","96.57462","1650813",""
"CLX","2015-01-07T00:00:00-05:00","2015-01-07","96.58387","98.62034","96.58387","98.23156","1324885",""
"CLX","2015-01-08T00:00:00-05:00","2015-01-08","98.34264","99.46269","98.27784","99.3331","1780125",""
"CLX","2015-01-09T00:00:00-05:00","2015-01-09","99.27756","99.53674","98.29636","98.6944","814333",""
"CLX","2015-01-12T00:00:00-05:00","2015-01-12","98.99061","99.13871","98.00014","98.45372","993448",""
"CLX","2015-01-13T00:00:00-05:00","2015-01-13","98.95358","99.86999","98.21304","98.8425","882932",""
"CLX","2015-01-14T00:00:00-05:00","2015-01-14","97.82426","99.06465","97.62062","98.99986","766692",""
"CLX","2015-01-15T00:00:00-05:00","2015-01-15","99.77742","100.8697","99.1202","99.40715","1268169",""
"CLX","2015-01-16T00:00:00-05:00","2015-01-16","99.24053","101.1104","99.24053","100.9715","1036012",""
"CLX","2015-01-20T00:00:00-05:00","2015-01-20","101.3603","101.7676","99.72189","100.5272","1555962",""
"CLX","2015-01-21T00:00:00-05:00","2015-01-21","100.4532","101.4529","99.8885","100.7309","1486823",""
"CLX","2015-01-22T00:00:00-05:00","2015-01-22","101.0178","101.9713","100.4439","101.925","1290855",""
"CLX","2015-01-23T00:00:00-05:00","2015-01-23","101.5362","101.7861","99.89775","100.3421","1778289",""
"CLX","2015-01-26T00:00:00-05:00","2015-01-26","100.4539","100.9293","100.0531","100.7988","1366483",""
"CLX","2015-01-27T00:00:00-05:00","2015-01-27","100.0998","100.9199","99.3448","100.659","946431",""
"CLX","2015-01-28T00:00:00-05:00","2015-01-28","101.1809","101.4139","99.65237","99.82014","1227217",""
"CLX","2015-01-29T00:00:00-05:00","2015-01-29","100.37","101.4419","99.94131","101.2648","1404357",""
"CLX","2015-01-30T00:00:00-05:00","2015-01-30","100.6403","101.2461","99.35413","99.45665","1794367",""
"CLX","2015-02-02T00:00:00-05:00","2015-02-02","99.38209","100.5471","98.79491","100.5005","955658",""
"CLX","2015-02-03T00:00:00-05:00","2015-02-03","100.7615","101.0597","99.64306","100.37","2061527",""
"CLX","2015-02-04T00:00:00-05:00","2015-02-04","104.0795","104.7972","100.659","102.1595","2498638",""
"CLX","2015-02-05T00:00:00-05:00","2015-02-05","101.9918","102.6255","100.2582","100.7056","1959277",""
"CLX","2015-02-06T00:00:00-05:00","2015-02-06","100.2302","100.8454","99.0652","99.6617","1341484",""
"CLX","2015-02-09T00:00:00-05:00","2015-02-09","99.65237","99.90402","99.13976","99.64306","1180651",""
"CLX","2015-02-10T00:00:00-05:00","2015-02-10","99.72694","100.9945","99.46597","100.7522","1029690",""
"CLX","2015-02-11T00:00:00-05:00","2015-02-11","100.7522","101.1157","100.0159","100.603","597621",""
"CLX","2015-02-12T00:00:00-05:00","2015-02-12","100.4353","100.9852","100.2768","100.9013","790320",""
"CLX","2015-02-13T00:00:00-05:00","2015-02-13","100.7149","101.6656","100.4912","101.591","761565",""
"CLX","2015-02-17T00:00:00-05:00","2015-02-17","101.591","101.9358","100.9106","101.4605","713820",""
"CLX","2015-02-18T00:00:00-05:00","2015-02-18","101.2741","102.4671","101.1436","102.3087","773475",""
"CLX","2015-02-19T00:00:00-05:00","2015-02-19","102.057","102.1875","101.4139","101.852","759741",""
"CLX","2015-02-20T00:00:00-05:00","2015-02-20","101.8333","101.9638","101.0131","101.5351","884094",""
"CLX","2015-02-23T00:00:00-05:00","2015-02-23","101.6842","102.318","101.4325","102.2714","746008",""
"CLX","2015-02-24T00:00:00-05:00","2015-02-24","101.9638","102.3832","101.4605","101.9358","949972",""
"CLX","2015-02-25T00:00:00-05:00","2015-02-25","101.9358","102.0384","101.4885","101.5817","783238",""
"CLX","2015-02-26T00:00:00-05:00","2015-02-26","101.6189","102.0197","101.2182","101.6842","587536",""
"CLX","2015-02-27T00:00:00-05:00","2015-02-27","101.8054","101.8054","101.125","101.2555","647513",""
"CLX","2015-03-02T00:00:00-05:00","2015-03-02","101.2461","102.6628","101.1343","102.4485","964563",""
"CLX","2015-03-03T00:00:00-05:00","2015-03-03","102.4205","103.3246","101.9638","103.3059","1207797",""
"CLX","2015-03-04T00:00:00-05:00","2015-03-04","102.9704","103.1288","101.6656","102.4578","1021536",""
"CLX","2015-03-05T00:00:00-05:00","2015-03-05","102.523","102.8586","102.0104","102.6721","808023",""
"CLX","2015-03-06T00:00:00-05:00","2015-03-06","102.1968","102.3273","101.0597","101.3021","911883",""
"CLX","2015-03-09T00:00:00-04:00","2015-03-09","101.2741","102.2434","101.0225","101.9545","735278",""
"CLX","2015-03-10T00:00:00-04:00","2015-03-10","101.2834","101.7122","100.4632","100.5005","725837",""
"CLX","2015-03-11T00:00:00-04:00","2015-03-11","100.3794","100.7801","99.28889","100.1277","1031300",""
"CLX","2015-03-12T00:00:00-04:00","2015-03-12","100.3794","101.8892","100.165","101.7867","786457",""
