symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CMCSA","2015-01-02T00:00:00-05:00","2015-01-02","55.19961","55.48488","54.04903","54.53398","11131587",""
"CMCSA","2015-01-05T00:00:00-05:00","2015-01-05","54.27146","54.51012","53.13543","53.42183","17284576",""
"CMCSA","2015-01-06T00:00:00-05:00","2015-01-06","53.33591","53.40273","52.37172","52.72494","17793666",""
"CMCSA","2015-01-07T00:00:00-05:00","2015-01-07","52.95405","53.12589","52.2858","52.6772","11587472",""
"CMCSA","2015-01-08T00:00:00-05:00","2015-01-08","53.22135","54.46239","53.07815","53.82278","16515178",""
"CMCSA","2015-01-09T00:00:00-05:00","2015-01-09","54.04234","54.19509","53.53638","53.73686","11640895",""
"CMCSA","2015-01-12T00:00:00-05:00","2015-01-12","53.86096","54.13781","53.24044","53.6223","11775710",""
"CMCSA","2015-01-13T00:00:00-05:00","2015-01-13","54.26191","55.33111","53.87051","54.26191","18256980",""
"CMCSA","2015-01-14T00:00:00-05:00","2015-01-14","53.22135","53.72731","52.50537","53.28818","25563586",""
"CMCSA","2015-01-15T00:00:00-05:00","2015-01-15","53.46955","53.87051","52.92541","53.46001","17001014",""
"CMCSA","2015-01-16T00:00:00-05:00","2015-01-16","53.27863","54.38602","53.1068","54.19509","16254243",""
"CMCSA","2015-01-20T00:00:00-05:00","2015-01-20","54.17599","54.17599","52.9445","53.27863","14431467",""
"CMCSA","2015-01-21T00:00:00-05:00","2015-01-21","52.90632","53.48865","52.66766","53.24044","14584718",""
"CMCSA","2015-01-22T00:00:00-05:00","2015-01-22","53.41228","54.10917","53.13543","54.00416","14084112",""
"CMCSA","2015-01-23T00:00:00-05:00","2015-01-23","54.02325","54.08053","53.55547","53.75595","11367495",""
"CMCSA","2015-01-26T00:00:00-05:00","2015-01-26","53.70822","54.27146","53.53638","54.11871","9065063",""
"CMCSA","2015-01-27T00:00:00-05:00","2015-01-27","53.54593","54.25237","53.47911","53.79414","9975770",""
"CMCSA","2015-01-28T00:00:00-05:00","2015-01-28","53.92779","54.07098","52.05669","52.11396","20834278",""
"CMCSA","2015-01-29T00:00:00-05:00","2015-01-29","52.37172","52.56265","51.0925","51.42662","21831930",""
"CMCSA","2015-01-30T00:00:00-05:00","2015-01-30","50.9493","51.45526","50.61518","50.73928","29529676",""
"CMCSA","2015-02-02T00:00:00-05:00","2015-02-02","50.73928","51.49345","50.07103","51.36935","19332776",""
"CMCSA","2015-02-03T00:00:00-05:00","2015-02-03","51.73211","53.03997","51.41708","52.89677","19099284",""
"CMCSA","2015-02-04T00:00:00-05:00","2015-02-04","52.93496","55.3502","52.34308","54.31919","41961024",""
"CMCSA","2015-02-05T00:00:00-05:00","2015-02-05","54.21418","54.79651","54.07098","54.38602","13409724",""
"CMCSA","2015-02-06T00:00:00-05:00","2015-02-06","54.48148","54.82515","54.18554","54.33828","11093675",""
"CMCSA","2015-02-09T00:00:00-05:00","2015-02-09","54.24282","54.63422","54.00416","54.50057","9008917",""
"CMCSA","2015-02-10T00:00:00-05:00","2015-02-10","54.54831","54.86334","54.12826","54.80606","9433473",""
"CMCSA","2015-02-11T00:00:00-05:00","2015-02-11","54.76787","55.29293","54.47194","55.15928","11730143",""
