symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CMG","2015-01-02T00:00:00-05:00","2015-01-02","686","687.47","671.01","678.4","325000",""
"CMG","2015-01-05T00:00:00-05:00","2015-01-05","678.4","679.92","664.2","667.69","374400",""
"CMG","2015-01-06T00:00:00-05:00","2015-01-06","666.79","672","653.77","664.38","609400",""
"CMG","2015-01-07T00:00:00-05:00","2015-01-07","668.4","694.85","668.4","694.26","685500",""
"CMG","2015-01-08T00:00:00-05:00","2015-01-08","702.5","727.97","702.5","719.99","1171500",""
"CMG","2015-01-09T00:00:00-05:00","2015-01-09","721.85","722.17","711.96","714.27","404300",""
"CMG","2015-01-12T00:00:00-05:00","2015-01-12","718.89","719","709.48","711.7","276800",""
"CMG","2015-01-13T00:00:00-05:00","2015-01-13","715.74","724.48","707.16","714.06","348100",""
"CMG","2015-01-14T00:00:00-05:00","2015-01-14","703.21","713.02","700","709.74","318700",""
"CMG","2015-01-15T00:00:00-05:00","2015-01-15","709","715.1","698.11","700.78","344900",""
"CMG","2015-01-16T00:00:00-05:00","2015-01-16","696.57","712.23","696.57","711.11","316000",""
"CMG","2015-01-20T00:00:00-05:00","2015-01-20","714.89","716","702.5","705.78","340900",""
"CMG","2015-01-21T00:00:00-05:00","2015-01-21","704.4","710.52","702.06","703.89","307400",""
"CMG","2015-01-22T00:00:00-05:00","2015-01-22","706.81","715.18","703.54","713.44","301800",""
"CMG","2015-01-23T00:00:00-05:00","2015-01-23","713.99","721","713","713.69","324800",""
"CMG","2015-01-26T00:00:00-05:00","2015-01-26","715.34","725.86","712.37","723.43","227900",""
"CMG","2015-01-27T00:00:00-05:00","2015-01-27","718.38","724.83","716","721.33","275800",""
"CMG","2015-01-28T00:00:00-05:00","2015-01-28","722.97","726.98","710.64","711.99","244700",""
"CMG","2015-01-29T00:00:00-05:00","2015-01-29","715.55","717.15","708.82","714.53","273600",""
"CMG","2015-01-30T00:00:00-05:00","2015-01-30","714.64","716.98","707.72","709.84","385800",""
"CMG","2015-02-02T00:00:00-05:00","2015-02-02","707.99","716.44","700.01","712.55","468700",""
"CMG","2015-02-03T00:00:00-05:00","2015-02-03","716.5","726.63","710","726.63","1364200",""
"CMG","2015-02-04T00:00:00-05:00","2015-02-04","680.28","686.72","667.15","676","2474700",""
"CMG","2015-02-05T00:00:00-05:00","2015-02-05","679.8","679.99","670.03","670.91","830200",""
"CMG","2015-02-06T00:00:00-05:00","2015-02-06","677","677.89","657.98","659.92","870100",""
"CMG","2015-02-09T00:00:00-05:00","2015-02-09","655.92","658.07","647.28","648.01","646400",""
"CMG","2015-02-10T00:00:00-05:00","2015-02-10","652","666.25","648.93","665.03","734400",""
"CMG","2015-02-11T00:00:00-05:00","2015-02-11","666.36","676.75","664","669.64","528800",""
"CMG","2015-02-12T00:00:00-05:00","2015-02-12","671.08","672.24","665.26","670.29","288600",""
"CMG","2015-02-13T00:00:00-05:00","2015-02-13","671.67","678.17","667.13","674.89","377400",""
"CMG","2015-02-17T00:00:00-05:00","2015-02-17","674.46","677.67","669.3","670.93","280700",""
"CMG","2015-02-18T00:00:00-05:00","2015-02-18","669.96","674.95","669","674.57","297000",""
"CMG","2015-02-19T00:00:00-05:00","2015-02-19","674.6","682.52","672.24","673.28","295800",""
"CMG","2015-02-20T00:00:00-05:00","2015-02-20","670.59","674.68","669.38","674","266200",""
"CMG","2015-02-23T00:00:00-05:00","2015-02-23","673.47","679.72","670","671.17","215900",""
"CMG","2015-02-24T00:00:00-05:00","2015-02-24","670.15","673.22","666.52","667.91","235800",""
"CMG","2015-02-25T00:00:00-05:00","2015-02-25","670.3","678.94","668.72","675.52","379100",""
"CMG","2015-02-26T00:00:00-05:00","2015-02-26","675","678.89","669.14","670.29","282100",""
"CMG","2015-02-27T00:00:00-05:00","2015-02-27","670.5","673.59","664.97","664.97","441100",""
"CMG","2015-03-02T00:00:00-05:00","2015-03-02","664.97","673.3","663.05","670.86","398900",""
"CMG","2015-03-03T00:00:00-05:00","2015-03-03","670.38","672.25","664.56","668.43","264400",""
"CMG","2015-03-04T00:00:00-05:00","2015-03-04","664.6","667","659.25","664.16","305900",""
"CMG","2015-03-05T00:00:00-05:00","2015-03-05","667.16","671.59","666.2","670.49","249800",""
"CMG","2015-03-06T00:00:00-05:00","2015-03-06","666.92","666.92","657.61","658.68","381600",""
"CMG","2015-03-09T00:00:00-04:00","2015-03-09","658.01","662.98","653.37","660.34","321800",""
"CMG","2015-03-10T00:00:00-04:00","2015-03-10","657.14","658.33","652.3","654.74","240800",""
"CMG","2015-03-11T00:00:00-04:00","2015-03-11","658.68","667.8","658.29","660.77","351000",""
"CMG","2015-03-12T00:00:00-04:00","2015-03-12","662.53","671.59","662.33","670.39","277100",""
"CMG","2015-03-13T00:00:00-04:00","2015-03-13","668","677.64","667.51","674.51","359300",""
"CMG","2015-03-16T00:00:00-04:00","2015-03-16","676.09","682.5","676.09","678.88","275000",""
"CMG","2015-03-17T00:00:00-04:00","2015-03-17","677","678.46","671.01","672","305600",""
"CMG","2015-03-18T00:00:00-04:00","2015-03-18","669.26","674.63","662.7","673.28","476800",""
"CMG","2015-03-19T00:00:00-04:00","2015-03-19","673.97","681.18","671","680.67","390600",""
"CMG","2015-03-20T00:00:00-04:00","2015-03-20","684.96","689.23","682.44","686.65","457200",""
"CMG","2015-03-23T00:00:00-04:00","2015-03-23","685.65","692.43","682.83","687.34","279900",""
"CMG","2015-03-24T00:00:00-04:00","2015-03-24","686.5","689.71","680.41","680.81","331900",""
"CMG","2015-03-25T00:00:00-04:00","2015-03-25","680","683.13","665.74","665.97","370800",""
"CMG","2015-03-26T00:00:00-04:00","2015-03-26","662.27","664.87","658.07","658.82","370400",""
"CMG","2015-03-27T00:00:00-04:00","2015-03-27","660.51","668.64","658.01","662.72","286700",""
"CMG","2015-03-30T00:00:00-04:00","2015-03-30","667.38","669.01","651.5","655.36","419900",""
"CMG","2015-03-31T00:00:00-04:00","2015-03-31","652.21","659.26","650.54","650.54","332200",""
"CMG","2015-04-01T00:00:00-04:00","2015-04-01","650","653.02","644.06","652.53","404900",""
"CMG","2015-04-02T00:00:00-04:00","2015-04-02","652.97","656.06","648.88","652.39","308000",""
"CMG","2015-04-06T00:00:00-04:00","2015-04-06","648.48","663.29","648","660.02","284200",""
"CMG","2015-04-07T00:00:00-04:00","2015-04-07","659.42","664.29","654.74","658.46","323700",""
"CMG","2015-04-08T00:00:00-04:00","2015-04-08","658.46","662.7","652.5","654.55","549600",""
"CMG","2015-04-09T00:00:00-04:00","2015-04-09","653.79","654.5","648.57","651.72","375400",""
"CMG","2015-04-10T00:00:00-04:00","2015-04-10","666.1","685","665","683.02","1194400",""
"CMG","2015-04-13T00:00:00-04:00","2015-04-13","680.7","687.74","677","683.73","514400",""
"CMG","2015-04-14T00:00:00-04:00","2015-04-14","681.16","687.2","676.14","677.85","438100",""
"CMG","2015-04-15T00:00:00-04:00","2015-04-15","683.26","687.76","675.59","677.6","363600",""
"CMG","2015-04-16T00:00:00-04:00","2015-04-16","678","684","677.12","681.55","340600",""
"CMG","2015-04-17T00:00:00-04:00","2015-04-17","678.79","685.23","673.05","683.95","519600",""
"CMG","2015-04-20T00:00:00-04:00","2015-04-20","686.77","688.55","682.63","686.93","435700",""
"CMG","2015-04-21T00:00:00-04:00","2015-04-21","695","699.03","689","692.52","1883300",""
"CMG","2015-04-22T00:00:00-04:00","2015-04-22","655.13","656.99","635.25","641.23","3776500",""
"CMG","2015-04-23T00:00:00-04:00","2015-04-23","641.98","643.48","635.25","635.6","1094300",""
"CMG","2015-04-24T00:00:00-04:00","2015-04-24","638.58","639.73","634.13","637.5","793600",""
"CMG","2015-04-27T00:00:00-04:00","2015-04-27","638.51","646.22","636.09","643.75","759800",""
"CMG","2015-04-28T00:00:00-04:00","2015-04-28","643.75","646.97","636.44","639.58","634700",""
"CMG","2015-04-29T00:00:00-04:00","2015-04-29","637.7","638.7","626.75","630.07","789400",""
"CMG","2015-04-30T00:00:00-04:00","2015-04-30","631.99","635","619.72","621.34","563400",""
"CMG","2015-05-01T00:00:00-04:00","2015-05-01","628.96","634","626.92","634","523600",""
"CMG","2015-05-04T00:00:00-04:00","2015-05-04","636.69","641.96","633.33","633.57","318600",""
"CMG","2015-05-05T00:00:00-04:00","2015-05-05","631.84","634.95","625.19","625.67","421000",""
"CMG","2015-05-06T00:00:00-04:00","2015-05-06","625.5","627.82","618.47","627.23","518800",""
"CMG","2015-05-07T00:00:00-04:00","2015-05-07","627","633.41","625.39","628.82","318800",""
"CMG","2015-05-08T00:00:00-04:00","2015-05-08","636","637.7","632.05","633.82","443500",""
"CMG","2015-05-11T00:00:00-04:00","2015-05-11","630.33","637.5","628.32","635.67","416500",""
"CMG","2015-05-12T00:00:00-04:00","2015-05-12","632.76","637.67","627.36","635.55","290500",""
"CMG","2015-05-13T00:00:00-04:00","2015-05-13","636","639.5","634.05","635.32","326200",""
"CMG","2015-05-14T00:00:00-04:00","2015-05-14","636.03","638.59","630.86","634.53","360800",""
"CMG","2015-05-15T00:00:00-04:00","2015-05-15","634.75","636.44","629.05","632.37","437900",""
