symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"COP","2015-01-02T00:00:00-05:00","2015-01-02","62.20359","63.09351","61.95841","62.58498","6278841",""
"COP","2015-01-05T00:00:00-05:00","2015-01-05","61.4862","61.73139","59.41578","59.60648","12057066",""
"COP","2015-01-06T00:00:00-05:00","2015-01-06","59.28865","60.47823","57.10017","57.14558","19882134",""
"COP","2015-01-07T00:00:00-05:00","2015-01-07","58.1263","58.32608","57.07293","57.52697","13600650",""
"COP","2015-01-08T00:00:00-05:00","2015-01-08","58.88909","59.47026","58.02642","58.96174","11395782",""
"COP","2015-01-09T00:00:00-05:00","2015-01-09","58.97082","59.33405","58.1263","58.95266","8792272",""
"COP","2015-01-12T00:00:00-05:00","2015-01-12","58.25344","58.3624","56.85499","57.27271","9158979",""
"COP","2015-01-13T00:00:00-05:00","2015-01-13","57.38168","57.96285","55.8561","56.70061","11277401",""
"COP","2015-01-14T00:00:00-05:00","2015-01-14","56.1376","57.00936","55.25676","56.86407","11018063",""
"COP","2015-01-15T00:00:00-05:00","2015-01-15","57.76307","57.99917","55.73805","55.76529","11005509",""
"COP","2015-01-16T00:00:00-05:00","2015-01-16","56.07404","57.64502","55.82886","57.28179","11046695",""
"COP","2015-01-20T00:00:00-05:00","2015-01-20","57.03661","57.4634","56.08312","57.38168","7587974",""
"COP","2015-01-21T00:00:00-05:00","2015-01-21","58.01733","58.82552","57.418","58.60759","8787426",""
"COP","2015-01-22T00:00:00-05:00","2015-01-22","59.11611","59.55199","58.11722","59.29773","9646160",""
"COP","2015-01-23T00:00:00-05:00","2015-01-23","59.33405","59.67004","58.69839","58.70748","7040006",""
"COP","2015-01-26T00:00:00-05:00","2015-01-26","58.92542","59.93338","58.01733","59.76993","6454266",""
"COP","2015-01-27T00:00:00-05:00","2015-01-27","59.28865","60.0696","59.07978","59.51567","6541152",""
"COP","2015-01-28T00:00:00-05:00","2015-01-28","59.26141","59.43394","56.7551","56.82775","9557731",""
"COP","2015-01-29T00:00:00-05:00","2015-01-29","57.3726","57.73583","55.06607","57.04568","12509889",""
