symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"COST","2015-01-02T00:00:00-05:00","2015-01-02","133.1746","134.3762","132.1796","132.9306","1567791",""
"COST","2015-01-05T00:00:00-05:00","2015-01-05","133.0057","133.4469","131.2315","131.4192","1865967",""
"COST","2015-01-06T00:00:00-05:00","2015-01-06","131.9919","134.179","131.2784","133.1559","3396047",""
"COST","2015-01-07T00:00:00-05:00","2015-01-07","133.8599","135.5777","133.6346","135.4745","2313283",""
"COST","2015-01-08T00:00:00-05:00","2015-01-08","136.6385","137.1454","136.0565","136.6385","3129404",""
"COST","2015-01-09T00:00:00-05:00","2015-01-09","135.6434","136.1597","134.4419","134.5358","1839761",""
"COST","2015-01-12T00:00:00-05:00","2015-01-12","134.7798","135.3243","133.4093","133.7848","1432606",""
"COST","2015-01-13T00:00:00-05:00","2015-01-13","133.4844","135.5589","131.7853","132.4424","2344603",""
"COST","2015-01-14T00:00:00-05:00","2015-01-14","131.438","131.6164","129.7671","130.7715","2352380",""
"COST","2015-01-15T00:00:00-05:00","2015-01-15","131.3723","131.5788","130.1238","130.7715","1940005",""
"COST","2015-01-16T00:00:00-05:00","2015-01-16","130.5181","131.3817","129.7483","131.1564","1901335",""
"COST","2015-01-20T00:00:00-05:00","2015-01-20","132.067","132.6114","129.8798","130.8372","1956623",""
"COST","2015-01-21T00:00:00-05:00","2015-01-21","130.3397","131.1376","129.8985","130.612","1792675",""
"COST","2015-01-22T00:00:00-05:00","2015-01-22","130.9499","132.6208","129.9079","132.6114","2021393",""
"COST","2015-01-23T00:00:00-05:00","2015-01-23","132.9118","133.5876","132.2359","133.3436","1811424",""
"COST","2015-01-26T00:00:00-05:00","2015-01-26","132.9775","134.2823","132.893","134.1415","1580149",""
"COST","2015-01-27T00:00:00-05:00","2015-01-27","134.0007","134.0476","132.2359","132.3486","1903465",""
"COST","2015-01-28T00:00:00-05:00","2015-01-28","132.9212","133.7191","131.0062","131.0625","2148696",""
"COST","2015-01-29T00:00:00-05:00","2015-01-29","131.5694","132.067","130.396","132.02","1995720",""
"COST","2015-01-30T00:00:00-05:00","2015-01-30","134.3198","134.9863","132.6771","134.226","5506499",""
"COST","2015-02-02T00:00:00-05:00","2015-02-02","135.1365","137.2674","131.5413","137.0515","5110743",""
"COST","2015-02-03T00:00:00-05:00","2015-02-03","137.3894","144.4579","135.8969","144.3265","10975501",""
"COST","2015-02-04T00:00:00-05:00","2015-02-04","142.7588","147.2365","142.7495","146.3635","11724935",""
"COST","2015-02-05T00:00:00-05:00","2015-02-05","144.9864","146.5381","143.0661","144.5887","7204103",""
"COST","2015-02-06T00:00:00-05:00","2015-02-06","144.7439","145.4228","143.6868","144.2105","3018431",""
"COST","2015-02-09T00:00:00-05:00","2015-02-09","144.2105","144.6566","142.3873","143.0855","2825506",""
"COST","2015-02-10T00:00:00-05:00","2015-02-10","143.522","143.9971","142.5618","143.745","1756429",""
"COST","2015-02-11T00:00:00-05:00","2015-02-11","144.3331","144.3429","142.4666","143.3513","2361602",""
"COST","2015-02-12T00:00:00-05:00","2015-02-12","143.9151","144.2554","142.768","143.6429","1761172",""
"COST","2015-02-13T00:00:00-05:00","2015-02-13","144.0998","144.6539","142.8458","143.0013","1982025",""
"COST","2015-02-17T00:00:00-05:00","2015-02-17","143.0013","143.4971","141.6014","143.4193","1585579",""
"COST","2015-02-18T00:00:00-05:00","2015-02-18","143.0596","143.3707","142.4472","143.1277","1585065",""
"COST","2015-02-19T00:00:00-05:00","2015-02-19","142.8069","143.3999","142.3792","142.5736","1310206",""
"COST","2015-02-20T00:00:00-05:00","2015-02-20","142.5833","143.6721","141.8347","143.429","1642155",""
"COST","2015-02-23T00:00:00-05:00","2015-02-23","143.8762","144.3234","142.9333","144.2554","1632795",""
"COST","2015-02-24T00:00:00-05:00","2015-02-24","145.2178","145.2372","143.8762","144.0804","1896955",""
"COST","2015-02-25T00:00:00-05:00","2015-02-25","143.5846","144.4595","143.0888","143.3707","1649767",""
"COST","2015-02-26T00:00:00-05:00","2015-02-26","142.9722","143.4971","142.1264","142.5638","1946742",""
"COST","2015-02-27T00:00:00-05:00","2015-02-27","143.3027","143.4485","141.7667","142.8652","3123120",""
"COST","2015-03-02T00:00:00-05:00","2015-03-02","143.2152","144.3526","143.2152","143.8179","2168933",""
"COST","2015-03-03T00:00:00-05:00","2015-03-03","143.8082","144.0123","142.5736","143.2638","1557702",""
"COST","2015-03-04T00:00:00-05:00","2015-03-04","143.0208","143.8568","141.7181","143.0694","2271799",""
"COST","2015-03-05T00:00:00-05:00","2015-03-05","146.5691","147.5217","144.8484","146.9579","4599147",""
"COST","2015-03-06T00:00:00-05:00","2015-03-06","145.1303","145.9663","144.0415","145.3733","3101209",""
"COST","2015-03-09T00:00:00-04:00","2015-03-09","145.6163","146.7829","145.3831","146.4816","1777322",""
"COST","2015-03-10T00:00:00-04:00","2015-03-10","145.5775","145.9663","144.022","144.0318","2189095",""
"COST","2015-03-11T00:00:00-04:00","2015-03-11","144.1679","144.8387","143.2346","143.293","1783905",""
"COST","2015-03-12T00:00:00-04:00","2015-03-12","144.2457","145.4705","143.293","145.2761","1608724",""
"COST","2015-03-13T00:00:00-04:00","2015-03-13","145.1206","145.733","144.022","145.1206","1512133",""
"COST","2015-03-16T00:00:00-04:00","2015-03-16","145.5483","146.7926","145.1206","145.8108","2605292",""
"COST","2015-03-17T00:00:00-04:00","2015-03-17","145.7816","146.0149","144.2943","145.8497","2029035",""
"COST","2015-03-18T00:00:00-04:00","2015-03-18","145.8205","147.4051","144.1193","146.7246","2852788",""
"COST","2015-03-19T00:00:00-04:00","2015-03-19","146.7926","147.2787","146.1316","147.094","1916294",""
"COST","2015-03-20T00:00:00-04:00","2015-03-20","147.8912","148.8827","147.5217","148.3383","6027238",""
"COST","2015-03-23T00:00:00-04:00","2015-03-23","148.8827","149.2813","148.4453","148.6689","1714059",""
"COST","2015-03-24T00:00:00-04:00","2015-03-24","148.8147","149.9326","148.63","148.873","1683816",""
