symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"COTY","2015-01-02T00:00:00-05:00","2015-01-02","19.80077","20.08691","19.41925","19.48602","719232",""
"COTY","2015-01-05T00:00:00-05:00","2015-01-05","19.45741","19.70539","19.33341","19.42879","771130",""
"COTY","2015-01-06T00:00:00-05:00","2015-01-06","19.45741","19.51463","19.17127","19.28572","1971494",""
"COTY","2015-01-07T00:00:00-05:00","2015-01-07","19.33341","19.52417","19.21896","19.35249","1249011",""
"COTY","2015-01-08T00:00:00-05:00","2015-01-08","19.39064","19.70539","19.24757","19.51463","711998",""
"COTY","2015-01-09T00:00:00-05:00","2015-01-09","19.51463","19.55278","18.84698","18.94236","1151191",""
"COTY","2015-01-12T00:00:00-05:00","2015-01-12","18.97097","19.01866","18.23655","18.42731","1310869",""
"COTY","2015-01-13T00:00:00-05:00","2015-01-13","18.54176","18.64668","17.87411","18.14117","1988793",""
"COTY","2015-01-14T00:00:00-05:00","2015-01-14","17.9218","18.10302","17.7215","18.03625","1140602",""
"COTY","2015-01-15T00:00:00-05:00","2015-01-15","18.03625","18.25562","17.94087","18.05533","846513",""
"COTY","2015-01-16T00:00:00-05:00","2015-01-16","18.0744","18.17932","17.68335","17.84549","1050750",""
"COTY","2015-01-20T00:00:00-05:00","2015-01-20","17.82642","17.94087","17.48305","17.85503","1020345",""
"COTY","2015-01-21T00:00:00-05:00","2015-01-21","17.85503","18.11255","17.75011","17.91226","680754",""
"COTY","2015-01-22T00:00:00-05:00","2015-01-22","18.36054","18.43685","17.98856","18.24609","1050226",""
"COTY","2015-01-23T00:00:00-05:00","2015-01-23","18.24609","18.32239","17.9981","18.0744","731604",""
"COTY","2015-01-26T00:00:00-05:00","2015-01-26","18.09348","18.62761","18.0744","18.45592","1136198",""
"COTY","2015-01-27T00:00:00-05:00","2015-01-27","18.25562","18.41777","18.16978","18.21747","1174781",""
"COTY","2015-01-28T00:00:00-05:00","2015-01-28","17.77873","18.18886","17.66427","17.85503","1039008",""
"COTY","2015-01-29T00:00:00-05:00","2015-01-29","17.88364","18.48453","17.88364","18.42731","1513638",""
"COTY","2015-01-30T00:00:00-05:00","2015-01-30","18.29378","18.48453","18.06487","18.14117","1880384",""
"COTY","2015-02-02T00:00:00-05:00","2015-02-02","18.14117","18.32239","17.97902","18.32239","1558931",""
"COTY","2015-02-03T00:00:00-05:00","2015-02-03","18.26516","18.69437","18.26516","18.69437","1127077",""
"COTY","2015-02-04T00:00:00-05:00","2015-02-04","18.65622","18.83744","18.04579","18.05533","2054321",""
