symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CSX","2015-01-02T00:00:00-05:00","2015-01-02","34.00004","34.32018","33.42568","33.75523","4979457",""
"CSX","2015-01-05T00:00:00-05:00","2015-01-05","33.33153","33.46335","32.74775","32.84191","9166937",""
"CSX","2015-01-06T00:00:00-05:00","2015-01-06","32.33347","32.49353","31.3919","31.53313","15443698",""
"CSX","2015-01-07T00:00:00-05:00","2015-01-07","31.80618","32.20164","31.35423","31.94742","10316084",""
"CSX","2015-01-08T00:00:00-05:00","2015-01-08","32.15457","32.68184","31.87209","32.45587","10170369",""
"CSX","2015-01-09T00:00:00-05:00","2015-01-09","32.55003","32.67243","32.21106","32.38996","8895900",""
"CSX","2015-01-12T00:00:00-05:00","2015-01-12","32.19223","32.22048","31.76852","31.92859","11104449",""
"CSX","2015-01-13T00:00:00-05:00","2015-01-13","32.07924","32.28639","31.1565","31.58962","10528070",""
"CSX","2015-01-14T00:00:00-05:00","2015-01-14","31.18475","32.16398","31.08118","31.68378","12519216",""
"CSX","2015-01-15T00:00:00-05:00","2015-01-15","31.83443","32.60652","31.74969","32.11691","10444486",""
"CSX","2015-01-16T00:00:00-05:00","2015-01-16","32.16398","32.88899","32.14515","32.82308","8917779",""
"CSX","2015-01-20T00:00:00-05:00","2015-01-20","32.80425","33.08672","32.41821","32.52178","6672270",""
"CSX","2015-01-21T00:00:00-05:00","2015-01-21","32.49353","32.9549","32.36171","32.67243","5017372",""
"CSX","2015-01-22T00:00:00-05:00","2015-01-22","32.96431","33.3786","32.79483","33.19029","6028345",""
"CSX","2015-01-23T00:00:00-05:00","2015-01-23","32.97373","33.02081","32.40879","32.45587","6350679",""
"CSX","2015-01-26T00:00:00-05:00","2015-01-26","32.43704","32.9549","32.37113","32.91724","5127720",""
"CSX","2015-01-27T00:00:00-05:00","2015-01-27","32.61593","32.71009","32.13573","32.31463","6286425",""
"CSX","2015-01-28T00:00:00-05:00","2015-01-28","32.62535","32.71951","31.65553","31.73086","9368941",""
"CSX","2015-01-29T00:00:00-05:00","2015-01-29","31.73086","31.88151","31.3919","31.78735","7915302",""
"CSX","2015-01-30T00:00:00-05:00","2015-01-30","31.57079","31.89093","31.30715","31.35423","8149061",""
"CSX","2015-02-02T00:00:00-05:00","2015-02-02","31.5143","31.73086","31.26949","31.71203","6537283",""
"CSX","2015-02-03T00:00:00-05:00","2015-02-03","31.88151","32.68184","31.83443","32.63477","6497243",""
"CSX","2015-02-04T00:00:00-05:00","2015-02-04","32.4747","32.74775","32.31463","32.55003","6035885",""
"CSX","2015-02-05T00:00:00-05:00","2015-02-05","32.58769","33.18088","32.58769","33.14322","5405660",""
"CSX","2015-02-06T00:00:00-05:00","2015-02-06","33.20912","33.60458","33.16204","33.36919","7412312",""
"CSX","2015-02-09T00:00:00-05:00","2015-02-09","33.22795","33.50101","33.14322","33.23737","5083538",""
"CSX","2015-02-10T00:00:00-05:00","2015-02-10","33.3786","33.5575","33.10555","33.45393","4296235",""
"CSX","2015-02-11T00:00:00-05:00","2015-02-11","33.32211","34.12244","33.32211","33.83997","6964442",""
"CSX","2015-02-12T00:00:00-05:00","2015-02-12","33.93413","34.47083","33.9153","34.43316","5515689",""
"CSX","2015-02-13T00:00:00-05:00","2015-02-13","34.49907","34.79096","33.78348","33.97179","8096277",""
"CSX","2015-02-17T00:00:00-05:00","2015-02-17","32.86074","33.84939","32.86074","33.75523","7150196",""
"CSX","2015-02-18T00:00:00-05:00","2015-02-18","33.78348","33.80231","33.22795","33.32211","8208749",""
"CSX","2015-02-19T00:00:00-05:00","2015-02-19","33.14322","33.68932","33.08672","33.45393","6517316",""
"CSX","2015-02-20T00:00:00-05:00","2015-02-20","33.34094","33.60458","33.10555","33.47276","6151543",""
"CSX","2015-02-23T00:00:00-05:00","2015-02-23","33.51984","33.68932","33.35036","33.67991","4099436",""
"CSX","2015-02-24T00:00:00-05:00","2015-02-24","33.65166","33.71757","33.4351","33.49159","3157603",""
"CSX","2015-02-25T00:00:00-05:00","2015-02-25","33.61455","33.71859","33.27406","33.30243","6223151",""
"CSX","2015-02-26T00:00:00-05:00","2015-02-26","33.37809","33.47268","32.42281","32.45119","10549331",""
"CSX","2015-02-27T00:00:00-05:00","2015-02-27","32.63089","32.88626","32.2904","32.45119","11997382",""
"CSX","2015-03-02T00:00:00-05:00","2015-03-02","32.57414","32.82952","32.45119","32.79168","9018389",""
"CSX","2015-03-03T00:00:00-05:00","2015-03-03","32.44173","32.50793","32.20527","32.27148","7115813",""
