symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CTL","2015-01-02T00:00:00-05:00","2015-01-02","31.98817","32.15682","31.69905","31.79542","2744181",""
"CTL","2015-01-05T00:00:00-05:00","2015-01-05","31.64283","31.78739","31.0164","31.1208","3781265",""
"CTL","2015-01-06T00:00:00-05:00","2015-01-06","31.10474","31.35371","30.48634","30.73531","5212313",""
"CTL","2015-01-07T00:00:00-05:00","2015-01-07","30.96821","31.06458","30.45421","30.89593","4535700",""
"CTL","2015-01-08T00:00:00-05:00","2015-01-08","31.22521","31.44205","31.00837","31.20914","3588765",""
"CTL","2015-01-09T00:00:00-05:00","2015-01-09","31.29749","31.29749","30.74334","30.83971","2714671",""
"CTL","2015-01-12T00:00:00-05:00","2015-01-12","30.92002","31.16096","30.82365","31.04049","3220948",""
"CTL","2015-01-13T00:00:00-05:00","2015-01-13","31.25733","31.64283","30.81562","31.00033","4087322",""
"CTL","2015-01-14T00:00:00-05:00","2015-01-14","30.73531","30.96821","30.52649","30.76743","3246474",""
"CTL","2015-01-15T00:00:00-05:00","2015-01-15","30.96821","31.19308","30.73531","30.7594","3921219",""
"CTL","2015-01-16T00:00:00-05:00","2015-01-16","30.79152","30.96018","30.61484","30.83971","5675882",""
"CTL","2015-01-20T00:00:00-05:00","2015-01-20","31.08065","31.20914","30.83971","31.11277","3110753",""
"CTL","2015-01-21T00:00:00-05:00","2015-01-21","31.00837","31.49023","30.83971","31.02443","4336974",""
"CTL","2015-01-22T00:00:00-05:00","2015-01-22","31.09671","31.69905","31.04049","31.61873","4405582",""
"CTL","2015-01-23T00:00:00-05:00","2015-01-23","31.71511","31.87573","31.3778","31.51433","3716642",""
"CTL","2015-01-26T00:00:00-05:00","2015-01-26","31.45811","31.53842","31.1208","31.32158","3183345",""
"CTL","2015-01-27T00:00:00-05:00","2015-01-27","31.12883","31.40189","31.09671","31.15293","3757980",""
"CTL","2015-01-28T00:00:00-05:00","2015-01-28","31.40992","31.45811","30.73531","30.79955","3434865",""
"CTL","2015-01-29T00:00:00-05:00","2015-01-29","30.72727","30.85577","30.09281","30.11691","6513368",""
"CTL","2015-01-30T00:00:00-05:00","2015-01-30","29.95628","30.09281","29.56275","29.85187","9051852",""
"CTL","2015-02-02T00:00:00-05:00","2015-02-02","29.97234","30.74334","29.77156","30.69515","5833393",""
"CTL","2015-02-03T00:00:00-05:00","2015-02-03","30.74334","31.87573","30.67909","31.79542","7019895",""
"CTL","2015-02-04T00:00:00-05:00","2015-02-04","31.65889","32.06045","31.57055","31.65086","4802037",""
"CTL","2015-02-05T00:00:00-05:00","2015-02-05","31.55449","31.70708","30.66302","30.8638","6780328",""
"CTL","2015-02-06T00:00:00-05:00","2015-02-06","30.97624","31.1208","30.59877","30.96821","4515653",""
"CTL","2015-02-09T00:00:00-05:00","2015-02-09","31.71511","32.28532","31.69905","31.85967","14453677",""
"CTL","2015-02-10T00:00:00-05:00","2015-02-10","31.88376","32.30138","31.82755","32.26926","7037327",""
"CTL","2015-02-11T00:00:00-05:00","2015-02-11","32.33351","32.59854","32.14879","32.54232","6364324",""
"CTL","2015-02-12T00:00:00-05:00","2015-02-12","31.95605","31.95605","30.89593","31.55449","15825581",""
"CTL","2015-02-13T00:00:00-05:00","2015-02-13","31.5063","31.91589","31.28946","31.69101","5828288",""
"CTL","2015-02-17T00:00:00-05:00","2015-02-17","31.64283","31.68298","31.28946","31.5063","5003876",""
"CTL","2015-02-18T00:00:00-05:00","2015-02-18","30.56665","30.91199","30.08478","30.12494","12636508",""
"CTL","2015-02-19T00:00:00-05:00","2015-02-19","29.97234","30.33375","29.73141","30.18919","6023527",""
"CTL","2015-02-20T00:00:00-05:00","2015-02-20","30.03659","30.08478","29.65913","29.73141","8402631",""
"CTL","2015-02-23T00:00:00-05:00","2015-02-23","29.79566","29.81172","29.27363","29.41819","5825673",""
"CTL","2015-02-24T00:00:00-05:00","2015-02-24","29.35394","29.86794","29.08088","29.76353","4931657",""
"CTL","2015-02-25T00:00:00-05:00","2015-02-25","29.94022","30.09281","29.78763","29.95628","3792098",""
"CTL","2015-02-26T00:00:00-05:00","2015-02-26","30.02856","30.20525","29.80369","30.03659","5637905",""
"CTL","2015-02-27T00:00:00-05:00","2015-02-27","30.03659","30.51043","29.95628","30.40603","6189630",""
"CTL","2015-03-02T00:00:00-05:00","2015-03-02","30.55862","30.78349","30.02053","30.22131","5544768",""
"CTL","2015-03-03T00:00:00-05:00","2015-03-03","30.22934","30.48634","30.12494","30.26147","4485396",""
"CTL","2015-03-04T00:00:00-05:00","2015-03-04","30.17999","30.26147","29.38149","29.5363","7965444",""
"CTL","2015-03-05T00:00:00-05:00","2015-03-05","29.63408","29.65037","28.99039","29.43853","5640195",""
"CTL","2015-03-06T00:00:00-05:00","2015-03-06","29.25112","29.30001","28.81113","28.86002","4811397",""
"CTL","2015-03-09T00:00:00-04:00","2015-03-09","28.90076","28.93335","28.61558","28.70521","4467016",""
"CTL","2015-03-10T00:00:00-04:00","2015-03-10","28.59114","28.74595","28.43633","28.62373","4274452",""
"CTL","2015-03-11T00:00:00-04:00","2015-03-11","28.58299","28.88446","28.47707","28.7541","3706210",""
"CTL","2015-03-12T00:00:00-04:00","2015-03-12","28.81113","29.03927","28.57484","28.68891","4913263",""
"CTL","2015-03-13T00:00:00-04:00","2015-03-13","28.57484","28.57484","27.86597","28.04523","8790683",""
"CTL","2015-03-16T00:00:00-04:00","2015-03-16","28.24078","28.27337","28.03708","28.11041","7070003",""
"CTL","2015-03-17T00:00:00-04:00","2015-03-17","27.99634","28.68077","27.99634","28.62373","7545461",""
"CTL","2015-03-18T00:00:00-04:00","2015-03-18","28.58299","28.78669","28.3304","28.61558","9149301",""
"CTL","2015-03-19T00:00:00-04:00","2015-03-19","28.57484","28.69706","28.35485","28.40374","3975358",""
"CTL","2015-03-20T00:00:00-04:00","2015-03-20","28.37114","28.80298","28.363","28.76225","11436013",""
"CTL","2015-03-23T00:00:00-04:00","2015-03-23","28.81113","29.04742","28.68077","28.77854","6918431",""
"CTL","2015-03-24T00:00:00-04:00","2015-03-24","28.85187","28.99854","28.67262","28.67262","4101770",""
"CTL","2015-03-25T00:00:00-04:00","2015-03-25","28.7378","28.76225","28.22448","28.22448","3474250",""
"CTL","2015-03-26T00:00:00-04:00","2015-03-26","28.1593","28.30596","28.06967","28.1593","5206221",""
"CTL","2015-03-27T00:00:00-04:00","2015-03-27","28.18374","28.20818","27.74375","27.78449","4250642",""
"CTL","2015-03-30T00:00:00-04:00","2015-03-30","27.91486","28.03708","27.73561","27.7519","5876328",""
"CTL","2015-03-31T00:00:00-04:00","2015-03-31","28.00449","28.37114","27.78449","28.15115","8447406",""
"CTL","2015-04-01T00:00:00-04:00","2015-04-01","28.11856","29.02298","28.05337","28.9252","10140103",""
"CTL","2015-04-02T00:00:00-04:00","2015-04-02","28.96594","29.06372","28.86002","28.86817","4492421",""
"CTL","2015-04-06T00:00:00-04:00","2015-04-06","28.78669","29.01483","28.74595","28.82743","4098702",""
"CTL","2015-04-07T00:00:00-04:00","2015-04-07","28.97409","29.18594","28.85187","28.85187","2905272",""
"CTL","2015-04-08T00:00:00-04:00","2015-04-08","28.77854","29.08001","28.45262","28.9252","3944675",""
"CTL","2015-04-09T00:00:00-04:00","2015-04-09","28.93335","29.26742","28.82743","29.22668","3183379",""
"CTL","2015-04-10T00:00:00-04:00","2015-04-10","29.3326","29.36519","29.08816","29.18594","3411535",""
"CTL","2015-04-13T00:00:00-04:00","2015-04-13","29.1452","29.23483","28.9252","28.99039","2233078",""
"CTL","2015-04-14T00:00:00-04:00","2015-04-14","28.98224","29.16964","28.91706","29.07187","2555122",""
"CTL","2015-04-15T00:00:00-04:00","2015-04-15","29.08816","29.64222","29.05557","29.48741","5151237",""
"CTL","2015-04-16T00:00:00-04:00","2015-04-16","29.42223","29.42223","28.57484","28.74595","5666705",""
"CTL","2015-04-17T00:00:00-04:00","2015-04-17","28.5667","28.58299","28.13485","28.25707","4727081",""
"CTL","2015-04-20T00:00:00-04:00","2015-04-20","28.42818","28.89261","28.35485","28.69706","3240080",""
"CTL","2015-04-21T00:00:00-04:00","2015-04-21","28.79484","29.74","28.79484","29.57704","7283677",""
"CTL","2015-04-22T00:00:00-04:00","2015-04-22","29.59334","29.64222","29.36519","29.5526","4421237",""
"CTL","2015-04-23T00:00:00-04:00","2015-04-23","29.51186","29.98444","29.49556","29.87037","3796540",""
"CTL","2015-04-24T00:00:00-04:00","2015-04-24","29.88666","30.04147","29.57704","29.66667","3119805",""
"CTL","2015-04-27T00:00:00-04:00","2015-04-27","29.78074","29.79703","29.37334","29.56889","4796547",""
"CTL","2015-04-28T00:00:00-04:00","2015-04-28","29.5363","30.1474","29.38149","29.96814","4317285",""
"CTL","2015-04-29T00:00:00-04:00","2015-04-29","29.80518","29.83777","29.40593","29.58519","3639200",""
"CTL","2015-04-30T00:00:00-04:00","2015-04-30","29.44667","29.7237","29.17779","29.30001","5126078",""
"CTL","2015-05-01T00:00:00-04:00","2015-05-01","29.46297","29.52","29.24297","29.44667","3033525",""
"CTL","2015-05-04T00:00:00-04:00","2015-05-04","29.45482","29.65037","29.25927","29.3489","3207311",""
"CTL","2015-05-05T00:00:00-04:00","2015-05-05","29.35704","29.44667","28.85187","28.93335","4879881",""
"CTL","2015-05-06T00:00:00-04:00","2015-05-06","29.07187","29.49556","27.65412","28.13485","11520574",""
"CTL","2015-05-07T00:00:00-04:00","2015-05-07","28.15115","28.50966","27.88227","28.23263","4741318",""
"CTL","2015-05-08T00:00:00-04:00","2015-05-08","28.48521","28.71336","28.35485","28.47707","4272488",""
"CTL","2015-05-11T00:00:00-04:00","2015-05-11","28.42818","28.47707","27.90671","28.02893","5332142",""
"CTL","2015-05-12T00:00:00-04:00","2015-05-12","27.9556","28.5667","27.7519","28.51781","5871051",""
"CTL","2015-05-13T00:00:00-04:00","2015-05-13","28.44448","28.62373","27.88227","27.98819","6588164",""
"CTL","2015-05-14T00:00:00-04:00","2015-05-14","28.05337","28.11041","27.87412","27.98004","3332865",""
"CTL","2015-05-15T00:00:00-04:00","2015-05-15","28.02893","28.19189","27.98819","28.11041","3328324",""
"CTL","2015-05-18T00:00:00-04:00","2015-05-18","28.12671","28.28967","27.99634","28.02893","3457559",""
"CTL","2015-05-19T00:00:00-04:00","2015-05-19","28.01263","28.04523","27.49931","27.67042","6576505",""
"CTL","2015-05-20T00:00:00-04:00","2015-05-20","27.7519","28.1593","27.69487","27.99634","5659586",""
"CTL","2015-05-21T00:00:00-04:00","2015-05-21","28.05337","28.09411","27.78449","27.90671","5263045",""
"CTL","2015-05-22T00:00:00-04:00","2015-05-22","27.90671","27.99634","27.55635","27.66227","6045451",""
"CTL","2015-05-26T00:00:00-04:00","2015-05-26","27.69487","27.70301","27.29561","27.37709","5083368",""
"CTL","2015-05-27T00:00:00-04:00","2015-05-27","27.60524","27.71931","27.38524","27.65412","4001131",""
"CTL","2015-05-28T00:00:00-04:00","2015-05-28","27.61338","27.76005","27.55635","27.7519","4875094",""
"CTL","2015-05-29T00:00:00-04:00","2015-05-29","27.79329","27.98372","27.32966","27.52008","6572973",""
"CTL","2015-06-01T00:00:00-04:00","2015-06-01","27.52008","27.62771","27.19719","27.21375","5817828",""
"CTL","2015-06-02T00:00:00-04:00","2015-06-02","27.18064","27.42073","27.08128","27.28826","5557417",""
"CTL","2015-06-03T00:00:00-04:00","2015-06-03","27.23859","27.45385","27.13924","27.3131","5250745",""
"CTL","2015-06-04T00:00:00-04:00","2015-06-04","27.20547","27.56976","27.08956","27.18064","5769756",""
"CTL","2015-06-05T00:00:00-04:00","2015-06-05","27.08956","27.13924","26.64249","26.64249","4682574",""
"CTL","2015-06-08T00:00:00-04:00","2015-06-08","26.65904","26.77495","26.53485","26.6756","4569158",""
"CTL","2015-06-09T00:00:00-04:00","2015-06-09","26.72528","26.72528","26.35271","26.55141","3728135",""
"CTL","2015-06-10T00:00:00-04:00","2015-06-10","26.55141","26.90742","26.55141","26.70872","3855200",""
"CTL","2015-06-11T00:00:00-04:00","2015-06-11","26.79979","27.18064","26.74183","27.09784","4484971",""
"CTL","2015-06-12T00:00:00-04:00","2015-06-12","27.03989","27.36278","26.94054","26.9571","3725478",""
"CTL","2015-06-15T00:00:00-04:00","2015-06-15","26.86602","26.90742","26.58453","26.79979","3605297",""
"CTL","2015-06-16T00:00:00-04:00","2015-06-16","26.69216","26.79979","26.41067","26.6756","4112592",""
"CTL","2015-06-17T00:00:00-04:00","2015-06-17","26.77495","26.89914","26.4769","26.66732","3888174",""
"CTL","2015-06-18T00:00:00-04:00","2015-06-18","26.69216","26.89914","26.69216","26.79151","4510094",""
"CTL","2015-06-19T00:00:00-04:00","2015-06-19","26.77495","26.99021","26.68388","26.8743","4992749",""
"CTL","2015-06-22T00:00:00-04:00","2015-06-22","27.02333","27.28826","26.90742","27.03161","4211394",""
"CTL","2015-06-23T00:00:00-04:00","2015-06-23","27.13924","27.32966","26.89914","26.94882","6124379",""
