symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CTSH","2015-01-02T00:00:00-05:00","2015-01-02","52.65455","53.53064","51.76852","52.43553","2382104",""
"CTSH","2015-01-05T00:00:00-05:00","2015-01-05","53.72975","53.72975","51.8382","52.107","3037823",""
"CTSH","2015-01-06T00:00:00-05:00","2015-01-06","51.87803","52.08709","50.48426","50.75306","4211347",""
"CTSH","2015-01-07T00:00:00-05:00","2015-01-07","50.98203","52.44549","50.98203","52.41562","4431025",""
"CTSH","2015-01-08T00:00:00-05:00","2015-01-08","52.60477","53.86912","52.36584","53.64015","5595107",""
"CTSH","2015-01-09T00:00:00-05:00","2015-01-09","54.30716","54.40672","53.30166","53.87908","4183021",""
"CTSH","2015-01-12T00:00:00-05:00","2015-01-12","53.78948","54.55605","53.57046","53.90895","6179006",""
"CTSH","2015-01-13T00:00:00-05:00","2015-01-13","54.5461","55.43213","53.46095","53.90895","3648039",""
"CTSH","2015-01-14T00:00:00-05:00","2015-01-14","53.59037","54.16779","52.90344","54.16779","4173780",""
"CTSH","2015-01-15T00:00:00-05:00","2015-01-15","54.11801","54.42663","53.19215","53.60032","4779476",""
"CTSH","2015-01-16T00:00:00-05:00","2015-01-16","53.68992","54.87463","53.39126","54.78503","4396270",""
"CTSH","2015-01-20T00:00:00-05:00","2015-01-20","54.93436","55.49187","54.4565","55.35249","4736384",""
"CTSH","2015-01-21T00:00:00-05:00","2015-01-21","55.30271","55.50182","54.61578","55.03391","4606908",""
"CTSH","2015-01-22T00:00:00-05:00","2015-01-22","55.1036","55.94982","54.80494","55.92991","4871486",""
"CTSH","2015-01-23T00:00:00-05:00","2015-01-23","55.80048","56.36795","55.58147","55.81044","3516654",""
"CTSH","2015-01-26T00:00:00-05:00","2015-01-26","55.91995","55.9996","55.42218","55.85026","4164639",""
"CTSH","2015-01-27T00:00:00-05:00","2015-01-27","55.45205","55.66111","54.60583","55.014","3283918",""
"CTSH","2015-01-28T00:00:00-05:00","2015-01-28","55.14342","55.47195","54.05828","54.1877","4820358",""
"CTSH","2015-01-29T00:00:00-05:00","2015-01-29","54.14788","55.25293","53.77952","55.23302","3561253",""
"CTSH","2015-01-30T00:00:00-05:00","2015-01-30","54.76511","55.06378","53.79943","53.88903","3773096",""
"CTSH","2015-02-02T00:00:00-05:00","2015-02-02","54.16779","54.17774","53.0926","54.06823","4601785",""
"CTSH","2015-02-03T00:00:00-05:00","2015-02-03","54.47641","54.97418","53.8293","54.85471","5471356",""
"CTSH","2015-02-04T00:00:00-05:00","2015-02-04","56.76617","59.3745","56.74626","57.62234","11677685",""
"CTSH","2015-02-05T00:00:00-05:00","2015-02-05","57.65221","57.95087","56.27835","57.37346","5616402",""
"CTSH","2015-02-06T00:00:00-05:00","2015-02-06","57.38341","57.68207","56.6467","57.1843","4144047",""
"CTSH","2015-02-09T00:00:00-05:00","2015-02-09","56.93541","57.64225","56.6467","57.19426","4560602",""
"CTSH","2015-02-10T00:00:00-05:00","2015-02-10","57.49292","58.23958","57.47301","58.14003","4763606",""
"CTSH","2015-02-11T00:00:00-05:00","2015-02-11","58.23958","58.82695","58.16989","58.62784","3635684",""
"CTSH","2015-02-12T00:00:00-05:00","2015-02-12","58.79709","60.03157","58.75727","60.01165","3876958",""
"CTSH","2015-02-13T00:00:00-05:00","2015-02-13","60.14108","60.22072","59.34464","59.96188","4598370",""
"CTSH","2015-02-17T00:00:00-05:00","2015-02-17","60.12117","60.2705","59.42428","59.92205","2913871",""
"CTSH","2015-02-18T00:00:00-05:00","2015-02-18","59.74286","60.84792","59.65326","60.81805","3537748",""
"CTSH","2015-02-19T00:00:00-05:00","2015-02-19","60.81805","61.73395","60.58907","61.724","3712024",""
"CTSH","2015-02-20T00:00:00-05:00","2015-02-20","61.79369","62.79919","61.10676","62.76933","5843814",""
"CTSH","2015-02-23T00:00:00-05:00","2015-02-23","62.73946","62.73946","61.5448","62.15208","4570546",""
"CTSH","2015-02-24T00:00:00-05:00","2015-02-24","61.84346","62.28151","61.53485","62.172","2070919",""
"CTSH","2015-02-25T00:00:00-05:00","2015-02-25","62.06248","62.39101","61.71405","62.37111","2310083",""
"CTSH","2015-02-26T00:00:00-05:00","2015-02-26","62.39101","62.8191","61.98284","62.51048","2860031",""
"CTSH","2015-02-27T00:00:00-05:00","2015-02-27","62.62995","62.86888","62.12222","62.21182","3581744",""
"CTSH","2015-03-02T00:00:00-05:00","2015-03-02","62.3512","62.9087","62.18195","62.6399","2404202",""
"CTSH","2015-03-03T00:00:00-05:00","2015-03-03","62.8191","62.85892","62.01271","62.50053","5587473",""
"CTSH","2015-03-04T00:00:00-05:00","2015-03-04","62.37111","62.49057","61.20631","61.78373","4327464",""
"CTSH","2015-03-05T00:00:00-05:00","2015-03-05","61.78373","62.14213","61.55476","62.0824","5589984",""
"CTSH","2015-03-06T00:00:00-05:00","2015-03-06","61.75386","62.172","61.15654","61.33574","2878212",""
"CTSH","2015-03-09T00:00:00-04:00","2015-03-09","61.47511","61.8136","61.23618","61.64435","2842755",""
"CTSH","2015-03-10T00:00:00-04:00","2015-03-10","60.85787","61.02711","60.20081","60.38001","2572451",""
"CTSH","2015-03-11T00:00:00-04:00","2015-03-11","60.25059","60.828","60.02161","60.57912","2797754",""
"CTSH","2015-03-12T00:00:00-04:00","2015-03-12","60.72845","61.49502","60.65876","61.37556","2077247",""
"CTSH","2015-03-13T00:00:00-04:00","2015-03-13","61.61449","61.96293","60.48952","60.87778","3433484",""
"CTSH","2015-03-16T00:00:00-04:00","2015-03-16","61.37556","62.11226","61.37556","61.75386","3942751",""
"CTSH","2015-03-17T00:00:00-04:00","2015-03-17","61.62445","62.20186","61.276","61.97289","2524739",""
"CTSH","2015-03-18T00:00:00-04:00","2015-03-18","61.93306","63.99385","61.71405","63.50603","3796701",""
"CTSH","2015-03-19T00:00:00-04:00","2015-03-19","63.45625","64.16309","63.24718","63.96398","3453674",""
"CTSH","2015-03-20T00:00:00-04:00","2015-03-20","64.33234","64.40202","63.5359","63.77483","5464325",""
"CTSH","2015-03-23T00:00:00-04:00","2015-03-23","63.81465","63.89429","63.45625","63.63545","2031543",""
"CTSH","2015-03-24T00:00:00-04:00","2015-03-24","63.4463","63.61554","62.65981","62.68968","3234900",""
"CTSH","2015-03-25T00:00:00-04:00","2015-03-25","62.59013","62.75937","60.87778","60.9176","3765763",""
"CTSH","2015-03-26T00:00:00-04:00","2015-03-26","60.33023","62.75937","60.23067","62.25164","5114668",""
"CTSH","2015-03-27T00:00:00-04:00","2015-03-27","62.11226","62.9087","61.88329","62.71955","2780377",""
"CTSH","2015-03-30T00:00:00-04:00","2015-03-30","62.95848","63.65536","62.70959","63.05803","2605297",""
"CTSH","2015-03-31T00:00:00-04:00","2015-03-31","62.95848","62.95848","62.05253","62.11226","2719908",""
"CTSH","2015-04-01T00:00:00-04:00","2015-04-01","61.9032","62.22177","61.22622","61.70409","3306419",""
"CTSH","2015-04-02T00:00:00-04:00","2015-04-02","61.8136","62.48061","61.40542","62.29146","1924667",""
"CTSH","2015-04-06T00:00:00-04:00","2015-04-06","61.86338","62.62995","61.724","62.14213","3027778",""
"CTSH","2015-04-07T00:00:00-04:00","2015-04-07","62.22177","62.49057","61.74391","61.76382","2176689",""
"CTSH","2015-04-08T00:00:00-04:00","2015-04-08","61.73395","62.6399","61.64435","62.2616","2294414",""
