symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CTXS","2015-01-02T00:00:00-05:00","2015-01-02","63.93","64.6","62.95","63.48","569600",""
"CTXS","2015-01-05T00:00:00-05:00","2015-01-05","63.12","63.24","61.76","62.07","1257900",""
"CTXS","2015-01-06T00:00:00-05:00","2015-01-06","62.3","62.7","60.14","60.33","2098300",""
"CTXS","2015-01-07T00:00:00-05:00","2015-01-07","60.58","61.73","60.43","61.23","1291700",""
"CTXS","2015-01-08T00:00:00-05:00","2015-01-08","61.61","62.3","61.25","61.51","1510900",""
"CTXS","2015-01-09T00:00:00-05:00","2015-01-09","61.48","61.79","60.74","61.11","891100",""
"CTXS","2015-01-12T00:00:00-05:00","2015-01-12","60.99","61.68","60.38","61.15","859300",""
"CTXS","2015-01-13T00:00:00-05:00","2015-01-13","61.49","61.99","57.59","58.88","3520900",""
"CTXS","2015-01-14T00:00:00-05:00","2015-01-14","58.45","58.46","56.47","57.53","3463400",""
"CTXS","2015-01-15T00:00:00-05:00","2015-01-15","57.55","57.92","56.92","56.98","1920900",""
"CTXS","2015-01-16T00:00:00-05:00","2015-01-16","56.84","58.45","56.53","58.38","1914300",""
"CTXS","2015-01-20T00:00:00-05:00","2015-01-20","58.71","59.37","58.17","58.97","2214300",""
"CTXS","2015-01-21T00:00:00-05:00","2015-01-21","58.85","59.1","58.19","58.83","1546800",""
"CTXS","2015-01-22T00:00:00-05:00","2015-01-22","58.49","60.07","58.01","60.05","3293100",""
"CTXS","2015-01-23T00:00:00-05:00","2015-01-23","60.17","61","59.93","60.97","1810200",""
"CTXS","2015-01-26T00:00:00-05:00","2015-01-26","60.95","61.24","59.59","60.96","1872300",""
"CTXS","2015-01-27T00:00:00-05:00","2015-01-27","60","60.78","58.95","60.11","1641400",""
"CTXS","2015-01-28T00:00:00-05:00","2015-01-28","60.73","60.8","59.16","59.19","2495300",""
"CTXS","2015-01-29T00:00:00-05:00","2015-01-29","62.18","63.27","59.81","60.76","3540400",""
"CTXS","2015-01-30T00:00:00-05:00","2015-01-30","60.04","60.33","58.85","59.26","2481800",""
"CTXS","2015-02-02T00:00:00-05:00","2015-02-02","59.34","60.28","58.18","60.2","1716600",""
"CTXS","2015-02-03T00:00:00-05:00","2015-02-03","60.42","61.8","60.22","61.72","1761000",""
"CTXS","2015-02-04T00:00:00-05:00","2015-02-04","61.49","61.93","60.89","61.18","1255600",""
"CTXS","2015-02-05T00:00:00-05:00","2015-02-05","61.42","61.85","61.21","61.66","1250900",""
"CTXS","2015-02-06T00:00:00-05:00","2015-02-06","61.66","62.41","61.51","62.17","1287300",""
