symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CVS","2015-01-02T00:00:00-05:00","2015-01-02","91.1761","91.50673","89.15459","89.83472","5425062",""
"CVS","2015-01-05T00:00:00-05:00","2015-01-05","89.35296","89.63635","88.67283","88.94677","6233841",""
"CVS","2015-01-06T00:00:00-05:00","2015-01-06","89.39074","90.02365","88.49334","89.01289","5863221",""
"CVS","2015-01-07T00:00:00-05:00","2015-01-07","89.65524","90.66601","89.3813","90.61877","6132214",""
"CVS","2015-01-08T00:00:00-05:00","2015-01-08","91.56341","92.57417","91.47839","92.54582","6913575",""
"CVS","2015-01-09T00:00:00-05:00","2015-01-09","92.28133","92.88589","91.55396","92.49859","4719075",""
"CVS","2015-01-12T00:00:00-05:00","2015-01-12","92.08295","92.68752","91.65787","91.81845","5403361",""
"CVS","2015-01-13T00:00:00-05:00","2015-01-13","92.69696","93.59437","91.20444","91.85624","4308122",""
"CVS","2015-01-14T00:00:00-05:00","2015-01-14","91.62953","92.0924","90.98717","91.94126","4980446",""
"CVS","2015-01-15T00:00:00-05:00","2015-01-15","92.30967","92.6214","91.63898","91.79012","4009382",""
"CVS","2015-01-16T00:00:00-05:00","2015-01-16","91.45004","93.41489","91.36504","93.27319","5027236",""
"CVS","2015-01-20T00:00:00-05:00","2015-01-20","93.93678","94.24015","92.3252","93.25423","4865217",""
"CVS","2015-01-21T00:00:00-05:00","2015-01-21","93.74719","94.33495","93.10255","94.32547","5368174",""
"CVS","2015-01-22T00:00:00-05:00","2015-01-22","94.73311","95.43462","94.27807","95.0649","5468702",""
"CVS","2015-01-23T00:00:00-05:00","2015-01-23","95.21658","96.06977","94.80894","95.38722","4850976",""
"CVS","2015-01-26T00:00:00-05:00","2015-01-26","95.1123","95.81382","94.86582","95.75694","3015628",""
"CVS","2015-01-27T00:00:00-05:00","2015-01-27","94.85634","96.04134","94.61935","95.57682","4131669",""
"CVS","2015-01-28T00:00:00-05:00","2015-01-28","96.00342","96.30677","94.28754","94.42027","5109839",""
"CVS","2015-01-29T00:00:00-05:00","2015-01-29","94.27807","94.96062","94.05054","94.90375","5169966",""
"CVS","2015-01-30T00:00:00-05:00","2015-01-30","94.02211","94.66675","92.9414","93.05516","6499298",""
"CVS","2015-02-02T00:00:00-05:00","2015-02-02","93.22579","94.06003","92.01236","93.95575","4658254",""
"CVS","2015-02-03T00:00:00-05:00","2015-02-03","94.39183","94.96062","93.70927","94.9227","4533042",""
"CVS","2015-02-04T00:00:00-05:00","2015-02-04","94.81842","95.88018","94.55299","95.23554","6027460",""
