symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"CXO","2015-01-02T00:00:00-05:00","2015-01-02","99.69","102.52","97.46","101.01","1034400",""
"CXO","2015-01-05T00:00:00-05:00","2015-01-05","99.15","99.15","94.05","96.11","1780500",""
"CXO","2015-01-06T00:00:00-05:00","2015-01-06","94.83","97.02","93.17","94.18","2876100",""
"CXO","2015-01-07T00:00:00-05:00","2015-01-07","94.62","96.68","91.26","91.99","1694100",""
"CXO","2015-01-08T00:00:00-05:00","2015-01-08","92.96","97.32","92.21","96.4","1684700",""
"CXO","2015-01-09T00:00:00-05:00","2015-01-09","97.56","100.11","95.26","99.42","1724300",""
"CXO","2015-01-12T00:00:00-05:00","2015-01-12","97.36","97.37","94.29","95.08","2232300",""
"CXO","2015-01-13T00:00:00-05:00","2015-01-13","95.8","97.99","94.52","96.98","1734700",""
"CXO","2015-01-14T00:00:00-05:00","2015-01-14","95.69","100.98","95.57","100.66","4238800",""
"CXO","2015-01-15T00:00:00-05:00","2015-01-15","103.56","105.02","100.27","100.51","2788600",""
"CXO","2015-01-16T00:00:00-05:00","2015-01-16","101.58","106.59","101.34","105","1996200",""
"CXO","2015-01-20T00:00:00-05:00","2015-01-20","104.53","105.95","99.54","105.67","1682600",""
"CXO","2015-01-21T00:00:00-05:00","2015-01-21","107.4","110.17","106.44","108.49","2178300",""
"CXO","2015-01-22T00:00:00-05:00","2015-01-22","109.65","109.65","104.43","106.4","2779400",""
"CXO","2015-01-23T00:00:00-05:00","2015-01-23","105.98","110.78","105.31","106.72","1905800",""
"CXO","2015-01-26T00:00:00-05:00","2015-01-26","107.21","110.72","105.31","110.66","1570500",""
"CXO","2015-01-27T00:00:00-05:00","2015-01-27","110.3","113.87","109.46","112.57","2234400",""
"CXO","2015-01-28T00:00:00-05:00","2015-01-28","112.08","112.93","106.2","106.46","2432600",""
"CXO","2015-01-29T00:00:00-05:00","2015-01-29","107.27","108.29","103.28","106.46","1786500",""
"CXO","2015-01-30T00:00:00-05:00","2015-01-30","105.43","112.85","104.69","110.85","1611200",""
"CXO","2015-02-02T00:00:00-05:00","2015-02-02","111.66","116.63","111.66","116.02","1855000",""
"CXO","2015-02-03T00:00:00-05:00","2015-02-03","118.25","119.82","111.57","115.72","3842400",""
"CXO","2015-02-04T00:00:00-05:00","2015-02-04","113.04","113.9","108.69","109.81","1968400",""
"CXO","2015-02-05T00:00:00-05:00","2015-02-05","111.91","113.86","110.71","113.04","1875000",""
"CXO","2015-02-06T00:00:00-05:00","2015-02-06","114.35","115.64","112.22","114.48","1549900",""
"CXO","2015-02-09T00:00:00-05:00","2015-02-09","115.3","116.89","111.96","112.04","1807000",""
"CXO","2015-02-10T00:00:00-05:00","2015-02-10","112.23","112.31","107.59","110.25","1776200",""
"CXO","2015-02-11T00:00:00-05:00","2015-02-11","107.45","111.17","104.34","110.98","1991200",""
"CXO","2015-02-12T00:00:00-05:00","2015-02-12","113.41","117.34","113.41","115.6","1605700",""
"CXO","2015-02-13T00:00:00-05:00","2015-02-13","117.56","118.99","114.72","117.11","1365700",""
"CXO","2015-02-17T00:00:00-05:00","2015-02-17","116.36","118.77","114.78","118.16","1114900",""
"CXO","2015-02-18T00:00:00-05:00","2015-02-18","116.33","119.94","115.75","118.26","1390600",""
"CXO","2015-02-19T00:00:00-05:00","2015-02-19","112.26","120.08","112.26","118.37","1689000",""
"CXO","2015-02-20T00:00:00-05:00","2015-02-20","118.7","119.24","115.78","117.22","1130600",""
"CXO","2015-02-23T00:00:00-05:00","2015-02-23","114.9","118.41","114.18","117.07","1177500",""
"CXO","2015-02-24T00:00:00-05:00","2015-02-24","118.41","118.7","112.86","113.35","2247700",""
"CXO","2015-02-25T00:00:00-05:00","2015-02-25","112.8","117.24","111.83","116.78","1421000",""
"CXO","2015-02-26T00:00:00-05:00","2015-02-26","122.14","122.14","110.68","112.97","2621300",""
"CXO","2015-02-27T00:00:00-05:00","2015-02-27","109.25","111.33","107.87","108.92","5361800",""
"CXO","2015-03-02T00:00:00-05:00","2015-03-02","109.5","114.49","106.96","113.92","3310300",""
"CXO","2015-03-03T00:00:00-05:00","2015-03-03","114","116.79","113.83","114.78","1546200",""
"CXO","2015-03-04T00:00:00-05:00","2015-03-04","116.06","116.07","110.14","114.16","1484700",""
"CXO","2015-03-05T00:00:00-05:00","2015-03-05","114.39","114.6","112.69","113.46","960600",""
"CXO","2015-03-06T00:00:00-05:00","2015-03-06","111.78","113.14","110.87","111.11","1121300",""
"CXO","2015-03-09T00:00:00-04:00","2015-03-09","111.75","112.66","109.75","110.49","1229700",""
"CXO","2015-03-10T00:00:00-04:00","2015-03-10","108","110.61","106.52","106.59","1948500",""
"CXO","2015-03-11T00:00:00-04:00","2015-03-11","106.92","108.85","106.29","107.82","1246600",""
"CXO","2015-03-12T00:00:00-04:00","2015-03-12","108.92","109","106.35","106.76","1102200",""
"CXO","2015-03-13T00:00:00-04:00","2015-03-13","105.59","106.42","103.19","105.49","1805300",""
"CXO","2015-03-16T00:00:00-04:00","2015-03-16","104.59","108.33","103.78","108.28","1170800",""
"CXO","2015-03-17T00:00:00-04:00","2015-03-17","107.57","108.75","105.78","105.84","943800",""
"CXO","2015-03-18T00:00:00-04:00","2015-03-18","104.45","108.85","103.95","107.4","2626500",""
"CXO","2015-03-19T00:00:00-04:00","2015-03-19","105.13","106.49","104.25","106.2","1140600",""
"CXO","2015-03-20T00:00:00-04:00","2015-03-20","106.69","109.55","105.92","108.18","1529600",""
"CXO","2015-03-23T00:00:00-04:00","2015-03-23","108.93","109.61","105.65","105.73","1010000",""
"CXO","2015-03-24T00:00:00-04:00","2015-03-24","105.65","106.99","105.06","106.24","921900",""
"CXO","2015-03-25T00:00:00-04:00","2015-03-25","107.3","109.14","105.75","108.45","1222600",""
"CXO","2015-03-26T00:00:00-04:00","2015-03-26","110.32","113.7","110.32","111.77","1913900",""
"CXO","2015-03-27T00:00:00-04:00","2015-03-27","110.56","112.9","109.47","112.84","1428500",""
"CXO","2015-03-30T00:00:00-04:00","2015-03-30","113.97","115.99","113.26","114.99","1349600",""
"CXO","2015-03-31T00:00:00-04:00","2015-03-31","113.59","116.94","113.53","115.92","1678000",""
"CXO","2015-04-01T00:00:00-04:00","2015-04-01","116.75","120.28","116.02","118.13","1606100",""
"CXO","2015-04-02T00:00:00-04:00","2015-04-02","118.62","121.05","117.91","119.35","1868300",""
"CXO","2015-04-06T00:00:00-04:00","2015-04-06","120.54","122.69","119.03","121.16","1675300",""
"CXO","2015-04-07T00:00:00-04:00","2015-04-07","121.12","122.89","120.26","121","1410800",""
"CXO","2015-04-08T00:00:00-04:00","2015-04-08","124.35","124.35","119","119.75","1197700",""
"CXO","2015-04-09T00:00:00-04:00","2015-04-09","120.5","122.65","119.86","122.2","1281500",""
"CXO","2015-04-10T00:00:00-04:00","2015-04-10","122.8","122.8","120.11","120.91","1047300",""
"CXO","2015-04-13T00:00:00-04:00","2015-04-13","121.57","122.25","118.68","119.44","582200",""
"CXO","2015-04-14T00:00:00-04:00","2015-04-14","120.63","122.46","119.84","122.26","828200",""
"CXO","2015-04-15T00:00:00-04:00","2015-04-15","121.47","125.89","121.47","125.04","1581900",""
"CXO","2015-04-16T00:00:00-04:00","2015-04-16","124.21","128.36","122.99","125.57","1358400",""
"CXO","2015-04-17T00:00:00-04:00","2015-04-17","123.99","125.5","122.98","124.75","948900",""
"CXO","2015-04-20T00:00:00-04:00","2015-04-20","124.17","127.27","123.78","125.48","1225400",""
"CXO","2015-04-21T00:00:00-04:00","2015-04-21","125.67","126.76","123.13","123.27","1694000",""
"CXO","2015-04-22T00:00:00-04:00","2015-04-22","124.12","124.65","122.32","123.6","890100",""
"CXO","2015-04-23T00:00:00-04:00","2015-04-23","124.4","127.76","123.94","126.48","1082200",""
"CXO","2015-04-24T00:00:00-04:00","2015-04-24","126.18","126.65","124.48","125.84","770700",""
"CXO","2015-04-27T00:00:00-04:00","2015-04-27","126.95","127.03","124.02","125.04","825200",""
"CXO","2015-04-28T00:00:00-04:00","2015-04-28","125.45","126.24","123.5","126.01","868900",""
"CXO","2015-04-29T00:00:00-04:00","2015-04-29","125.86","128.55","124.3","128.31","1157500",""
"CXO","2015-04-30T00:00:00-04:00","2015-04-30","128.4","128.82","124.6","126.66","889000",""
"CXO","2015-05-01T00:00:00-04:00","2015-05-01","125.83","127.35","124.14","124.6","893400",""
"CXO","2015-05-04T00:00:00-04:00","2015-05-04","125.27","127","122.61","126.74","2217100",""
"CXO","2015-05-05T00:00:00-04:00","2015-05-05","133.89","134.13","119.71","121.04","3786700",""
"CXO","2015-05-06T00:00:00-04:00","2015-05-06","123","123.6","119.11","120.1","1808800",""
"CXO","2015-05-07T00:00:00-04:00","2015-05-07","120.27","120.31","115.41","117.12","1658600",""
"CXO","2015-05-08T00:00:00-04:00","2015-05-08","117.93","118.95","115.34","118.3","1124500",""
"CXO","2015-05-11T00:00:00-04:00","2015-05-11","119.53","119.64","114.3","115.35","1119700",""
"CXO","2015-05-12T00:00:00-04:00","2015-05-12","115.71","119.68","115.48","119.59","1066800",""
"CXO","2015-05-13T00:00:00-04:00","2015-05-13","120.36","120.61","116.99","118.07","888800",""
"CXO","2015-05-14T00:00:00-04:00","2015-05-14","118.53","118.53","113.64","114.15","1618400",""
"CXO","2015-05-15T00:00:00-04:00","2015-05-15","113","117.03","111.78","115.84","1059400",""
"CXO","2015-05-18T00:00:00-04:00","2015-05-18","116.33","119.07","115.02","118.66","1101400",""
"CXO","2015-05-19T00:00:00-04:00","2015-05-19","117.21","117.85","115.2","116.61","866800",""
"CXO","2015-05-20T00:00:00-04:00","2015-05-20","117.34","119.25","114.91","118.9","1130100",""
"CXO","2015-05-21T00:00:00-04:00","2015-05-21","119.73","122.09","119.27","122.03","1029800",""
"CXO","2015-05-22T00:00:00-04:00","2015-05-22","120.52","122.79","120.01","121.49","790900",""
"CXO","2015-05-26T00:00:00-04:00","2015-05-26","119.28","120.71","118","119.45","743000",""
"CXO","2015-05-27T00:00:00-04:00","2015-05-27","118.81","120.33","117.66","118.52","806600",""
"CXO","2015-05-28T00:00:00-04:00","2015-05-28","118.22","118.54","114.88","117.31","759300",""
"CXO","2015-05-29T00:00:00-04:00","2015-05-29","118.11","121.28","117.37","120.3","1627200",""
