symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DD","2015-01-02T00:00:00-05:00","2015-01-02","73.84","74.11","73.26","73.71","3060900",""
"DD","2015-01-05T00:00:00-05:00","2015-01-05","73.5","73.64","71.44","71.72","4740400",""
"DD","2015-01-06T00:00:00-05:00","2015-01-06","71.35","72.07","70.19","70.89","5434800",""
"DD","2015-01-07T00:00:00-05:00","2015-01-07","71.33","72.36","71.07","72.31","4369300",""
"DD","2015-01-08T00:00:00-05:00","2015-01-08","72.97","74.97","72.87","74.53","5131000",""
"DD","2015-01-09T00:00:00-05:00","2015-01-09","75.53","75.77","73.18","73.5","6961500",""
"DD","2015-01-12T00:00:00-05:00","2015-01-12","74.18","74.9","72.94","74.41","6180400",""
"DD","2015-01-13T00:00:00-05:00","2015-01-13","74.85","75.69","72.61","73.14","5856300",""
"DD","2015-01-14T00:00:00-05:00","2015-01-14","72.87","73.12","72.03","72.95","3212000",""
"DD","2015-01-15T00:00:00-05:00","2015-01-15","73.29","74.1","72.82","73.15","5149900",""
"DD","2015-01-16T00:00:00-05:00","2015-01-16","73.44","74.36","72.84","74.25","3817300",""
"DD","2015-01-20T00:00:00-05:00","2015-01-20","75.17","75.17","73.37","74.36","3190100",""
"DD","2015-01-21T00:00:00-05:00","2015-01-21","74.09","74.53","73.52","74.18","2976700",""
"DD","2015-01-22T00:00:00-05:00","2015-01-22","74.5","75.15","73.81","75.09","2922900",""
"DD","2015-01-23T00:00:00-05:00","2015-01-23","74.86","74.95","73.55","73.79","3487700",""
"DD","2015-01-26T00:00:00-05:00","2015-01-26","73.97","74.45","73.38","74.11","2801300",""
"DD","2015-01-27T00:00:00-05:00","2015-01-27","71.93","73.84","71.5","73.18","5373100",""
"DD","2015-01-28T00:00:00-05:00","2015-01-28","72.23","73.13","71.59","71.71","4246000",""
"DD","2015-01-29T00:00:00-05:00","2015-01-29","71.05","72.9","70.96","72.71","5309800",""
"DD","2015-01-30T00:00:00-05:00","2015-01-30","72.09","72.79","71.14","71.21","5432900",""
"DD","2015-02-02T00:00:00-05:00","2015-02-02","71.56","71.79","70.51","71.61","4277400",""
"DD","2015-02-03T00:00:00-05:00","2015-02-03","72.21","73.87","72.05","73.33","4870800",""
"DD","2015-02-04T00:00:00-05:00","2015-02-04","73.24","74.16","73.01","73.74","4947200",""
"DD","2015-02-05T00:00:00-05:00","2015-02-05","74.18","76.05","73.83","76","7653100",""
"DD","2015-02-06T00:00:00-05:00","2015-02-06","75.8","76.45","75.5","76.1","4789600",""
"DD","2015-02-09T00:00:00-05:00","2015-02-09","75.22","76.25","75.22","75.72","4217000",""
"DD","2015-02-10T00:00:00-05:00","2015-02-10","75.96","76.22","75.3","75.98","3497600",""
"DD","2015-02-11T00:00:00-05:00","2015-02-11","75.41","75.65","74.75","75.25","3039000",""
"DD","2015-02-12T00:00:00-05:00","2015-02-12","75.53","76.32","75.46","76.29","3246200",""
"DD","2015-02-13T00:00:00-05:00","2015-02-13","76.09","76.66","76","76.18","2284800",""
"DD","2015-02-17T00:00:00-05:00","2015-02-17","75.76","76.55","75.6","76.43","2767100",""
"DD","2015-02-18T00:00:00-05:00","2015-02-18","76.05","76.34","75.71","76.31","2256000",""
"DD","2015-02-19T00:00:00-05:00","2015-02-19","75.84","76.45","75.74","76.08","2255400",""
"DD","2015-02-20T00:00:00-05:00","2015-02-20","76","76.69","75.26","76.67","3885000",""
"DD","2015-02-23T00:00:00-05:00","2015-02-23","76.45","77.49","76.26","77.46","3404700",""
"DD","2015-02-24T00:00:00-05:00","2015-02-24","77.39","78.14","77.21","77.9","3344400",""
"DD","2015-02-25T00:00:00-05:00","2015-02-25","77.94","78.08","77.46","77.9","3442500",""
"DD","2015-02-26T00:00:00-05:00","2015-02-26","77.77","78.18","77.69","78.03","2494800",""
"DD","2015-02-27T00:00:00-05:00","2015-02-27","77.69","78.08","77.48","77.85","3596100",""
"DD","2015-03-02T00:00:00-05:00","2015-03-02","77.62","78.55","77.54","78.49","3263500",""
"DD","2015-03-03T00:00:00-05:00","2015-03-03","77.89","78.35","77.67","78.07","4021800",""
"DD","2015-03-04T00:00:00-05:00","2015-03-04","77.98","78.35","77.61","78.12","3120300",""
"DD","2015-03-05T00:00:00-05:00","2015-03-05","78.27","78.38","77.78","78.32","3661100",""
"DD","2015-03-06T00:00:00-05:00","2015-03-06","76.99","78.17","76.43","78.14","7559400",""
"DD","2015-03-09T00:00:00-04:00","2015-03-09","78.24","78.63","77.94","78.57","9007400",""
"DD","2015-03-10T00:00:00-04:00","2015-03-10","77.54","78.78","77.54","78.77","7770700",""
"DD","2015-03-11T00:00:00-04:00","2015-03-11","78.63","79.37","78.42","79.29","7544100",""
"DD","2015-03-12T00:00:00-04:00","2015-03-12","79.45","80.41","79.2","80.4","7837500",""
"DD","2015-03-13T00:00:00-04:00","2015-03-13","79.96","80.65","79.47","80.5","8904200",""
"DD","2015-03-16T00:00:00-04:00","2015-03-16","78.79","79.23","76.9","77.07","15913900",""
"DD","2015-03-17T00:00:00-04:00","2015-03-17","76.06","76.46","74.31","74.68","16473500",""
"DD","2015-03-18T00:00:00-04:00","2015-03-18","74.23","76.25","73.77","76.01","8498100",""
"DD","2015-03-19T00:00:00-04:00","2015-03-19","75.83","75.91","74.47","74.51","5979500",""
