symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DFS","2015-01-02T00:00:00-05:00","2015-01-02","62.32999","62.41508","61.17661","61.79112","1744241",""
"DFS","2015-01-05T00:00:00-05:00","2015-01-05","61.52641","61.54531","60.2123","60.41084","2301997",""
"DFS","2015-01-06T00:00:00-05:00","2015-01-06","60.57156","60.59992","58.85093","58.99274","3114143",""
"DFS","2015-01-07T00:00:00-05:00","2015-01-07","59.45599","60.1934","59.35199","59.87196","2520106",""
"DFS","2015-01-08T00:00:00-05:00","2015-01-08","60.51484","61.16715","60.36357","60.83627","2170306",""
"DFS","2015-01-09T00:00:00-05:00","2015-01-09","60.83627","61.09153","59.82469","59.86251","2735254",""
"DFS","2015-01-12T00:00:00-05:00","2015-01-12","60.05159","60.22176","59.16292","59.57889","1839651",""
"DFS","2015-01-13T00:00:00-05:00","2015-01-13","60.2123","60.59992","58.53895","59.03056","3864198",""
"DFS","2015-01-14T00:00:00-05:00","2015-01-14","57.80154","58.44441","57.05468","57.78263","3995043",""
"DFS","2015-01-15T00:00:00-05:00","2015-01-15","57.86772","58.51059","56.78052","56.81833","4748272",""
"DFS","2015-01-16T00:00:00-05:00","2015-01-16","56.5158","56.94123","55.87293","56.88451","6774406",""
"DFS","2015-01-20T00:00:00-05:00","2015-01-20","57.19649","57.60301","57.08305","57.54629","4389057",""
"DFS","2015-01-21T00:00:00-05:00","2015-01-21","57.45175","57.86772","56.96959","57.51793","5933489",""
"DFS","2015-01-22T00:00:00-05:00","2015-01-22","54.86136","54.87082","52.71531","54.19013","20734262",""
"DFS","2015-01-23T00:00:00-05:00","2015-01-23","54.12395","55.29625","53.41491","53.49054","8633203",""
"DFS","2015-01-26T00:00:00-05:00","2015-01-26","53.84978","53.84978","52.98948","53.60398","7456130",""
"DFS","2015-01-27T00:00:00-05:00","2015-01-27","52.90439","53.54726","52.62077","52.6964","5561581",""
"DFS","2015-01-28T00:00:00-05:00","2015-01-28","52.83821","53.22583","52.00626","52.03463","6833111",""
"DFS","2015-01-29T00:00:00-05:00","2015-01-29","51.69428","52.11026","51.07032","51.84555","7742254",""
"DFS","2015-01-30T00:00:00-05:00","2015-01-30","51.46739","52.04408","51.26885","51.41066","7369394",""
"DFS","2015-02-02T00:00:00-05:00","2015-02-02","51.43903","52.38442","51.1365","52.28988","5339135",""
"DFS","2015-02-03T00:00:00-05:00","2015-02-03","52.52726","53.55274","52.43231","53.52425","6952800",""
"DFS","2015-02-04T00:00:00-05:00","2015-02-04","53.18243","54.30286","53.16344","53.89457","6669182",""
"DFS","2015-02-05T00:00:00-05:00","2015-02-05","54.05598","54.8156","54.00851","54.59721","6394095",""
"DFS","2015-02-06T00:00:00-05:00","2015-02-06","54.94853","56.42028","54.85358","55.5942","7396184",""
"DFS","2015-02-09T00:00:00-05:00","2015-02-09","55.17641","55.88855","54.90105","55.73663","4294922",""
"DFS","2015-02-10T00:00:00-05:00","2015-02-10","56.20189","56.26836","55.28086","55.7936","3566867",""
"DFS","2015-02-11T00:00:00-05:00","2015-02-11","55.56572","55.85057","55.28086","55.54672","4885117",""
"DFS","2015-02-12T00:00:00-05:00","2015-02-12","55.67966","56.46776","55.24288","56.42978","5130189",""
"DFS","2015-02-13T00:00:00-05:00","2015-02-13","56.36331","56.99949","56.1734","56.86655","5478682",""
"DFS","2015-02-17T00:00:00-05:00","2015-02-17","56.46776","56.70514","55.62269","55.93603","5976198",""
"DFS","2015-02-18T00:00:00-05:00","2015-02-18","56.00249","56.49624","55.61319","56.26836","4082077",""
"DFS","2015-02-19T00:00:00-05:00","2015-02-19","56.24937","56.971","56.10694","56.63867","3171719",""
"DFS","2015-02-20T00:00:00-05:00","2015-02-20","56.45826","57.52172","56.3728","57.48374","4800969",""
"DFS","2015-02-23T00:00:00-05:00","2015-02-23","57.50273","57.59768","57.00898","57.56919","3636165",""
"DFS","2015-02-24T00:00:00-05:00","2015-02-24","57.47424","57.89203","57.3603","57.69263","3217215",""
"DFS","2015-02-25T00:00:00-05:00","2015-02-25","57.72112","58.11042","57.3603","58.04395","3380878",""
"DFS","2015-02-26T00:00:00-05:00","2015-02-26","57.96799","58.35729","57.89203","58.16739","3854698",""
"DFS","2015-02-27T00:00:00-05:00","2015-02-27","58.1389","58.39528","57.83506","57.90152","3379719",""
"DFS","2015-03-02T00:00:00-05:00","2015-03-02","57.86354","58.1389","56.971","57.21787","4731776",""
"DFS","2015-03-03T00:00:00-05:00","2015-03-03","57.06595","57.20838","56.47725","56.92352","3801302",""
"DFS","2015-03-04T00:00:00-05:00","2015-03-04","56.78109","56.84756","56.04997","56.31583","3636481",""
"DFS","2015-03-05T00:00:00-05:00","2015-03-05","56.27785","56.49624","55.97401","56.11643","2858191",""
"DFS","2015-03-06T00:00:00-05:00","2015-03-06","56.11643","57.06595","55.80309","55.92653","4677222",""
"DFS","2015-03-09T00:00:00-04:00","2015-03-09","55.86007","56.10694","55.48975","56.02148","3871970",""
"DFS","2015-03-10T00:00:00-04:00","2015-03-10","55.37581","55.58471","54.84408","54.84408","3844693",""
"DFS","2015-03-11T00:00:00-04:00","2015-03-11","55.06247","55.22389","54.85358","54.92954","3786663",""
"DFS","2015-03-12T00:00:00-04:00","2015-03-12","56.24937","57.13242","56.03098","56.85706","5584736",""
"DFS","2015-03-13T00:00:00-04:00","2015-03-13","56.87605","57.05646","55.75562","56.34432","3316845",""
"DFS","2015-03-16T00:00:00-04:00","2015-03-16","56.47725","56.65766","56.07845","56.49624","2991732",""
"DFS","2015-03-17T00:00:00-04:00","2015-03-17","56.25886","56.35381","55.81259","55.93603","3164557",""
"DFS","2015-03-18T00:00:00-04:00","2015-03-18","55.84108","56.10694","55.08146","55.97401","4323884",""
"DFS","2015-03-19T00:00:00-04:00","2015-03-19","55.81259","56.05946","55.48026","55.63218","2582261",""
"DFS","2015-03-20T00:00:00-04:00","2015-03-20","55.81259","56.61018","55.65117","56.41079","4221832",""
"DFS","2015-03-23T00:00:00-04:00","2015-03-23","56.51523","56.86655","55.91703","55.91703","2633339",""
"DFS","2015-03-24T00:00:00-04:00","2015-03-24","55.73663","55.7936","54.8156","54.85358","4672904",""
"DFS","2015-03-25T00:00:00-04:00","2015-03-25","55.01499","55.17641","54.23639","54.25538","3397518",""
"DFS","2015-03-26T00:00:00-04:00","2015-03-26","53.95153","54.35033","53.72366","53.93254","3844903",""
"DFS","2015-03-27T00:00:00-04:00","2015-03-27","54.05598","54.30286","53.67617","53.71416","3251022",""
"DFS","2015-03-30T00:00:00-04:00","2015-03-30","53.89457","54.34084","53.89457","53.92305","2501272",""
"DFS","2015-03-31T00:00:00-04:00","2015-03-31","53.74264","53.96103","53.21091","53.50526","4463745",""
"DFS","2015-04-01T00:00:00-04:00","2015-04-01","53.35334","54.82509","53.33435","54.72065","4491759",""
"DFS","2015-04-02T00:00:00-04:00","2015-04-02","54.72065","55.29985","54.53074","55.26187","3240490",""
"DFS","2015-04-06T00:00:00-04:00","2015-04-06","54.58772","55.29036","54.30286","54.88206","2887995",""
"DFS","2015-04-07T00:00:00-04:00","2015-04-07","55.06247","55.09096","54.29336","54.29336","3177511",""
"DFS","2015-04-08T00:00:00-04:00","2015-04-08","54.49276","55.07196","54.33134","54.57822","2983307",""
"DFS","2015-04-09T00:00:00-04:00","2015-04-09","54.28387","54.76812","54.00851","54.54023","3039757",""
"DFS","2015-04-10T00:00:00-04:00","2015-04-10","54.59721","55.09096","54.50226","55.03399","2978252",""
"DFS","2015-04-13T00:00:00-04:00","2015-04-13","54.996","55.32833","54.95802","54.95802","2234610",""
"DFS","2015-04-14T00:00:00-04:00","2015-04-14","55.15742","55.66066","54.92004","55.48026","2427340",""
"DFS","2015-04-15T00:00:00-04:00","2015-04-15","56.87605","56.87605","55.95502","55.97401","3631110",""
"DFS","2015-04-16T00:00:00-04:00","2015-04-16","55.86956","56.47725","55.74612","56.42028","2651454",""
"DFS","2015-04-17T00:00:00-04:00","2015-04-17","56.00249","56.27785","55.68915","56.09745","4211090",""
"DFS","2015-04-20T00:00:00-04:00","2015-04-20","56.23038","56.67665","56.02148","56.48675","3302943",""
"DFS","2015-04-21T00:00:00-04:00","2015-04-21","56.69564","56.82857","56.23987","56.26836","4722613",""
"DFS","2015-04-22T00:00:00-04:00","2015-04-22","55.24288","55.7936","54.59721","54.96752","10087764",""
"DFS","2015-04-23T00:00:00-04:00","2015-04-23","54.996","55.73663","54.87257","55.70814","5368837",""
"DFS","2015-04-24T00:00:00-04:00","2015-04-24","55.43279","55.65117","55.22389","55.44228","4398869",""
"DFS","2015-04-27T00:00:00-04:00","2015-04-27","55.49925","55.83158","55.30935","55.68915","4121886",""
"DFS","2015-04-28T00:00:00-04:00","2015-04-28","55.74612","55.993","55.51824","55.94552","3532534",""
"DFS","2015-04-29T00:00:00-04:00","2015-04-29","55.54672","55.71764","54.85358","55.36632","3821628",""
"DFS","2015-04-30T00:00:00-04:00","2015-04-30","55.13843","55.55622","54.85358","55.04348","4892278",""
"DFS","2015-05-01T00:00:00-04:00","2015-05-01","55.27136","56.3728","55.27136","56.31583","3346966",""
"DFS","2015-05-04T00:00:00-04:00","2015-05-04","56.33482","56.41079","56.05946","56.32533","2515595",""
"DFS","2015-05-05T00:00:00-04:00","2015-05-05","56.14406","56.7928","55.81969","55.9151","3471731",""
"DFS","2015-05-06T00:00:00-04:00","2015-05-06","56.23947","56.50659","55.30453","55.66705","5151675",""
"DFS","2015-05-07T00:00:00-04:00","2015-05-07","55.60981","55.64798","55.04694","55.24728","5141507",""
"DFS","2015-05-08T00:00:00-04:00","2015-05-08","55.85786","56.35395","55.69567","56.29671","4815623",""
"DFS","2015-05-11T00:00:00-04:00","2015-05-11","56.11544","56.95498","56.09636","56.68785","2563678",""
"DFS","2015-05-12T00:00:00-04:00","2015-05-12","56.30625","56.57337","55.92464","56.18222","2545125",""
"DFS","2015-05-13T00:00:00-04:00","2015-05-13","56.18222","57.02176","56.16314","56.97406","2152680",""
"DFS","2015-05-14T00:00:00-04:00","2015-05-14","57.16486","57.61325","57.06946","57.56556","2162743",""
"DFS","2015-05-15T00:00:00-04:00","2015-05-15","57.64187","57.78498","56.67831","56.76418","1984235",""
"DFS","2015-05-18T00:00:00-04:00","2015-05-18","56.7451","57.09808","56.67831","57.05038","1388860",""
"DFS","2015-05-19T00:00:00-04:00","2015-05-19","57.02176","57.45107","56.9359","57.35567","1633509",""
"DFS","2015-05-20T00:00:00-04:00","2015-05-20","57.35567","57.50831","56.96452","57.21257","1500388",""
"DFS","2015-05-21T00:00:00-04:00","2015-05-21","56.99314","57.28889","56.7928","56.85958","1677218",""
"DFS","2015-05-22T00:00:00-04:00","2015-05-22","56.65923","57.0313","56.62107","56.80234","2003522",""
"DFS","2015-05-26T00:00:00-04:00","2015-05-26","56.72602","56.82142","55.78154","56.00096","2974886",""
