symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DG","2015-01-02T00:00:00-05:00","2015-01-02","68.55","69.00378","68.1638","68.33759","2815970",""
"DG","2015-01-05T00:00:00-05:00","2015-01-05","67.9707","68.61758","67.59416","67.89346","2598154",""
"DG","2015-01-06T00:00:00-05:00","2015-01-06","68.04795","68.46311","66.76384","67.03418","3774237",""
"DG","2015-01-07T00:00:00-05:00","2015-01-07","67.60381","68.17346","67.19831","67.84518","4390503",""
"DG","2015-01-08T00:00:00-05:00","2015-01-08","67.89346","67.99001","66.3873","67.11142","9050817",""
"DG","2015-01-09T00:00:00-05:00","2015-01-09","67.24659","67.48796","65.71145","65.76939","6909423",""
"DG","2015-01-12T00:00:00-05:00","2015-01-12","65.43146","65.79835","63.066","64.79424","11750267",""
"DG","2015-01-13T00:00:00-05:00","2015-01-13","65.45077","65.71145","64.54321","65.46043","6170733",""
"DG","2015-01-14T00:00:00-05:00","2015-01-14","64.72665","65.36387","64.10873","65.3156","5165340",""
"DG","2015-01-15T00:00:00-05:00","2015-01-15","63.81908","65.5956","63.38461","63.59702","10162891",""
"DG","2015-01-16T00:00:00-05:00","2015-01-16","63.44254","65.38319","63.066","65.29629","8914099",""
"DG","2015-01-20T00:00:00-05:00","2015-01-20","65.41215","65.66318","64.78458","65.0163","5267257",""
"DG","2015-01-21T00:00:00-05:00","2015-01-21","64.91975","65.45077","64.51424","64.89078","3992054",""
"DG","2015-01-22T00:00:00-05:00","2015-01-22","64.80389","67.48796","64.60114","67.36244","12363011",""
"DG","2015-01-23T00:00:00-05:00","2015-01-23","67.68105","68.37621","67.08245","67.10176","7863755",""
"DG","2015-01-26T00:00:00-05:00","2015-01-26","66.78315","66.81211","65.76939","66.46453","5617855",""
"DG","2015-01-27T00:00:00-05:00","2015-01-27","65.72111","66.0011","65.27698","65.3156","4708579",""
"DG","2015-01-28T00:00:00-05:00","2015-01-28","66.0011","66.01076","64.66872","64.80389","5234839",""
"DG","2015-01-29T00:00:00-05:00","2015-01-29","65.33491","65.75973","64.46597","65.55698","4296872",""
"DG","2015-01-30T00:00:00-05:00","2015-01-30","65.07423","65.71145","64.62045","64.74596","6654631",""
"DG","2015-02-02T00:00:00-05:00","2015-02-02","64.8232","64.91975","63.58737","64.69769","3501113",""
"DG","2015-02-03T00:00:00-05:00","2015-02-03","65.16112","66.22316","64.94871","66.14593","3485991",""
"DG","2015-02-04T00:00:00-05:00","2015-02-04","66.17489","67.10176","65.76939","66.43557","4044876",""
"DG","2015-02-05T00:00:00-05:00","2015-02-05","66.4935","67.05348","66.03972","66.12661","4621473",""
"DG","2015-02-06T00:00:00-05:00","2015-02-06","66.47419","66.63832","65.46043","65.81765","2888783",""
"DG","2015-02-09T00:00:00-05:00","2015-02-09","65.45077","65.83697","65.1225","65.29629","2620112",""
"DG","2015-02-10T00:00:00-05:00","2015-02-10","65.53766","65.66318","64.95837","65.47973","7741537",""
"DG","2015-02-11T00:00:00-05:00","2015-02-11","65.46043","65.74041","65.29629","65.37353","3665692",""
"DG","2015-02-12T00:00:00-05:00","2015-02-12","65.52801","65.62456","65.11285","65.25767","10242125",""
"DG","2015-02-13T00:00:00-05:00","2015-02-13","65.41215","66.50315","65.28664","66.44523","5325155",""
"DG","2015-02-17T00:00:00-05:00","2015-02-17","67.14038","67.48796","66.90867","67.15969","4702364",""
"DG","2015-02-18T00:00:00-05:00","2015-02-18","67.22727","68.09621","66.99556","67.89346","3459062",""
"DG","2015-02-19T00:00:00-05:00","2015-02-19","67.90312","69.10033","67.85484","68.26035","4505263",""
"DG","2015-02-20T00:00:00-05:00","2015-02-20","68.27","69.25481","67.87416","69.21619","3632237",""
"DG","2015-02-23T00:00:00-05:00","2015-02-23","69.77618","70.22996","68.64655","69.00378","3224466",""
"DG","2015-02-24T00:00:00-05:00","2015-02-24","68.85896","69.47688","68.56931","69.44791","2445072",""
"DG","2015-02-25T00:00:00-05:00","2015-02-25","69.70859","70.74167","69.70859","69.97894","3355798",""
"DG","2015-02-26T00:00:00-05:00","2015-02-26","69.82445","70.20099","69.44791","69.69894","2655120",""
"DG","2015-02-27T00:00:00-05:00","2015-02-27","69.58308","70.29754","69.58308","70.11411","2443311",""
"DG","2015-03-02T00:00:00-05:00","2015-03-02","70.12375","70.9927","70.11411","70.56788","2717782",""
"DG","2015-03-03T00:00:00-05:00","2015-03-03","70.31686","70.44237","68.51138","69.17757","3911059",""
"DG","2015-03-04T00:00:00-05:00","2015-03-04","69.10033","69.80515","68.85896","69.46722","3403132",""
"DG","2015-03-05T00:00:00-05:00","2015-03-05","69.70859","69.70859","69.11964","69.2355","2742744",""
"DG","2015-03-06T00:00:00-05:00","2015-03-06","68.95551","69.41895","68.66586","68.85896","2291472",""
"DG","2015-03-09T00:00:00-04:00","2015-03-09","68.83965","69.33205","68.55965","69.27412","2344087",""
"DG","2015-03-10T00:00:00-04:00","2015-03-10","68.82034","69.27412","68.43414","68.57896","3505359",""
"DG","2015-03-11T00:00:00-04:00","2015-03-11","68.60793","69.39964","68.53069","68.98447","4479680",""
"DG","2015-03-12T00:00:00-04:00","2015-03-12","71.44648","71.79406","70.0079","71.71682","9304055",""
"DG","2015-03-13T00:00:00-04:00","2015-03-13","71.83268","72.65334","71.27269","71.73613","5131161",""
"DG","2015-03-16T00:00:00-04:00","2015-03-16","71.96785","72.97196","71.85198","72.79817","5261975",""
"DG","2015-03-17T00:00:00-04:00","2015-03-17","72.35404","72.83679","72.08371","72.14163","3814321",""
"DG","2015-03-18T00:00:00-04:00","2015-03-18","72.35404","73.20367","71.92922","72.78851","2755897",""
"DG","2015-03-19T00:00:00-04:00","2015-03-19","72.79817","73.13609","72.28646","72.32508","2762112",""
"DG","2015-03-20T00:00:00-04:00","2015-03-20","72.73058","73.6478","72.42163","73.16505","4814224",""
"DG","2015-03-23T00:00:00-04:00","2015-03-23","73.17471","73.55125","72.84644","72.84644","3334566",""
"DG","2015-03-24T00:00:00-04:00","2015-03-24","72.65334","73.52229","72.60506","72.90437","2129378",""
"DG","2015-03-25T00:00:00-04:00","2015-03-25","72.75955","73.21333","71.61061","71.61061","3133736",""
"DG","2015-03-26T00:00:00-04:00","2015-03-26","71.26303","72.49886","70.83822","72.19956","4091174",""
"DG","2015-03-27T00:00:00-04:00","2015-03-27","72.1899","73.39677","71.99681","72.40231","4335091",""
"DG","2015-03-30T00:00:00-04:00","2015-03-30","72.97196","73.01058","72.10301","72.33473","4411425",""
"DG","2015-03-31T00:00:00-04:00","2015-03-31","72.32508","73.37746","72.28646","72.77885","3406757",""
"DG","2015-04-01T00:00:00-04:00","2015-04-01","72.49886","72.74989","71.54303","72.60506","3529803",""
"DG","2015-04-02T00:00:00-04:00","2015-04-02","72.87541","73.23264","72.48921","72.95264","2836789",""
"DG","2015-04-06T00:00:00-04:00","2015-04-06","72.72025","73.4368","72.47817","72.93328","2802814",""
"DG","2015-04-07T00:00:00-04:00","2015-04-07","72.89455","73.23345","71.55828","71.59701","3738463",""
"DG","2015-04-08T00:00:00-04:00","2015-04-08","72.10053","73.91128","71.96497","73.6692","5628349",""
"DG","2015-04-09T00:00:00-04:00","2015-04-09","73.96938","73.96938","72.61373","73.27219","2379294",""
"DG","2015-04-10T00:00:00-04:00","2015-04-10","73.51427","73.92095","73.28188","73.65952","2566527",""
"DG","2015-04-13T00:00:00-04:00","2015-04-13","73.58205","73.85317","72.70089","72.77835","3481831",""
"DG","2015-04-14T00:00:00-04:00","2015-04-14","72.7493","73.12694","72.13927","72.90423","2085484",""
"DG","2015-04-15T00:00:00-04:00","2015-04-15","72.93328","73.21409","72.02306","72.14895","2564771",""
"DG","2015-04-16T00:00:00-04:00","2015-04-16","72.21673","73.34966","72.17799","73.04948","2871800",""
"DG","2015-04-17T00:00:00-04:00","2015-04-17","72.67184","72.8655","71.82941","72.0618","4772944",""
"DG","2015-04-20T00:00:00-04:00","2015-04-20","72.25546","72.90423","72.20705","72.89455","2830698",""
"DG","2015-04-21T00:00:00-04:00","2015-04-21","73.30124","73.74667","73.08821","73.60142","3501659",""
"DG","2015-04-22T00:00:00-04:00","2015-04-22","73.92095","73.92095","73.11726","73.42712","3544517",""
"DG","2015-04-23T00:00:00-04:00","2015-04-23","73.156","73.99842","73.156","73.83381","2607216",""
"DG","2015-04-24T00:00:00-04:00","2015-04-24","73.42712","74.49226","73.42712","74.1824","2324663",""
"DG","2015-04-27T00:00:00-04:00","2015-04-27","74.34702","74.55036","73.48521","73.78539","3820875",""
"DG","2015-04-28T00:00:00-04:00","2015-04-28","73.56268","73.69825","72.6331","72.94296","4064494",""
"DG","2015-04-29T00:00:00-04:00","2015-04-29","72.8655","72.88486","70.58028","71.50986","5795651",""
"DG","2015-04-30T00:00:00-04:00","2015-04-30","71.36461","71.42271","70.15422","70.40598","3087950",""
"DG","2015-05-01T00:00:00-04:00","2015-05-01","70.75458","71.25809","70.38662","71.14191","2501672",""
"DG","2015-05-04T00:00:00-04:00","2015-05-04","71.2","71.68416","71.0257","71.55828","1631085",""
"DG","2015-05-05T00:00:00-04:00","2015-05-05","71.56796","71.61637","70.73521","70.99666","2791145",""
"DG","2015-05-06T00:00:00-04:00","2015-05-06","70.97729","71.70353","70.3963","71.19032","4755800",""
"DG","2015-05-07T00:00:00-04:00","2015-05-07","71.07412","72.19736","71.07412","71.8875","3786175",""
"DG","2015-05-08T00:00:00-04:00","2015-05-08","72.46848","72.97202","72.30387","72.47817","2552172",""
"DG","2015-05-11T00:00:00-04:00","2015-05-11","72.49754","72.85581","72.36198","72.46848","2608869",""
"DG","2015-05-12T00:00:00-04:00","2015-05-12","72.17799","72.62342","71.77131","72.42976","3186885",""
"DG","2015-05-13T00:00:00-04:00","2015-05-13","72.38134","72.44912","71.24842","71.40334","3177694",""
