symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DHI","2015-01-02T00:00:00-05:00","2015-01-02","24.72627","24.73597","23.83384","24.21215","3272242",""
"DHI","2015-01-05T00:00:00-05:00","2015-01-05","24.12485","24.22185","23.62043","23.70773","5167323",""
"DHI","2015-01-06T00:00:00-05:00","2015-01-06","23.83384","23.83384","23.13541","23.38762","7661039",""
"DHI","2015-01-07T00:00:00-05:00","2015-01-07","23.63013","24.94938","23.57192","24.59047","11747065",""
"DHI","2015-01-08T00:00:00-05:00","2015-01-08","24.82327","25.4247","24.78447","25.15309","8790171",""
"DHI","2015-01-09T00:00:00-05:00","2015-01-09","25.26949","25.68661","25.15309","25.27919","6185118",""
"DHI","2015-01-12T00:00:00-05:00","2015-01-12","25.4344","25.5023","24.97848","25.29859","6225116",""
"DHI","2015-01-13T00:00:00-05:00","2015-01-13","25.85151","26.01642","23.28091","24.07634","21357306",""
"DHI","2015-01-14T00:00:00-05:00","2015-01-14","23.72713","24.42556","23.46522","24.38676","11059154",""
"DHI","2015-01-15T00:00:00-05:00","2015-01-15","24.26065","24.53226","22.41758","22.48548","15243319",""
"DHI","2015-01-16T00:00:00-05:00","2015-01-16","22.33998","23.13541","21.45724","23.04811","15218784",""
"DHI","2015-01-20T00:00:00-05:00","2015-01-20","23.0093","23.0093","21.95196","22.26237","6776435",""
"DHI","2015-01-21T00:00:00-05:00","2015-01-21","22.30117","22.8541","22.29147","22.70859","5848430",""
"DHI","2015-01-22T00:00:00-05:00","2015-01-22","22.8153","23.09661","22.52428","22.9802","5813689",""
"DHI","2015-01-23T00:00:00-05:00","2015-01-23","23.07721","23.12571","22.32058","22.40788","11739849",""
"DHI","2015-01-26T00:00:00-05:00","2015-01-26","23.77563","24.23155","23.0869","23.64953","14416857",""
"DHI","2015-01-27T00:00:00-05:00","2015-01-27","23.22271","23.62043","23.0287","23.43612","8349672",""
"DHI","2015-01-28T00:00:00-05:00","2015-01-28","23.64953","23.70773","23.16451","23.16451","6517785",""
"DHI","2015-01-29T00:00:00-05:00","2015-01-29","23.26151","24.17335","23.23241","24.09575","7645576",""
"DHI","2015-01-30T00:00:00-05:00","2015-01-30","23.88234","24.09575","23.55252","23.78533","7817013",""
"DHI","2015-02-02T00:00:00-05:00","2015-02-02","23.92114","24.28005","23.64953","24.10545","10285576",""
"DHI","2015-02-03T00:00:00-05:00","2015-02-03","24.20245","24.71657","23.96964","24.70687","9414373",""
"DHI","2015-02-04T00:00:00-05:00","2015-02-04","24.60233","25.40944","24.54399","25.19551","10136625",""
"DHI","2015-02-05T00:00:00-05:00","2015-02-05","25.14689","25.36082","24.62178","25.0691","7755668",""
"DHI","2015-02-06T00:00:00-05:00","2015-02-06","25.18579","26.14849","25.13717","25.75952","11700243",""
"DHI","2015-02-09T00:00:00-05:00","2015-02-09","25.59421","26.04152","25.58448","25.72062","6363374",""
"DHI","2015-02-10T00:00:00-05:00","2015-02-10","25.82759","26.33325","25.61366","26.15821","6387232",""
"DHI","2015-02-11T00:00:00-05:00","2015-02-11","26.34297","26.44022","25.89566","26.09987","4893234",""
"DHI","2015-02-12T00:00:00-05:00","2015-02-12","26.19711","26.60553","26.0318","26.58608","3528809",""
"DHI","2015-02-13T00:00:00-05:00","2015-02-13","26.53746","26.61525","26.25546","26.44022","3565419",""
"DHI","2015-02-17T00:00:00-05:00","2015-02-17","26.32352","26.64442","26.08042","26.61525","4028385",""
"DHI","2015-02-18T00:00:00-05:00","2015-02-18","26.57635","26.64442","26.19711","26.46939","5178809",""
"DHI","2015-02-19T00:00:00-05:00","2015-02-19","26.40132","26.83891","26.30408","26.57635","3497239",""
"DHI","2015-02-20T00:00:00-05:00","2015-02-20","26.48884","26.57635","26.17766","26.56663","3717410",""
"DHI","2015-02-23T00:00:00-05:00","2015-02-23","26.54718","26.70277","26.01235","26.39159","3932748",""
"DHI","2015-02-24T00:00:00-05:00","2015-02-24","26.93615","27.07229","26.6347","26.86808","5731243",""
"DHI","2015-02-25T00:00:00-05:00","2015-02-25","26.88753","27.02367","26.54718","26.62498","3686251",""
"DHI","2015-02-26T00:00:00-05:00","2015-02-26","26.58608","26.66387","26.26518","26.46939","4328460",""
"DHI","2015-02-27T00:00:00-05:00","2015-02-27","26.47911","26.77084","26.40132","26.55691","3032112",""
"DHI","2015-03-02T00:00:00-05:00","2015-03-02","26.5958","26.77084","26.33325","26.39159","3208990",""
"DHI","2015-03-03T00:00:00-05:00","2015-03-03","26.32352","26.39159","25.80814","25.83731","4986506",""
"DHI","2015-03-04T00:00:00-05:00","2015-03-04","25.75952","26.24573","25.66228","26.12904","3587220",""
"DHI","2015-03-05T00:00:00-05:00","2015-03-05","26.22628","26.3527","26.09014","26.2749","2361315",""
