symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DHR","2015-01-02T00:00:00-05:00","2015-01-02","84.50534","84.78044","83.62109","84.22041","2100648",""
"DHR","2015-01-05T00:00:00-05:00","2015-01-05","83.79794","84.10251","82.97263","83.38528","3075503",""
"DHR","2015-01-06T00:00:00-05:00","2015-01-06","83.64073","83.84705","82.11785","82.81543","2939015",""
"DHR","2015-01-07T00:00:00-05:00","2015-01-07","83.50318","83.86671","83.09053","83.31651","3365781",""
"DHR","2015-01-08T00:00:00-05:00","2015-01-08","84.07304","84.77061","84.02391","84.60359","3012602",""
"DHR","2015-01-09T00:00:00-05:00","2015-01-09","84.89835","85.00642","83.86671","84.03374","2121921",""
"DHR","2015-01-12T00:00:00-05:00","2015-01-12","83.55231","83.89619","82.67788","82.99228","3106546",""
"DHR","2015-01-13T00:00:00-05:00","2015-01-13","83.82741","84.42674","82.16697","82.87437","3906744",""
"DHR","2015-01-14T00:00:00-05:00","2015-01-14","82.0196","82.61893","81.20412","81.56764","4878749",""
"DHR","2015-01-15T00:00:00-05:00","2015-01-15","81.99995","82.1375","80.57532","80.59496","4267760",""
"DHR","2015-01-16T00:00:00-05:00","2015-01-16","80.33951","81.19429","79.82861","81.09605","4325877",""
"DHR","2015-01-20T00:00:00-05:00","2015-01-20","81.5873","81.99012","80.9585","81.51852","3445475",""
"DHR","2015-01-21T00:00:00-05:00","2015-01-21","81.31219","82.18663","81.00761","81.80345","3078454",""
"DHR","2015-01-22T00:00:00-05:00","2015-01-22","82.51086","83.07088","81.7052","83.02175","3951935",""
"DHR","2015-01-23T00:00:00-05:00","2015-01-23","83.02175","83.06106","82.60911","82.66805","3851376",""
"DHR","2015-01-26T00:00:00-05:00","2015-01-26","82.39295","82.66805","81.76414","82.19646","3115808",""
"DHR","2015-01-27T00:00:00-05:00","2015-01-27","82.4126","83.79794","82.15715","83.1593","3657077",""
"DHR","2015-01-28T00:00:00-05:00","2015-01-28","83.57195","83.65056","81.39079","81.40062","4037939",""
"DHR","2015-01-29T00:00:00-05:00","2015-01-29","81.89187","82.51086","80.77181","82.46172","2774130",""
"DHR","2015-01-30T00:00:00-05:00","2015-01-30","82.04908","82.2554","80.89954","80.93884","3016368",""
"DHR","2015-02-02T00:00:00-05:00","2015-02-02","80.9978","82.2947","80.17249","82.27505","3511734",""
"DHR","2015-02-03T00:00:00-05:00","2015-02-03","83.22808","83.64073","82.79578","83.53265","4425723",""
"DHR","2015-02-04T00:00:00-05:00","2015-02-04","83.02175","83.59161","82.63858","82.86455","2915809",""
"DHR","2015-02-05T00:00:00-05:00","2015-02-05","83.37546","84.10251","83.29685","83.98461","2062481",""
"DHR","2015-02-06T00:00:00-05:00","2015-02-06","83.90601","84.29902","83.02175","83.30669","2012201",""
"DHR","2015-02-09T00:00:00-05:00","2015-02-09","82.82526","83.60143","82.63858","82.97263","1901566",""
"DHR","2015-02-10T00:00:00-05:00","2015-02-10","83.4344","84.03374","82.85473","83.96496","1974135",""
"DHR","2015-02-11T00:00:00-05:00","2015-02-11","83.91584","84.41691","83.66039","84.16147","2141564",""
"DHR","2015-02-12T00:00:00-05:00","2015-02-12","84.40709","85.12432","84.28919","85.08501","2079783",""
"DHR","2015-02-13T00:00:00-05:00","2015-02-13","84.88852","85.39941","84.69201","85.29134","2012914",""
"DHR","2015-02-17T00:00:00-05:00","2015-02-17","85.23239","85.44855","84.96712","85.28152","1953575",""
"DHR","2015-02-18T00:00:00-05:00","2015-02-18","84.94746","86.03805","84.92782","85.92014","2011183",""
"DHR","2015-02-19T00:00:00-05:00","2015-02-19","85.49767","85.96928","85.46819","85.71382","2249146",""
"DHR","2015-02-20T00:00:00-05:00","2015-02-20","85.6254","86.36227","85.04572","86.14613","4093104",""
"DHR","2015-02-23T00:00:00-05:00","2015-02-23","85.72365","86.09699","85.28152","85.34047","1971387",""
"DHR","2015-02-24T00:00:00-05:00","2015-02-24","85.06537","85.60574","84.9966","85.51732","2499018",""
"DHR","2015-02-25T00:00:00-05:00","2015-02-25","85.46819","86.15595","85.30117","85.69418","2374438",""
"DHR","2015-02-26T00:00:00-05:00","2015-02-26","85.60574","86.55878","85.49767","86.27385","2189605",""
"DHR","2015-02-27T00:00:00-05:00","2015-02-27","86.1756","86.32298","85.704","85.75312","2255558",""
"DHR","2015-03-02T00:00:00-05:00","2015-03-02","85.68435","86.30332","85.68435","85.9398","2102684",""
"DHR","2015-03-03T00:00:00-05:00","2015-03-03","85.69418","85.87103","85.15379","85.52715","1661262",""
"DHR","2015-03-04T00:00:00-05:00","2015-03-04","83.98461","84.9966","83.95513","84.60359","4884550",""
"DHR","2015-03-05T00:00:00-05:00","2015-03-05","84.80991","85.04572","84.45621","84.82956","2305227",""
"DHR","2015-03-06T00:00:00-05:00","2015-03-06","84.46604","84.62324","83.56213","83.72916","3056164",""
"DHR","2015-03-09T00:00:00-04:00","2015-03-09","83.85688","84.77061","83.60143","84.58394","2387364",""
"DHR","2015-03-10T00:00:00-04:00","2015-03-10","83.78811","83.89619","83.16914","83.16914","2277034",""
"DHR","2015-03-11T00:00:00-04:00","2015-03-11","83.21825","83.3951","82.82526","82.89404","2134032",""
"DHR","2015-03-12T00:00:00-04:00","2015-03-12","83.09053","84.24006","83.07088","84.06321","2374438",""
"DHR","2015-03-13T00:00:00-04:00","2015-03-13","84.04356","84.12216","82.8842","83.7095","2434387",""
"DHR","2015-03-16T00:00:00-04:00","2015-03-16","83.99443","85.33064","83.82741","85.28152","4115191",""
"DHR","2015-03-17T00:00:00-04:00","2015-03-17","84.73132","84.97694","84.39726","84.76079","1965077",""
"DHR","2015-03-18T00:00:00-04:00","2015-03-18","84.50534","86.22472","83.76846","85.75312","2832247",""
"DHR","2015-03-19T00:00:00-04:00","2015-03-19","85.57627","86.00858","85.0359","85.48785","2651281",""
"DHR","2015-03-20T00:00:00-04:00","2015-03-20","85.8219","86.0184","85.43872","85.6254","3973105",""
"DHR","2015-03-23T00:00:00-04:00","2015-03-23","85.8612","85.96928","85.23239","85.25204","2857387",""
"DHR","2015-03-24T00:00:00-04:00","2015-03-24","84.9966","85.20292","84.42674","84.42674","2195813",""
"DHR","2015-03-25T00:00:00-04:00","2015-03-25","84.48087","84.62847","83.00478","83.00478","4170613",""
"DHR","2015-03-26T00:00:00-04:00","2015-03-26","82.90638","83.59521","82.54228","82.97527","2652298",""
"DHR","2015-03-27T00:00:00-04:00","2015-03-27","82.8867","83.64442","82.75877","83.49681","2154561",""
"DHR","2015-03-30T00:00:00-04:00","2015-03-30","83.64442","84.38246","83.62474","84.23485","1829781",""
"DHR","2015-03-31T00:00:00-04:00","2015-03-31","84.0282","84.14629","83.49681","83.54601","2554235",""
"DHR","2015-04-01T00:00:00-04:00","2015-04-01","83.42793","83.48697","82.32579","82.56197","2740810",""
"DHR","2015-04-02T00:00:00-04:00","2015-04-02","82.7391","83.18192","82.2569","82.84734","2006499",""
"DHR","2015-04-06T00:00:00-04:00","2015-04-06","82.33563","83.99868","82.17818","83.6149","1664444",""
"DHR","2015-04-07T00:00:00-04:00","2015-04-07","83.33936","84.61863","83.27048","83.96916","2679736",""
"DHR","2015-04-08T00:00:00-04:00","2015-04-08","83.99868","84.25453","83.53617","83.98884","2386256",""
"DHR","2015-04-09T00:00:00-04:00","2015-04-09","83.73298","84.22501","83.55586","84.09708","1670236",""
"DHR","2015-04-10T00:00:00-04:00","2015-04-10","84.46118","84.47102","83.47713","83.62474","2937243",""
"DHR","2015-04-13T00:00:00-04:00","2015-04-13","83.979","84.21517","83.32952","83.87076","2411864",""
"DHR","2015-04-14T00:00:00-04:00","2015-04-14","83.57554","84.21517","83.26064","84.11677","2342864",""
"DHR","2015-04-15T00:00:00-04:00","2015-04-15","83.89043","84.40214","83.89043","84.23485","2319897",""
"DHR","2015-04-16T00:00:00-04:00","2015-04-16","83.87076","84.41198","83.74282","84.07741","2941206",""
"DHR","2015-04-17T00:00:00-04:00","2015-04-17","83.40825","83.44762","82.40451","82.87686","3810266",""
"DHR","2015-04-20T00:00:00-04:00","2015-04-20","83.45745","83.82155","83.19176","83.5657","2730750",""
"DHR","2015-04-21T00:00:00-04:00","2015-04-21","83.76251","84.13644","83.64442","83.84122","2671505",""
"DHR","2015-04-22T00:00:00-04:00","2015-04-22","83.73298","84.04788","83.28032","83.89043","4447732",""
"DHR","2015-04-23T00:00:00-04:00","2015-04-23","83.19176","83.78219","82.31595","83.33936","7753045",""
"DHR","2015-04-24T00:00:00-04:00","2015-04-24","83.04415","83.19176","81.72552","81.97153","6058419",""
"DHR","2015-04-27T00:00:00-04:00","2015-04-27","82.68005","82.95559","81.69599","81.76488","4553926",""
"DHR","2015-04-28T00:00:00-04:00","2015-04-28","81.50903","81.95185","81.26302","81.93217","2526187",""
"DHR","2015-04-29T00:00:00-04:00","2015-04-29","81.63696","81.88297","81.29253","81.47951","3381325",""
"DHR","2015-04-30T00:00:00-04:00","2015-04-30","81.3811","81.50903","80.2888","80.57417","2987850",""
"DHR","2015-05-01T00:00:00-04:00","2015-05-01","80.78082","81.42046","80.63322","81.20396","2637360",""
"DHR","2015-05-04T00:00:00-04:00","2015-05-04","81.28269","81.87312","81.21381","81.37126","1925914",""
"DHR","2015-05-05T00:00:00-04:00","2015-05-05","81.39094","81.6468","80.9186","81.08588","2920171",""
"DHR","2015-05-06T00:00:00-04:00","2015-05-06","81.36142","81.62711","80.56434","81.02684","3140382",""
"DHR","2015-05-07T00:00:00-04:00","2015-05-07","80.95795","82.13882","80.90876","81.86329","3815448",""
"DHR","2015-05-08T00:00:00-04:00","2015-05-08","82.50291","83.07367","82.40451","82.68989","2587058",""
"DHR","2015-05-11T00:00:00-04:00","2015-05-11","82.50291","82.78829","82.22739","82.22739","2296728",""
"DHR","2015-05-12T00:00:00-04:00","2015-05-12","81.97153","84.97289","81.94201","84.62847","9887384",""
"DHR","2015-05-13T00:00:00-04:00","2015-05-13","88.56468","88.81069","85.08114","85.95694","19184860",""
"DHR","2015-05-14T00:00:00-04:00","2015-05-14","86.5769","86.95084","86.01599","86.43913","9723673",""
"DHR","2015-05-15T00:00:00-04:00","2015-05-15","86.38008","86.6753","84.96304","85.07129","8197636",""
"DHR","2015-05-18T00:00:00-04:00","2015-05-18","85.17954","86.20296","85.17954","85.86838","4758183",""
"DHR","2015-05-19T00:00:00-04:00","2015-05-19","85.87821","86.04551","84.98273","85.11066","3666473",""
"DHR","2015-05-20T00:00:00-04:00","2015-05-20","85.13034","85.84869","84.72688","85.6322","4177116",""
"DHR","2015-05-21T00:00:00-04:00","2015-05-21","85.60268","85.88805","85.28779","85.51412","3876827",""
"DHR","2015-05-22T00:00:00-04:00","2015-05-22","85.56332","86.16359","85.19923","85.22874","2985513",""
"DHR","2015-05-26T00:00:00-04:00","2015-05-26","85.17954","85.52396","84.59895","84.8056","2738270",""
"DHR","2015-05-27T00:00:00-04:00","2015-05-27","84.88433","86.06519","84.65799","86.02583","3634564",""
"DHR","2015-05-28T00:00:00-04:00","2015-05-28","85.74045","86.10455","85.39603","85.92742","3203794",""
"DHR","2015-05-29T00:00:00-04:00","2015-05-29","85.71093","85.98646","84.61863","84.94337","3092926",""
"DHR","2015-06-01T00:00:00-04:00","2015-06-01","85.1205","85.76997","84.67768","85.51412","2921288",""
"DHR","2015-06-02T00:00:00-04:00","2015-06-02","85.15002","85.5338","84.74656","85.40588","2526492",""
"DHR","2015-06-03T00:00:00-04:00","2015-06-03","85.44524","86.04551","85.27795","85.84869","2418368",""
"DHR","2015-06-04T00:00:00-04:00","2015-06-04","85.17954","85.51412","84.24469","84.43166","2792230",""
"DHR","2015-06-05T00:00:00-04:00","2015-06-05","84.25453","84.61863","84.09708","84.52023","2033937",""
"DHR","2015-06-08T00:00:00-04:00","2015-06-08","84.22501","84.4415","83.49681","83.55586","3241089",""
"DHR","2015-06-09T00:00:00-04:00","2015-06-09","83.67394","84.42182","83.34921","83.84122","2678110",""
"DHR","2015-06-10T00:00:00-04:00","2015-06-10","84.09708","84.73672","83.84122","84.64815","2428327",""
"DHR","2015-06-11T00:00:00-04:00","2015-06-11","84.87449","85.02209","84.38246","84.55959","2329755",""
"DHR","2015-06-12T00:00:00-04:00","2015-06-12","84.45134","84.52023","83.5657","83.69363","3258567",""
"DHR","2015-06-15T00:00:00-04:00","2015-06-15","83.2508","83.39841","82.77846","83.11303","2457593",""
"DHR","2015-06-16T00:00:00-04:00","2015-06-16","83.00478","83.49681","82.98511","83.28032","1940751",""
"DHR","2015-06-17T00:00:00-04:00","2015-06-17","83.32952","83.75267","83.07367","83.37873","2793551",""
"DHR","2015-06-18T00:00:00-04:00","2015-06-18","83.6149","85.05161","83.42793","84.57927","3517598",""
"DHR","2015-06-19T00:00:00-04:00","2015-06-19","84.57927","84.90401","84.27422","84.47102","4242560",""
"DHR","2015-06-22T00:00:00-04:00","2015-06-22","85.03194","85.29763","84.77608","84.87449","2571612",""
"DHR","2015-06-23T00:00:00-04:00","2015-06-23","84.77608","85.00241","84.2939","84.35294","2300996",""
"DHR","2015-06-24T00:00:00-04:00","2015-06-24","84.34801","84.69297","84.10161","84.19031","2971070",""
"DHR","2015-06-25T00:00:00-04:00","2015-06-25","84.48599","84.56484","83.66795","84.20017","2585926",""
"DHR","2015-06-26T00:00:00-04:00","2015-06-26","84.62398","84.79153","84.13118","84.52542","10401437",""
"DHR","2015-06-29T00:00:00-04:00","2015-06-29","83.91434","84.30859","83.35255","83.52996","6087839",""
"DHR","2015-06-30T00:00:00-04:00","2015-06-30","84.04247","84.64369","83.82565","84.35786","5700767",""
"DHR","2015-07-01T00:00:00-04:00","2015-07-01","84.76196","85.09707","84.46628","85.09707","5752207",""
"DHR","2015-07-02T00:00:00-04:00","2015-07-02","85.27448","85.67857","85.03793","85.55045","3837341",""
"DHR","2015-07-06T00:00:00-04:00","2015-07-06","84.69297","85.10693","84.48599","84.63383","7325050",""
"DHR","2015-07-07T00:00:00-04:00","2015-07-07","84.96894","86.00383","83.95377","85.81656","5065319",""
"DHR","2015-07-08T00:00:00-04:00","2015-07-08","85.38289","85.51102","84.42686","84.50571","5201073",""
"DHR","2015-07-09T00:00:00-04:00","2015-07-09","85.36318","85.61944","84.48599","84.50571","5230091",""
"DHR","2015-07-10T00:00:00-04:00","2015-07-10","85.20548","85.66872","84.8211","85.40261","4722382",""
"DHR","2015-07-13T00:00:00-04:00","2015-07-13","85.91512","86.83173","85.74757","86.73317","5010936",""
"DHR","2015-07-14T00:00:00-04:00","2015-07-14","86.97958","87.73849","86.84159","87.67935","14239083",""
"DHR","2015-07-15T00:00:00-04:00","2015-07-15","87.8469","87.91589","87.019","87.05843","6143947",""
"DHR","2015-07-16T00:00:00-04:00","2015-07-16","87.57093","87.57093","86.73317","87.4231","4420435",""
