symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DLPH","2015-01-02T00:00:00-05:00","2015-01-02","70.49503","70.95592","68.91077","69.6981","1314779",""
"DLPH","2015-01-05T00:00:00-05:00","2015-01-05","68.95878","69.03559","66.59678","66.65439","2681737",""
"DLPH","2015-01-06T00:00:00-05:00","2015-01-06","66.74081","66.93284","65.65582","66.23193","2099022",""
"DLPH","2015-01-07T00:00:00-05:00","2015-01-07","66.58718","67.17287","66.23193","66.76001","2004350",""
"DLPH","2015-01-08T00:00:00-05:00","2015-01-08","67.3073","68.4883","67.25929","68.40189","2514682",""
"DLPH","2015-01-09T00:00:00-05:00","2015-01-09","68.43069","68.59392","67.24969","67.36491","2356687",""
"DLPH","2015-01-12T00:00:00-05:00","2015-01-12","67.37451","67.52814","65.91507","66.14551","2278679",""
"DLPH","2015-01-13T00:00:00-05:00","2015-01-13","66.58718","67.69137","64.11957","64.95491","4271158",""
"DLPH","2015-01-14T00:00:00-05:00","2015-01-14","64.13877","64.69566","63.89873","64.46523","4158364",""
"DLPH","2015-01-15T00:00:00-05:00","2015-01-15","64.46523","65.30057","64.10996","64.46523","2559257",""
"DLPH","2015-01-16T00:00:00-05:00","2015-01-16","64.34041","64.45562","63.46666","63.93713","3750932",""
"DLPH","2015-01-20T00:00:00-05:00","2015-01-20","64.71487","64.96451","63.90833","64.78208","3186964",""
"DLPH","2015-01-21T00:00:00-05:00","2015-01-21","64.80128","66.18391","64.3308","65.89586","3011161",""
"DLPH","2015-01-22T00:00:00-05:00","2015-01-22","66.40475","66.76001","65.61742","66.49117","1905200",""
"DLPH","2015-01-23T00:00:00-05:00","2015-01-23","66.39515","67.01926","66.20311","66.89443","2014036",""
"DLPH","2015-01-26T00:00:00-05:00","2015-01-26","66.71201","67.02885","66.30873","66.79842","1679926",""
"DLPH","2015-01-27T00:00:00-05:00","2015-01-27","66.1071","67.2785","65.75185","67.01926","2270764",""
"DLPH","2015-01-28T00:00:00-05:00","2015-01-28","67.14407","67.37451","65.31017","65.45419","2555716",""
"DLPH","2015-01-29T00:00:00-05:00","2015-01-29","65.60782","66.62559","64.95491","66.41435","1900201",""
"DLPH","2015-01-30T00:00:00-05:00","2015-01-30","65.91507","66.76962","65.79025","65.99188","1878018",""
"DLPH","2015-02-02T00:00:00-05:00","2015-02-02","66.48156","68.03703","66.1263","67.98901","2391265",""
"DLPH","2015-02-03T00:00:00-05:00","2015-02-03","68.59392","70.06297","68.58431","69.84212","3574191",""
"DLPH","2015-02-04T00:00:00-05:00","2015-02-04","69.54448","70.2838","69.54448","69.85173","2636953",""
"DLPH","2015-02-05T00:00:00-05:00","2015-02-05","70.79269","72.90504","70.68707","72.85703","2856812",""
"DLPH","2015-02-06T00:00:00-05:00","2015-02-06","73.2795","74.80616","73.15469","74.08604","3284865",""
"DLPH","2015-02-09T00:00:00-05:00","2015-02-09","73.32751","74.28767","73.31791","74.13405","2251497",""
"DLPH","2015-02-10T00:00:00-05:00","2015-02-10","74.97899","75.6319","74.33568","75.45907","2359603",""
"DLPH","2015-02-11T00:00:00-05:00","2015-02-11","75.56468","75.79513","74.53732","74.80616","1987582",""
"DLPH","2015-02-12T00:00:00-05:00","2015-02-12","75.12301","75.30544","74.73895","74.95018","2590086",""
"DLPH","2015-02-13T00:00:00-05:00","2015-02-13","75.03688","75.85564","74.85386","75.80747","1652848",""
"DLPH","2015-02-17T00:00:00-05:00","2015-02-17","75.88453","76.11571","75.1332","75.61482","1617136",""
"DLPH","2015-02-18T00:00:00-05:00","2015-02-18","75.45107","75.76894","75.1332","75.55703","1511451",""
"DLPH","2015-02-19T00:00:00-05:00","2015-02-19","75.64372","76.86705","75.53777","76.49138","1789573",""
"DLPH","2015-02-20T00:00:00-05:00","2015-02-20","76.19277","76.40469","74.97908","76.35652","2094064",""
"DLPH","2015-02-23T00:00:00-05:00","2015-02-23","76.01939","76.47211","75.94232","76.28909","1362476",""
"DLPH","2015-02-24T00:00:00-05:00","2015-02-24","76.25057","76.52991","75.91343","75.94232","1049991",""
"DLPH","2015-02-25T00:00:00-05:00","2015-02-25","76.01939","77.20419","76.01939","76.91521","1770783",""
"DLPH","2015-02-26T00:00:00-05:00","2015-02-26","76.65513","76.87667","76.03866","76.15424","912539",""
"DLPH","2015-02-27T00:00:00-05:00","2015-02-27","76.13498","76.42395","75.69189","75.94232","970883",""
"DLPH","2015-03-02T00:00:00-05:00","2015-03-02","76.33726","77.57985","76.14462","77.19455","1604989",""
"DLPH","2015-03-03T00:00:00-05:00","2015-03-03","77.04043","77.27161","76.34689","77.07896","1695205",""
"DLPH","2015-03-04T00:00:00-05:00","2015-03-04","78.27338","79.21736","76.80925","77.81103","3361965",""
"DLPH","2015-03-05T00:00:00-05:00","2015-03-05","77.65691","77.82066","76.78035","77.18491","1336626",""
"DLPH","2015-03-06T00:00:00-05:00","2015-03-06","76.65513","76.99226","76.01939","76.18314","1573014",""
"DLPH","2015-03-09T00:00:00-04:00","2015-03-09","75.92307","76.32762","75.41254","76.07719","1936161",""
"DLPH","2015-03-10T00:00:00-04:00","2015-03-10","75.21989","75.37402","74.22775","74.78643","1952979",""
"DLPH","2015-03-11T00:00:00-04:00","2015-03-11","74.75754","75.49923","73.92915","74.05436","2715297",""
"DLPH","2015-03-12T00:00:00-04:00","2015-03-12","74.4782","75.31622","74.46856","75.07541","1505118",""
"DLPH","2015-03-13T00:00:00-04:00","2015-03-13","74.81533","74.88275","73.6498","73.97731","2377274",""
"DLPH","2015-03-16T00:00:00-04:00","2015-03-16","74.51672","75.58593","74.45893","75.40291","1762685",""
"DLPH","2015-03-17T00:00:00-04:00","2015-03-17","74.81533","75.57629","74.61304","75.33548","1106778",""
"DLPH","2015-03-18T00:00:00-04:00","2015-03-18","74.89239","76.40469","74.68047","76.2602","1881969",""
"DLPH","2015-03-19T00:00:00-04:00","2015-03-19","75.98086","76.318","75.50887","76.26983","1478126",""
"DLPH","2015-03-20T00:00:00-04:00","2015-03-20","76.56844","77.13676","76.29873","77.02116","3083012",""
"DLPH","2015-03-23T00:00:00-04:00","2015-03-23","77.11749","77.36794","76.86705","76.90557","1340363",""
"DLPH","2015-03-24T00:00:00-04:00","2015-03-24","76.70329","76.97301","76.02902","76.30836","1190038",""
"DLPH","2015-03-25T00:00:00-04:00","2015-03-25","76.27946","76.48175","74.59379","74.61304","1351056",""
"DLPH","2015-03-26T00:00:00-04:00","2015-03-26","74.04474","74.24702","73.42826","74.064","2472680",""
"DLPH","2015-03-27T00:00:00-04:00","2015-03-27","74.02547","74.7479","73.82319","74.64194","1368809",""
"DLPH","2015-03-30T00:00:00-04:00","2015-03-30","75.12357","76.34689","75.12357","76.29873","1156921",""
"DLPH","2015-03-31T00:00:00-04:00","2015-03-31","76.09645","77.30051","75.93269","76.80925","2191132",""
"DLPH","2015-04-01T00:00:00-04:00","2015-04-01","77.28124","77.28124","75.29695","75.95196","2389212",""
"DLPH","2015-04-02T00:00:00-04:00","2015-04-02","76.17351","78.38897","75.80747","78.19633","3490385",""
"DLPH","2015-04-06T00:00:00-04:00","2015-04-06","78.1289","81.95299","78.07111","80.72003","4097187",""
"DLPH","2015-04-07T00:00:00-04:00","2015-04-07","80.22878","80.74892","79.79531","79.83384","1764035",""
"DLPH","2015-04-08T00:00:00-04:00","2015-04-08","79.81458","80.354","79.40038","80.15171","1852486",""
"DLPH","2015-04-09T00:00:00-04:00","2015-04-09","80.18061","81.18239","80.14207","81.13423","2166216",""
"DLPH","2015-04-10T00:00:00-04:00","2015-04-10","81.74107","82.0782","81.25945","81.59658","2227675",""
"DLPH","2015-04-13T00:00:00-04:00","2015-04-13","81.79887","81.84703","80.66223","80.88378","1164188",""
"DLPH","2015-04-14T00:00:00-04:00","2015-04-14","80.82599","81.24018","80.27693","81.02827","1520379",""
"DLPH","2015-04-15T00:00:00-04:00","2015-04-15","81.34614","81.43283","80.5948","80.67187","1680774",""
