symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DLTR","2015-01-02T00:00:00-05:00","2015-01-02","70.96","71.3","69.76","70.35","1435800",""
"DLTR","2015-01-05T00:00:00-05:00","2015-01-05","70.2","70.54","69.45","69.62","2654500",""
"DLTR","2015-01-06T00:00:00-05:00","2015-01-06","69.78","69.96","67.58","68.67","2696800",""
"DLTR","2015-01-07T00:00:00-05:00","2015-01-07","69.18","70.92","68.83","70.83","2756200",""
"DLTR","2015-01-08T00:00:00-05:00","2015-01-08","71.06","71.19","70.25","71.11","2800200",""
"DLTR","2015-01-09T00:00:00-05:00","2015-01-09","71","71.2","69.36","69.46","2161100",""
"DLTR","2015-01-12T00:00:00-05:00","2015-01-12","69.44","69.54","68.47","69.43","4267600",""
"DLTR","2015-01-13T00:00:00-05:00","2015-01-13","70.11","70.23","67.71","68","5076200",""
"DLTR","2015-01-14T00:00:00-05:00","2015-01-14","67.26","67.55","65.86","67.37","4910000",""
"DLTR","2015-01-15T00:00:00-05:00","2015-01-15","67.51","68.05","66.07","66.41","8250900",""
"DLTR","2015-01-16T00:00:00-05:00","2015-01-16","66","66.98","65.2","66.71","8718000",""
"DLTR","2015-01-20T00:00:00-05:00","2015-01-20","66.88","67.37","65.91","67.25","3547200",""
"DLTR","2015-01-21T00:00:00-05:00","2015-01-21","67.2","68.1","67.08","67.81","3633600",""
"DLTR","2015-01-22T00:00:00-05:00","2015-01-22","68.28","70.58","67.83","70.25","9284800",""
"DLTR","2015-01-23T00:00:00-05:00","2015-01-23","70.49","72.59","70.34","72.07","6166700",""
"DLTR","2015-01-26T00:00:00-05:00","2015-01-26","72.34","72.34","69.52","70.36","8088100",""
"DLTR","2015-01-27T00:00:00-05:00","2015-01-27","70.12","71.58","69.75","71.31","5788800",""
"DLTR","2015-01-28T00:00:00-05:00","2015-01-28","71.7","71.7","69.82","69.96","3741900",""
"DLTR","2015-01-29T00:00:00-05:00","2015-01-29","70.24","70.56","69.58","70.18","3851700",""
"DLTR","2015-01-30T00:00:00-05:00","2015-01-30","70.05","72.13","69.77","71.1","6235100",""
"DLTR","2015-02-02T00:00:00-05:00","2015-02-02","71.33","72.51","70.28","72.23","5047300",""
"DLTR","2015-02-03T00:00:00-05:00","2015-02-03","72.23","74.5","72.03","74.39","4681300",""
"DLTR","2015-02-04T00:00:00-05:00","2015-02-04","74.4","75.72","73.79","75","5403300",""
"DLTR","2015-02-05T00:00:00-05:00","2015-02-05","75.13","76.73","74.98","75.92","4842000",""
"DLTR","2015-02-06T00:00:00-05:00","2015-02-06","76.33","76.48","74.84","75.07","2369800",""
"DLTR","2015-02-09T00:00:00-05:00","2015-02-09","74.63","75.45","74.47","74.9","2762600",""
"DLTR","2015-02-10T00:00:00-05:00","2015-02-10","75.39","75.8","74.66","75.71","2830200",""
"DLTR","2015-02-11T00:00:00-05:00","2015-02-11","75.55","76.94","75.33","76.66","4367600",""
"DLTR","2015-02-12T00:00:00-05:00","2015-02-12","76.79","77.16","75.53","75.85","4294200",""
"DLTR","2015-02-13T00:00:00-05:00","2015-02-13","75.89","76.91","75.23","76.82","2507900",""
"DLTR","2015-02-17T00:00:00-05:00","2015-02-17","76.93","77.01","76.23","76.73","2300100",""
"DLTR","2015-02-18T00:00:00-05:00","2015-02-18","76.86","77.11","76.47","77.02","2335000",""
"DLTR","2015-02-19T00:00:00-05:00","2015-02-19","77.45","77.68","76.64","76.7","2250600",""
"DLTR","2015-02-20T00:00:00-05:00","2015-02-20","76.61","77.87","76.16","77.69","2605300",""
"DLTR","2015-02-23T00:00:00-05:00","2015-02-23","77.98","78.1","77.34","77.8","3389800",""
"DLTR","2015-02-24T00:00:00-05:00","2015-02-24","78","78","77.35","77.47","2220700",""
"DLTR","2015-02-25T00:00:00-05:00","2015-02-25","77.93","80.85","77.56","79.16","5617400",""
"DLTR","2015-02-26T00:00:00-05:00","2015-02-26","78.79","79.5","78.42","79.04","2759200",""
"DLTR","2015-02-27T00:00:00-05:00","2015-02-27","78.99","79.81","78.61","79.68","4148300",""
"DLTR","2015-03-02T00:00:00-05:00","2015-03-02","79.75","80.25","79.29","79.92","3483600",""
"DLTR","2015-03-03T00:00:00-05:00","2015-03-03","80.1","80.19","78.79","79.16","3445600",""
"DLTR","2015-03-04T00:00:00-05:00","2015-03-04","79.06","79.34","78.72","78.84","2464100",""
"DLTR","2015-03-05T00:00:00-05:00","2015-03-05","79.14","79.71","78.88","79.43","1884800",""
"DLTR","2015-03-06T00:00:00-05:00","2015-03-06","79.26","80.14","79.01","79.61","2653400",""
"DLTR","2015-03-09T00:00:00-04:00","2015-03-09","79.54","79.84","79.3","79.7","1962400",""
"DLTR","2015-03-10T00:00:00-04:00","2015-03-10","79.18","79.7","78.88","79.61","2947300",""
"DLTR","2015-03-11T00:00:00-04:00","2015-03-11","79.53","80.06","78.81","78.83","3492700",""
"DLTR","2015-03-12T00:00:00-04:00","2015-03-12","80.1","81.21","79.62","80.89","3210600",""
"DLTR","2015-03-13T00:00:00-04:00","2015-03-13","80.89","82.12","80.71","81.91","2479700",""
"DLTR","2015-03-16T00:00:00-04:00","2015-03-16","82.42","83.73","82.05","83.71","3074100",""
"DLTR","2015-03-17T00:00:00-04:00","2015-03-17","83.63","83.83","83.01","83.32","2830200",""
"DLTR","2015-03-18T00:00:00-04:00","2015-03-18","83.29","84.21","82.91","83.7","2109500",""
"DLTR","2015-03-19T00:00:00-04:00","2015-03-19","83.88","84.1","83.25","83.4","1414800",""
"DLTR","2015-03-20T00:00:00-04:00","2015-03-20","83.91","84.22","83.37","83.81","2186200",""
"DLTR","2015-03-23T00:00:00-04:00","2015-03-23","83.74","84","83.03","83.05","1536700",""
"DLTR","2015-03-24T00:00:00-04:00","2015-03-24","82.76","83.57","81.17","82.83","1939700",""
"DLTR","2015-03-25T00:00:00-04:00","2015-03-25","81.77","82.83","81.11","81.17","1932700",""
"DLTR","2015-03-26T00:00:00-04:00","2015-03-26","80.71","81.47","80.29","81.02","2036500",""
"DLTR","2015-03-27T00:00:00-04:00","2015-03-27","81.08","82.15","81.03","81.71","1573400",""
"DLTR","2015-03-30T00:00:00-04:00","2015-03-30","82.1","82.49","81.46","81.81","1968700",""
"DLTR","2015-03-31T00:00:00-04:00","2015-03-31","81.67","82.44","81.13","81.14","2372900",""
"DLTR","2015-04-01T00:00:00-04:00","2015-04-01","81.14","81.57","80.25","81.3","3476900",""
"DLTR","2015-04-02T00:00:00-04:00","2015-04-02","81.33","81.55","80.77","81.12","1796600",""
"DLTR","2015-04-06T00:00:00-04:00","2015-04-06","80.19","81.78","80.16","80.98","2243200",""
"DLTR","2015-04-07T00:00:00-04:00","2015-04-07","81.07","81.82","80.57","80.58","2076800",""
"DLTR","2015-04-08T00:00:00-04:00","2015-04-08","81.32","83.53","80.51","83.53","2398300",""
"DLTR","2015-04-09T00:00:00-04:00","2015-04-09","83.9","84","82.45","82.75","2589900",""
"DLTR","2015-04-10T00:00:00-04:00","2015-04-10","82.64","83.19","82.5","82.87","1276100",""
"DLTR","2015-04-13T00:00:00-04:00","2015-04-13","82.85","83.25","81.67","81.82","1279000",""
"DLTR","2015-04-14T00:00:00-04:00","2015-04-14","81.79","82.16","80.99","81.05","1577900",""
"DLTR","2015-04-15T00:00:00-04:00","2015-04-15","81.2","81.76","81.08","81.21","2254000",""
"DLTR","2015-04-16T00:00:00-04:00","2015-04-16","81.2","81.48","80.75","81.03","2419800",""
"DLTR","2015-04-17T00:00:00-04:00","2015-04-17","80.48","81","78.7","79.14","2281400",""
"DLTR","2015-04-20T00:00:00-04:00","2015-04-20","79.32","79.79","78.75","79.71","1817200",""
"DLTR","2015-04-21T00:00:00-04:00","2015-04-21","80.47","80.97","80.09","80.78","1506900",""
"DLTR","2015-04-22T00:00:00-04:00","2015-04-22","80.95","80.95","80.11","80.57","2275100",""
"DLTR","2015-04-23T00:00:00-04:00","2015-04-23","80.23","81.26","80.23","81.01","1155900",""
"DLTR","2015-04-24T00:00:00-04:00","2015-04-24","81.14","81.38","80.45","81.14","1394500",""
"DLTR","2015-04-27T00:00:00-04:00","2015-04-27","81.89","81.89","79.99","80.42","1859900",""
"DLTR","2015-04-28T00:00:00-04:00","2015-04-28","80.21","80.46","79.55","79.97","1244800",""
"DLTR","2015-04-29T00:00:00-04:00","2015-04-29","79.79","80.15","77.41","77.47","3176800",""
"DLTR","2015-04-30T00:00:00-04:00","2015-04-30","77.32","77.79","76.14","76.41","3134200",""
"DLTR","2015-05-01T00:00:00-04:00","2015-05-01","76.37","77.88","76.14","77.73","2097600",""
"DLTR","2015-05-04T00:00:00-04:00","2015-05-04","77.73","77.81","76.83","77.31","2038000",""
"DLTR","2015-05-05T00:00:00-04:00","2015-05-05","76.92","77.48","76.18","76.34","2097900",""
"DLTR","2015-05-06T00:00:00-04:00","2015-05-06","76.38","77.32","76.1","77.15","1811800",""
"DLTR","2015-05-07T00:00:00-04:00","2015-05-07","77.3","78.35","76.88","78","1804400",""
"DLTR","2015-05-08T00:00:00-04:00","2015-05-08","78.61","79.75","78.42","79.18","1771700",""
"DLTR","2015-05-11T00:00:00-04:00","2015-05-11","79.05","79.37","78.64","78.98","1879400",""
"DLTR","2015-05-12T00:00:00-04:00","2015-05-12","78.61","79.68","78.44","79.21","1640600",""
"DLTR","2015-05-13T00:00:00-04:00","2015-05-13","79.18","79.47","77.67","77.85","1917600",""
"DLTR","2015-05-14T00:00:00-04:00","2015-05-14","78.15","78.4","76.82","76.97","2213200",""
"DLTR","2015-05-15T00:00:00-04:00","2015-05-15","77.17","78.4","76.82","78.37","2279800",""
"DLTR","2015-05-18T00:00:00-04:00","2015-05-18","78.43","78.52","77.66","78.42","1959200",""
"DLTR","2015-05-19T00:00:00-04:00","2015-05-19","78.41","78.65","77.43","77.55","2138400",""
"DLTR","2015-05-20T00:00:00-04:00","2015-05-20","76.96","77.7","76.03","76.26","3496800",""
"DLTR","2015-05-21T00:00:00-04:00","2015-05-21","75.08","80.22","74.51","78.68","8598400",""
"DLTR","2015-05-22T00:00:00-04:00","2015-05-22","78.25","78.49","76.97","77.18","3717600",""
"DLTR","2015-05-26T00:00:00-04:00","2015-05-26","77.14","77.52","75.35","75.5","2928600",""
"DLTR","2015-05-27T00:00:00-04:00","2015-05-27","75.72","76.54","75.54","76.34","1679400",""
"DLTR","2015-05-28T00:00:00-04:00","2015-05-28","76.36","76.74","75.66","76.19","1640700",""
